召唤师等级,使用英雄分配概率,队友英雄分配概率,私有英雄分配概率,周免英雄分配概率
157,500000,250000,150000,100000
158,500000,250000,150000,100000
159,500000,250000,150000,100000
160,500000,250000,150000,100000
161,500000,250000,150000,100000
162,500000,250000,150000,100000
163,500000,250000,150000,100000
164,500000,250000,150000,100000
165,500000,250000,150000,100000
166,500000,250000,150000,100000
167,500000,250000,150000,100000
168,500000,250000,150000,100000
169,500000,250000,150000,100000
170,500000,250000,150000,100000
171,500000,250000,150000,100000
172,500000,250000,150000,100000
173,500000,250000,150000,100000
174,500000,250000,150000,100000
175,500000,250000,150000,100000
176,500000,250000,150000,100000
177,500000,250000,150000,100000
178,500000,250000,150000,100000
179,500000,250000,150000,100000
180,500000,250000,150000,100000
181,500000,250000,150000,100000
182,500000,250000,150000,100000
183,500000,250000,150000,100000
184,500000,250000,150000,100000
185,500000,250000,150000,100000
186,500000,250000,150000,100000
187,500000,250000,150000,100000
188,500000,250000,150000,100000
189,500000,250000,150000,100000
190,500000,250000,150000,100000
191,500000,250000,150000,100000
192,500000,250000,150000,100000
193,500000,250000,150000,100000
194,500000,250000,150000,100000
195,500000,250000,150000,100000
196,500000,250000,150000,100000
197,500000,250000,150000,100000
198,500000,250000,150000,100000
199,500000,250000,150000,100000
200,500000,250000,150000,100000
201,500000,250000,150000,100000
202,500000,250000,150000,100000
203,500000,250000,150000,100000
204,500000,250000,150000,100000
205,500000,250000,150000,100000
206,500000,250000,150000,100000
207,500000,250000,150000,100000
208,500000,250000,150000,100000
209,500000,250000,150000,100000
210,500000,250000,150000,100000
211,500000,250000,150000,100000
212,500000,250000,150000,100000
213,500000,250000,150000,100000
214,500000,250000,150000,100000
215,500000,250000,150000,100000
216,500000,250000,150000,100000
217,500000,250000,150000,100000
218,500000,250000,150000,100000
219,500000,250000,150000,100000
220,500000,250000,150000,100000
221,500000,250000,150000,100000
222,500000,250000,150000,100000
223,500000,250000,150000,100000
224,500000,250000,150000,100000
225,500000,250000,150000,100000
226,500000,250000,150000,100000
227,500000,250000,150000,100000
228,500000,250000,150000,100000
229,500000,250000,150000,100000
230,500000,250000,150000,100000
231,500000,250000,150000,100000
232,500000,250000,150000,100000
233,500000,250000,150000,100000
234,500000,250000,150000,100000
235,500000,250000,150000,100000
236,500000,250000,150000,100000
237,500000,250000,150000,100000
238,500000,250000,150000,100000
239,500000,250000,150000,100000
240,500000,250000,150000,100000
241,500000,250000,150000,100000
242,500000,250000,150000,100000
243,500000,250000,150000,100000
244,500000,250000,150000,100000
245,500000,250000,150000,100000
246,500000,250000,150000,100000
247,500000,250000,150000,100000
248,500000,250000,150000,100000
249,500000,250000,150000,100000
250,500000,250000,150000,100000
251,500000,250000,150000,100000
252,500000,250000,150000,100000
253,500000,250000,150000,100000
254,500000,250000,150000,100000
255,500000,250000,150000,100000
256,500000,250000,150000,100000
257,500000,250000,150000,100000
258,500000,250000,150000,100000
259,500000,250000,150000,100000
260,500000,250000,150000,100000
261,500000,250000,150000,100000
262,500000,250000,150000,100000
263,500000,250000,150000,100000
264,500000,250000,150000,100000
265,500000,250000,150000,100000
266,500000,250000,150000,100000
267,500000,250000,150000,100000
268,500000,250000,150000,100000
269,500000,250000,150000,100000
270,500000,250000,150000,100000
271,500000,250000,150000,100000
272,500000,250000,150000,100000
273,500000,250000,150000,100000
274,500000,250000,150000,100000
275,500000,250000,150000,100000
276,500000,250000,150000,100000
277,500000,250000,150000,100000
278,500000,250000,150000,100000
279,500000,250000,150000,100000
280,500000,250000,150000,100000
281,500000,250000,150000,100000
282,500000,250000,150000,100000
283,500000,250000,150000,100000
284,500000,250000,150000,100000
285,500000,250000,150000,100000
286,500000,250000,150000,100000
287,500000,250000,150000,100000
288,500000,250000,150000,100000
289,500000,250000,150000,100000
290,500000,250000,150000,100000
291,500000,250000,150000,100000
292,500000,250000,150000,100000
293,500000,250000,150000,100000
294,500000,250000,150000,100000
295,500000,250000,150000,100000
296,500000,250000,150000,100000
297,500000,250000,150000,100000
298,500000,250000,150000,100000
299,500000,250000,150000,100000
300,500000,250000,150000,100000
301,500000,250000,150000,100000
302,500000,250000,150000,100000
303,500000,250000,150000,100000
304,500000,250000,150000,100000
305,500000,250000,150000,100000
306,500000,250000,150000,100000
307,500000,250000,150000,100000
308,500000,250000,150000,100000
309,500000,250000,150000,100000
310,500000,250000,150000,100000
311,500000,250000,150000,100000
312,500000,250000,150000,100000
313,500000,250000,150000,100000
314,500000,250000,150000,100000
315,500000,250000,150000,100000
316,500000,250000,150000,100000
317,500000,250000,150000,100000
318,500000,250000,150000,100000
319,500000,250000,150000,100000
320,500000,250000,150000,100000
321,500000,250000,150000,100000
322,500000,250000,150000,100000
323,500000,250000,150000,100000
324,500000,250000,150000,100000
325,500000,250000,150000,100000
326,500000,250000,150000,100000
327,500000,250000,150000,100000
328,500000,250000,150000,100000
329,500000,250000,150000,100000
330,500000,250000,150000,100000
331,500000,250000,150000,100000
332,500000,250000,150000,100000
333,500000,250000,150000,100000
334,500000,250000,150000,100000
335,500000,250000,150000,100000
336,500000,250000,150000,100000
337,500000,250000,150000,100000
338,500000,250000,150000,100000
339,500000,250000,150000,100000
340,500000,250000,150000,100000
341,500000,250000,150000,100000
342,500000,250000,150000,100000
343,500000,250000,150000,100000
344,500000,250000,150000,100000
345,500000,250000,150000,100000
346,500000,250000,150000,100000
347,500000,250000,150000,100000
348,500000,250000,150000,100000
349,500000,250000,150000,100000
350,500000,250000,150000,100000
351,500000,250000,150000,100000
352,500000,250000,150000,100000
353,500000,250000,150000,100000
354,500000,250000,150000,100000
355,500000,250000,150000,100000
356,500000,250000,150000,100000
357,500000,250000,150000,100000
358,500000,250000,150000,100000
359,500000,250000,150000,100000
360,500000,250000,150000,100000
361,500000,250000,150000,100000
362,500000,250000,150000,100000
363,500000,250000,150000,100000
364,500000,250000,150000,100000
365,500000,250000,150000,100000
366,500000,250000,150000,100000
367,500000,250000,150000,100000
368,500000,250000,150000,100000
369,500000,250000,150000,100000
370,500000,250000,150000,100000
371,500000,250000,150000,100000
372,500000,250000,150000,100000
373,500000,250000,150000,100000
374,500000,250000,150000,100000
375,500000,250000,150000,100000
376,500000,250000,150000,100000
377,500000,250000,150000,100000
378,500000,250000,150000,100000
379,500000,250000,150000,100000
380,500000,250000,150000,100000
381,500000,250000,150000,100000
382,500000,250000,150000,100000
383,500000,250000,150000,100000
384,500000,250000,150000,100000
385,500000,250000,150000,100000
386,500000,250000,150000,100000
387,500000,250000,150000,100000
388,500000,250000,150000,100000
389,500000,250000,150000,100000
390,500000,250000,150000,100000
391,500000,250000,150000,100000
392,500000,250000,150000,100000
393,500000,250000,150000,100000
394,500000,250000,150000,100000
395,500000,250000,150000,100000
396,500000,250000,150000,100000
397,500000,250000,150000,100000
398,500000,250000,150000,100000
399,500000,250000,150000,100000
400,500000,250000,150000,100000
401,500000,250000,150000,100000
402,500000,250000,150000,100000
403,500000,250000,150000,100000
404,500000,250000,150000,100000
405,500000,250000,150000,100000
406,500000,250000,150000,100000
407,500000,250000,150000,100000
408,500000,250000,150000,100000
409,500000,250000,150000,100000
410,500000,250000,150000,100000
411,500000,250000,150000,100000
412,500000,250000,150000,100000
413,500000,250000,150000,100000
414,500000,250000,150000,100000
415,500000,250000,150000,100000
416,500000,250000,150000,100000
417,500000,250000,150000,100000
418,500000,250000,150000,100000
419,500000,250000,150000,100000
420,500000,250000,150000,100000
421,500000,250000,150000,100000
422,500000,250000,150000,100000
423,500000,250000,150000,100000
424,500000,250000,150000,100000
425,500000,250000,150000,100000
426,500000,250000,150000,100000
427,500000,250000,150000,100000
428,500000,250000,150000,100000
429,500000,250000,150000,100000
430,500000,250000,150000,100000
431,500000,250000,150000,100000
432,500000,250000,150000,100000
433,500000,250000,150000,100000
434,500000,250000,150000,100000
435,500000,250000,150000,100000
436,500000,250000,150000,100000
437,500000,250000,150000,100000
438,500000,250000,150000,100000
439,500000,250000,150000,100000
440,500000,250000,150000,100000
441,500000,250000,150000,100000
442,500000,250000,150000,100000
443,500000,250000,150000,100000
444,500000,250000,150000,100000
445,500000,250000,150000,100000
446,500000,250000,150000,100000
447,500000,250000,150000,100000
448,500000,250000,150000,100000
449,500000,250000,150000,100000
450,500000,250000,150000,100000
451,500000,250000,150000,100000
452,500000,250000,150000,100000
453,500000,250000,150000,100000
454,500000,250000,150000,100000
455,500000,250000,150000,100000
456,500000,250000,150000,100000
457,500000,250000,150000,100000
458,500000,250000,150000,100000
459,500000,250000,150000,100000
460,500000,250000,150000,100000
461,500000,250000,150000,100000
462,500000,250000,150000,100000
463,500000,250000,150000,100000
464,500000,250000,150000,100000
465,500000,250000,150000,100000
466,500000,250000,150000,100000
467,500000,250000,150000,100000
468,500000,250000,150000,100000
469,500000,250000,150000,100000
470,500000,250000,150000,100000
471,500000,250000,150000,100000
472,500000,250000,150000,100000
473,500000,250000,150000,100000
474,500000,250000,150000,100000
475,500000,250000,150000,100000
476,500000,250000,150000,100000
477,500000,250000,150000,100000
478,500000,250000,150000,100000
479,500000,250000,150000,100000
480,500000,250000,150000,100000
481,500000,250000,150000,100000
482,500000,250000,150000,100000
483,500000,250000,150000,100000
484,500000,250000,150000,100000
485,500000,250000,150000,100000
486,500000,250000,150000,100000
487,500000,250000,150000,100000
488,500000,250000,150000,100000
489,500000,250000,150000,100000
490,500000,250000,150000,100000
491,500000,250000,150000,100000
492,500000,250000,150000,100000
493,500000,250000,150000,100000
494,500000,250000,150000,100000
495,500000,250000,150000,100000
496,500000,250000,150000,100000
497,500000,250000,150000,100000
498,500000,250000,150000,100000
499,500000,250000,150000,100000
500,500000,250000,150000,100000
501,500000,250000,150000,100000
502,500000,250000,150000,100000
503,500000,250000,150000,100000
504,500000,250000,150000,100000
505,500000,250000,150000,100000
506,500000,250000,150000,100000
507,500000,250000,150000,100000
508,500000,250000,150000,100000
509,500000,250000,150000,100000
510,500000,250000,150000,100000
511,500000,250000,150000,100000
512,500000,250000,150000,100000
513,500000,250000,150000,100000
514,500000,250000,150000,100000
515,500000,250000,150000,100000
516,500000,250000,150000,100000
517,500000,250000,150000,100000
518,500000,250000,150000,100000
519,500000,250000,150000,100000
520,500000,250000,150000,100000
521,500000,250000,150000,100000
522,500000,250000,150000,100000
523,500000,250000,150000,100000
524,500000,250000,150000,100000
525,500000,250000,150000,100000
526,500000,250000,150000,100000
527,500000,250000,150000,100000
528,500000,250000,150000,100000
529,500000,250000,150000,100000
530,500000,250000,150000,100000
531,500000,250000,150000,100000
532,500000,250000,150000,100000
533,500000,250000,150000,100000
534,500000,250000,150000,100000
535,500000,250000,150000,100000
536,500000,250000,150000,100000
537,500000,250000,150000,100000
538,500000,250000,150000,100000
539,500000,250000,150000,100000
540,500000,250000,150000,100000
541,500000,250000,150000,100000
542,500000,250000,150000,100000
543,500000,250000,150000,100000
544,500000,250000,150000,100000
545,500000,250000,150000,100000
546,500000,250000,150000,100000
547,500000,250000,150000,100000
548,500000,250000,150000,100000
549,500000,250000,150000,100000
550,500000,250000,150000,100000
551,500000,250000,150000,100000
552,500000,250000,150000,100000
553,500000,250000,150000,100000
554,500000,250000,150000,100000
555,500000,250000,150000,100000
556,500000,250000,150000,100000
557,500000,250000,150000,100000
558,500000,250000,150000,100000
559,500000,250000,150000,100000
560,500000,250000,150000,100000
561,500000,250000,150000,100000
562,500000,250000,150000,100000
563,500000,250000,150000,100000
564,500000,250000,150000,100000
565,500000,250000,150000,100000
566,500000,250000,150000,100000
567,500000,250000,150000,100000
568,500000,250000,150000,100000
569,500000,250000,150000,100000
570,500000,250000,150000,100000
571,500000,250000,150000,100000
572,500000,250000,150000,100000
573,500000,250000,150000,100000
574,500000,250000,150000,100000
575,500000,250000,150000,100000
576,500000,250000,150000,100000
577,500000,250000,150000,100000
578,500000,250000,150000,100000
579,500000,250000,150000,100000
580,500000,250000,150000,100000
581,500000,250000,150000,100000
582,500000,250000,150000,100000
583,500000,250000,150000,100000
584,500000,250000,150000,100000
585,500000,250000,150000,100000
586,500000,250000,150000,100000
587,500000,250000,150000,100000
588,500000,250000,150000,100000
589,500000,250000,150000,100000
590,500000,250000,150000,100000
591,500000,250000,150000,100000
592,500000,250000,150000,100000
593,500000,250000,150000,100000
594,500000,250000,150000,100000
595,500000,250000,150000,100000
596,500000,250000,150000,100000
597,500000,250000,150000,100000
598,500000,250000,150000,100000
599,500000,250000,150000,100000
600,500000,250000,150000,100000
