战场ID,怪物ID,AI配置ID,描述
8,2113,59,野鹿召唤物（减速）
8,2112,61,野鹿召唤物（直线技能）
8,2156,57,照明弹
8,2157,109,陷阱眼
8,2244,69,通用炸弹
8,2246,180,傀儡
8,2247,88,（核晶皮肤）无面者升级版分身
8,2248,50,（核晶皮肤）无面者分身
9,2247,88,（核晶皮肤）无面者升级版分身
9,2248,50,（核晶皮肤）无面者分身
9,1037,24,泉水
9,2004,31,饰品眼
9,2003,32,洞察之眼
9,2114,39,1阵营基地水晶
9,2115,9,1阵营兵营水晶
9,2116,1,1阵营基地塔$1
9,2116,1,1阵营基地塔$2
9,2117,1,1阵营一塔
9,1005,1,1阵营二塔
9,2119,40,2阵营基地水晶
9,2120,9,2阵营兵营水晶
9,2118,1,1阵营三塔
9,2121,1,2阵营基地塔$1
9,2121,1,2阵营基地塔$2
9,2122,1,2阵营一塔
9,1035,1,2阵营二塔
9,2123,1,2阵营三塔
9,2100,11,一阵营近战小兵
9,2101,5,一阵营远程小兵
9,2102,41,一阵营头目小兵
9,2103,11,一阵营超级兵近战小兵
9,2104,5,一阵营超级兵远程小兵
9,2105,17,一阵营超级兵头目小兵
9,2106,11,二阵营近战小兵
9,2107,5,二阵营远程小兵
9,2108,41,二阵营头目小兵
9,2109,11,二阵营超级兵近战小兵
9,2110,5,二阵营超级兵远程小兵
9,2111,17,二阵营超级兵头目小兵
9,2018,50,无面者分身
9,2005,7,男巫分身
9,2002,38,基地透明围墙
9,2013,42,布兰怪物
9,2124,49,补给点
9,2020,51,减速场
9,2019,60,灵界士兵
9,2034,67,炸弹人炸弹（大招）
9,2035,69,炸弹人炸弹(小技能)
9,2036,62,亡灵死侍
9,2037,62,大尸鬼
9,2038,72,炸弹人炸弹（大招）
9,2048,90,炸弹人炸弹（2级大招）
9,2039,62,千年尸鬼
9,2024,74,千年尸鬼
9,1075,79,小龙刷新侦查
9,2042,83,黑龙之子
9,2043,83,红龙之子
9,2125,84,小龙
9,2126,53,红色方傀儡小龙
9,2127,53,蓝色方傀儡小龙
9,2130,64,魄罗
9,2047,88,无面者升级版分身
9,2092,138,野鹿R植株结界
9,2093,58,野鹿R花王
9,2091,59,野鹿召唤物（正常）
9,2113,59,野鹿召唤物（减速）
9,2112,61,野鹿召唤物（直线技能）
9,2156,57,照明弹
9,2244,69,通用炸弹
9,2246,180,傀儡
10,2157,109,陷阱眼
10,2075,18,路标箭头
10,2076,19,路标箭头
10,2077,20,路标箭头
10,2078,45,反击野怪
10,2079,45,反击野怪
10,2080,46,怪物艾丽娅
10,2081,11,近战兵
10,2082,5,远程兵
10,2083,41,头目兵
10,2084,11,近战兵
10,2085,5,远程兵
10,2086,41,头目兵
10,2087,1,防御塔
10,2088,1,防御塔
10,2089,9,水晶
10,2247,88,（核晶皮肤）无面者升级版分身
10,2248,50,（核晶皮肤）无面者分身
10,2090,9,水晶
13,1037,24,泉水
13,1017,16,小龙
13,2247,88,（核晶皮肤）无面者升级版分身
13,2248,50,（核晶皮肤）无面者分身
13,2004,31,饰品眼
13,2003,32,洞察之眼
13,2143,39,1阵营基地水晶
13,2144,9,1阵营兵营水晶
13,2145,1,1阵营基地塔$1
13,2145,1,1阵营基地塔$2
13,2146,1,1阵营一塔
13,2147,1,1阵营二塔
13,2148,40,2阵营基地水晶
13,2149,9,2阵营兵营水晶
13,2152,1,1阵营三塔
13,2150,1,2阵营基地塔$1
13,2150,1,2阵营基地塔$2
13,2151,1,2阵营一塔
13,2151,1,2阵营二塔
13,2152,1,2阵营三塔
13,2131,11,一阵营近战小兵
13,2132,5,一阵营远程小兵
13,2133,41,一阵营头目小兵
13,2134,11,一阵营超级兵近战小兵
13,2135,5,一阵营超级兵远程小兵
13,2136,17,一阵营超级兵头目小兵
13,2137,11,二阵营近战小兵
13,2138,5,二阵营远程小兵
13,2139,41,二阵营头目小兵
13,2140,11,二阵营超级兵近战小兵
13,2141,5,二阵营超级兵远程小兵
13,2142,17,二阵营超级兵头目小兵
13,2018,50,无面者分身
13,2005,7,男巫分身
13,2002,38,基地透明围墙
13,2013,42,布兰怪物
13,2124,49,补给点
13,2020,51,减速场
13,2019,68,灵界士兵
13,2034,67,炸弹人炸弹（大招）
13,2035,69,炸弹人炸弹(小技能)
13,2036,70,亡灵死侍
13,2037,70,大尸鬼
13,2038,72,炸弹人炸弹（大招）
13,2039,70,千年尸鬼
13,2024,74,千年尸鬼
13,2019,75,主城（异鬼小鬼）
13,2037,76,主城（异鬼大鬼）
13,1075,79,小龙刷新侦查
13,2042,83,黑龙之子
13,2043,83,红龙之子
13,2153,84,小龙
13,2154,53,红色方傀儡小龙
13,2155,53,蓝色方傀儡小龙
13,2130,64,魄罗
13,2047,88,无面者升级版分身
13,2092,138,野鹿R植株结界
13,2093,58,野鹿R花王
13,2091,59,野鹿召唤物（正常）
13,2113,59,野鹿召唤物（减速）
13,2112,61,野鹿召唤物（直线技能）
13,2048,90,炸弹人炸弹（2级大招）
13,2244,69,通用炸弹
13,2246,180,傀儡
15,2170,162,小宝藏
15,2169,161,大宝藏
15,2094,47,一阵营上路超级炮车
15,2095,47,一阵营中路超级炮车
15,2096,47,一阵营下路超级炮车
15,2097,47,二阵营上路超级炮车
15,2098,47,二阵营中路超级炮车
15,2099,47,二阵营下路超级炮车
15,2047,88,无面者升级版分身
15,1018,2,红buff（大）
15,1020,3,蓝buff（大）
15,1069,4,河道蟹
15,1074,37,河道蟹被杀假眼怪物
15,1037,24,泉水
15,1068,6,熊
15,1072,8,鹿（大）
15,1070,10,蜘蛛（大）
15,1071,12,四鸟（大）
15,1016,14,大龙
15,1017,16,小龙
15,1019,23,红buff（小）
15,1021,27,蓝buff（小）
15,1024,28,鹿（小）
15,1022,29,蜘蛛（小1）
15,2011,29,蜘蛛（小2）
15,1023,30,四虫（小1）
15,2004,169,饰品眼
15,2003,32,洞察之眼
15,1001,39,1阵营基地水晶
15,1002,9,1阵营兵营水晶
15,1003,1,1阵营基地塔(门牙左右塔)
15,1004,1,1阵营一塔
15,1005,1,1阵营二塔
15,1031,40,2阵营基地水晶
15,1032,9,2阵营兵营水晶
15,1006,1,1阵营三塔
15,1033,1,2阵营基地塔（左右门牙塔）
15,1034,1,2阵营一塔
15,1035,1,2阵营二塔
15,1036,1,2阵营三塔
15,1010,11,一阵营近战小兵(上路)
15,1011,5,一阵营远程小兵(上路)
15,1012,41,一阵营头目小兵(上路)
15,1013,11,一阵营超级兵近战小兵(上路)
15,1014,5,一阵营超级兵远程小兵(上路)
15,1015,17,一阵营超级兵头目小兵(上路)
15,2049,11,一阵营近战小兵(中路)
15,2050,5,一阵营远程小兵(中路)
15,2051,41,一阵营头目小兵(中路)
15,2052,11,一阵营超级兵近战小兵(中路)
15,2053,5,一阵营超级兵远程小兵(中路)
15,2054,17,一阵营超级兵头目小兵(中路)
15,2055,11,一阵营近战小兵(下路)
15,2056,5,一阵营远程小兵(下路)
15,2057,41,一阵营头目小兵(下路)
15,2058,11,一阵营超级兵近战小兵(下路)
15,2059,5,一阵营超级兵远程小兵(下路)
15,2060,17,一阵营超级兵头目小兵(下路)
15,1025,11,二阵营近战小兵（上路）
15,1026,5,二阵营远程小兵（上路）
15,1027,41,二阵营头目小兵（上路）
15,1028,11,二阵营超级兵近战小兵（上路）
15,1029,5,二阵营超级兵远程小兵（上路）
15,1030,17,二阵营超级兵头目小兵（上路）
15,2061,11,二阵营近战小兵（中路）
15,2062,5,二阵营远程小兵（中路）
15,2063,41,二阵营头目小兵（中路）
15,2064,11,二阵营超级兵近战小兵（中路）
15,2065,5,二阵营超级兵远程小兵（中路）
15,2066,17,二阵营超级兵头目小兵（中路）
15,2067,11,二阵营近战小兵（下路）
15,2068,5,二阵营远程小兵（下路）
15,2069,41,二阵营头目小兵（下路）
15,2070,11,二阵营超级兵近战小兵（下路）
15,2071,5,二阵营超级兵远程小兵（下路）
15,2072,17,二阵营超级兵头目小兵（下路）
15,2005,7,男巫分身
15,2002,38,基地透明围墙
15,2013,42,布兰怪物
15,2016,43,新地图泉水
15,2017,49,补给点
15,2020,51,减速场
15,2018,50,无面者分身
15,2022,52,傀儡小龙（击杀产生）
15,2023,52,傀儡小龙（击杀产生）
15,2025,56,巨龙
15,2019,68,灵界士兵
15,2034,67,炸弹人炸弹（大招）
15,2035,69,炸弹人炸弹(小技能)
15,2036,70,亡灵死侍
15,2037,70,大尸鬼
15,2048,90,大炸弹
15,2038,72,炸弹人炸弹（大招）
15,2039,70,千年尸鬼
15,2024,74,千年尸鬼
15,1075,79,小龙刷新侦查
15,2042,83,黑龙之子
15,2043,83,红龙之子
15,2044,16,烈龙
15,2045,85,驯服烈龙
15,2046,86,驯服烈龙
15,1075,79,小龙刷新侦查
15,2092,138,野鹿R植株结界
15,2093,58,野鹿R花王
15,2091,59,野鹿召唤物（正常）
15,2113,59,野鹿召唤物（减速）
15,2112,61,野鹿召唤物（直线技能）
15,2156,57,照明弹
15,2157,109,陷阱眼
15,2171,163,隐身神符
15,2172,164,治愈神符
15,2173,165,蛮力神符
15,2174,166,奥术神符
15,2175,167,奔袭神符
15,2176,168,特殊神符
15,2178,170,吃鸡NPC1
15,2179,170,吃鸡NPC2
15,2181,170,吃鸡NPC4
15,2182,170,吃鸡NPC5
15,2183,170,吃鸡NPC6
15,2184,170,吃鸡NPC6
15,2185,170,吃鸡NPC6
15,2186,171,吃鸡随机商店1
15,2187,171,吃鸡随机商店2
15,2188,171,吃鸡随机商店3
15,2189,171,吃鸡随机商店4
15,2190,171,吃鸡随机商店5
15,2191,171,吃鸡随机商店6
15,2192,171,吃鸡随机商店7
15,2193,171,吃鸡随机商店8
15,2194,171,吃鸡随机商店9
15,2195,171,吃鸡随机商店10
15,2196,171,吃鸡随机商店11
15,2197,172,隐身随机刷怪1
15,2198,172,隐身随机刷怪2
15,2199,172,隐身随机刷怪3
15,2200,173,掉大件中怪
15,2201,174,掉中件中怪
15,2202,175,不掉装备中怪
15,2203,174,掉中件小怪
15,2204,175,不掉装备小怪
15,2244,69,通用炸弹
15,2211,176,击杀广播
15,2212,177,掉法术大件中怪
15,2213,178,掉法术中件中怪
15,2245,179,测试跟随测试
15,2246,180,傀儡
15,2247,88,（核晶皮肤）无面者升级版分身
15,2248,50,（核晶皮肤）无面者分身
7,2211,176,击杀广播
7,2005,7,男巫分身
7,2002,38,基地透明围墙
7,2013,42,布兰怪物
7,2016,43,新地图泉水
7,2017,49,补给点
7,2020,51,减速场
7,2018,50,无面者分身
7,2022,52,傀儡小龙（击杀产生）
7,2023,52,傀儡小龙（击杀产生）
7,2025,56,巨龙
7,2019,68,灵界士兵
7,2034,67,炸弹人炸弹（大招）
7,2035,69,炸弹人炸弹(小技能)
7,2036,70,亡灵死侍
7,2037,70,大尸鬼
7,2048,90,大炸弹
7,2038,72,炸弹人炸弹（大招）
7,2039,70,千年尸鬼
7,2024,74,千年尸鬼
7,1075,79,小龙刷新侦查
7,2042,83,黑龙之子
7,2043,83,红龙之子
7,2044,16,烈龙
7,2045,85,驯服烈龙
7,2046,86,驯服烈龙
7,1075,79,小龙刷新侦查
7,2092,138,野鹿R植株结界
7,2093,58,野鹿R花王
7,2091,59,野鹿召唤物（正常）
7,2113,59,野鹿召唤物（减速）
7,2112,61,野鹿召唤物（直线技能）
7,2156,57,照明弹
7,2157,109,陷阱眼
7,2244,69,通用炸弹
7,2246,180,傀儡
7,2247,88,（核晶皮肤）无面者升级版分身
7,2248,50,（核晶皮肤）无面者分身
