勋章ID,勋章等级,勋章名称,勋章图标,勋章框图标,英雄列表,描述,控制标识
20,3,钢铁纪元,20,2,20,[yellow]珍稀英雄勋章：钢铁纪元<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
21,3,深渊领主,21,2,21,[yellow]珍稀英雄勋章：深渊领主<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
22,3,唤潮小鱼人,22,2,22,[yellow]珍稀英雄勋章：唤潮小鱼人<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
23,3,魅眼神狙,23,2,23,[yellow]珍稀英雄勋章：魅眼神狙<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
24,3,幻影利刃,24,2,24,[yellow]珍稀英雄勋章：幻影利刃<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
25,4,时空幻象,25,1,25,[yellow]珍稀英雄勋章：时空幻象<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
26,4,凛冬战魂,26,2,26,[yellow]珍稀英雄勋章：凛冬战魂<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
27,4,傲世神拳,27,1,27,[yellow]珍稀英雄勋章：傲世神拳<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
28,4,火炮男爵,28,1,28,[yellow]珍稀英雄勋章：火炮男爵<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
29,4,电竞小子,29,2,29,[yellow]珍稀英雄勋章：电竞小子<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
30,4,狂野紫罗兰,30,2,30,[yellow]珍稀英雄勋章：狂野紫罗兰<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
31,4,龙猫萝莉,30,2,31,[yellow]珍稀英雄勋章：火炮射手<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
32,4,北海鱼姬,32,2,32,[yellow]珍稀英雄勋章：北海鱼姬<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
33,4,芳野鹿灵,33,2,33,[yellow]珍稀英雄勋章：芳野鹿灵<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
34,4,铁拳兽宝,34,2,34,[yellow]珍稀英雄勋章：铁拳兽宝<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
35,4,蓝翼切割者,35,2,35,[yellow]珍稀英雄勋章：蓝翼切割者<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
36,4,银河战警,36,2,36,[yellow]珍稀英雄勋章：银河战警<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
37,4,光子跃迁者,37,2,37,[yellow]珍稀英雄勋章：光子跃迁者<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
38,4,末日战甲,38,2,38,[yellow]珍稀英雄勋章：末日战甲<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
39,4,邪能恶魔,39,2,39,[yellow]珍稀英雄勋章：邪能恶魔<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
40,4,傀儡双骄,40,2,40,[yellow]珍稀英雄勋章：傀儡双骄<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
41,4,契约者,41,2,41,[yellow]珍稀英雄勋章：契约者<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
42,4,战争祸源,42,2,42,[yellow]珍稀英雄勋章：战争祸源<br><br>可用于提升英雄星级，获得属性及熟练等级上限提升[/yellow]<br>[blue]参与战场、完成联盟首胜以及联盟捐赠可获得[/blue]<br>,
