序列号,名称,是否直刷（是否有触发类判断条件）,阵营,类型（0不存在 1基地 2水晶 4塔 8兵 16野怪 32策略野怪）,建筑类型（0代表无，1 塔， 2 水晶 ）,是否开启静态图标（0否）,图标ID（野怪专用，对应MinimapStaticIcon脚本控制是否显示图标）,战场ID,刷怪类型 1 正常刷兵 2 随机方式 3 时段方式 4、时段随机方式,怪物表类型ID列表,时间段,比例列表（扩大100倍）,起始时间（定时器包括刷新时间2秒检测一次）,刷新时间,同步最后刷新时间列,基础等级,升级时间,最大等级,怪物时间序列（控制是否显示显示哪个倒计时）,怪物对应战绩表位置,路径ID,触发类型（0没有1塔2影响刷兵修改是否直刷3基地保护事件4基地保护互斥事件5根据凶手刷不同阵营的怪物6三路水晶同时破掉事件）,影响序列号,影响Pam(填0不刷填1刷),死亡触发类型（0没有1塔2影响刷兵3基地保护事件4基地保护互斥事件5根据凶手刷不同阵营的怪物6三路水晶同时破掉事件）,死亡影响序列号,死亡影响Pam,路径类型上路中路下路全部路对应 1 2 4 7
19,2阵营基地塔2,1,2,4,1,0,2,1,1,120,,,0,0,-1,1,0,0,0,0,-1,3,2,1025,3,2,1025,
20,2阵营上路一塔,1,2,4,1,0,2,1,1,122,,,0,0,-1,1,0,0,0,0,-1,1,21,1025,1,21,1025,
21,2阵营上路二塔,1,2,4,1,0,2,1,1,123,,,0,0,-1,1,0,0,0,0,-1,1,22,1025,1,22,1025,
22,2阵营上路三塔,1,2,4,1,0,2,1,1,124,,,0,0,-1,1,0,0,0,0,-1,1,6,1025,1,6,1025,
23,2阵营中路一塔,1,2,4,1,0,2,1,1,125,,,0,0,-1,1,0,0,0,0,-1,1,24,1025,1,24,1025,
24,2阵营中路二塔,1,2,4,1,0,2,1,1,126,,,0,0,-1,1,0,0,0,0,-1,1,25,1025,1,25,1025,
25,2阵营中路三塔,1,2,4,1,0,2,1,1,127,,,0,0,-1,1,0,0,0,0,-1,1,7,1025,1,7,1025,
26,2阵营下路一塔,1,2,4,1,0,2,1,1,128,,,0,0,-1,1,0,0,0,0,-1,1,27,1025,1,27,1025,
27,2阵营下路二塔,1,2,4,1,0,2,1,1,129,,,0,0,-1,1,0,0,0,0,-1,1,28,1025,1,28,1025,
28,2阵营下路三塔,1,2,4,1,0,2,1,1,130,,,0,0,-1,1,0,0,0,0,-1,1,8,1025,1,8,1025,
29,1阵营上路近战小兵,1,1,8,0,0,3,1,1,140,,,10,30,35,1,60,45,0,0,-1,0,0,0,0,0,0,1
30,1阵营中路近战小兵,1,1,8,0,0,3,1,1,141,,,10,30,36,1,60,45,0,0,-1,0,0,0,0,0,0,2
31,1阵营下路近战小兵,1,1,8,0,0,3,1,1,142,,,10,30,37,1,60,45,0,0,-1,0,0,0,0,0,0,4
32,2阵营上路近战小兵,1,2,8,0,0,3,1,1,143,,,10,30,38,1,60,45,0,0,-1,0,0,0,0,0,0,1
33,2阵营中路近战小兵,1,2,8,0,0,3,1,1,144,,,10,30,39,1,60,45,0,0,-1,0,0,0,0,0,0,2
34,2阵营下路近战小兵,1,2,8,0,0,3,1,1,145,,,10,30,40,1,60,45,0,0,-1,0,0,0,0,0,0,4
35,1阵营超级兵上路近战小兵,0,1,8,0,0,3,1,1,146,,,30,30,29,1,60,45,0,0,-1,0,0,0,0,0,0,1
36,1阵营超级兵中路近战小兵,0,1,8,0,0,3,1,1,147,,,30,30,30,1,60,45,0,0,-1,0,0,0,0,0,0,2
37,1阵营超级兵下路近战小兵,0,1,8,0,0,3,1,1,148,,,30,30,31,1,60,45,0,0,-1,0,0,0,0,0,0,4
38,2阵营超级兵上路近战小兵,0,2,8,0,0,3,1,1,149,,,30,30,32,1,60,45,0,0,-1,0,0,0,0,0,0,1
39,2阵营超级兵中路近战小兵,0,2,8,0,0,3,1,1,150,,,30,30,33,1,60,45,0,0,-1,0,0,0,0,0,0,2
40,2阵营超级兵下路近战小兵,0,2,8,0,0,3,1,1,151,,,30,30,34,1,60,45,0,0,-1,0,0,0,0,0,0,4
41,3雕纹魔像,1,0,32,0,0,6,1,1,52,,,1200,420,-1,1,420,4,3,4,-1,0,0,0,0,0,0,
42,3小BOSS,1,0,32,0,0,5,1,1,53,,,145,420,-1,1,300,8,4,3,-1,0,0,0,0,0,0,
43,31树精,1,0,16,0,0,5,1,1,54,,,115,300,-1,1,300,6,1,2,-1,0,0,0,0,0,0,
44,31猩猩,1,0,16,0,0,5,1,1,55,,,115,300,-1,1,300,6,2,1,-1,0,0,0,0,0,0,
45,32树精,1,0,16,0,0,5,1,1,56,,,115,300,-1,1,300,6,5,5,-1,0,0,0,0,0,0,
46,32猩猩,1,0,16,0,0,5,1,1,57,,,115,300,-1,1,300,6,6,6,-1,0,0,0,0,0,0,
47,31雪怪,1,0,16,0,0,5,1,1,58,,,115,50,-1,1,120,15,0,0,-1,0,0,0,0,0,0,
48,31蜘蛛,1,0,16,0,0,5,1,1,59,,,115,50,-1,1,120,15,0,0,-1,0,0,0,0,0,0,
49,31蝎子,1,0,16,0,0,5,1,1,60,,,115,50,-1,1,120,15,0,0,-1,0,0,0,0,0,0,
50,32雪怪,1,0,16,0,0,5,1,1,61,,,115,50,-1,1,120,15,0,0,-1,0,0,0,0,0,0,
51,32蜘蛛,1,0,16,0,0,5,1,1,62,,,115,50,-1,1,120,15,0,0,-1,0,0,0,0,0,0,
52,32蝎子,1,0,16,0,0,5,1,1,63,,,115,50,-1,1,120,15,0,0,-1,0,0,0,0,0,0,
53,1阵营基地,1,1,1,0,0,4,7,1,66,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
54,2阵营基地,1,2,1,0,0,4,7,1,67,,,0,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
107,1阵营基地,1,1,1,0,0,4,5,1,201,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
108,2阵营基地,1,2,1,0,0,4,5,1,202,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
109,1阵营上路水晶,1,1,2,2,0,1,5,1,203,,,3,300,-1,1,0,0,0,0,13,2;4;4;2;6,144;115;107;138;174,0;1025;1026;1;0,2;4;4;2;6,144;115;107;138;174,1;1025;1026;0;1,
110,1阵营中路水晶,1,1,2,2,0,1,5,1,204,,,3,300,-1,1,0,0,0,0,14,2;4;4;2;6,145;115;107;139;175,0;1025;1026;1;0,2;4;4;2;6,145;115;107;139;175,1;1025;1026;0;1,
111,1阵营下路水晶,1,1,2,2,0,1,5,1,205,,,3,300,-1,1,0,0,0,0,15,2;4;4;2;6,146;115;107;140;176,0;1025;1026;1;0,2;4;4;2;6,146;115;107;140;176,1;1025;1026;0;1,
112,2阵营上路水晶,1,2,2,2,0,1,5,1,206,,,3,300,-1,1,0,0,0,0,13,2;4;4;2;6,141;125;108;135;171,0;1025;1026;1;0,2;4;4;2;6,141;125;108;135;171,1;1025;1026;0;1,
113,2阵营中路水晶,1,2,2,2,0,1,5,1,207,,,3,300,-1,1,0,0,0,0,14,2;4;4;2;6,142;125;108;136;172,0;1025;1026;1;0,2;4;4;2;6,142;125;108;136;172,1;1025;1026;0;1,
114,2阵营下路水晶,1,2,2,2,0,1,5,1,208,,,3,300,-1,1,0,0,0,0,15,2;4;4;2;6,143;125;108;137;173,0;1025;1026;1;0,2;4;4;2;6,143;125;108;137;173,1;1025;1026;0;1,
115,1阵营基地塔1,1,1,4,1,0,2,5,1,209,,,2,0,-1,1,0,0,0,0,-1,3,107,1025,3,107,1025,
116,1阵营上路一塔,1,1,4,1,0,2,5,1,211,,,6,0,-1,1,0,0,0,0,13,1,117,1025,1,117,1025,
117,1阵营上路二塔,1,1,4,1,0,2,5,1,212,,,5,0,-1,1,0,0,0,0,13,1,118,1025,1,118,1025,
118,1阵营上路三塔,1,1,4,1,0,2,5,1,213,,,4,0,-1,1,0,0,0,0,13,1,109,1025,1,109,1025,
119,1阵营中路一塔,1,1,4,1,0,2,5,1,214,,,6,0,-1,1,0,0,0,0,14,1,120,1025,1,120,1025,
120,1阵营中路二塔,1,1,4,1,0,2,5,1,215,,,5,0,-1,1,0,0,0,0,14,1,121,1025,1,121,1025,
121,1阵营中路三塔,1,1,4,1,0,2,5,1,216,,,4,0,-1,1,0,0,0,0,14,1,110,1025,1,110,1025,
122,1阵营下路一塔,1,1,4,1,0,2,5,1,217,,,6,0,-1,1,0,0,0,0,15,1,123,1025,1,123,1025,
123,1阵营下路二塔,1,1,4,1,0,2,5,1,218,,,5,0,-1,1,0,0,0,0,15,1,124,1025,1,124,1025,
124,1阵营下路三塔,1,1,4,1,0,2,5,1,219,,,4,0,-1,1,0,0,0,0,15,1,111,1025,1,111,1025,
125,2阵营基地塔2,1,2,4,1,0,2,5,1,220,,,2,0,-1,1,0,0,0,0,-1,3,108,1025,3,108,1025,
126,2阵营上路一塔,1,2,4,1,0,2,5,1,222,,,6,0,-1,1,0,0,0,0,13,1,127,1025,1,127,1025,
127,2阵营上路二塔,1,2,4,1,0,2,5,1,223,,,5,0,-1,1,0,0,0,0,13,1,128,1025,1,128,1025,
128,2阵营上路三塔,1,2,4,1,0,2,5,1,224,,,4,0,-1,1,0,0,0,0,13,1,112,1025,1,112,1025,
129,2阵营中路一塔,1,2,4,1,0,2,5,1,225,,,6,0,-1,1,0,0,0,0,14,1,130,1025,1,130,1025,
130,2阵营中路二塔,1,2,4,1,0,2,5,1,226,,,5,0,-1,1,0,0,0,0,14,1,131,1025,1,131,1025,
131,2阵营中路三塔,1,2,4,1,0,2,5,1,227,,,4,0,-1,1,0,0,0,0,14,1,113,1025,1,113,1025,
132,2阵营下路一塔,1,2,4,1,0,2,5,1,228,,,6,0,-1,1,0,0,0,0,15,1,133,1025,1,133,1025,
133,2阵营下路二塔,1,2,4,1,0,2,5,1,229,,,5,0,-1,1,0,0,0,0,15,1,134,1025,1,134,1025,
134,2阵营下路三塔,1,2,4,1,0,2,5,1,230,,,4,0,-1,1,0,0,0,0,15,1,114,1025,1,114,1025,
135,1阵营上路近战小兵,1,1,8,0,0,3,5,1,240,,,55,30,141;171,1,60,45,0,0,13,0,0,0,0,0,0,1
136,1阵营中路近战小兵,1,1,8,0,0,3,5,1,241,,,55,30,142;172,1,60,45,0,0,14,0,0,0,0,0,0,2
137,1阵营下路近战小兵,1,1,8,0,0,3,5,1,242,,,55,30,143;173,1,60,45,0,0,15,0,0,0,0,0,0,4
138,2阵营上路近战小兵,1,2,8,0,0,3,5,1,243,,,55,30,144;174,1,60,45,0,0,13,0,0,0,0,0,0,1
139,2阵营中路近战小兵,1,2,8,0,0,3,5,1,244,,,55,30,145;175,1,60,45,0,0,14,0,0,0,0,0,0,2
140,2阵营下路近战小兵,1,2,8,0,0,3,5,1,245,,,55,30,146;176,1,60,45,0,0,15,0,0,0,0,0,0,4
141,1阵营超级兵上路近战小兵,0,1,8,0,0,3,5,1,246,,,0,30,135,1,60,45,0,0,13,0,0,0,0,0,0,1
142,1阵营超级兵中路近战小兵,0,1,8,0,0,3,5,1,247,,,0,30,136,1,60,45,0,0,14,0,0,0,0,0,0,2
143,1阵营超级兵下路近战小兵,0,1,8,0,0,3,5,1,248,,,0,30,137,1,60,45,0,0,15,0,0,0,0,0,0,4
144,2阵营超级兵上路近战小兵,0,2,8,0,0,3,5,1,249,,,0,30,138,1,60,45,0,0,13,0,0,0,0,0,0,1
145,2阵营超级兵中路近战小兵,0,2,8,0,0,3,5,1,250,,,0,30,139,1,60,45,0,0,14,0,0,0,0,0,0,2
146,2阵营超级兵下路近战小兵,0,2,8,0,0,3,5,1,251,,,0,30,140,1,60,45,0,0,15,0,0,0,0,0,0,4
147,3雕纹魔像,1,0,32,0,0,14,5,1,252,,,1200,420,-1,1,420,4,16,3,-1,0,0,0,0,0,0,
148,3小BOSS,1,0,32,0,0,15,5,1,253,,,145,420,-1,1,300,8,15,4,-1,0,0,0,0,0,0,
149,31红buff,1,0,16,0,0,16,5,1,254,,,80,300,-1,1,60,30,17,2,-1,0,0,0,0,0,0,
150,31蓝buff,1,0,16,0,0,17,5,1,255,,,80,300,-1,1,60,30,18,1,-1,0,0,0,0,0,0,
151,32红buff,1,0,16,0,0,18,5,1,256,,,80,300,-1,1,60,30,19,5,-1,0,0,0,0,0,0,
152,32蓝buff,1,0,16,0,0,19,5,1,257,,,80,300,-1,1,60,30,20,6,-1,0,0,0,0,0,0,
153,312石甲虫,1,0,16,0,0,21,5,1,258,,,80,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
154,314锋啄鸟,1,0,16,0,0,22,5,1,259,,,80,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
155,313暗影狼,1,0,16,0,0,23,5,1,260,,,80,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
156,322石甲虫,1,0,16,0,0,24,5,1,261,,,80,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
157,324锋啄鸟,1,0,16,0,0,25,5,1,262,,,80,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
158,323暗影狼,1,0,16,0,0,26,5,1,263,,,80,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
159,31魔沼蛙,1,0,16,0,0,27,5,1,264,,,80,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
160,32魔沼蛙,1,0,16,0,0,28,5,1,265,,,80,100,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
161,31峡谷迅捷蟹,1,0,16,0,0,29,5,1,266,,,80,180,-1,1,60,30,29,0,-1,0,0,0,5;5,167;168,1;2,
162,32峡谷迅捷蟹,1,0,16,0,0,30,5,1,267,,,80,180,-1,1,60,30,30,0,-1,0,0,0,5;5,169;170,1;2,
163,1阵营泉水,1,1,2,0,0,0,5,1,268,,,0,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
164,2阵营泉水,1,2,2,0,0,0,5,1,269,,,0,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
165,1阵营围墙,1,1,2,0,0,0,5,1,270,,,4,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
166,2阵营围墙,1,2,2,0,0,0,5,1,271,,,4,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
167,311峡谷迅捷蟹,0,1,16,0,0,0,5,1,272,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
168,312峡谷迅捷蟹,0,2,16,0,0,0,5,1,273,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
169,321峡谷迅捷蟹,0,1,16,0,0,0,5,1,274,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
170,322峡谷迅捷蟹,0,2,16,0,0,0,5,1,275,,,0,0,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
171,1阵营3水晶破超级兵上路头目小兵,0,1,8,0,0,3,5,1,276,,,0,30,135,1,60,45,0,0,13,0,0,0,0,0,0,1
172,1阵营3水晶破超级兵中路头目小兵,0,1,8,0,0,3,5,1,277,,,0,30,136,1,60,45,0,0,14,0,0,0,0,0,0,2
173,1阵营3水晶破超级兵下路头目小兵,0,1,8,0,0,3,5,1,278,,,0,30,137,1,60,45,0,0,15,0,0,0,0,0,0,4
174,2阵营3水晶破超级兵上路头目小兵,0,2,8,0,0,3,5,1,279,,,0,30,138,1,60,45,0,0,13,0,0,0,0,0,0,1
175,2阵营3水晶破超级兵中路头目小兵,0,2,8,0,0,3,5,1,280,,,0,30,139,1,60,45,0,0,14,0,0,0,0,0,0,2
176,2阵营3水晶破超级兵下路头目小兵,0,2,8,0,0,3,5,1,281,,,0,30,140,1,60,45,0,0,15,0,0,0,0,0,0,4
177,1阵营魔泉,1,2,16,0,0,31,5,1,282,,,120,180,-1,1,0,0,31,0,-1,0,0,0,0,0,0,
178,1阵营魔泉,1,2,16,0,0,32,5,1,283,,,120,180,-1,1,0,0,32,0,-1,0,0,0,0,0,0,
179,2阵营圣泉,1,1,16,0,0,33,5,1,284,,,120,180,-1,1,0,0,33,0,-1,0,0,0,0,0,0,
180,2阵营圣泉,1,1,16,0,0,34,5,1,285,,,120,180,-1,1,0,0,34,0,-1,0,0,0,0,0,0,
181,1阵营泉水,1,1,2,0,0,0,6,1,286,,,0,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
182,2阵营泉水,1,2,2,0,0,0,6,1,287,,,0,10,-1,1,120,0,0,0,-1,0,0,0,0,0,0,
183,1阵营基地,1,1,1,0,0,4,6,1,288,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
184,2阵营基地,1,2,1,0,0,4,6,1,289,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
185,1阵营上路水晶,1,1,2,2,0,1,6,1,290,,,1,180,-1,1,0,0,0,0,13,2;4;4;2;6,144;115;107;138;174,0;1025;1026;1;0,2;4;4;2;6,144;115;107;138;174,1;1025;1026;0;1,
186,1阵营中路水晶,1,1,2,2,0,1,6,1,291,,,1,180,-1,1,0,0,0,0,14,2;4;4;2;6,145;115;107;139;175,0;1025;1026;1;0,2;4;4;2;6,145;115;107;139;175,1;1025;1026;0;1,
187,1阵营下路水晶,1,1,2,2,0,1,6,1,292,,,1,180,-1,1,0,0,0,0,15,2;4;4;2;6,146;115;107;140;176,0;1025;1026;1;0,2;4;4;2;6,146;115;107;140;176,1;1025;1026;0;1,
188,2阵营上路水晶,1,2,2,2,0,1,6,1,293,,,1,180,-1,1,0,0,0,0,13,2;4;4;2;6,141;125;108;135;171,0;1025;1026;1;0,2;4;4;2;6,141;125;108;135;171,1;1025;1026;0;1,
189,2阵营中路水晶,1,2,2,2,0,1,6,1,294,,,1,180,-1,1,0,0,0,0,14,2;4;4;2;6,142;125;108;136;172,0;1025;1026;1;0,2;4;4;2;6,142;125;108;136;172,1;1025;1026;0;1,
190,2阵营下路水晶,1,2,2,2,0,1,6,1,295,,,1,180,-1,1,0,0,0,0,15,2;4;4;2;6,143;125;108;137;173,0;1025;1026;1;0,2;4;4;2;6,143;125;108;137;173,1;1025;1026;0;1,
191,3雕纹魔像,1,0,32,0,0,14,6,1,296,,,600,240,-1,1,420,4,16,3,-1,0,0,0,0,0,0,
192,3小BOSS,1,0,32,0,0,15,6,1,297,,,60,180,-1,1,300,8,15,4,-1,0,0,0,0,0,0,
193,3小BOSS,1,0,16,0,0,15,6,1,298,,,60,180,-1,1,300,8,15,4,-1,0,0,0,0,0,0,
194,31红buff,1,0,16,0,0,16,6,1,299,,,3,60,-1,1,60,30,17,2,-1,0,0,0,0,0,0,
195,31蓝buff,1,0,16,0,0,17,6,1,300,,,3,60,-1,1,60,30,18,1,-1,0,0,0,0,0,0,
196,32红buff,1,0,16,0,0,18,6,1,301,,,3,60,-1,1,60,30,19,5,-1,0,0,0,0,0,0,
197,32蓝buff,1,0,16,0,0,19,6,1,302,,,3,60,-1,1,60,30,20,6,-1,0,0,0,0,0,0,
198,312石甲虫,1,0,16,0,0,21,6,1,303,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
199,314锋啄鸟,1,0,16,0,0,22,6,1,304,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
200,313暗影狼,1,0,16,0,0,23,6,1,305,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
201,322石甲虫,1,0,16,0,0,24,6,1,306,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
202,324锋啄鸟,1,0,16,0,0,25,6,1,307,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
203,323暗影狼,1,0,16,0,0,26,6,1,308,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
204,31魔沼蛙,1,0,16,0,0,27,6,1,309,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
205,32魔沼蛙,1,0,16,0,0,28,6,1,310,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
206,314锋啄鸟,1,0,16,0,0,22,6,1,311,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
207,314锋啄鸟,1,0,16,0,0,22,6,1,312,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
208,314锋啄鸟,1,0,16,0,0,22,6,1,313,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
209,314锋啄鸟,1,0,16,0,0,22,6,1,314,,,3,60,-1,1,60,30,0,0,-1,0,0,0,0,0,0,
210,补给点,1,0,16,0,0,0,5,1,315,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
211,补给点,1,0,16,0,0,0,5,1,316,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
212,补给点,1,0,16,0,0,0,5,1,317,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
213,补给点,1,0,16,0,0,0,5,1,318,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
214,补给点,1,0,16,0,0,0,5,1,319,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
215,补给点,1,0,16,0,0,0,5,1,320,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
216,补给点,1,0,16,0,0,0,5,1,321,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
217,补给点,1,0,16,0,0,0,5,1,322,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
218,补给点,1,0,16,0,0,0,5,1,323,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
219,补给点,1,0,16,0,0,0,5,1,324,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
220,补给点,1,0,16,0,0,0,5,1,325,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
221,补给点,1,0,16,0,0,0,5,1,326,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
222,补给点,1,0,16,0,0,0,5,1,327,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
223,补给点,1,0,16,0,0,0,5,1,328,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
224,补给点,1,0,16,0,0,0,5,1,329,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
225,补给点,1,0,16,0,0,0,5,1,330,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
226,补给点,1,0,16,0,0,0,5,1,331,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
227,补给点,1,0,16,0,0,0,5,1,332,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
228,补给点,1,0,16,0,0,0,5,1,333,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
229,补给点,1,0,16,0,0,0,5,1,334,,,0,120,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
230,1阵营基地,1,1,1,0,0,4,2,1,201,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
231,2阵营基地,1,2,1,0,0,4,2,1,202,,,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,
232,1阵营上路水晶,1,1,2,2,0,1,2,1,203,,,3,300,-1,1,0,0,0,0,13,2;4;4;2;6,267;238;230;261;297,0;1025;1026;1;0,2;4;4;2;6,267;238;230;261;297,1;1025;1026;0;1,
233,1阵营中路水晶,1,1,2,2,0,1,2,1,204,,,3,300,-1,1,0,0,0,0,14,2;4;4;2;6,268;238;230;262;298,0;1025;1026;1;0,2;4;4;2;6,268;238;230;262;298,1;1025;1026;0;1,
234,1阵营下路水晶,1,1,2,2,0,1,2,1,205,,,3,300,-1,1,0,0,0,0,15,2;4;4;2;6,269;238;230;263;299,0;1025;1026;1;0,2;4;4;2;6,269;238;230;263;299,1;1025;1026;0;1,
