类型ID,怪物ID,名称,朝向x,朝向y,朝向z,x,y,z,广播类型（0不广播1死亡广播2复活广播4死亡文字广播8定时广播16首次出生广播32自杀广播）,广播所对应广播ID,广播参数,位置索引（需要保持唯一）,掉落经验类型(1单独2周围3己方全部),死亡加经验,掉落天赋类型(1单独2周围3己方全部4补刀掉落5补刀加失败分成),死亡加天赋点,补刀掉落类型衰减系数,掉落buff类型(1单独2周围3己方全部),BuffID,buff等级,掉落经验buff范围,掉落天赋范围,累积多少次数刷怪（处理三波刷怪问题）,同步累积次数索引行(读取本表位置索引),战斗信号标志位,气势掉落路径上路中路下路全部路对应 1 2 4 7,气势掉落值
40,1010,1阵营上路近战小兵,0,220,0,100.76,39.75,209.8,0,,0,31,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
40,1010,1阵营上路近战小兵,0,220,0,96.3,39.75,206.5,0,,0,32,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
40,1010,1阵营上路近战小兵,0,220,0,93.3,39.75,203.9,0,,0,33,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
40,1011,1阵营上路远程小兵,0,220,0,89.36,39.75,204.9,0,,0,34,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
40,1011,1阵营上路远程小兵,0,220,0,93.47,39.75,200.69,0,,0,35,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
40,1012,1阵营上路头目小兵,0,220,0,90.73,39.935,201,0,,0,36,2,75,4,47,0.8,0,0,0,20,20,4,72,0,,
41,1010,1阵营中路近战小兵,0,220,0,99.358,39.89,192.5,0,,0,37,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
41,1010,1阵营中路近战小兵,0,220,0,95.38,39.935,192.96,0,,0,38,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
41,1010,1阵营中路近战小兵,0,220,0,94.89,39.93,191.8,0,,0,39,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
41,1011,1阵营中路远程小兵,0,220,0,91.6,39.93,190.8,0,,0,40,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
41,1011,1阵营中路远程小兵,0,220,0,92.49,39.93,185.9,0,,0,41,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
41,1012,1阵营中路头目小兵,0,220,0,88.97,39.9,188.97,0,,0,42,2,75,4,47,0.8,0,0,0,20,20,4,78,0,,
42,1010,1阵营下路近战小兵,0,220,0,102.8,39.75,170,0,,0,43,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
42,1010,1阵营下路近战小兵,0,220,0,100.43,39.75,173,0,,0,44,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
42,1010,1阵营下路近战小兵,0,220,0,97.5,39.75,176,0,,0,45,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
42,1011,1阵营下路远程小兵,0,220,0,93.3,39.75,177.8,0,,0,46,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
42,1011,1阵营下路远程小兵,0,220,0,91.1,39.75,174,0,,0,47,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
42,1012,1阵营下路头目小兵,0,220,0,90,40,176.5,0,,0,48,2,75,4,47,0.8,0,0,0,20,20,4,84,0,,
43,1025,2阵营上路近战小兵,0,36,0,357.06,39.75,202.64,0,,0,49,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
43,1025,2阵营上路近战小兵,0,36,0,360.13,39.75,200.17,0,,0,50,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
43,1025,2阵营上路近战小兵,0,36,0,360.445,39.75,200.5,0,,0,51,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
43,1026,2阵营上路远程小兵,0,36,0,360.6,39.75,197.7,0,,0,52,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
43,1026,2阵营上路远程小兵,0,36,0,364.8,39.75,203.6,0,,0,53,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
43,1027,2阵营上路头目小兵,0,36,0,362,40,197,0,,0,54,2,75,4,47,0.8,0,0,0,20,20,4,90,0,,
44,1025,2阵营中路近战小兵,0,36,0,354.7,39.89,186.9,0,,0,55,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
44,1025,2阵营中路近战小兵,0,36,0,357.3,39.89,185.25,0,,0,56,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
44,1025,2阵营中路近战小兵,0,36,0,361.7,39.9,185.8,0,,0,57,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
44,1026,2阵营中路远程小兵,0,36,0,364.5,39.93,183.3,0,,0,58,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
44,1026,2阵营中路远程小兵,0,36,0,366,39.93,189.46,0,,0,59,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
44,1027,2阵营中路头目小兵,0,36,0,367.3,39.93,185.8,0,,0,60,2,75,4,47,0.8,0,0,0,20,20,4,96,0,,
45,1025,2阵营下路近战小兵,0,36,0,358.5,39.75,170.1,0,,0,61,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
45,1025,2阵营下路近战小兵,0,36,0,361.5,39.75,171.9,0,,0,62,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
45,1025,2阵营下路近战小兵,0,36,0,360.1,39.75,174.3,0,,0,63,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
45,1026,2阵营下路远程小兵,0,36,0,363.8,39.75,173,0,,0,64,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
45,1026,2阵营下路远程小兵,0,36,0,362,39.75,177.59,0,,0,65,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
45,1027,2阵营下路头目小兵,0,36,0,366,39.93,177,0,,0,66,2,75,4,47,0.8,0,0,0,20,20,4,102,0,,
46,1013,1阵营超级兵上路近战小兵,0,220,0,100.76,39.75,209.8,0,,0,67,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
46,1013,1阵营超级兵上路近战小兵,0,220,0,96.3,39.75,206.5,0,,0,68,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
46,1013,1阵营超级兵上路近战小兵,0,220,0,93.3,39.75,203.9,0,,0,69,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
46,1014,1阵营超级兵上路远程小兵,0,220,0,89.36,39.75,204.9,0,,0,70,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
46,1014,1阵营超级兵上路远程小兵,0,220,0,93.47,39.75,200.69,0,,0,71,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
46,1015,1阵营超级兵上路头目小兵,0,220,0,90.73,39.935,201,0,,0,72,2,75,4,47,0.8,0,0,0,20,20,0,36,0,,
47,1013,1阵营超级兵中路近战小兵,0,220,0,99.358,39.89,192.5,0,,0,73,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
47,1013,1阵营超级兵中路近战小兵,0,220,0,95.38,39.935,192.96,0,,0,74,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
47,1013,1阵营超级兵中路近战小兵,0,220,0,94.89,39.93,191.8,0,,0,75,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
47,1014,1阵营超级兵中路远程小兵,0,220,0,91.6,39.93,190.8,0,,0,76,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
47,1014,1阵营超级兵中路远程小兵,0,220,0,92.49,39.93,185.9,0,,0,77,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
47,1015,1阵营超级兵中路头目小兵,0,220,0,88.97,39.9,188.97,0,,0,78,2,75,4,47,0.8,0,0,0,20,20,0,42,0,,
48,1013,1阵营超级兵下路近战小兵,0,220,0,102.8,39.75,170,0,,0,79,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
48,1013,1阵营超级兵下路近战小兵,0,220,0,100.43,39.75,173,0,,0,80,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
48,1013,1阵营超级兵下路近战小兵,0,220,0,97.5,39.75,176,0,,0,81,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
48,1014,1阵营超级兵下路远程小兵,0,220,0,93.3,39.75,177.8,0,,0,82,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
48,1014,1阵营超级兵下路远程小兵,0,220,0,91.1,39.75,174,0,,0,83,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
48,1015,1阵营超级兵下路头目小兵,0,220,0,90,40,176.5,0,,0,84,2,75,4,47,0.8,0,0,0,20,20,0,48,0,,
49,1028,2阵营超级兵上路近战小兵,0,36,0,357.06,39.75,202.64,0,,0,85,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
49,1028,2阵营超级兵上路近战小兵,0,36,0,360.13,39.75,200.17,0,,0,86,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
49,1028,2阵营超级兵上路近战小兵,0,36,0,360.445,39.75,200.5,0,,0,87,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
49,1029,2阵营超级兵上路远程小兵,0,36,0,360.6,39.75,197.7,0,,0,88,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
49,1029,2阵营超级兵上路远程小兵,0,36,0,364.8,39.75,203.6,0,,0,89,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
49,1030,2阵营超级兵上路头目小兵,0,36,0,362,40,197,0,,0,90,2,75,4,47,0.8,0,0,0,20,20,0,54,0,,
50,1028,2阵营超级兵中路近战小兵,0,36,0,354.7,39.89,186.9,0,,0,91,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
50,1028,2阵营超级兵中路近战小兵,0,36,0,357.3,39.89,185.25,0,,0,92,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
50,1028,2阵营超级兵中路近战小兵,0,36,0,361.7,39.9,185.8,0,,0,93,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
50,1029,2阵营超级兵中路远程小兵,0,36,0,364.5,39.93,183.3,0,,0,94,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
50,1029,2阵营超级兵中路远程小兵,0,36,0,366,39.93,189.46,0,,0,95,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
50,1030,2阵营超级兵中路头目小兵,0,36,0,367.3,39.93,185.8,0,,0,96,2,75,4,47,0.8,0,0,0,20,20,0,60,0,,
51,1028,2阵营超级兵下路近战小兵,0,36,0,358.5,39.75,170.1,0,,0,97,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
51,1028,2阵营超级兵下路近战小兵,0,36,0,361.5,39.75,171.9,0,,0,98,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
51,1028,2阵营超级兵下路近战小兵,0,36,0,360.1,39.75,174.3,0,,0,99,2,34,4,21,0.8,0,0,0,20,20,0,0,0,,
51,1029,2阵营超级兵下路远程小兵,0,36,0,363.8,39.75,173,0,,0,100,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
51,1029,2阵营超级兵下路远程小兵,0,36,0,362,39.75,177.59,0,,0,101,2,34,4,18,0.8,0,0,0,20,20,0,0,0,,
51,1030,2阵营超级兵下路头目小兵,0,36,0,366,39.93,177,0,,0,102,2,75,4,47,0.8,0,0,0,20,20,0,64,0,,
52,1016,3雕纹魔像,0,310,0,227.8233,52.43611,189.2732,1,2,0,103,3,800,3,250,0.8,3,1049,1,20,20,0,0,0,7,4
53,1017,3小BOSS,0,24.07,0,223.433,31.2,61.155,1,2,0,104,3,400,3,175,0.8,3,1089,1,20,20,0,0,0,7,2
54,1018,31树精,0,315.788,0,210.96,30.29,219.9,0,,0,105,2,200,4,75,0.8,1,1045,1,20,20,0,0,0,,
54,1019,31小树精,0,343.011,0,207.81,30.1079,218.39,0,,0,106,2,50,4,27,0.8,0,0,0,20,20,0,0,0,,
55,1020,31猩猩,0,233,0,210.14,30,159.85,0,,0,107,2,200,4,70,0.8,1,1046,1,20,20,0,0,0,,
55,1021,31猴子,0,248,0,211.3,30.68,156,0,,0,108,2,25,4,16,0.8,0,0,0,20,20,0,0,0,,
55,1021,31猴子,0,178.19,0,206.05,29.6265,159.42,0,,0,109,2,25,4,16,0.8,0,0,0,20,20,0,0,0,,
56,1018,32树精,0,124.87,0,245.66,30.445,156.27,0,,0,110,2,200,4,75,0.8,1,1045,1,20,20,0,0,0,,
56,1019,32小树精,0,168.74,0,249.63,30.18,157,0,,0,111,2,50,4,27,0.8,0,0,0,20,20,0,0,0,,
57,1020,32猩猩,0,14.39,0,248.445,29.95,220,0,,0,112,2,200,4,70,0.8,1,1046,1,20,20,0,0,0,,
57,1021,32猴子,0,58.726,0,247.16,30.52,223.58,0,,0,113,2,25,4,16,0.8,0,0,0,20,20,0,0,0,,
57,1021,32猴子,0,343.124,0,251.95,30.07,221.91,0,,0,114,2,25,4,16,0.8,0,0,0,20,20,0,0,0,,
58,1024,31雪怪,0,215.8,0,210.31,33.17,259,0,,0,115,2,83,4,55,0.8,0,0,1,20,20,0,0,0,,
58,1024,31雪怪,0,196.76,0,208,33.18,260,0,,0,116,2,83,4,55,0.8,0,0,0,20,20,0,0,0,,
59,1023,31蜘蛛,0,220.61,0,152.56,29.49,168.448,0,,0,117,2,41,4,28,0.8,0,0,1,20,20,0,0,0,,
59,1023,31蜘蛛,0,144,0,149.75,29.44,168.76,0,,0,118,2,41,4,28,0.8,0,0,0,20,20,0,0,0,,
59,1023,31蜘蛛,0,28,0,149.44,30.07,163.33,0,,0,119,2,42,4,27,0.8,0,0,0,20,20,0,0,0,,
59,1023,31蜘蛛,0,286.53,0,151.99,29.97,163.57,0,,0,120,2,42,4,27,0.8,0,0,0,20,20,0,0,0,,
60,1022,31蝎子,0,327.8,0,210,32.39,117.65,0,,0,121,2,55,4,37,0.8,0,0,1,20,20,0,0,0,,
60,1022,31蝎子,0,352,0,208.45,32.45,117.57,0,,0,122,2,56,4,37,0.8,0,0,0,20,20,0,0,0,,
60,1022,31蝎子,0,296.55,0,211.45,32.61,119.25,0,,0,123,2,56,4,36,0.8,0,0,0,20,20,0,0,0,,
61,1024,32雪怪,0,42.97,0,244.71,33,119.26,0,,0,124,2,83,4,55,0.8,0,0,1,20,20,0,0,0,,
61,1024,32雪怪,0,1.237,0,247.82,33.08,117.356,0,,0,125,2,83,4,55,0.8,0,0,0,20,20,0,0,0,,
62,1023,32蜘蛛,0,40.38,0,302.6,30.09,209.38,0,,0,126,2,41,4,28,0.8,0,0,1,20,20,0,0,0,,
62,1023,32蜘蛛,0,329.627,0,305.15,30.09,208.85,0,,0,127,2,41,4,28,0.8,0,0,0,20,20,0,0,0,,
62,1023,32蜘蛛,0,219.3739,0,306.58,30.09,215.3,0,,0,128,2,42,4,27,0.8,0,0,0,20,20,0,0,0,,
62,1023,32蜘蛛,0,131.96,0,302.5457,30.09,214.36,0,,0,129,2,42,4,27,0.8,0,0,0,20,20,0,0,0,,
63,1022,32蝎子,0,146.7,0,245.4,32.38,261.9,0,,0,130,2,55,4,37,0.8,0,0,1,20,20,0,0,0,,
63,1022,32蝎子,0,172.57,0,247.7,32.4,261.35,0,,0,131,2,56,4,37,0.8,0,0,0,20,20,0,0,0,,
63,1022,32蝎子,0,121.38,0,244.59,32.66,259.71,0,,0,132,2,56,4,36,0.8,0,0,0,20,20,0,0,0,,
64,1037,1阵营泉水,0,0,0,78,42,189,0,,0,133,1,1,1,200,0.8,0,0,0,1,1,0,0,0,,
65,1037,2阵营泉水,0,0,0,372,42,190,0,,0,134,1,1,1,200,0.8,0,0,0,1,1,0,0,0,,
66,1001,1阵营基地,0,90,0,97.9,40,188.9,4,1,0,135,3,160,3,0,0.8,0,0,0,20,20,0,0,0,,
67,1031,2阵营基地,0,90,0,357,40,189.5,4,1,0,136,3,160,3,0,0.8,0,0,0,20,20,0,0,0,,
101,1038,1阵营基地,0,0,0,15,22,134,4,1,0,137,3,160,3,0,0.8,0,0,0,20,20,0,0,0,,
102,1039,2阵营基地,0,0,0,245,22,135,4,1,0,138,3,160,3,0,0.8,0,0,0,20,20,0,0,0,,
103,1040,1阵营上路水晶,0,0,0,40,22,162,4,1,0,139,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
104,1041,1阵营中路水晶,0,0,0,40,22,134,4,1,0,140,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
105,1042,1阵营下路水晶,0,0,0,40,22,108,4,1,0,141,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
106,1043,2阵营上路水晶,0,0,0,225,22,161,4,1,0,142,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
107,1044,2阵营中路水晶,0,0,0,225,22,134.5,4,1,0,143,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
108,1045,2阵营下路水晶,0,0,0,225,22,109,4,1,0,144,3,50,3,100,0.8,0,0,0,20,20,0,0,1,,
109,1046,1阵营基地塔1,0,90,0,24,23,141,4,1,0,145,3,50,3,250,0.8,0,0,0,20,20,0,0,0,,
109,1047,1阵营基地塔2,0,90,0,24,23,126,4,1,0,146,3,50,3,250,0.8,0,0,0,20,20,0,0,0,,
111,1048,1阵营上路一塔,0,90,0,113,21,212,4,1,0,147,3,50,3,250,0.8,0,0,0,20,20,0,0,1,1,1
112,1049,1阵营上路二塔,0,90,0,76,21,195,4,1,0,148,3,50,3,250,0.8,0,0,0,20,20,0,0,1,1,1
113,1050,1阵营上路三塔,0,90,0,49,22,172,4,1,0,149,3,50,3,250,0.8,0,0,0,20,20,0,0,1,1,1
114,1051,1阵营中路一塔,0,90,0,90,22,134,4,1,0,150,3,50,3,250,0.8,0,0,0,20,20,0,0,1,2,1
115,1052,1阵营中路二塔,0,90,0,72,22,134,4,1,0,151,3,50,3,250,0.8,0,0,0,20,20,0,0,1,2,1
116,1053,1阵营中路三塔,0,90,0,51,22,135,4,1,0,152,3,50,3,250,0.8,0,0,0,20,20,0,0,1,2,1
117,1054,1阵营下路一塔,0,90,0,100,22,64,4,1,0,153,3,50,3,250,0.8,0,0,0,20,20,0,0,1,4,1
118,1055,1阵营下路二塔,0,90,0,77,22,78,4,1,0,154,3,50,3,250,0.8,0,0,0,20,20,0,0,1,4,1
119,1056,1阵营下路三塔,0,90,0,51,22,96,4,1,0,155,3,50,3,250,0.8,0,0,0,20,20,0,0,1,4,1
120,1057,2阵营基地塔1,0,-90,0,241,23,127,4,1,0,156,3,50,3,250,0.8,0,0,0,20,20,0,0,0,,
120,1058,2阵营基地塔2,0,-90,0,241,23,143,4,1,0,157,3,50,3,250,0.8,0,0,0,20,20,0,0,0,,
122,1059,2阵营上路一塔,0,-90,0,152,22,215,4,1,0,158,3,50,3,250,0.8,0,0,0,20,20,0,0,1,1,1
123,1060,2阵营上路二塔,0,-90,0,181,22,194,4,1,0,159,3,50,3,250,0.8,0,0,0,20,20,0,0,1,1,1
124,1061,2阵营上路三塔,0,-90,0,214,22,169,4,1,0,160,3,50,3,250,0.8,0,0,0,20,20,0,0,1,1,1
125,1062,2阵营中路一塔,0,-90,0,170,22,134,4,1,0,161,3,50,3,250,0.8,0,0,0,20,20,0,0,1,2,1
126,1063,2阵营中路二塔,0,-90,0,193,22,134,4,1,0,162,3,50,3,250,0.8,0,0,0,20,20,0,0,1,2,1
127,1064,2阵营中路三塔,0,-90,0,214,22,133,4,1,0,163,3,50,3,250,0.8,0,0,0,20,20,0,0,1,2,1
128,1065,2阵营下路一塔,0,-90,0,164,22,57,4,1,0,164,3,50,3,250,0.8,0,0,0,20,20,0,0,1,4,1
129,1066,2阵营下路二塔,0,-90,0,192,22,79,4,1,0,165,3,50,3,250,0.8,0,0,0,20,20,0,0,1,4,1
130,1067,2阵营下路三塔,0,-90,0,214,22,98,4,1,0,166,3,50,3,250,0.8,0,0,0,20,20,0,0,1,4,1
140,1010,1阵营上路近战小兵,0,220,0,17,22,144,0,,0,167,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
140,1010,1阵营上路近战小兵,0,220,0,17,22,146,0,,0,168,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
140,1010,1阵营上路近战小兵,0,220,0,16,22,145,0,,0,169,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
140,1011,1阵营上路远程小兵,0,220,0,18,22,145,0,,0,170,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
140,1012,1阵营上路头目小兵,0,220,0,17,22,145,0,,0,171,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,19,22,133,0,,0,172,2,75,4,66,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,19,22,135,0,,0,173,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,18,22,134,0,,0,174,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1011,1阵营中路远程小兵,0,220,0,20,22,134,0,,0,175,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1012,1阵营中路头目小兵,0,220,0,19,22,134,0,,0,176,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,19,22,133,0,,0,177,2,75,4,66,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,19,22,135,0,,0,178,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,18,22,134,0,,0,179,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1011,1阵营中路远程小兵,0,220,0,20,22,134,0,,0,180,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1012,1阵营中路头目小兵,0,220,0,19,22,134,0,,0,181,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,19,22,133,0,,0,182,2,75,4,66,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,19,22,135,0,,0,183,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,18,22,134,0,,0,184,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1011,1阵营中路远程小兵,0,220,0,20,22,134,0,,0,185,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1012,1阵营中路头目小兵,0,220,0,19,22,134,0,,0,186,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,19,22,133,0,,0,187,2,75,4,66,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,19,22,135,0,,0,188,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1010,1阵营中路近战小兵,0,220,0,18,22,134,0,,0,189,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
141,1011,1阵营中路远程小兵,0,220,0,20,22,134,0,,0,190,2,34,4,30,0.8,0,0,0,24,15,0,0,0,,
