模型ID,颜值,色泽,透光,纹理,重量,模型名称（以第一行为例，Lv是等级，A是形状，0是颜色）,缩放比例1,缩放比例2
250,0,0,0,,0,Gem_Lv3_H_4,1,1
251,0,0,0,,0,Gem_Lv3_I_0,1,1
252,0,0,0,,0,Gem_Lv3_I_1,1,1
253,0,0,0,,0,Gem_Lv3_I_2,1,1
254,0,0,0,,0,Gem_Lv3_I_3,1,1
255,0,0,0,,0,Gem_Lv3_I_4,1,1
256,0,0,0,,0,Gem_Lv3_J_0,1,1
257,0,0,0,,0,Gem_Lv3_J_1,1,1
258,0,0,0,,0,Gem_Lv3_J_2,1,1
259,0,0,0,,0,Gem_Lv3_J_3,1,1
260,0,0,0,,0,Gem_Lv3_J_4,1,1
261,0,0,0,,0,Gem_Lv3_K_0,1,1
262,0,0,0,,0,Gem_Lv3_K_1,1,1
263,0,0,0,,0,Gem_Lv3_K_2,1,1
264,0,0,0,,0,Gem_Lv3_K_3,1,1
265,0,0,0,,0,Gem_Lv3_K_4,1,1
266,0,0,0,,0,Gem_Lv3_L_0,1,1
267,0,0,0,,0,Gem_Lv3_L_1,1,1
268,0,0,0,,0,Gem_Lv3_L_2,1,1
269,0,0,0,,0,Gem_Lv3_L_3,1,1
270,0,0,0,,0,Gem_Lv3_L_4,1,1
271,0,0,0,,0,Gem_Lv3_M_0,1,1
272,0,0,0,,0,Gem_Lv3_M_1,1,1
273,0,0,0,,0,Gem_Lv3_M_2,1,1
274,0,0,0,,0,Gem_Lv3_M_3,1,1
275,0,0,0,,0,Gem_Lv3_M_4,1,1
276,0,0,0,,0,Gem_Lv3_N_0,1,1
277,0,0,0,,0,Gem_Lv3_N_1,1,1
278,0,0,0,,0,Gem_Lv3_N_2,1,1
279,0,0,0,,0,Gem_Lv3_N_3,1,1
280,0,0,0,,0,Gem_Lv3_N_4,1,1
281,0,0,0,,0,Gem_Lv3_O_0,1,1
282,0,0,0,,0,Gem_Lv3_O_1,1,1
283,0,0,0,,0,Gem_Lv3_O_2,1,1
284,0,0,0,,0,Gem_Lv3_O_3,1,1
285,0,0,0,,0,Gem_Lv3_O_4,1,1
286,0,0,0,,0,Gem_Lv3_P_0,1,1
287,0,0,0,,0,Gem_Lv3_P_1,1,1
288,0,0,0,,0,Gem_Lv3_P_2,1,1
289,0,0,0,,0,Gem_Lv3_P_3,1,1
290,0,0,0,,0,Gem_Lv3_P_4,1,1
291,0,0,0,,0,Gem_Lv3_Q_0,1,1
292,0,0,0,,0,Gem_Lv3_Q_1,1,1
293,0,0,0,,0,Gem_Lv3_Q_2,1,1
294,0,0,0,,0,Gem_Lv3_Q_3,1,1
295,0,0,0,,0,Gem_Lv3_Q_4,1,1
296,0,0,0,,0,Gem_Lv3_R_0,1,1
297,0,0,0,,0,Gem_Lv3_R_1,1,1
298,0,0,0,,0,Gem_Lv3_R_2,1,1
299,0,0,0,,0,Gem_Lv3_R_3,1,1
300,0,0,0,,0,Gem_Lv3_R_4,1,1
301,0,0,0,,0,Gem_Lv3_S_0,1,1
302,0,0,0,,0,Gem_Lv3_S_1,1,1
303,0,0,0,,0,Gem_Lv3_S_2,1,1
304,0,0,0,,0,Gem_Lv3_S_3,1,1
305,0,0,0,,0,Gem_Lv3_S_4,1,1
306,0,0,0,,0,Gem_Lv3_T_0,1,1
307,0,0,0,,0,Gem_Lv3_T_1,1,1
308,0,0,0,,0,Gem_Lv3_T_2,1,1
309,0,0,0,,0,Gem_Lv3_T_3,1,1
310,0,0,0,,0,Gem_Lv3_T_4,1,1
311,0,0,0,,0,Gem_Lv3_U_0,1,1
312,0,0,0,,0,Gem_Lv3_U_1,1,1
313,0,0,0,,0,Gem_Lv3_U_2,1,1
314,0,0,0,,0,Gem_Lv3_U_3,1,1
315,0,0,0,,0,Gem_Lv3_U_4,1,1
316,0,0,0,,0,Gem_Lv4_A_0,1,1
317,0,0,0,,0,Gem_Lv4_A_1,1,1
318,0,0,0,,0,Gem_Lv4_A_2,1,1
319,0,0,0,,0,Gem_Lv4_A_3,1,1
320,0,0,0,,0,Gem_Lv4_A_4,1,1
321,0,0,0,,0,Gem_Lv4_B_0,1,1
322,0,0,0,,0,Gem_Lv4_B_1,1,1
323,0,0,0,,0,Gem_Lv4_B_2,1,1
324,0,0,0,,0,Gem_Lv4_B_3,1,1
325,0,0,0,,0,Gem_Lv4_B_4,1,1
326,0,0,0,,0,Gem_Lv4_C_0,1,1
327,0,0,0,,0,Gem_Lv4_C_1,1,1
328,0,0,0,,0,Gem_Lv4_C_2,1,1
329,0,0,0,,0,Gem_Lv4_C_3,1,1
330,0,0,0,,0,Gem_Lv4_C_4,1,1
331,0,0,0,,0,Gem_Lv4_D_0,1,1
332,0,0,0,,0,Gem_Lv4_D_1,1,1
333,0,0,0,,0,Gem_Lv4_D_2,1,1
334,0,0,0,,0,Gem_Lv4_D_3,1,1
335,0,0,0,,0,Gem_Lv4_D_4,1,1
336,0,0,0,,0,Gem_Lv4_E_0,1,1
337,0,0,0,,0,Gem_Lv4_E_1,1,1
338,0,0,0,,0,Gem_Lv4_E_2,1,1
339,0,0,0,,0,Gem_Lv4_E_3,1,1
340,0,0,0,,0,Gem_Lv4_E_4,1,1
341,0,0,0,,0,Gem_Lv4_F_0,1,1
342,0,0,0,,0,Gem_Lv4_F_1,1,1
343,0,0,0,,0,Gem_Lv4_F_2,1,1
344,0,0,0,,0,Gem_Lv4_F_3,1,1
345,0,0,0,,0,Gem_Lv4_F_4,1,1
346,0,0,0,,0,Gem_Lv4_G_0,1,1
347,0,0,0,,0,Gem_Lv4_G_1,1,1
348,0,0,0,,0,Gem_Lv4_G_2,1,1
349,0,0,0,,0,Gem_Lv4_G_3,1,1
350,0,0,0,,0,Gem_Lv4_G_4,1,1
351,0,0,0,,0,Gem_Lv4_H_0,1,1
352,0,0,0,,0,Gem_Lv4_H_1,1,1
353,0,0,0,,0,Gem_Lv4_H_2,1,1
354,0,0,0,,0,Gem_Lv4_H_3,1,1
355,0,0,0,,0,Gem_Lv4_H_4,1,1
356,0,0,0,,0,Gem_Lv4_I_0,1,1
357,0,0,0,,0,Gem_Lv4_I_1,1,1
358,0,0,0,,0,Gem_Lv4_I_2,1,1
359,0,0,0,,0,Gem_Lv4_I_3,1,1
360,0,0,0,,0,Gem_Lv4_I_4,1,1
361,0,0,0,,0,Gem_Lv4_J_0,1,1
362,0,0,0,,0,Gem_Lv4_J_1,1,1
363,0,0,0,,0,Gem_Lv4_J_2,1,1
364,0,0,0,,0,Gem_Lv4_J_3,1,1
365,0,0,0,,0,Gem_Lv4_J_4,1,1
366,0,0,0,,0,Gem_Lv4_K_0,1,1
367,0,0,0,,0,Gem_Lv4_K_1,1,1
368,0,0,0,,0,Gem_Lv4_K_2,1,1
369,0,0,0,,0,Gem_Lv4_K_3,1,1
370,0,0,0,,0,Gem_Lv4_K_4,1,1
371,0,0,0,,0,Gem_Lv4_L_0,1,1
372,0,0,0,,0,Gem_Lv4_L_1,1,1
373,0,0,0,,0,Gem_Lv4_L_2,1,1
374,0,0,0,,0,Gem_Lv4_L_3,1,1
375,0,0,0,,0,Gem_Lv4_L_4,1,1
376,0,0,0,,0,Gem_Lv4_M_0,1,1
377,0,0,0,,0,Gem_Lv4_M_1,1,1
378,0,0,0,,0,Gem_Lv4_M_2,1,1
379,0,0,0,,0,Gem_Lv4_M_3,1,1
380,0,0,0,,0,Gem_Lv4_M_4,1,1
381,0,0,0,,0,Gem_Lv4_N_0,1,1
382,0,0,0,,0,Gem_Lv4_N_1,1,1
383,0,0,0,,0,Gem_Lv4_N_2,1,1
384,0,0,0,,0,Gem_Lv4_N_3,1,1
385,0,0,0,,0,Gem_Lv4_N_4,1,1
386,0,0,0,,0,Gem_Lv4_O_0,1,1
387,0,0,0,,0,Gem_Lv4_O_1,1,1
388,0,0,0,,0,Gem_Lv4_O_2,1,1
389,0,0,0,,0,Gem_Lv4_O_3,1,1
390,0,0,0,,0,Gem_Lv4_O_4,1,1
391,0,0,0,,0,Gem_Lv4_P_0,1,1
392,0,0,0,,0,Gem_Lv4_P_1,1,1
393,0,0,0,,0,Gem_Lv4_P_2,1,1
394,0,0,0,,0,Gem_Lv4_P_3,1,1
395,0,0,0,,0,Gem_Lv4_P_4,1,1
396,0,0,0,,0,Gem_Lv4_Q_0,1,1
397,0,0,0,,0,Gem_Lv4_Q_1,1,1
398,0,0,0,,0,Gem_Lv4_Q_2,1,1
399,0,0,0,,0,Gem_Lv4_Q_3,1,1
400,0,0,0,,0,Gem_Lv4_Q_4,1,1
401,0,0,0,,0,Gem_Lv4_R_0,1,1
402,0,0,0,,0,Gem_Lv4_R_1,1,1
403,0,0,0,,0,Gem_Lv4_R_2,1,1
404,0,0,0,,0,Gem_Lv4_R_3,1,1
405,0,0,0,,0,Gem_Lv4_R_4,1,1
406,0,0,0,,0,Gem_Lv4_S_0,1,1
407,0,0,0,,0,Gem_Lv4_S_1,1,1
408,0,0,0,,0,Gem_Lv4_S_2,1,1
409,0,0,0,,0,Gem_Lv4_S_3,1,1
410,0,0,0,,0,Gem_Lv4_S_4,1,1
411,0,0,0,,0,Gem_Lv4_T_0,1,1
412,0,0,0,,0,Gem_Lv4_T_1,1,1
413,0,0,0,,0,Gem_Lv4_T_2,1,1
414,0,0,0,,0,Gem_Lv4_T_3,1,1
415,0,0,0,,0,Gem_Lv4_T_4,1,1
416,0,0,0,,0,Gem_Lv4_U_0,1,1
417,0,0,0,,0,Gem_Lv4_U_1,1,1
418,0,0,0,,0,Gem_Lv4_U_2,1,1
419,0,0,0,,0,Gem_Lv4_U_3,1,1
420,0,0,0,,0,Gem_Lv4_U_4,1,1
421,0,0,0,,0,Gem_Lv5_A_0,1,1
422,0,0,0,,0,Gem_Lv5_A_1,1,1
423,0,0,0,,0,Gem_Lv5_A_2,1,1
424,0,0,0,,0,Gem_Lv5_A_3,1,1
425,0,0,0,,0,Gem_Lv5_A_4,1,1
426,0,0,0,,0,Gem_Lv5_B_0,1,1
427,0,0,0,,0,Gem_Lv5_B_1,1,1
428,0,0,0,,0,Gem_Lv5_B_2,1,1
429,0,0,0,,0,Gem_Lv5_B_3,1,1
430,0,0,0,,0,Gem_Lv5_B_4,1,1
431,0,0,0,,0,Gem_Lv5_C_0,1,1
432,0,0,0,,0,Gem_Lv5_C_1,1,1
433,0,0,0,,0,Gem_Lv5_C_2,1,1
434,0,0,0,,0,Gem_Lv5_C_3,1,1
435,0,0,0,,0,Gem_Lv5_C_4,1,1
436,0,0,0,,0,Gem_Lv5_D_0,1,1
437,0,0,0,,0,Gem_Lv5_D_1,1,1
438,0,0,0,,0,Gem_Lv5_D_2,1,1
439,0,0,0,,0,Gem_Lv5_D_3,1,1
440,0,0,0,,0,Gem_Lv5_D_4,1,1
441,0,0,0,,0,Gem_Lv5_E_0,1,1
442,0,0,0,,0,Gem_Lv5_E_1,1,1
443,0,0,0,,0,Gem_Lv5_E_2,1,1
444,0,0,0,,0,Gem_Lv5_E_3,1,1
445,0,0,0,,0,Gem_Lv5_E_4,1,1
446,0,0,0,,0,Gem_Lv5_F_0,1,1
447,0,0,0,,0,Gem_Lv5_F_1,1,1
448,0,0,0,,0,Gem_Lv5_F_2,1,1
449,0,0,0,,0,Gem_Lv5_F_3,1,1
450,0,0,0,,0,Gem_Lv5_F_4,1,1
451,0,0,0,,0,Gem_Lv5_G_0,1,1
452,0,0,0,,0,Gem_Lv5_G_1,1,1
453,0,0,0,,0,Gem_Lv5_G_2,1,1
454,0,0,0,,0,Gem_Lv5_G_3,1,1
455,0,0,0,,0,Gem_Lv5_G_4,1,1
456,0,0,0,,0,Gem_Lv5_H_0,1,1
457,0,0,0,,0,Gem_Lv5_H_1,1,1
458,0,0,0,,0,Gem_Lv5_H_2,1,1
459,0,0,0,,0,Gem_Lv5_H_3,1,1
460,0,0,0,,0,Gem_Lv5_H_4,1,1
461,0,0,0,,0,Gem_Lv5_I_0,1,1
462,0,0,0,,0,Gem_Lv5_I_1,1,1
463,0,0,0,,0,Gem_Lv5_I_2,1,1
464,0,0,0,,0,Gem_Lv5_I_3,1,1
465,0,0,0,,0,Gem_Lv5_I_4,1,1
466,0,0,0,,0,Gem_Lv5_J_0,1,1
467,0,0,0,,0,Gem_Lv5_J_1,1,1
468,0,0,0,,0,Gem_Lv5_J_2,1,1
469,0,0,0,,0,Gem_Lv5_J_3,1,1
470,0,0,0,,0,Gem_Lv5_J_4,1,1
471,0,0,0,,0,Gem_Lv5_K_0,1,1
472,0,0,0,,0,Gem_Lv5_K_1,1,1
473,0,0,0,,0,Gem_Lv5_K_2,1,1
474,0,0,0,,0,Gem_Lv5_K_3,1,1
475,0,0,0,,0,Gem_Lv5_K_4,1,1
476,0,0,0,,0,Gem_Lv5_L_0,1,1
477,0,0,0,,0,Gem_Lv5_L_1,1,1
478,0,0,0,,0,Gem_Lv5_L_2,1,1
479,0,0,0,,0,Gem_Lv5_L_3,1,1
480,0,0,0,,0,Gem_Lv5_L_4,1,1
481,0,0,0,,0,Gem_Lv5_M_0,1,1
482,0,0,0,,0,Gem_Lv5_M_1,1,1
483,0,0,0,,0,Gem_Lv5_M_2,1,1
484,0,0,0,,0,Gem_Lv5_M_3,1,1
485,0,0,0,,0,Gem_Lv5_M_4,1,1
486,0,0,0,,0,Gem_Lv5_N_0,1,1
487,0,0,0,,0,Gem_Lv5_N_1,1,1
488,0,0,0,,0,Gem_Lv5_N_2,1,1
489,0,0,0,,0,Gem_Lv5_N_3,1,1
490,0,0,0,,0,Gem_Lv5_N_4,1,1
491,0,0,0,,0,Gem_Lv5_O_0,1,1
492,0,0,0,,0,Gem_Lv5_O_1,1,1
493,0,0,0,,0,Gem_Lv5_O_2,1,1
