技能ID,职业,备注,技能类型,技能名称,技能描述,技能图标,预备光效,施法光效,被击光效,怪物被击光效,预备动画,施法动画,被击动画,怪物被击动画,预备音效,施法音效,被击音效,击中音效,准备时间,打断标志,持续时间,僵持时间,移动僵持时间,转向僵持时间,冷却ID,消耗法力,消耗体力,消耗能量,技能威力,等级系数,攻击百分比(float),穿透百分比(float),固定仇恨值,仇恨值百分比,选择目标类型,目标类型,伤害类型,技能效果类型,命中时间,攻击类型,攻击次数,攻击时间,同目标伤害次数,最大攻击目标数量,选择范围(float),攻击范围(float),攻击衰减(float),攻击衰减上限(float),技能距离(float),飞行速度(float),使用技能高度(float),技能攻击高度(float),死亡效果类型,技能默认选择类型,技能智能选择类型,技能常规选择类型,技能快捷施法选择类型,技能使用类型,技能使用标识,技能被动事件,技能标识,技能命令优先级,技能描画类型
63,VOCATION_INVALID,0_3_蓝色头目兵,SPELL_TYPE_CAST,$蓝色头目,1,3,0,1075,1076,0,0,b,0,0,0,0,0,0,0,1,300,300,300,0,1091,0,0,0,0,0,0,0,20,0,2720632,2720632,4,21,100,INSTANT_SINGLE,1,0,1,1,0,100,0,100,300,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
1265,VOCATION_INVALID,0_4_蓝色坦克普攻,SPELL_TYPE_CAST,$机甲射线,1,3,1087;1083,0,0,0,0,a,0,0,0,0,0,0,0,4,500,500,500,0,1097,0,0,0,0,0,0,0,1,0,2621712,2621712,1,131093,0,FLY_SINGLE,1,0,1,1,0,50,0,100,2200,3000,0,1000,DeadEffect_Normal,1,450,450,450,2655108,0,8,0,0,0
1375,VOCATION_INVALID,0_5_红色坦克,SPELL_TYPE_CAST,$机甲射线,1,3,1086;1085,0,0,0,0,a,0,0,0,0,0,0,0,4,500,500,500,0,1097,0,0,0,0,0,0,0,1,0,2621712,2621712,1,131093,0,FLY_SINGLE,1,0,1,1,0,50,0,100,2200,3000,0,1000,DeadEffect_Normal,1,450,450,450,2655108,0,8,0,0,0
77,VOCATION_INVALID,0_6_红色近战,SPELL_TYPE_CAST,$红色士兵,1,3,0,1077,1080,0,0,a,0,0,0,0,0,0,0,4,300,300,300,0,1093,0,0,0,0,0,0,0,20,0,2720632,2720632,4,22,30,INSTANT_SINGLE,1,200,1,1,0,100,0,100,300,100,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
78,VOCATION_INVALID,0_7_红色远程,SPELL_TYPE_CAST,$红色弓兵,1,3,0,1078,1080,0,0,a,0,0,0,0,0,0,0,1,300,300,300,0,1093,0,0,0,0,0,0,0,20,0,2720632,2720632,4,21,300,FLY_SINGLE,1,0,1,1,0,50,0,100,1000,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
79,VOCATION_INVALID,0_8_红色头目,SPELL_TYPE_CAST,$红色头目,1,3,0,1079,1080,1034,0,b,0,0,0,0,0,0,0,1,300,300,300,0,1091,0,0,0,0,0,0,0,20,0,2720632,2720632,4,21,150,INSTANT_SINGLE,1,0,1,1,0,100,0,100,300,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
1392,VOCATION_INVALID,1_0_0_救治,SPELL_TYPE_CAST,$救治,$[b][size=25][yellow]救治[orange]（F键）[/orange][/yellow][/size][/b] <br>[size=20][blue]可对处于濒死状态的友军使用，治疗其伤势[/blue][/size],117,99996,0,4,0,0,0,0,0,0,0,0,0,5000,125,5000,300,300,0,0,0,0,0,0,0,0,0,0,0,2,2,0,130,0,INSTANT_SINGLE,1,0,1,1,0,100,0,0,300,0,0,1000,DeadEffect_Normal,1,578,578,578,25166352,4096,0,0,30,1048
1393,VOCATION_INVALID,1_0_1_生命能量,SPELL_TYPE_CAST,$生命能量,$[b][size=25][yellow]生命能量[orange]（2键）[/orange][/yellow][/size][/b] <br>[size=20][blue]使用可以立即回复70%生命值，每次使用需要消耗生命能量1层[/blue][/size],36,0,0,4,0,0,0,0,0,0,0,0,0,5000,125,5000,300,300,0,0,0,0,0,0,0,0,0,0,0,1,1,0,130,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,100,10000,0,1000,DeadEffect_Normal,1,1,1,1,17,4096,0,0,30,0
1419,VOCATION_INVALID,1_0_2_隐身神符,SPELL_TYPE_CAST,$隐身神符,$[b][size=25][yellow]隐身神符[orange]（3键）[/orange][/yellow][/size][/b] <br>[size=20][blue]使用立即进入隐身状态，持续6秒，冷却10秒，需要消耗1层隐身神符[/blue][/size],199,0,3011,0,0,0,0,0,0,0,0,0,0,3000,125,3000,300,300,0,7901,0,0,0,0,0,0,0,0,0,1,1,0,130,0,INSTANT_SINGLE,1,0,1,1,0,100,0,100,100,10000,0,1000,DeadEffect_Normal,1,1,1,1,17,4096,0,0,30,0
1335,VOCATION_INVALID,1_1_展示徽章,SPELL_TYPE_CAST,$展示徽章,1,0,0,308,0,0,0,0,0,0,0,0,0,0,0,4,300,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,2176,0,INSTANT_AOE,1,0,1,1,0,100,0,100,1500,1000,0,1000,DeadEffect_Normal,1,1,1,1,2097153,4104,4,3,10,0
80,VOCATION_INVALID,1_2_野怪大龙普攻,SPELL_TYPE_CAST,$魔像攻击1,1,1,1040,0,1042,1042,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1094,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,FLY_SINGLE,1,0,1,5,0,50,0,100,1500,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
858,VOCATION_INVALID,1_4_野怪小龙普攻,SPELL_TYPE_CAST,$魔晶蓝龙普攻,1,1,99983,0,99985,99985,a,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,1,0,0,0,120,0,2720632,2720632,1,21,0,FLY_SINGLE,1,0,1,1,0,50,0,100,1500,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
562,VOCATION_INVALID,1_5_大红buff普攻1,SPELL_TYPE_CAST,$红状态1,1,1,1030,0,1029,0,b,0,0,0,0,0,0,0,0,0,300,0,0,0,1094,0,0,0,1,0,100,0,1,0,2719864,2719864,1,22,0,FLY_SINGLE,1,0,1,1,0,150,0,100,1000,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
48,VOCATION_INVALID,1_6_大红buff普攻2,SPELL_TYPE_CAST,$红状态,1,1,1028,0,1029,0,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1094,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,FLY_SINGLE,1,0,1,1,0,150,0,100,1500,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
43,VOCATION_INVALID,1_7_小红buff普攻,SPELL_TYPE_CAST,$小红状态,1,1,1010,0,1012,0,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1091,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,FLY_SINGLE,1,0,1,1,0,1,0,100,500,1000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
563,VOCATION_INVALID,1_8_大蓝buff普攻1,SPELL_TYPE_CAST,$蓝状态1,1,1,1026,0,1025,0,b,0,0,0,0,0,0,0,0,0,300,0,0,0,1094,0,0,0,1,0,100,0,1,0,2719864,2719864,1,22,0,FLY_SINGLE,1,0,1,1,0,1,0,100,1000,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
44,VOCATION_INVALID,1_9_大蓝buff普攻2,SPELL_TYPE_CAST,$蓝状态,1,1,1024,0,1025,0,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1094,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,FLY_SINGLE,1,0,1,1,0,1,0,100,1000,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
83,VOCATION_INVALID,1_10_小蓝buff普攻,SPELL_TYPE_CAST,$小蓝状态,1,1,1013,0,1015,0,a,0,0,0,0,0,0,0,0,1,300,0,0,0,1093,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,INSTANT_SINGLE,1,0,1,1,0,1,0,100,500,1000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
84,VOCATION_INVALID,1_11_火鸡普攻,SPELL_TYPE_CAST,$蜘蛛,1,1,1051,0,1052,0,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1091,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,INSTANT_SINGLE,1,0,1,1,0,1,0,100,300,1000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
82,VOCATION_INVALID,1_12_虫子普攻,SPELL_TYPE_CAST,$F4（小）,1,1,1049,0,1050,0,a,0,0,0,0,0,0,0,0,1,300,0,0,0,1091,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,INSTANT_SINGLE,1,0,1,1,0,1,0,100,300,1000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
85,VOCATION_INVALID,1_13_小鹿普攻,SPELL_TYPE_CAST,$小鹿,1,1,0,0,1048,0,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1091,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,INSTANT_SINGLE,1,0,1,1,0,1,0,100,300,1000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
385,VOCATION_INVALID,1_14_鹿人普攻,SPELL_TYPE_CAST,$熊,1,1,1043,0,1044,1044,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1091,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,INSTANT_SINGLE,1,0,1,1,0,1,0,100,300,1000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,20,0
384,VOCATION_INVALID,1_15_蟾蜍普攻,SPELL_TYPE_CAST,$F4（大）,1,1,1081,0,1053,0,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1091,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,INSTANT_SINGLE,1,0,1,1,0,1,0,100,300,1000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,20,0
386,VOCATION_INVALID,1_16_大鹿普攻,SPELL_TYPE_CAST,$鹿（大）,1,1,1045,0,1046,1046,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1091,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,INSTANT_SINGLE,1,0,1,1,0,1,0,100,300,1000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,20,0
41,VOCATION_INVALID,1_17_黄金守卫普攻,SPELL_TYPE_CAST,$怪物攻击,1,1,0,0,1039,1039,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1096,0,0,0,0,0,100,0,1,0,2720632,2720632,1,22,0,FLY_SINGLE,1,0,1,1,0,50,0,100,1000,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
859,VOCATION_INVALID,1_18_烈龙普攻,SPELL_TYPE_CAST,$傀儡小龙（打兵）,1,1,1036,0,1039,1039,a,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,1,0,300,0,120,0,2621456,2621456,1,21,0,INSTANT_AOE,1,0,1,50,1200,1200,0,100,1000,3000,0,1000,DeadEffect_Normal,1,17026,17026,17026,25182592,0,8,0,0,644
1386,VOCATION_INVALID,1_19_单线小龙普攻,SPELL_TYPE_CAST,$魔晶蓝龙普攻,1,1,99983,0,99985,99985,a,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,1,0,0,0,120,0,2720632,2720632,1,21,0,FLY_SINGLE,1,0,1,1,0,50,0,100,1500,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
1388,VOCATION_INVALID,1_20_吃鸡大宝藏普攻,SPELL_TYPE_CAST,$魔像攻击1,1,1,1040,0,1042,1042,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1094,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,FLY_SINGLE,1,0,1,5,0,50,0,100,1500,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
1389,VOCATION_INVALID,1_21_吃鸡大宝藏大招,SPELL_TYPE_CAST,$小龙终极技(定时),$范围高伤害技能,0,99986,99987,0,0,0,a,0,0,0,0,0,0,1500,0,1500,0,3000,0,1308,0,0,0,280,18,0,0,0,0,2720632,2720632,1,26,300,INSTANT_AOE,1,0,1,20,0,1000,0,0,100,0,0,1000,DeadEffect_Normal,1,1,1,1,261,0,8,0,20,0
1390,VOCATION_INVALID,1_22_吃鸡小宝藏普攻1,SPELL_TYPE_CAST,$红状态1,1,1,1030,0,1029,0,b,0,0,0,0,0,0,0,0,0,300,0,0,0,1094,0,0,0,0,0,0,0,1,0,2719864,2719864,1,22,0,FLY_SINGLE,1,0,1,1,0,150,0,100,1000,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
1391,VOCATION_INVALID,1_23_吃鸡小宝藏普攻2,SPELL_TYPE_CAST,$红状态,1,1,1028,0,1029,0,a,0,0,0,0,0,0,0,0,0,300,0,0,0,1094,0,0,0,0,0,100,0,1,0,2719864,2719864,1,22,0,FLY_SINGLE,1,0,1,1,0,150,0,100,1500,3000,0,1000,DeadEffect_Normal,1,2,2,2,136,0,8,0,0,0
291,VOCATION_INVALID,1_技能描述,SPELL_TYPE_CAST,$双生暗影,$召唤幽灵探寻,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INSTANT_SINGLE,0,0,0,0,0,0,0,100,0,0,0,0,DeadEffect_Normal,1,0,0,0,0,0,8,0,20,0
1449,VOCATION_INVALID,2_1_Q技能1,SPELL_TYPE_CAST,$眩晕弹,$[b][size=25][yellow]眩晕弹[orange][/orange][/yellow][/size][/b]<br>[size=20][blue]拿出眩晕弹，倒数[orange]3[/orange]秒后，炸弹会自行爆炸，对周围所有敌人造成法术伤害并眩晕2秒（开启眩晕弹后，再次激活技能丢出电音爆弹，若在倒计时时间内没有及时丢出炸弹，[/blue]<br>法术伤害：[orange][LEVEL=1500+80][/orange][red]（+[MA=90]）[/red]点<br>消耗法力：[orange]40[/orange]点<br>冷却时间：[orange] [CD1=6501][/orange]秒[/size],220,0,0,0,0,b01,0,0,0,4906,0,0,0,50,0,400,800,0,0,1040,0,0,0,0,0,0,0,120,0,0,1048704,4,98345,0,INSTANT_AOE,1,0,1,1,0,600,0,100,0,10000,0,1000,DeadEffect_Fire,3,128,128,128,574422,4112,0,0,10,1704
1450,VOCATION_INVALID,2_4_Q扔出1,SPELL_TYPE_CAST,$眩晕弹（扔出）,$[b][size=25][yellow]眩晕弹[orange][/orange][/yellow][/size][/b]<br>[size=20][blue]拿出眩晕弹，倒数[orange]3[/orange]秒后，炸弹会自行爆炸，对周围所有敌人造成法术伤害并眩晕2秒（开启眩晕弹后，再次激活技能丢出电音爆弹，若在倒计时时间内没有及时丢出炸弹，[/blue]<br>法术伤害：[orange][LEVEL=1500+80][/orange][red]（+[MA=90]）[/red]点<br>消耗法力：[orange]40[/orange]点<br>冷却时间：[orange] [CD1=6501][/orange]秒[/size],219,0,0,0,0,b03,0,0,0,4907,0,0,0,50,4,400,800,0,0,6507,0,0,0,0,0,0,0,120,0,1048704,1048704,4,98345,0,INSTANT_AOE,1,0,1,1,0,500,0,100,2000,10000,0,1000,DeadEffect_Fire,1,12583810,4195202,4194690,574422,4096,8,2,10,5800
669,VOCATION_INVALID,3_技能描述,SPELL_TYPE_CAST,$生化魔物墓碑诅咒,empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,300,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,INSTANT_AOE,1,0,1,20,1000,1000,0,100,1000,0,0,1000,DeadEffect_Normal,1,1,1,1,0,0,8,0,0,0
400,VOCATION_INVALID,4_技能描述,SPELL_TYPE_CAST,$惩戒,$[b][size=25][yellow]惩戒[orange]（F键）[/orange][/yellow][/size][/b]<br>[size=20][blue]对野怪将使用造成[green]300+目标最大生命值10%[/green]的真实伤害；对敌方英雄使用造成[green][LEVEL=1000+50][/green]点的法术伤害并降低目标30%的移动速度，持续3秒[/blue][/size],113,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0,1,0,2719832,2719832,2,163880,0,INSTANT_SINGLE,1,0,1,1,0,500,0,100,1000,30000,0,1000,DeadEffect_Normal,1,66,66,66,12551,0,5,16,20,0
1360,VOCATION_INVALID,5_6_W翻滚,SPELL_TYPE_CAST,empty,empty,0,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INSTANT_SINGLE,0,0,0,0,0,0,0,0,0,0,0,0,DeadEffect_Normal,0,0,0,0,0,0,8,0,0,0
396,VOCATION_INVALID,5_技能描述,SPELL_TYPE_CAST,$眼,$视野范围15米,4,0,0,0,0,0,0,0,0,0,1996,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLY_LINE,1,0,1,1,0,50,0,0,1000,5000,0,1000,DeadEffect_Normal,1,514,514,514,12805,0,8,0,20,0
393,VOCATION_INVALID,6_技能描述,SPELL_TYPE_CAST,$跳跃攻击,empty,0,0,empty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INSTANT_SINGLE,0,0,0,0,0,0,0,0,0,0,0,0,DeadEffect_Normal,1,0,0,0,0,0,8,0,20,0
392,VOCATION_INVALID,7_技能描述,SPELL_TYPE_CAST,$跳跃攻击,1,0,0,0,0,0,0,h01,R_q,R_q,0,0,0,0,0,4,300,300,300,0,4301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INSTANT_SINGLE,0,0,0,0,0,0,0,0,0,0,0,0,DeadEffect_Normal,1,0,0,0,0,0,8,0,20,0
387,VOCATION_INVALID,8_技能描述,SPELL_TYPE_CAST,$传送,$传送至小兵和防御塔处,37,225;228,0,0,0,hc01,hc03,0,0,0,0,0,0,6000,7,6000,300,300,0,0,0,0,0,0,0,0,0,1,0,1310852,1310852,4,0,0,INSTANT_SINGLE,1,0,1,1,100000,200,0,100,100000,3000,0,1000,DeadEffect_Normal,1,642,642,642,12805,0,8,0,20,0
