天赋效果ID,效果类型(0--新增技能[参数1:新增技能ID参数2槽位类型参数3槽位-1为按槽位表读取] 1--影响技能字段[参数1:技能ID 参数2:技能字段 参数3:add(0) or set(1)参数4:天赋数值] 2--影响技能条件效果[参数1:技能ID 参数2:技能事件 参数3:子类型(0--增加条件 1--减少条件 2--增加效果 3--减少效果) 4--条件效果ID] 3--开启效果列表[参数1:效果列表] 4--替换技能[参数1:旧技能ID 参数2:新技能ID]) 5--增加buff[参数1：buffID],参数1,参数2,参数3（槽位）,参数4（槽位等级）,参数5,参数6,备注
10038,5,3716,1,,,,,普攻系数转换攻速
10039,5,3716,2,,,,,免疫攻速转换
10040,5,4966,1,,,,,远程英雄法术护盾10%
10101,5,1837,1,,,,,无情刀
10102,5,1838,1,,,,,越战越勇
10103,5,2466,1,,,,,御风连击
10104,5,1830,1,,,,,养精蓄锐
10105,0,161,2,2,1,,,例无虚发
10106,5,2187,1,,,,,御风而行
10107,5,2473,1,,,,,气势压制
10108,5,1842,1,,,,,多发命中
10109,0,162,2,2,2,,,高级例无虚发
10110,0,146,2,0,1,,,李寻欢一技能
10111,0,140,2,1,1,,,李寻欢二技能
10112,5,2187,1,,,,,闪烁
10201,5,1830,1,0,0,,,养精蓄锐
10202,0,248,2,1,1,,,强力驱退
10203,5,1847,1,,,,,首当其冲
10204,0,257,2,2,1,,,极速射击
10205,0,865,2,2,1,,,追魂箭
10206,5,1846,1,,,,,易损
10207,5,1849,1,,,,,集中注意
10208,5,1851,1,,,,,活化肌肉
10209,0,258,2,2,2,,,高级极速射击
10210,0,866,2,2,2,,,高级追魂箭
10211,0,242,2,0,1,,,弓箭手一技能
10212,0,247,2,1,1,,,弓箭手二技能
10213,5,51,1,,,,,新手buff
10301,5,2341,1,,,,,心火
10302,5,2334,1,,,,,吸金
10303,5,1794,1,,,,,熔岩
10304,0,312,2,2,1,,,黑影谋杀
10305,0,844,2,2,1,,,火球术
10306,0,333,2,3,2,,,初始之火九级加强版
10307,0,303,2,0,2,,,三昧真火
10308,5,1799,1,,,,,流星雨
10309,0,313,2,2,2,,,高级黑影谋杀
10310,0,845,2,2,2,,,高级火球术
10311,0,302,2,0,1,,,红袍女一技能
10312,0,307,2,1,1,,,红袍女二技能
10313,0,1266,2,-1,-1,,,红女巫熔岩5秒版本
10314,5,53,1,,,,,新手buff
10401,3,3869,,,,,,群战
10402,3,3870;3907;3908;3909,,,,,,刺杀
10403,0,89,2,2,1,,,东洋剑客一级大
10404,3,3827,3919,,,,,智慧
10405,0,73,2,1,2,,,单枪
10406,0,142,2,2,2,,,东洋剑客二级大
10407,0,27,2,0,1,,,东洋剑客一技能
10408,0,72,2,1,1,,,东洋剑客二技能
10409,0,69,2,0,1,,,剑意纵横
10410,5,2223,1,,,,,强化剑法
10411,0,68,2,0,1,,,气元斩
10412,0,89,2,2,1,,,樱花气元斩
10413,0,88,2,1,2,,,剑气内敛
10414,5,2012,1,,,,,回气
10416,0,142,2,2,2,,,气元爆发
10417,0,952,2,-1,-1,0,0,东洋剑客剑气普攻1
10418,0,953,2,-1,-1,0,0,东洋剑客剑气普攻2
10419,0,954,2,-1,-1,0,0,东洋剑客剑气普攻3
10420,0,955,2,-1,-1,0,0,东洋剑客剑气普攻4
10421,0,1041,2,-1,-1,0,0,东洋剑客剑气普攻衰减1
10422,0,1042,2,-1,-1,0,0,东洋剑客剑气普攻衰减2
10423,0,1045,2,-1,-1,0,0,东洋剑客剑气普攻衰减3
10424,0,1046,2,-1,-1,0,0,东洋剑客剑气普攻衰减4
10501,3,3871,0,0,0,,0,群战
10502,0,191,2,1,0,,0,刺杀
10503,0,197,2,2,1,,0,冰原巨盾一级大
10504,3,3829,3921,,,,0,智慧
10505,3,3830;3913,3922;4213,,,,0,单枪
10506,0,198,2,2,2,,0,似乎无用
10507,0,182,2,0,1,,0,似乎无用
10508,0,187,2,1,1,,0,似乎无用
10509,5,2124,1,,,,0,猛烈撞击
10510,5,2126,1,,,,0,撞晕
10511,5,2128,1,,,,0,破甲撞击
10512,0,1151,2,2,1,,0,狂野巨盾一级大招
10513,5,2137,1,,,,0,尖刺刃盾
10514,5,2138,1,,,,0,轻盈护盾
10515,5,2139,1,,,,0,能量护盾
10516,0,1152,2,2,2,,0,狂野巨盾二级大招
10517,5,2404,1,,,,0,巨盾之殇
10601,5,137,1,0,0,,0,吞食恐惧
10602,0,202,2,0,3,,0,唾液腐蚀
10603,5,2282,1,,,,0,长舌出击
10604,0,215,2,2,1,,0,跳蛙喷射1级
10605,5,2448,1,,,,0,吞食强化
10606,5,100,2,,,,0,粘液粘连
10607,0,207,2,1,2,,0,粘性唾液
10608,0,216,2,2,2,,0,跳蛙喷射2级
10609,0,200,2,0,1,,0,青蛙一技能
10610,0,205,2,1,1,,0,青蛙二技能
10701,5,1810,1,,,,0,点赞力量
10702,5,1229,1,,,,0,躲起来吃
10703,5,1805,1,,,,0,专业ATM
10704,0,354,2,2,1,,0,彼岸仙境
10705,0,856,2,2,1,,,仙女下凡
10706,0,350,2,1,2,,0,花瓣雨
10707,5,1809,1,,,,0,迷魂
10708,5,3397,1,,,,0,真钞掉了
10709,0,355,2,2,2,,0,高级彼岸仙境
10710,0,857,2,2,2,,,高级仙女下凡
10711,0,339,2,0,1,,0,小恶魔一技能
10712,0,349,2,1,1,,0,小恶魔二技能
10801,5,3658,2,,,,0,夺息飞刃
10802,5,1861,1,,,,0,撕裂伤口
10803,5,1830,1,0,0,,,养精蓄锐
10804,0,373,2,2,1,,0,狂烈之舞
10805,0,868,2,2,1,,,狩猎滑翔
10806,5,1859,1,,,,0,无路可逃
10807,5,1857,1,,,,0,绝处逢生
10808,5,1863,1,,,,,危压
10809,0,374,2,2,2,,0,高级死亡之舞
10810,0,869,2,2,2,,,高级狩猎滑翔
10811,0,368,2,0,1,,0,卓戈一技能
10812,0,358,2,1,1,,0,卓戈二技能
10813,5,1861,1,,,,0,撕裂伤口
10814,0,1155,2,2,1,,0,死亡之舞
10815,5,1857,2,,,,0,绝处逢生
10816,0,1154,2,2,2,,0,高级死亡之舞
10817,0,1157,2,0,1,,0,卓戈一技能
10818,0,1158,2,1,1,,0,卓戈二技能
10901,3,3879,0,0,0,,0,群战
10902,3,3880,0,0,0,,0,刺杀
10903,0,279,2,2,1,,0,魔山一级大
10904,3,3837,3929,,,,0,智慧
10905,3,3838,3930,,,,0,单枪
10906,0,280,2,2,2,,0,魔山二级大
10907,0,264,2,0,1,,0,魔山一技能
10908,0,269,2,1,1,,0,魔山二技能
10909,5,1992,1,,,,0,格挡反击
10910,5,1993,1,,,,0,怒吼震慑
10911,5,1990,1,,,,0,铜墙铁壁
10912,0,279,2,2,1,,0,重剑无锋
10913,0,894,2,2,1,,0,裂地重劈
10914,5,1983,1,,,,0,狂战士
10915,5,1994,1,,,,0,战士之血
10916,5,1989,1,,,,0,沉重打击
10917,0,280,2,2,2,,0,无尽杀戮
10918,0,1005,2,2,2,,0,山崩
11001,5,1868,1,,,,0,礼物
11002,5,1869,1,,,,0,杀意
11003,5,1872,1,,,,,枪术训练
11004,0,452,2,2,1,,0,旋风枪阵
11005,5,1873,1,,,,0,横扫
11006,5,1874,1,,,,0,脱身
11007,5,1875,1,,,,,内伤
11008,0,453,2,2,2,,0,高级旋风枪阵
11009,,,,,,,,英雄时刻
11010,0,510,2,0,1,,0,红毒蛇一技能
11011,0,442,2,1,1,,0,红毒蛇二技能
11101,0,491,2,0,2,,0,恶念传播
11102,5,3681,1,,,,,波动印记
11103,5,1881,1,,,,,杀意
11104,0,500,2,2,1,,0,厄运之锁
11105,5,3683,1,,,,,厄运降临
11106,0,497,2,1,3,,0,殒命路径
11107,0,508,2,3,2,,,致命伪装
11108,0,501,2,2,2,,0,高级厄运之锁
11109,0,490,2,0,1,,0,男巫一技能
11110,0,495,2,1,1,,0,男巫二技能
11201,0,463,2,0,0,,0,群战
11202,3,3886,0,0,0,,0,刺杀
11203,0,477,2,2,1,,0,索罗斯一级大
11204,3,3843;3885,3935;3982,,,,0,智慧
11205,3,3844,3936,,,,0,单枪
11206,0,478,2,2,2,,0,索罗斯二级大
11207,0,462,2,0,1,,0,索罗斯一技能
11208,0,467,2,1,1,,0,索罗斯二技能
11209,0,463,2,0,2,,0,魔力凝练
11210,5,2036,1,,,,0,火焰附着
11211,5,2037,1,,,,0,火神祭品
11212,0,477,2,2,1,,0,神之恩赐
11213,0,979,2,2,1,,0,火神附体
11214,5,2038,1,,,,0,烈焰灼烧
11215,5,2051,1,,,,0,魔焰侵袭
11216,5,2042,1,,,,0,魔力回溯
11217,0,478,2,2,2,,0,火神注视
11218,0,1006,2,2,2,,0,火神
11219,5,4082,1,,,,,火焰强袭
11301,5,3714,1,,,,0,魔性铠甲
11302,0,417,2,0,2,,0,双刃剑
11303,5,1886,1,,,,,养精蓄锐
11304,0,430,2,2,1,,0,大地震撼
11305,5,3297,1,,,,0,浓度酒桶
11306,0,427,2,1,2,,0,难以承受
11307,5,2454,1,,,,0,酒气护体
11308,0,431,2,2,2,,0,高级大地震撼
11309,0,415,2,0,1,,0,劳伯一技能
11310,0,425,2,1,1,,0,劳伯二技能
11401,5,1816,1,,,,,致残一击
11402,0,543,2,1,2,,0,追袭者
11403,5,1813,1,,,,,水舞?启
11404,0,551,2,2,1,,0,无影剑
11405,0,860,2,2,1,,,死亡宣告
11406,5,1814,1,,,,0,得寸进尺
11407,0,537,2,0,2,,0,游刃有余
11408,5,1815,1,,,,,水舞?宁
11409,0,552,2,2,2,,0,高级无影剑
11410,0,861,2,2,2,,,高级死亡宣告
11411,0,536,2,0,1,,0,艾利亚一技能
11412,0,541,2,1,1,,0,艾利亚二技能
11501,5,1897,1,,,,0,感染强化
11502,5,1898,1,,,,0,生化领域
11503,5,1904,1,,,,,尸毒爆
11504,0,580,2,2,1,,0,鬼附身
11505,0,874,2,2,1,,,尸王
11506,5,1901,1,,,,0,狂暴
11507,5,1909,1,,,,0,活化墓碑
11508,5,1903,1,,,,,生化回复
11509,0,581,2,2,2,,0,高级鬼附身
11510,0,875,2,2,2,,,高级尸王
11511,0,570,2,0,1,,0,尸鬼一技能
11512,0,575,2,1,1,,0,尸鬼二技能
11601,5,2023,1,,,,0,嗜血狂暴
11602,5,2025,1,,,,0,快速吟唱
11603,5,2026,1,,,,0,恐惧撕咬
11604,5,2432,1,,,,0,灵魂爆炸
11605,5,2433,1,,,,0,灵魂吟唱
11606,5,2479,1,,,,0,狂怒
11608,5,2480,1,,,,,灵动
11609,5,2030,1,,,,,移动爆炸
11610,5,2033,1,,,,,快速转换
11611,0,1262,2,0,1,,0,布兰登一技能
11612,0,1263,2,1,1,,0,布兰登二技能
11701,3,3895,0,0,0,,0,群战
11702,3,3896,0,0,0,,0,刺杀
11703,0,638,2,2,1,,0,绿先知一级大
11704,3,3853,3945,,,,0,智慧
11705,3,3854,3946,,,,0,单枪
11706,0,639,2,2,2,,0,绿先知二级大
11707,0,631,2,0,1,,0,绿先知一技能
11708,0,636,2,1,1,,0,绿先知二技能
11710,5,2226,1,,,,0,吸灵禁锢
11711,5,2228,1,,,,0,吸灵回复
11712,5,2057,1,,,,0,寄生
11713,0,638,2,2,1,,0,生命领域
11715,5,1471,2,,,,0,灵活藤蔓
11716,0,632,2,0,2,,0,尖锐藤蔓
11717,5,2232,1,,,,0,无限吸灵
11718,5,2434,1,,,,0,邪灵巨镰二级大
11801,5,1830,1,0,0,,0,养精蓄锐
11802,0,591,2,0,2,,0,飞弹训练
11803,0,592,2,0,2,,,爆裂飞弹
11804,0,600,2,2,1,,0,强力弹幕
11805,5,3054,1,,,,0,快枪手步伐
11806,5,3056,1,,,,0,击中要害
11807,5,1834,1,,,,,填装弹药
11808,0,601,2,2,2,,0,高级强力弹幕
11809,0,590,2,0,1,,0,阿莎一技能
11810,0,595,2,1,1,,0,阿莎二技能
11811,0,943,2,-1,1,,0,装弹
11812,0,1374,2,12,1,,0,阿莎跳跃
11901,0,647,2,0,2,,0,龙母之力
11902,5,2368,1,,,,0,龙魂之身
11903,5,2022,1,,,,,龙之震荡
11904,0,656,2,2,1,,0,驾驭巨龙
11905,0,978,2,2,1,,0,巨龙吐息
11906,5,2240,1,,,,,双重湮灭
11907,5,2018,1,,,,,极速聚能
11909,0,657,2,2,2,,0,巨龙之王
11910,0,1008,2,2,2,,0,龙力锁链
11911,0,646,2,0,1,,0,龙母一技能
11912,0,651,2,1,1,,0,龙母二技能
12001,5,1943,1,,,,0,橡皮火箭炮
12002,0,885,2,0,2,,0,橡皮喷气子弹
12003,5,1946,1,,,,,橡皮武装
12004,0,683,2,2,1,,0,蒸汽爆发
12005,0,883,2,2,1,,,橡皮格林机枪
12006,5,1949,1,,,,0,橡皮蛇枪
12007,5,1956,1,,,,0,橡皮弹射
12008,5,1951,1,,,,,象枪连弹
12009,0,684,2,2,2,,0,高级蒸汽爆发
12010,0,884,2,2,2,,,高级格林机枪
12011,0,709,2,0,1,,0,机器人一技能
12012,0,678,2,1,1,,0,机器人二技能
12101,5,2204,1,,,,0,石盾
12102,5,1915,1,,,,0,精通挖掘
12103,5,1916,1,,,,,锐利岩枪
12104,0,736,2,2,1,,0,石林突刺
12105,5,1917,1,,,,0,隧道
12106,0,732,2,1,2,,0,地震
12107,0,733,2,1,2,,,地裂
12108,0,737,2,2,2,,0,高级石林突刺
12109,0,726,2,0,1,,0,钻地虫子一技能
12110,0,731,2,1,1,,0,钻地虫子二技能
12201,5,1711,2,,,,0,水疗
12202,5,2441,1,,,,0,潮涌
12203,5,1932,1,,,,,食人鱼
12204,0,914,2,2,1,,0,潮汐冲击
12205,5,1935,1,,,,0,玩水
12206,5,1939,1,,,,0,海洋空间
12207,5,2442,1,,,,,御水
12208,0,915,2,2,2,,0,高级潮汐冲击
12209,0,904,2,0,1,,0,小鱼人一技能
12210,0,909,2,1,1,,0,小鱼人二技能
12301,5,2163,1,,,,0,能量子弹
12302,5,2165,1,,,,0,一击必杀
12303,5,2169,1,,,,0,熟练技巧
12304,0,973,2,2,1,,0,殒命一狙
12305,0,974,2,2,1,,0,死亡射线
12306,5,2191,1,,,,0,眩晕手雷
12307,5,3381,1,,,,0,出其不意
12308,5,3380,1,,,,0,眩光延长
12309,5,2184,1,,,,,补充弹药
12310,0,1015,2,2,2,,,能量爆发
12311,0,963,2,0,1,,0,乌妮一技能
12312,0,968,2,1,1,,0,乌妮二技能
12401,5,2302,1,,,,0,隐匿恐惧
12402,5,2305,1,,,,0,隐匿自由
12404,0,814,2,2,1,,0,无面者一级大
12403,5,2307,1,,,,0,替身杀人
12405,5,3147,1,,,,0,会心一击
12406,0,815,2,2,2,,0,无面者二级大
12407,0,804,2,0,1,,0,无面者一技能
12408,0,809,2,1,1,,0,无面者二技能
12409,5,2101,1,,,,0,赏金
12410,5,2102,1,,,,0,利刃
12411,5,2106,1,,,,0,以战养战
12412,0,814,2,2,1,,0,一击必杀
12413,0,989,2,1,1,,0,替身术
12414,5,2312,1,,,,0,无限收割
12415,0,810,2,1,2,,0,延时分身
12416,0,815,2,2,2,,0,刺杀
12502,0,781,2,0,2,,0,能量负载
12503,0,782,2,0,3,,0,时空切割
12504,0,789,2,2,1,,0,次元塌陷
12505,0,791,2,2,3,,0,时间静止
12506,0,785,2,1,2,,0,空间束缚
12507,0,786,2,1,3,,0,泯灭
12508,0,787,2,1,4,,0,时空次元
12509,5,2143,1,0,0,,0,次元塌陷二级
12510,5,2146,1,0,0,,0,时空静止二级
12511,0,779,2,0,1,,0,时空旅行者一技能
12512,0,784,2,1,1,,0,时空旅行者二技能
12513,5,2057,1,0,0,,0,养精蓄锐
12514,5,2451,1,,,,,时空裂缝
12515,0,1365,2,6,1,,,前闪
12516,0,1366,2,7,1,,,后闪
12517,0,1367,2,8,1,,,左闪
12518,0,1368,2,9,1,,0,右闪
12601,5,2110,1,,,,0,恶灵陨灭
12602,5,2117,1,,,,0,献祭唤灵
12603,5,2112,1,,,,0,领主加持
12604,0,998,2,2,1,,0,幽冥异鬼
12605,0,993,2,0,2,,0,鬼影森森
12606,0,994,2,0,2,,0,鬼影闪
12607,5,2111,1,1,1,,0,领主智谋
12608,0,999,2,2,2,,0,幽冥夜叉
12611,0,992,2,0,1,,0,异鬼一技能
12612,0,995,2,1,1,,0,异鬼二技能
12701,5,2506,1,,,,0,双闪
12702,5,2510,1,,,,0,神行
12703,5,2512,1,,,,0,强身
12704,0,1086,2,1,2,,0,不屈
12705,5,2514,1,,,,,连动
12706,5,2516,1,,,,0,飞跃
12707,5,2517,1,,,,,气势
12709,0,1079,2,0,1,,0,李小龙一技能
12710,0,1084,2,1,1,,0,李小龙二技能
12711,0,1076,2,-1,-1,0,0,李小龙普攻1
12712,0,1077,2,-1,-1,0,0,李小龙普攻2
12713,0,1078,2,-1,-1,0,0,李小龙普攻3
12714,0,1097,2,-1,-1,0,0,李小龙狂暴普攻1
12715,0,1098,2,-1,-1,0,0,李小龙狂暴普攻2
12716,0,1099,2,-1,-1,0,0,李小龙狂暴普攻3
12717,0,1255,2,2,1,,0,李小龙一级大招前置动作
12718,0,1256,2,2,2,,0,李小龙二级大招前置动作
12719,0,1092,2,-1,-1,0,0,李小龙被动右键
12720,0,1080,2,-1,-1,0,0,李小龙Q技能
12721,0,1081,2,-1,-1,0,0,李小龙Q技能
12722,5,3060,1,,,,0,右键
12723,0,1089,2,-1,-1,0,0,R1级伤害
12724,0,1090,2,-1,-1,0,0,R2级伤害
12801,0,949,1,,,,0,火炮精通
12802,0,935,2,0,2,,0,爆破炸裂
12803,5,1830,1,,,,0,养精蓄锐
12804,0,945,2,2,1,,0,火力支援
12805,0,941,2,1,2,,0,疯狂扫射
12806,5,3652,1,,,,0,火力全开
12807,5,2106,1,,,,0,以战养战
12808,0,946,2,2,2,,0,火力强袭
12811,0,934,2,0,1,,0,炮手一技能
12812,0,940,2,1,1,,0,炮手二技能
12813,3,6550,6551,,,,0,火炮9级加长射程
12901,0,922,2,0,2,,0,危险炸弹
12903,5,2477,1,,,,0,死亡葬礼
12904,0,931,2,2,1,,0,炸药桶
12905,0,927,2,1,2,,0,黑色火药
12906,0,928,2,1,3,,0,灼伤
12907,0,929,2,1,4,,,持续燃烧
12908,5,155,1,,,,,高爆炸弹
12909,5,155,2,,,,,伪装
12910,0,921,2,0,1,,0,炸弹人一技能
12911,0,926,2,1,1,,0,炸弹人二技能
13000,0,1026,2,3,1,,0,摩托被动
13001,0,1039,2,2,1,,0,摩托大招1级自动学
13002,5,1886,1,,,,0,养精蓄锐
13005,5,3410,1,,,,0,摩托大招
13006,5,3409,1,,,,0,精湛车技
13007,5,3411,1,,,,0,狂野突袭
13008,5,3410,2,,,,0,超级狂袭飞车
13009,0,1033,2,0,1,,0,摩托一号技能
13010,0,1034,2,1,1,,0,摩托二号技能
13101,0,1257,2,-1,-1,,0,龙猫普攻2
13102,0,1258,2,-1,-1,,0,龙猫被动
13103,0,1259,2,1,1,,0,龙猫E
13104,0,1260,2,-1,-1,,0,龙猫普攻1
13105,0,1261,2,0,1,,0,龙猫Q
13106,0,1305,2,2,1,,0,龙猫R
13107,0,1306,2,6,-1,,0,翻滚前
13108,0,1307,2,7,-1,,0,翻滚后
13109,0,1308,2,8,-1,,0,翻滚左
13110,0,1309,2,9,-1,,0,翻滚右
13111,0,1310,2,2,2,,0,龙猫R二级
13112,0,1311,2,-1,-1,,0,龙猫业火长时间版
13113,0,1312,2,-1,-1,,0,龙猫业火短暂版
13114,0,1313,,,,,0,备用
13115,5,2057,1,,,,,元神积累
13116,0,1312,2,0,2,,0,妖术扩散
13117,0,1236,2,0,2,,0,妖术精进
13118,5,3515,1,,,,,续命术
13119,5,3517,1,,,,,绝命业火
13201,0,1233,2,0,1,,0,漩涡
13202,0,1234,2,0,1,,0,澎湃
13203,0,1235,2,1,1,,0,波澜
13204,0,1189,2,2,1,,0,灵魂庇护
13205,5,3226,1,,,,0,浩瀚
13206,5,3228,1,,,,0,汹涌
13207,5,3227,1,,,,0,沧海
13208,5,3223,2,2,2,,0,灵魂庇护
13209,0,1185,2,0,1,,0,游神一技能
13210,0,1187,2,1,1,,0,游神二技能
13211,0,1182,2,3,1,,0,游神被动天赋
13301,5,3005,1,,,,,强力射击
13302,5,3006,1,,,,,藤缚
13303,5,3005,2,,,,,障碍
13304,0,1168,2,2,1,,0,植株结界
13305,0,1169,2,2,1,,0,花王召唤
13306,5,3008,1,,,,,强化
13307,5,3010,1,,,,,蔓延
13308,5,3013,1,,,,,坚韧
13309,5,3015,1,,,,,高级藤蔓连锁
13310,5,3016,1,,,,,高级霸王之花
13311,0,1166,2,0,1,,0,尖刺花
13312,0,1167,2,1,1,,0,藤蔓捆缚
13313,0,1165,2,-1,-1,,0,天赋被动
13401,0,1171,2,-1,-1,,,兽王普攻小1
13402,0,1172,2,-1,-1,,,兽王普攻小2
13403,0,1173,2,-1,-1,,,兽王普攻小3
13404,0,1174,2,-1,-1,,,兽王普攻大1
13405,0,1175,2,-1,-1,,,兽王普攻大2
13406,0,1176,2,-1,-1,,,兽王普攻大3
13407,0,1177,2,0,1,,,兽王Q技能小
13408,0,1178,2,0,2,,,兽王Q技能大
13409,0,1179,2,1,1,,,兽王E技能小
13410,0,1180,2,1,2,,,兽王E技能大
13411,0,1170,2,2,1,,,兽王R小
13412,0,1202,2,2,1,,,兽王R大
13413,0,1181,2,3,2,,,持久力增加
13414,0,1201,2,-1,-1,,,兽王天赋备用
13415,0,1218,2,-1,-1,,,兽王天赋备用
13416,5,3116,1,,,,,热血灌注
13417,5,3119,1,,,,,兽王霸气
13418,5,3121,1,,,,,兽王穿透
13419,5,3123,1,,,,,兽宝之怒
13420,5,3131,1,,,,,感觉很帅
13421,5,3138,1,,,,,兽王勾拳判断用
13422,5,3139,1,,,,,超级兽王勾拳
13423,,,,,,,,兽王天赋备用
13424,0,1228,2,6,1,0,0,兽宝翻滚
13425,0,1229,2,7,1,0,0,兽宝翻滚
13426,0,1230,2,8,1,0,0,兽宝翻滚
13427,0,1231,2,9,1,0,0,兽宝翻滚
13428,0,1232,2,-1,1,0,0,兽宝翻滚
13429,0,1253,2,3,1,,,兽王R小（空壳）
13430,0,1337,2,-1,-1,,,兽王在学习大招时会使用这个技能，检测自己目前有没有变大，有的话就替换技能
13501,0,1204,2,-1,-1,,,战姬普攻1
13502,0,1205,2,-1,-1,,,战姬普攻2
13503,0,1206,2,-1,-1,,,战姬普攻3
13504,0,1203,2,-1,-1,,,战姬被动
13505,,,,,,,,
13506,0,1244,2,-1,-1,,,E翻滚
13507,0,1207,2,0,1,,,战姬Q技能1
13508,,,,,,,,战姬Q技能2
13509,0,1209,2,1,1,,,战姬E技能1
13510,0,1210,2,1,2,,,战姬E技能2
13511,0,1211,2,2,1,,,脉冲撞击
13512,5,2996,1,,,,,战姬R2
13514,5,3360,1,,,,,堡垒阵列
13515,5,3362,1,,,,,晶体激活
13516,5,4105,1,,,,,不卸之力
13517,5,3366,1,,,,,续命游戏
13518,0,1210,2,1,2,,,风暴耀火
13519,,,,,,,,战姬天赋备用
13520,,,,,,,,战姬天赋备用
13521,,,,,,,,战姬天赋备用
13522,,,,,,,,战姬天赋备用
13523,,,,,,,,战姬天赋备用
13524,,,,,,,,
13525,5,4085,1,,,,,战姬天赋E放Q技能
13526,1,936,1,-1,-1,,,
13527,5,52,1,,,,,
13600,5,4073,1,,,,,宇宙战警子弹buff
13601,0,1346,2,-1,-1,0,0,宇宙战警普攻(36)
13602,,,,,,,,宇宙战警普攻
13603,,,,,,,,宇宙战警普攻
13604,0,1197,2,0,1,0,0,宇宙战警Q技能
13605,0,1198,2,1,1,0,0,宇宙战警E技能
13606,5,3025,1,,,,,强化武器
13607,5,3026,1,,,,,能量反哺
13608,5,1830,1,0,0,,,养精蓄锐
13609,0,1199,2,2,1,0,0,终极武器
13610,0,1219,2,0,2,,,高热能量
13611,5,3032,1,,,,,尖刺爆裂
13612,5,3036,1,,,,,战术技巧
13613,0,1200,2,2,2,0,0,强化终极武器
13614,0,1213,2,-1,-1,0,0,宇宙战警翻滚
13615,0,1214,2,-1,-1,0,0,宇宙战警翻滚
13616,0,1215,2,-1,-1,0,0,宇宙战警翻滚
13617,0,1216,2,-1,-1,0,0,宇宙战警翻滚
13618,0,1217,2,-1,-1,0,0,宇宙战警翻滚
13619,0,1345,2,-1,-1,0,0,宇宙战警右键换子弹
13620,0,1246,2,-1,-1,0,0,宇宙战警右键换子弹
13621,0,1193,2,-1,-1,0,0,宇宙战警天赋
13622,0,1357,2,-1,-1,0,0,宇宙战警跳跃
13623,0,1358,2,-1,-1,0,0,宇宙战警普攻(48)
13700,0,1328,2,3,1,0,0,黑夜女王被动
13701,0,1332,2,0,1,0,0,黑夜女王一技能
13702,0,1333,2,1,1,0,0,黑夜女王二技能
13703,0,1334,2,2,1,,,黑夜女王大招
13704,5,3708,1,,,,,虚无缥缈
13705,5,3709,1,,,,,无情飞影
13706,5,3710,1,,,,,咫尺天涯
13707,5,3711,1,,,,,远则是近
13708,5,3712,1,,,,,必死无疑
13709,0,1336,2,1,2,0,0,挡路者死
13710,0,1359,2,2,2,,,强化大招
13800,0,1438,2,4,1,,,普攻1
13801,0,1439,2,-1,-1,,,普攻2
13802,0,1440,2,-1,-1,,,普攻3
13803,0,1441,2,3,1,,,被动显示
13804,0,1445,2,12,1,,,跳跃起飞
13805,0,1444,2,2,1,,,大招
13806,0,1442,2,0,1,,,1技能
13807,0,1443,2,1,1,,,2技能
