序号,描述,类型（1为角色解锁2为英雄解锁3为英雄升星解锁）,参数1（英雄ID）,参数2（解锁等级）,参数3（奖励id）,图片id(1天赋2炫招3卡牌4金币5头像6皮肤7经验8英雄9箱子),邮件id,星级描述
55,英雄星级解锁,3,38,5,4116,2,,意识觉醒体
56,英雄星级解锁,3,39,5,4117,2,,意识觉醒体
57,英雄星级解锁,3,40,5,4118,2,,意识觉醒体
58,英雄星级解锁,3,41,5,4119,2,,意识觉醒体
59,英雄星级解锁,3,42,5,4120,2,,意识觉醒体
54,英雄星级解锁,3,1,20,4001,2,,星灵圣体
55,英雄星级解锁,3,2,20,4003,2,,星灵圣体
56,英雄星级解锁,3,3,20,4005,2,,星灵圣体
57,英雄星级解锁,3,4,20,4007,2,,星灵圣体
58,英雄星级解锁,3,5,20,4009,2,,星灵圣体
59,英雄星级解锁,3,6,20,4011,2,,星灵圣体
60,英雄星级解锁,3,7,20,4013,2,,星灵圣体
61,英雄星级解锁,3,8,20,4015,2,,星灵圣体
62,英雄星级解锁,3,9,20,4017,2,,星灵圣体
63,英雄星级解锁,3,10,20,4019,2,,星灵圣体
64,英雄星级解锁,3,11,20,4021,2,,星灵圣体
65,英雄星级解锁,3,12,20,4023,2,,星灵圣体
66,英雄星级解锁,3,13,20,4025,2,,星灵圣体
67,英雄星级解锁,3,14,20,4027,2,,星灵圣体
68,英雄星级解锁,3,15,20,4029,2,,星灵圣体
69,英雄星级解锁,3,16,20,4031,2,,星灵圣体
70,英雄星级解锁,3,17,20,4033,2,,星灵圣体
71,英雄星级解锁,3,18,20,4035,2,,星灵圣体
72,英雄星级解锁,3,19,20,4037,2,,星灵圣体
73,英雄星级解锁,3,20,20,4039,2,,星灵圣体
74,英雄星级解锁,3,21,20,4041,2,,星灵圣体
75,英雄星级解锁,3,22,20,4043,2,,星灵圣体
76,英雄星级解锁,3,23,20,4045,2,,星灵圣体
77,英雄星级解锁,3,24,20,4047,2,,星灵圣体
78,英雄星级解锁,3,25,20,4049,2,,星灵圣体
79,英雄星级解锁,3,26,20,4051,2,,星灵圣体
80,英雄星级解锁,3,27,20,4053,2,,星灵圣体
81,英雄星级解锁,3,28,20,4055,2,,星灵圣体
82,英雄星级解锁,3,29,20,4057,2,,星灵圣体
83,英雄星级解锁,3,30,20,4059,2,,星灵圣体
84,英雄星级解锁,3,31,20,4097,2,,星灵圣体
85,英雄星级解锁,3,32,20,4098,2,,星灵圣体
86,英雄星级解锁,3,33,20,4099,2,,星灵圣体
87,英雄星级解锁,3,34,20,4100,2,,星灵圣体
88,英雄星级解锁,3,35,20,4101,2,,星灵圣体
89,英雄星级解锁,3,36,20,4102,2,,星灵圣体
90,英雄星级解锁,3,37,20,4109,2,,星灵圣体
91,英雄星级解锁,3,38,20,4110,2,,星灵圣体
92,英雄星级解锁,3,39,20,4111,2,,星灵圣体
93,英雄星级解锁,3,40,20,4112,2,,星灵圣体
94,英雄星级解锁,3,41,20,4113,2,,星灵圣体
95,英雄星级解锁,3,42,20,4114,2,,星灵圣体
90,英雄星级解锁,3,1,30,4002,2,,星际毁灭者
91,英雄星级解锁,3,2,30,4004,2,,星际毁灭者
92,英雄星级解锁,3,3,30,4006,2,,星际毁灭者
93,英雄星级解锁,3,4,30,4008,2,,星际毁灭者
94,英雄星级解锁,3,5,30,4010,2,,星际毁灭者
95,英雄星级解锁,3,6,30,4012,2,,星际毁灭者
96,英雄星级解锁,3,7,30,4014,2,,星际毁灭者
97,英雄星级解锁,3,8,30,4016,2,,星际毁灭者
98,英雄星级解锁,3,9,30,4018,2,,星际毁灭者
99,英雄星级解锁,3,10,30,4020,2,,星际毁灭者
100,英雄星级解锁,3,11,30,4022,2,,星际毁灭者
101,英雄星级解锁,3,12,30,4024,2,,星际毁灭者
102,英雄星级解锁,3,13,30,4026,2,,星际毁灭者
103,英雄星级解锁,3,14,30,4028,2,,星际毁灭者
104,英雄星级解锁,3,15,30,4030,2,,星际毁灭者
105,英雄星级解锁,3,16,30,4032,2,,星际毁灭者
106,英雄星级解锁,3,17,30,4034,2,,星际毁灭者
107,英雄星级解锁,3,18,30,4036,2,,星际毁灭者
108,英雄星级解锁,3,19,30,4038,2,,星际毁灭者
109,英雄星级解锁,3,20,30,4040,2,,星际毁灭者
110,英雄星级解锁,3,21,30,4042,2,,星际毁灭者
111,英雄星级解锁,3,22,30,4044,2,,星际毁灭者
112,英雄星级解锁,3,23,30,4046,2,,星际毁灭者
113,英雄星级解锁,3,24,30,4048,2,,星际毁灭者
114,英雄星级解锁,3,25,30,4050,2,,星际毁灭者
115,英雄星级解锁,3,26,30,4052,2,,星际毁灭者
116,英雄星级解锁,3,27,30,4054,2,,星际毁灭者
117,英雄星级解锁,3,28,30,4056,2,,星际毁灭者
118,英雄星级解锁,3,29,30,4058,2,,星际毁灭者
119,英雄星级解锁,3,30,30,4060,2,,星际毁灭者
120,英雄星级解锁,3,31,30,4103,2,,星际毁灭者
121,英雄星级解锁,3,32,30,4104,2,,星际毁灭者
122,英雄星级解锁,3,33,30,4105,2,,星际毁灭者
123,英雄星级解锁,3,34,30,4106,2,,星际毁灭者
124,英雄星级解锁,3,35,30,4107,2,,星际毁灭者
125,英雄星级解锁,3,36,30,4108,2,,星际毁灭者
126,英雄星级解锁,3,37,30,4121,2,,星际毁灭者
127,英雄星级解锁,3,38,30,4122,2,,星际毁灭者
128,英雄星级解锁,3,39,30,4123,2,,星际毁灭者
129,英雄星级解锁,3,40,30,4124,2,,星际毁灭者
130,英雄星级解锁,3,41,30,4125,2,,星际毁灭者
131,英雄星级解锁,3,42,30,4126,2,,星际毁灭者
