英雄ID,英雄类型,操作难度（1简单2中等3困难）,英雄描述,英雄定位,备注英雄名字方便策划配表,大厅选人描述,选人排序优先级（默认为0最低1最高2其次依次往下）,针对方式,玩法介绍
10,战士,2,他前世是命运女神的后裔。他的武器被称为因果之枪。据说被他的长枪所伤的人，最终都会亡于非命。这把长枪从他的家族祖辈流传下来，家族的每一任嫡系长子都会在父亲死亡时获得这把武器，并被这把武器划伤。只有逃脱这把枪的诅咒，才算真正掌控了自己的命运。,刺客、爆发,灭世枪神,[b][size=22]灭世枪神<br>英雄类型：战士<br>操作难度：中等<br>英雄定位：团队输出、支援<br><br>[/size][/b],26,[b][size=14]灭世枪神，近战爆发型战士<br>英雄类型：战士<br>-与他对拼时注意躲避他的Q技能。<br>-灭世枪神可以通过造成伤害持续刷新护盾，注意集中伤害技能的使用。<br>[/size][/b],进出自如的团伤型战士
11,法师,3,在泰坦的历史中，曾有智兽钻研出黑魔法并将其用于战争。黑魔法的使用者获得了战争的胜利，却也最终被黑魔法吞噬，化为深渊的瘴气。瘴气污染了泰坦的自然生态，造成生灵涂炭。从此，魔晶智兽们间达成协议，将黑魔法设为禁忌魔法。而暗裔魔法师，就诞生于那时的黑魔法。,爆发、刺客,暗裔魔法师,[b][size=22]暗裔魔法师<br>英雄类型：法师<br>操作难度：困难<br>英雄定位：单体输出、控制<br><br>[/size][/b],30,[b][size=14]暗裔魔法师，近战爆发型法师<br>英雄类型：法师<br>-使用控制技能针对他的E技能位移效果，一旦超过时间他便不可返回。<br>-暗裔魔法师的Q会让被标记敌人受到额外伤害。<br>[/size][/b],瞬移往返的法系爆发
12,法师,1,他是星灵神殿的守护者。每个觊觎神殿水晶的魔晶智兽都会忌殚于水晶底座的法阵。当有人靠近它时，法阵便燃气熊熊火焰。听说心灵纯洁的人可以免遭火焰伤害。任何心有杂念的人都会被火焰吞噬。智兽们把这个星灵称为圣焰之手。,输出、辅助,圣焰之手,[b][size=22]圣焰之手<br>英雄类型：法武双修<br>操作难度：简单<br>英雄定位：消耗、辅助<br><br>[/size][/b],22,[b][size=14]圣焰之手，远距离消耗型法师<br>英雄类型：法坦<br>-圣焰之手的Q技能最大距离有35米，请横向躲避。<br>-被他祝福的玩家可以复生，不要把多余的技能丢在被祝福者身上！！。<br>[/size][/b],远近皆宜的复活型法师
13,坦克,1,睁开眼的第一幅画面是自己的头颅在断头台上和躯体分离后滚入布袋。他摸着发凉的颈背，意识到“基因全息重构”已顺利完成。在躯体概况简报上，他得知这幅躯体曾属于波旁王朝在位最久的太阳王。在位期间，太阳王用“君权神授”“朕即国家”概念将君权推上顶峰。在荒蛮的土地上，也许集权的效率才能让人类延续下去。他看着舰舱外的繁星，喃喃道。,肉盾、团控,中土之王,[b][size=22]中土之王<br>英雄类型：坦克<br>操作难度：简单<br>英雄定位：前排、肉盾、控制<br><br>[/size][/b],12,[b][size=14]中土之王，近距离控制型坦克<br>英雄类型：法坦<br>-守护者的物理防护能力十分出色，选择法系伤害英雄来针对他。<br>-他的大招会在团战中造成毁灭性的后果，注意规避。<br>[/size][/b],擅长团控的肉盾坦克
14,战士,3,她前世生于波顿王朝时代的贵族之家，却厌恶贵族的繁文缛节以及人们对女性的偏见。凭什么女性不能拿起武器战斗，保卫自己的家园？她的剑术，静时如止水，动时如闪电。心中有剑，即使一花一草亦可用作利器。,刺客、爆发,轻灵蔷薇,[b][size=22]轻灵蔷薇<br>英雄类型：爆发<br>操作难度：困难<br>英雄定位：爆发、隐形<br><br>[/size][/b],25,[b][size=14]轻灵蔷薇，爆发型战士<br>英雄类型：爆发<br>-轻灵蔷薇擅长隐匿于暗影中，一击击败敌人。<br>-不要在没有友军的情况下与全盛的她对战。<br>[/size][/b],擅长隐身和单挑的战士
15,战士,3,他曾是一个重罪犯。他为自己的犯下的罪行感到忏悔。极刑曾是他唯一渴求的归宿。然而内皮尔却剥夺了他的这项权利。被强制注射了尸毒病毒后，他的外表变得像死尸一般，体能和适应力却得到极大的增强。作为人型兵器被带到异星的他，在不断地残酷战斗中彻底丧失了人性。,爆发、战士,生化魔人,[b][size=22]生化魔人<br>英雄类型：战士<br>操作难度：困难<br>英雄定位：爆发、前排<br><br>[/size][/b],28,[b][size=14]生化魔人，近战消耗型战士<br>英雄类型：坦克<br>-生化魔人会从他的墓碑中获取无穷的力量，远离或者尽快破坏掉墓碑。<br>-小心被他大招附身的队友靠近你。<br>[/size][/b],擅长阵地战的爆发坦克
16,战士,3,狼灵缘起于泰坦弱小的魔能智兽们对雪域狼的崇拜。在城邦外的荒原地区，他们成群结队地出现，构成了强大战斗力。狼灵的信徒们希望自己的族群也能像雪域狼一样团结。狼灵会召唤群狼为其信徒作战。,输出,异域狼灵,[b][size=22]异域狼灵<br>英雄类型：战士<br>操作难度：困难<br>英雄定位：支援<br><br>[/size][/b],27,[b][size=14]异域狼灵，远距离消耗型法师<br>英雄类型：战士<br>-击败他的狼形态对他而言不痛不痒，寻找他的本体所在。<br>-狼形态会受到更多的伤害，不要畏惧，勇敢的和他战斗。<br>[/size][/b],可召唤无限复活的狼灵
17,法师,2,暗影丘陵凶恶的生物消亡后的灵魂汇聚成了它。猎人对猎物的渴望、仇人间的恨意、敌对阵营双方的诅咒都是虚空邪镰的力量来源。虚空邪镰鼓励自己的信徒和其他生物厮杀；有时候，他连信徒的生命也一并夺取。,输出、法坦,虚空邪镰,[b][size=22]虚空邪镰<br>英雄类型：法师<br>操作难度：中等<br>英雄定位：持续输出、辅助、法坦<br><br>[/size][/b],25,[b][size=14]虚空邪镰，远距离消耗型法师<br>英雄类型：法坦<br>-虚空邪镰可以偷取他人的持续效果，甚至包括红蓝增益状态。<br>-他的大招会持续恢复自己的生命力。<br>[/size][/b],收取状态的群伤法坦
18,射手,1,她是地球最后城市的高级警长。她比谁都清楚繁荣的背后隐藏着多少的罪恶。每当她端掉一个犯罪集团，总会有新的犯罪集团出现。考虑到泰坦将成为人类新的家园，女警加入星际先驱，希望在泰坦建立新的行政系统，将犯罪的潜在元素扼杀于襁褓中。,射手、群伤,圣枪战姬,[b][size=22]圣枪战姬<br>英雄类型：射手<br>操作难度：简单<br>英雄定位：射手<br><br>[/size][/b],11,[b][size=14]圣枪战姬，远距离消耗型射手<br>英雄类型：射手<br>-女枪的大招会对区域内敌人造成铺天盖地的伤害。<br>-女枪进入战斗状态后，击败越多敌人会变得越强，不要在她巅峰状态和她对拼。<br>[/size][/b],擅长扫射的群伤枪手
19,法师,2,风暴龙灵产生亚特兰蒂斯的海洋居民们对风调雨顺的希冀。风暴龙灵驾驭着巨龙驱散台风、暴雨等灾害天气，为其信徒保驾护航。而对于那些不信奉自己的族群，风暴龙灵经常带去暴风雨以迫使那里的居民修建自己的雕像并进贡魔力水晶。,爆发、群伤,风暴龙灵,[b][size=22]风暴龙灵<br>英雄类型：法师<br>操作难度：中等<br>英雄定位：爆发<br><br>[/size][/b],21,[b][size=14]风暴龙灵，远距离爆发型法师<br>英雄类型：法师<br>-风暴龙灵的Q技能有极强的爆发伤害能力。<br>-她的大招可以对后排敌人造成毁灭性伤害，注意针对。<br>[/size][/b],团伤与控制的龙法师
20,辅助,2,罗伯特是第一代强人工智能机器人。它没有新式机器人强大的性能，但经过岁月的洗礼亦或是核心逻辑的篡改，罗伯特发展出了自己的武器DD野心。复制、扩张：这是罗伯特给自己下达的指令。,控制、爆发,钢铁纪元,[b][size=22]钢铁纪元<br>英雄类型：战士<br>操作难度：中等<br>英雄定位：辅助、控制<br><br>[/size][/b],23,[b][size=14]蒸汽机器人，近距离控制型法师<br>英雄类型：法坦<br>-与他对拼时注意躲避他的E技能，不然注定会落入下风。<br>-他的大招是致命的，小心！！。<br>[/size][/b],飞爪抓取敌人的辅助
21,战士,1,暗影丘陵有着东大陆最复杂的地势和险恶的生物。深渊领主是食物链上游的动物。出于捕猎的乐趣，它偶尔会捕食一些和它一样狰狞却不及它强大的动物。但由魔力水晶融化而成的岩浆才是它的主食。,控制、肉盾,深渊领主,[b][size=22]深渊领主<br>英雄类型：战士<br>操作难度：简单<br>英雄定位：1<br><br>[/size][/b],15,[b][size=14]深渊领主，远距离消耗型法师<br>英雄类型：法坦<br>-遁地之后非常难以发现，小心被他靠近。<br>-地穴之王的大招有强力的改变战场的作用。<br>[/size][/b],地底潜行的团控坦克
22,法师,3,小鱼人是泰坦主城的一名小鱼贩。每天清晨，你总能在喧闹的集市一眼看见这个蓝皮肤的家伙。每当有人嘲笑他狩猎自己的同胞以赚钱时，小鱼人都会愤怒地回应“我是鱼人！不是鱼！”。考虑到地球人对于海洋生态的破坏，小鱼人代表“亚特兰蒂斯”志愿加入了泰坦守护联盟。,控制、法师,唤潮小鱼人,[b][size=22]唤潮海灵<br>英雄类型：法师<br>操作难度：困难<br>英雄定位：1<br><br>[/size][/b],5,[b][size=14]唤潮鱼人，远距离消耗型法师<br>英雄类型：法师<br>-QE技能连招来保证E技能命中率。<br>-不要忽视它强大的保护后排能力。<br>[/size][/b],拥有多种控制的小法师
23,刺客,3,能用一颗子弹解决的事情，绝不用两颗。这是伊娃的行事准则。作为顶尖狙击手，伊娃并不是出于责任心、荣誉感加入星际先驱，而是为了挑战自己。作为星际先驱里为数不多的没有经过躯体强化的纯种人类，伊娃为自己的技术感到骄傲。听说这里的战士身怀绝技？伊娃第一万次上膛时说到。,隐形、刺客,魅眼神狙,[b][size=22]魅眼神狙<br>英雄类型：射手<br>操作难度：困难<br>英雄定位：1<br><br>[/size][/b],31,[b][size=14]魅眼神狙，远距离消耗型射手<br>英雄类型：射手<br>-不要以为自己的防御塔下就是安全区域。<br>-一旦被她的大招锁定，请寻找队友的庇护。<br>[/size][/b],超远程攻击的狙击手
24,战士,1,他前世曾是中世纪欧洲最隐秘的地下团体的一员。他们只接受黄金作为酬劳。不管是贫困老妇还是达官贵人，酬劳永远是10个金币。他们会接受一切任务并全力执行，但代价除了10个金币，还有在任务失败下任务委托人自己的性命。,隐形、刺客,幻影利刃,[b][size=22]幻影利刃<br>英雄类型：战士<br>操作难度：简单<br>英雄定位：1<br><br>[/size][/b],16,[b][size=14]幻影利刃，战士型战士<br>英雄类型：战士<br>-隐匿于暗影的战士，小心他的隐匿能力。<br>-不要受到他蓄满气的大招的伤害。<br>[/size][/b],擅长隐身的爆发战士
25,刺客,3,他是基因重组技术和时空置换科技的产物。作为实验品的他被派遣加入星际先驱执行肃清任务。不久的将来，其上千个克隆体也将被派往泰坦行星。,刺客、敏捷,时空幻象,[b][size=22]时空幻象<br>英雄类型：法师<br>操作难度：困难<br>英雄定位：1<br><br>[/size][/b],20,[b][size=14]时空幻象，远距离消耗型法师<br>英雄类型：法坦<br>-不要想着追击或反追击时空旅者，他有着超卓的机动力。<br>-时空幻象的爆发能力可不容小觑。<br>[/size][/b],多段瞬移的爆发团控
26,法师,1,他曾是泰坦远古时期的战士。百战百胜的他在进军冰原地区时遭受伏击，军队死伤殆尽。他虽侥幸逃出，却也身受重伤命不久矣。濒死之际，一股神秘的霜寒魔力从其体内涌出。他站起身，召唤出死去的将士，将敌人消灭殆尽。,召唤、推塔,凛冬战魂,[b][size=22]凛冬战魂<br>英雄类型：法师<br>操作难度：简单<br>英雄定位：1<br><br>[/size][/b],32,[b][size=14]凛冬战魂，统御型法师<br>英雄类型：法坦<br>-凛冬战魂可以召唤出无尽的士兵来破坏万物。<br>-在场上有大量小鬼时千万小心他的E技能。<br>[/size][/b],召唤战魂的推线英雄
27,战士,1,他的前世是中国武术家。他自幼习武，精通十八般武艺。更是气宗拳创始人。在对武术的钻研中，他发现武术中的气既可用于伤人，也可用于救人。他开设的气宗堂一度遍布中国大陆，既教人强健体魄，又救死扶伤。仁者无敌，是他的信念。,控制、输出,傲世神拳,[b][size=22]傲视神拳<br>英雄类型：战士<br>操作难度：简单<br>英雄定位：1<br><br>[/size][/b],,[b][size=14]拳脚双绝，近战爆发性战士<br>英雄类型：战士<br>-高机动高控制的战士，小心躲避他的技能。<br>-不要和他打持久战。<br>[/size][/b],逐段控制的格斗高手
28,射手,3,拜仁来自于泰坦大陆东部的奇幻丛林。拜仁是猫族王国皇家军的长官。拜仁认为猫族是最先进和高贵的种族。虽然它鄙视暗影丘陵那些丑陋的怪兽，也对亚特兰蒂斯的海洋怪胎们颇有微词。但目前，赶走邪恶的地球人才是当务之急！于是，泰坦守护联盟多了皇家火炮队这一重要战力。,群伤、射手,火炮男爵,[b][size=22]火炮男爵<br>英雄类型：射手<br>操作难度：困难<br>英雄定位：1<br><br>[/size][/b],6,[b][size=14]火炮男爵，远距离爆发型射手<br>英雄类型：射手<br>-傻乎乎的吃全他的普攻伤害的玩家，现在已经全灭了。<br>-小心他的强制位移技能。<br>[/size][/b],高射程的团伤炮手
29,法师,2,新安城里有着各式各样的沉浸式电子游戏设施，用以充实物资匮乏的环境下的人类们空虚的灵魂。电子竞技成了大部分人的主业。人们在游戏中的行为模式被星际先驱暗中记录，用以构建人工智能芯片。他就是首个被植入了强AI芯片的男孩“电竞小子”。,群伤、陷阱,电竞小子,[b][size=22]电竞小子<br>英雄类型：法师<br>操作难度：普通<br>英雄定位：1<br><br>[/size][/b],36,[b][size=14]电竞小子，远距离消耗型法师<br>英雄类型：法师<br>-天黑请闭眼，嘿嘿嘿....<br>-不要陷入他的陷阱中再追悔莫及。<br>[/size][/b],炸弹群伤的阵地战英雄
30,战士,3,她出生在病毒肆虐的地球时代。“新安”城糟糕的生存环境和频繁的犯罪事件让她从未有过真正的童年。在地表进行采集工作意外感染病毒而被拒绝返回新安的父亲留给她的唯一遗产是一架哈雷IV式磁悬浮摩托车。她加入新安城的摩托帮并在数年后成为首领。她恨把父亲遗留在地表等死的新安治安官，也恨把新安人留在地球的方舟居民。,战士,狂野紫罗兰,不读此列,,[b][size=14]北海鱼姬，远距离消耗型法师<br>英雄类型：法坦<br>-与他对拼时注意躲避他的Q技能。<br>-他的大招是致命的，小心！！。<br>[/size][/b],
31,战士,3,它是她的保护伞，她是它的小主人。它是魔能智兽的龙猫，而她是方舟居民的一员。化身为萝莉身的她和善良的龙猫先生一起游历泰坦各个大陆，向魔能智兽们传播先进的科技知识，学习各个兽族的文化，以促进人类和泰坦当地居民的和平交流。当然了，驯服，也是交流的一部分。 ,法师,龙猫萝莉,不读此列,10,[b][size=14]光能魔导士，技能无冷却法师<br>英雄类型：法坦<br>-当他蓝量较多时，他的爆发和伤害将很可怕<br>-蓝量越多，大招的伤害越高。<br>[/size][/b],无冷却高爆发法师
32,战士,2,北海鱼姬是亚特兰蒂斯的海灵，她从亚特兰蒂斯王国居民们祈求和平的信仰中诞生。同时，她也和风暴龙灵争夺着亚特兰蒂斯居民的信仰。传说中她曾和风暴龙灵在亚特兰蒂斯大战三个月，在烈日和暴雨中，从高空到海面。最终北海鱼姬和风暴龙灵达成协议，鱼姬拥有亚特兰蒂斯深海居民的信仰，龙灵拥有浅海居民的信仰。和平的代价着实不低。,群伤、控制,北海鱼姬,不读此列,17,[b][size=14]北海鱼姬，远距离消耗型法师<br>英雄类型：法师<br>-她看起来法伤很高，其实只是个辅助！<br>-她和队友融为一体了！<br>[/size][/b],附身队友的辅助型法师
33,战士,3,在泰坦行星，人型的生命体是神性的象征。只有星灵拥有着人型的躯体。然而在奇幻丛林深处，却有一个半人半兽的生物。她有着人型上半身和鹿的下半身。有魔能智兽将她当做半神来崇拜，也有魔能智兽将她视作怪胎。她和暗影丘陵的肉食植物达成契约，用食肉花在奇幻丛林中不断扩张自己的领土。,召唤、推塔,芳野鹿灵,不读此列,13,[b][size=14]芳野鹿灵，阵地战消耗型法师<br>英雄类型：法师<br>-别搞错了，花才是主力输出！<br>-大招出现前有预备光效，要注意了！<br>[/size][/b],植物才是本体的阵地战法师
34,战士,2,铁拳兽宝和拜仁一样，来自泰坦大陆东部的奇幻丛林。他无父无母，被猫族王国皇家军抚养并训练。虽然它的体态和味道与猫族有些许差异，但大家并没有深究。直到兽宝和猫族伙伴们打闹时受伤，自己身上的鲜血味道让它变得亢奋和激动，随着身体的剧烈抽搐，它失去了意识。当它醒来时，自己已深处奇幻丛林深处，身上沾满不知从何而来的血迹。,控制、输出,铁拳兽宝,不读此列,15,[b][size=14]铁拳兽宝，双形态战士<br>英雄类型：战士<br>-小兽宝非常灵活，并且拥有着和其身材不相当的肉度。当兽宝变成兽王时，其血量和攻击力更胜一筹，并且浑身是控！<br>-团战时，要注意分散站位，不然会被兽王的大招抱入怀里！<br>[/size][/b],双形态能量型战士
35,战士,1,蓝翼切割者曾是“新安”的治安维护再生人。她遵循着以保护人类为核心的“再生人三定律”。到达泰坦后，星际先驱将它的武器从电击棍、闪光弹升级成了更具攻击性的光束镰刀以及粒子束悬浮飞行器。它的身份从治安官变成了侵略军，也逐渐习惯从空中俯视人类。赢得这场战争的意义是根绝余下所有的战争！,群伤、输出,蓝翼切割者,不读此列,4,[b][size=14]蓝翼切割者，近距离持续输出型战士<br>英雄类型：战士<br>-在前期，尤其小心她的Q技能的伤害和恢复能力<br>-当你的脚下出现神秘的蓝色法阵时，下一秒蓝翼切割者就将华丽登场。<br>[/size][/b],飞天支援型团体输出战士
36,战士,2,为了维护银河宇宙的和平他恪尽职守，在清除残存在宇宙的生化魔人时一同坠入这异域空间，即使在这异域空间他依然对生化魔人群追不舍，不，只要还有邪恶存在，他都将清除干净,射手,银河战警,不读此列,7,[b][size=14]银河战警，越肩视角普攻型射手<br>英雄类型：射手<br>-他的机动性非常之高。如果没有稳定的控制技能，不要轻易尝试追击他。<br>-鸟枪换大炮？你可得注意了！<br>[/size][/b],高速射击超强机动射手
37,战士,2,在与人类的战争中，深受重伤的它被方舟遗民俘获、研究并改造。它的肉体被舍弃，取而代之的是崭新的合金躯体。在人类试图抹除它记忆的关键时刻，它杀出一条血路，从方舟的实验室逃出，历经千辛万苦回到了熟悉的奇幻丛林。然而对魔能智兽而言，它已不再属于自己的种族。,暂定,光子跃迁者,不读此列,35,[b][size=14]光子跃迁者，闪避灵活的突进形刺客<br>英雄类型：近战刺客<br>-她具有无法匹敌的身形技艺，以至于能万军丛中取敌将性命而游刃有余。<br>-别让她靠近！<br>[/size][/b],闪避灵活的突进形刺客
38,战士,3,暂无,暂定,末日战甲,不读此列,37,[b][size=14]银河战警，越肩视角普攻型射手<br>英雄类型：射手<br>-他的机动性非常之高。如果没有稳定的控制技能，不要轻易尝试追击他。<br>-鸟枪换大炮？你可得注意了！<br>[/size][/b],高速射击超强机动射手
39,战士,4,暂无,暂定,邪能恶魔,不读此列,38,[b][size=14]银河战警，越肩视角普攻型射手<br>英雄类型：射手<br>-他的机动性非常之高。如果没有稳定的控制技能，不要轻易尝试追击他。<br>-鸟枪换大炮？你可得注意了！<br>[/size][/b],高速射击超强机动射手
40,战士,5,暂无,暂定,傀儡双骄,不读此列,39,[b][size=14]银河战警，越肩视角普攻型射手<br>英雄类型：射手<br>-他的机动性非常之高。如果没有稳定的控制技能，不要轻易尝试追击他。<br>-鸟枪换大炮？你可得注意了！<br>[/size][/b],高速射击超强机动射手
41,战士,6,暂无,暂定,契约者,不读此列,40,[b][size=14]银河战警，越肩视角普攻型射手<br>英雄类型：射手<br>-他的机动性非常之高。如果没有稳定的控制技能，不要轻易尝试追击他。<br>-鸟枪换大炮？你可得注意了！<br>[/size][/b],高速射击超强机动射手
42,战士,7,暂无,暂定,战争祸源,不读此列,41,[b][size=14]银河战警，越肩视角普攻型射手<br>英雄类型：射手<br>-他的机动性非常之高。如果没有稳定的控制技能，不要轻易尝试追击他。<br>-鸟枪换大炮？你可得注意了！<br>[/size][/b],高速射击超强机动射手
