AI配置ID,出装顺序表,消耗品列表,,
110,174;171;150;203;131;173;198;173;174;216;171;231;172;170;124;172;151;171;172;125;175;152;203;133;172;238;220,,尸鬼（简单）,
112,171;168;167;168;169;108;168;195;168;148;114;179;164;169;243;146;145L;224;168;148;168;106;147;112,,绿先知（简单）,
114,171;168;167;168;169;108;179;164;168;195;168;148;114;145;168;168;113;169;243;146;145L;224;147;112,,龙母（简单）,
116,168;171;167;168;169;108;168;243;202;168;138;171;200;170;139;172;169;243;157;172;151;204;168;172;236;168;148;111;171;150;228,,小鱼人（简单）,
118,175;175;159;152;117;175;159;175;152;212;175;175;191;174;171;116;179;235;175;175;197;175;123;171;200;140,,无面者（简单）,
120,174;175;155;174;158;141;153;154;203;118;179;235;174;173;198;173;174;216;175;175;197;175;123;171;150;131,,小炮（简单）,
122,168;243;202;168;138;171;201;168;148;223;168;148;168;226;179;235;171;200;170;140;171;150;228,,鱼姬（简单）,
126,172;171;172;194;150;136;171;150;203;131;179;234;175;152;203;171;133;175;171;193;171;132;172;238;220,,兽宝（简单）,
128,176;171;150;244;172;238;170;220;175;152;203;171;133;179;235;171;231;172;124;171;200;139,,收割者（简单）,
130,174;175;155;174;158;141;153;154;203;118;179;235;174;173;198;173;174;216;175;175;197;175;123;171;150;131,,战警（简单）,
125,171;168;167;168;169;108;179;164;168;195;168;148;114,,新手训练火法,
135,174;175;155;174;158;141;153;154;203;118;179;235,,新手训练卓戈,
139,174;175;155;174;158;141;153;154;203;118;179;235;174;173;198;173;174;216;175;175;197;175;123;171;150;131,,李寻欢,
141,172;171;172;194;150;136;172;238;170;220;179;235;169;243;146;145L;224;171;242;239;171;150;221;171;200;140,,巨盾,
143,168;171;167;168;169;108;179;164;168;195;168;148;114;145;168;168;113;169;243;146;145L;224;147;112,,青蛙,
145,172;171;172;194;150;136;171;150;203;131;179;234;175;152;203;171;133;175;171;193;171;132;172;238;220,,李小龙,
147,168;171;167;168;169;108;179;164;168;195;168;148;114;145;168;168;113;169;243;146;145L;224;147;112,,异鬼,
149,168;171;167;168;169;108;179;164;169;243;146;145L;224;168;172;236;168;168;109;168;171;167;168;233;217;171;200;139,,龙猫,
151,168;171;167;168;169;108;168;195;168;148;114;179;164;169;243;146;145L;224;168;148;168;106;147;112,,炸弹人,
153,174;175;155;174;158;141;153;154;203;118;179;235;174;173;198;173;174;216;175;175;197;175;123;171;150;131,,东洋,
155,172;171;172;194;150;136;172;238;170;220;179;235;169;243;146;145L;224;171;242;239;171;150;221;171;200;140,,虫子,
157,174;175;155;174;158;141;153;154;203;118;179;235;174;173;198;173;174;216;175;175;197;175;123;171;150;131,,时空,
159,168;171;167;168;169;108;179;164;168;195;168;148;114;145;168;168;113;169;243;146;145L;224;147;112,,鹿灵,
181,168;148;168;168;106;179;164;168;195;168;148;114;145;174;174;158;174;126;147;168;112;145;113,,男巫,
183,176;175;199;175;152;175;211;174;173;198;173;174;216;175;152;203;171;133;179;235;174;174;158;175;155;141;172;238;220,,红毒蛇,
