 ,天赋ID,天赋学习等级,天赋图标,推荐显示,激活类型（0默认自动;1系统）,升星激活等级（激活类型需为0）,场内是否等级互斥(0不互斥1互斥),显示类型（0未激活不显示1未激活显示）,影响技能槽位 ,天赋名称,天赋奖励名称,天赋描述,未激活描述,场内天赋描述,前置天赋,战场类型ID
1,10113,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
1,10114,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
1,10115,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
2,10201,3,98,1,0,0,1,1,3,养精蓄锐【被动】,天赋：养精蓄锐,身边有敌方小兵殒命时永久提升攻击力,,身边有敌方小兵殒命时永远提升攻击力，最多增加30点,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10202,3,100,0,0,5,1,1,1,强力驱退【[SKILLSLOT=1]键】,天赋：强力驱退,幻灭之箭变为群体击退,,幻灭之箭变为群体击退,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10203,3,99,0,0,5,1,1,0,锐不可当【[SKILLSLOT=0]键】,天赋：锐不可当,精灵之箭造成额外伤害,,精灵之箭造成  [LEVEL=303+20][red](+[PA=30])[/red]点额外物理伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10204,6,102,1,0,0,1,1,-1,森灵悦动【[SKILLSLOT=2]键】,天赋：森灵悦动,10秒内攻击速度大幅提升,,10秒内攻击速度大幅提升,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
2,10205,6,102,0,0,5,1,1,-1,千灵风缚箭【[SKILLSLOT=2]键】,天赋：千灵风缚箭,射出巨型冰箭，击中敌方英雄后爆炸，对目标周围敌人造成伤害和晕眩,,射出巨型冰箭，击中敌方英雄后爆炸，对目标周围敌人造成伤害和晕眩,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10206,9,99,0,0,5,1,1,0,易损【[SKILLSLOT=0]键】,天赋：易损,精灵之箭对敌人施加易损状态，普攻可触发额外伤害。,,精灵之箭对敌人施加易损状态，普攻可触发额外伤害。,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10207,9,98,1,0,0,1,1,3,集中注意【被动】,天赋：集中注意,7米范围内没有敌方英雄时，攻击力提升10%,,7米范围内没有敌方英雄时，攻击力提升10%,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10208,9,98,0,0,5,1,1,3,活化肌肉【被动】,天赋：活化肌肉,获得300点生命值上限,,获得300点生命值上限,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10211,12,227,1,0,0,1,1,3,三环【被动】,天赋：三环,对英雄连续三次普攻可造成额外60%的普攻伤害,,对英雄连续三次普攻可造成额外60%的普攻伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10212,12,149,1,0,0,1,1,3,闪电【被动】,天赋：闪电,普通攻击有概率引发闪电链，对目标周围敌方单位造成伤害,,普通攻击有概率引发闪电链，对目标周围敌方单位造成伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10213,12,224,0,0,0,1,1,3,法术护盾【被动】,天赋：法术护盾,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害10%，持续3秒，冷却60秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10209,15,102,1,0,0,1,1,2,森灵悦动【[SKILLSLOT=2]键】,天赋：森灵悦动,10秒内提升攻击速度和普攻伤害,,10秒内提升攻击速度和普攻伤害,10204,0;1;2;3;4;5;6;7;8;9;11;12;13;14
2,10210,15,102,0,0,5,1,1,2,千灵风缚箭【[SKILLSLOT=2]键】,天赋：千灵风缚箭,射出巨型冰箭，击中敌方英雄后爆炸，对目标周围敌人造成伤害和晕眩,,射出巨型冰箭，击中敌方英雄后爆炸，对目标周围敌人造成伤害和晕眩,10205,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
2,10214,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
2,10215,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
2,10216,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
2,10217,3,98,1,0,0,1,1,3,养精蓄锐【被动】,天赋：养精蓄锐,身边有敌方小兵殒命时永久提升攻击力,,身边有敌方小兵殒命时永远提升攻击力，最多增加30点,,10
2,10218,6,102,1,0,0,1,1,-1,森灵悦动【[SKILLSLOT=2]键】,天赋：森灵悦动,10秒内攻击速度大幅提升,,10秒内攻击速度大幅提升,,10
2,10219,9,98,1,0,0,1,1,3,集中注意【被动】,天赋：集中注意,7米范围内没有敌方英雄时，攻击力提升10%,,7米范围内没有敌方英雄时，攻击力提升10%,,10
2,10220,12,227,1,0,0,1,1,3,三环【被动】,天赋：三环,对英雄连续三次普攻可造成额外60%的普攻伤害,,对英雄连续三次普攻可造成额外60%的普攻伤害,,10
2,10221,12,149,1,0,0,1,1,3,闪电【被动】,天赋：闪电,普通攻击有概率引发闪电链，对目标周围敌方单位造成伤害,,普通攻击有概率引发闪电链，对目标周围敌方单位造成伤害,,10
2,10222,12,224,0,0,0,1,1,3,法术护盾【被动】,天赋：法术护盾,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害10%，持续3秒，冷却60秒,,10
2,10223,15,102,1,0,0,1,1,2,森灵悦动【[SKILLSLOT=2]键】,天赋：森灵悦动,10秒内提升攻击速度和普攻伤害,,10秒内提升攻击速度和普攻伤害,10218,10
2,10224,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,10
2,10225,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,10
2,10226,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,10
3,10301,3,88,0,0,5,1,1,3,心火【被动】,天赋：心火,提高被动普攻额外伤害,,提高被动普攻额外伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
3,10302,3,88,0,0,5,1,1,3,吸金【被动】,天赋：吸金,每4秒额外获取10点金币,,每4秒额外获取10点金币,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
3,10303,3,90,1,0,0,1,1,0,熔岩【[SKILLSLOT=0]键】,天赋：熔岩,暗炎聚爆会熔化地面，持续3秒灼烧敌人,,暗炎聚爆会熔化地面，持续3秒灼烧敌人，受到每秒 [LEVEL=85+10][blue](+[MA=5])[/blue]点法术伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
3,10304,6,92,0,0,5,1,1,-1,火影【[SKILLSLOT=2]键】,天赋：火影,对单个敌方英雄造成持续伤害，并使其不能攻击,,持续3秒对单个敌方英雄造成总共 240[blue](+[MA=75])[/blue]的持续法术伤害，并使其不能攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
3,10305,6,89,1,0,0,1,1,-1,熔核术【[SKILLSLOT=2]键】,天赋：熔核术,绯红之焰释放出火球追击目标英雄，击中后引发爆炸，造成范围伤害，如果8秒内未击中目标，火球自动熄灭,,绯红之焰释放出火球追击目标英雄，击中后引发爆炸，造成范围伤害，如果8秒内未击中目标，火球自动熄灭,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
60,10306,9,88,0,0,5,1,1,3,末日之炎【被动】,天赋：末日之炎,初始之火伤害提升至3%目标最大生命值,,初始之火伤害提升至3%目标最大生命值,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
3,10307,9,90,1,0,0,1,1,0,三昧真火【[SKILLSLOT=0]键】,天赋：三昧真火,暗炎聚爆变为3次伤害，总伤害提升到[LEVEL=650+90][blue](+[MA=38])[/blue]，提高熔岩持续至5秒,,暗炎聚爆变为3次伤害，总伤害提升到[LEVEL=1950+270][blue](+[MA=114])[/blue]，提高熔岩持续至5秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
3,10308,9,90,0,0,5,1,1,0,流星雨【[SKILLSLOT=0]键】,天赋：流星雨,暗炎聚爆击中敌方英雄，冷却时间减少3秒,,暗炎聚爆击中敌方英雄，冷却时间减少3秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
3,10311,12,230,0,0,0,1,1,18,金身【1键】,天赋：金身,使英雄无敌2.5秒，期间不能做任何操作,,使英雄无敌2.5秒，期间不能做任何操作,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
3,10312,12,231,0,0,0,1,1,16,冰霜冲击【1键】,天赋：冰霜冲击,对目标英雄造成一次魔法伤害并减速,,对目标英雄造成一次魔法伤害并减速,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
3,10313,12,224,1,0,0,1,1,3,法术护盾【被动】,天赋：聚合,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害10%，持续3秒，冷却60秒,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
3,10309,15,92,0,0,5,1,1,2,火影【[SKILLSLOT=2]键】,天赋：火影,火影持续时间增加，伤害提升,,火影持续时间提升至5秒，伤害提升到525[blue]（+[MA=100]）[/blue]点,10304,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
3,10310,15,89,1,0,0,1,1,2,熔核术【[SKILLSLOT=2]键】,天赋：熔核术,大火球伤害提升,,大火球伤害提升到810[blue]（+[MA=150]）[/blue]点,10305,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
3,10314,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;15
3,10315,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;10;11;12;13;15
3,10316,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;10;11;12;13
3,10317,3,90,1,0,0,1,1,0,熔岩【[SKILLSLOT=0]键】,天赋：熔岩,暗炎聚爆会熔化地面，持续3秒灼烧敌人,,暗炎聚爆会熔化地面，持续3秒灼烧敌人，受到每秒 [LEVEL=85+10][blue](+[MA=5])[/blue]点法术伤害,,10
3,10318,6,89,1,0,0,1,1,-1,熔核术【[SKILLSLOT=2]键】,天赋：熔核术,绯红之焰释放出火球追击目标英雄，击中后引发爆炸，造成范围伤害，如果8秒内未击中目标，火球自动熄灭,,绯红之焰释放出火球追击目标英雄，击中后引发爆炸，造成范围伤害，如果8秒内未击中目标，火球自动熄灭,,10
3,10319,9,90,1,0,0,1,1,0,流星雨【[SKILLSLOT=0]键】,天赋：流星雨,暗炎聚爆击中敌方英雄，冷却时间减少3秒,,暗炎聚爆击中敌方英雄，冷却时间减少3秒,,10
3,10320,15,89,1,0,0,1,1,2,熔核术【[SKILLSLOT=2]键】,天赋：熔核术,大火球伤害提升,,大火球伤害提升到810[blue]（+[MA=150]）[/blue]点,10318,10
4,10401,3,182,0,0,5,1,1,0,剑意纵横【[SKILLSLOT=0]键】,天赋：剑意纵横,樱花护印可以移动释放,,樱花护印可以移动释放,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
4,10402,3,182,0,0,5,1,1,0,强化剑法【[SKILLSLOT=0]键】,天赋：强化剑法,樱花护印成功后，剑气横扫会晕眩敌人1秒,,樱花护印成功后，剑气横扫会晕眩敌人1秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
4,10403,3,182,1,0,0,1,1,0,气元斩【[SKILLSLOT=0]键】,天赋：气元斩,樱花护印技能结束后自动释放剑气横扫,,樱花护印技能结束后自动释放剑气横扫，伤害提升到[LEVEL=1010+75][red](+[PA=100])[/red]点物理伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
4,10404,6,184,1,0,0,1,1,-1,樱花元气斩【[SKILLSLOT=2]键】,天赋：樱花元气斩,锁定所有处于疾风居合浮空状态的目标，对浮空目标发起元气斩，再次浮空且对浮空目标连续造成多段伤害,,锁定所有处于疾风居合浮空状态的目标，对浮空目标发起元气斩，再次浮空且对浮空目标连续造成多段伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
4,10405,9,183,0,0,5,1,1,1,剑气内敛【[SKILLSLOT=1]键】,天赋：剑气内敛,疾风居合对击中的第一个目标伤害提高,,疾风居合对击中的第一个目标伤害提高30%,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
4,10406,9,181,1,0,0,1,1,3,回气【被动】,天赋：回气,每次普通攻击击中敌人，疾风居合冷却降低,,每次普通攻击击中敌人，疾风居合冷却降低0.75秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
4,10409,12,116,0,0,0,1,1,16,净化【1键】,天赋：净化,移除身上减益效果并在之后的3秒内降低减益效果持续时间,,移除身上减益效果并在之后的3秒内降低减益效果持续时间,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
4,10410,12,162,0,0,0,1,1,16,腐蚀【1键】,天赋：腐蚀,降低范围内敌方英雄护甲,,降低范围内敌方英雄护甲,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
4,10411,12,234,1,0,0,1,1,3,法术护盾【被动】,天赋：法术护盾,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害15%，持续3秒，冷却60秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
4,10408,15,184,1,0,0,1,1,2,气元爆发【[SKILLSLOT=2]键】,天赋：气元爆发,樱花元气斩的伤害提升,,樱花元气斩的伤害提升,10404,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
4,10412,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
4,10413,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
4,10422,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
5,10501,3,191,0,0,5,1,1,0,猛烈撞击【[SKILLSLOT=0]键】,天赋：猛烈撞击,野蛮冲撞对敌人造成额外法术伤害,,野蛮冲撞对敌人造成[LEVEL=513+70][red](+[MA=30])[/red]点额外法术伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
5,10502,3,191,1,0,0,1,1,0,撞晕【[SKILLSLOT=0]键】,天赋：撞晕,野蛮冲撞造成的眩晕效果延长1秒,,野蛮冲撞造成的眩晕效果延长1秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
5,10503,3,191,0,0,5,1,1,0,破甲撞击【[SKILLSLOT=0]键】,天赋：破甲撞击,野蛮冲撞额外降低敌人30%魔法抗性和护甲值，持续5秒,,野蛮冲撞额外降低敌人30%魔法抗性和护甲值，持续5秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
5,10504,6,193,1,0,0,1,1,-1,重盾挥击【[SKILLSLOT=2]键】,天赋：重盾挥击,狂野巨盾大力挥动盾牌，对周围半径7米范围内的所有敌人造成法术伤害，并且晕眩0.5秒，在6秒内可以连续释放3次,,狂野巨盾大力挥动盾牌，对周围半径7米范围内的所有敌人造成法术伤害，并且晕眩0.5秒，在6秒内可以连续释放3次,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
5,10505,9,192,1,0,0,1,1,1,尖刺刃盾【[SKILLSLOT=1]键】,天赋：尖刺刃盾,举盾状态每秒对周围所有敌人造成法术伤害,,举盾状态对周围所有敌人每秒造成[LEVEL=342+45][blue](+[MA=20])[/blue]点法术伤害，持续5秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
5,10506,9,192,0,0,5,1,1,1,轻盈护盾【[SKILLSLOT=1]键】,天赋：轻盈护盾,举盾状态自身不减速,,举盾状态自身不减速,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
5,10507,9,192,0,0,5,1,1,1,能量护盾【[SKILLSLOT=1]键】,天赋：能量护盾,护盾效果增加额外30%伤害减免,,护盾效果增加额外30%伤害减免,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
5,10509,12,124,0,0,0,1,1,16,激昂【1键】,天赋：激昂,增加周围我方英雄移速,,增加周围我方英雄移速,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
5,10510,12,237,1,0,0,1,1,3,防御光环【被动】,天赋：防御光环,周围友方英雄双抗提升20,,周围友方英雄双抗提升20,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
5,10511,12,162,0,0,0,1,1,16,腐蚀【1键】,天赋：腐蚀,降低范围内敌方英雄护甲,,降低范围内敌方英雄护甲,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
5,10508,15,193,1,0,0,1,1,2,野蛮打击【[SKILLSLOT=2]键】,天赋：野蛮打击,重盾挥击对目标造成的伤害提高,,重盾挥击对目标造成的伤害提高,10504,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
5,10512,18,98,0,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
5,10513,18,36,1,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
5,10514,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
6,10601,3,213,0,0,5,1,1,1,吞食恐惧【[SKILLSLOT=1]键】,天赋：吞食恐惧,吞食敌人后，自身获得护盾,,吞食敌人后，自身获得能抵挡50[green](+[MHP=8])[/green]点法术伤害的护盾，持续3秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
6,10602,3,212,1,0,0,1,1,0,粘液腐蚀【[SKILLSLOT=0]键】,天赋：粘液腐蚀,劲舌鞭击击中敌人会造成持续法术伤害,,劲舌鞭击击中敌人会造成每秒[LEVEL=85+10][red](+[MA=5])[/red]点法术伤害，持续3秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
6,10603,3,212,0,0,5,1,1,0,劲舌鞭击【[SKILLSLOT=0]键】,天赋：劲舌鞭击,劲舌鞭击距离加长,,劲舌鞭击距离加长5米,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
6,10604,6,214,1,0,0,1,1,-1,跳蛙喷射【[SKILLSLOT=2]键】,天赋：跳蛙喷射,深海蛙王腾空而起，向指定区域喷射粘液，对区域内所有敌人造成持续法术伤害，持续[orange]3[/orange]秒,,深海蛙王腾空而起，向指定区域喷射粘液，对区域内所有敌人造成持续法术伤害，持续[orange]3[/orange]秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
6,10606,9,211,1,0,0,1,1,3,粘液粘连【被动】,天赋：粘液粘连,提高被动伤害,,被动伤害提升为[LEVEL=1026+145][red](+[MA=60])[/red]点,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
6,10607,9,211,0,0,5,1,1,1,粘稠吮吸【[SKILLSLOT=1]键】,天赋：粘稠吮吸,吐出敌人的最终区域内所有敌人受到晕眩1秒,,吐出敌人的最终区域内所有敌人受到晕眩1秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
6,10605,9,211,0,0,5,1,1,1,吞食强化【[SKILLSLOT=1]键】,天赋：吞食强化,每吞食1个英雄增加120血量上限，最多叠加5层（死亡清除所有累积）,,每吞食1个英雄增加120血量上限，最多叠加5层（死亡清除所有累积）,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
6,10609,12,230,0,0,0,1,1,18,金身【1键】,天赋：金身,使英雄无敌2.5秒，期间不能做任何操作,,使英雄无敌2.5秒，期间不能做任何操作,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
6,10610,12,231,1,0,0,1,1,16,冰霜冲击【1键】,天赋：冰霜冲击,对目标英雄造成一次魔法伤害并减速,,对目标英雄造成一次魔法伤害并减速,,0;1;2;3;4;5;6;7;8;9;11;12;13;14
6,10611,12,224,0,0,0,1,1,3,法术护盾【被动】,天赋：聚合,受到技能后触发法术护持，减免技能伤害，持续3秒，冷却60秒,,受到技能后触发法术护持，减免技能伤害10%，持续3秒，冷却60秒,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
6,10608,15,214,1,0,0,1,1,2,强力喷射【[SKILLSLOT=2]键】,天赋：强力喷射,蛙跳喷射伤害增加,,蛙跳喷射伤害增加,10604,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
6,10612,18,98,1,0,0,1,1,3,羽化【T键】,天赋：羽化,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,不用购买翅膀也可飞行，且降低加速飞行体力消耗,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
6,10613,18,36,0,0,0,1,1,3,治愈【被动】,天赋：治愈,没有受到攻击时，每秒回复3%的血和蓝,,没有受到攻击时，每秒回复3%的血和蓝,,0;1;2;3;4;5;6;7;8;9;11;12;13;15
6,10614,18,170,0,0,0,1,1,18,毁墙【2键】,天赋：毁墙,使敌方单个防御塔5秒内无法攻击,,使敌方单个防御塔5秒内无法攻击,,0;1;2;3;4;5;6;7;8;9;11;12;13
7,10701,3,329,1,0,0,1,1,0,勿忘草【[SKILLSLOT=0]键】,天赋：勿忘草,花灵庇护能增加目标15%的移动速度,,花灵庇护能增加目标15%的移动速度,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
7,10702,3,329,0,0,5,1,1,0,君子兰【[SKILLSLOT=0]键】,天赋：君子兰,花灵庇护能会给目标回复生命,,花灵庇护能会给目标回复生命[LEVEL=600+30][blue](+[MA=30])[/blue]点生命,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
7,10703,3,329,0,0,5,1,1,0,双色郁金香【[SKILLSLOT=0]键】,天赋：双色郁金香,对友方英雄（不包括自己）使用花灵庇护，友方英雄增加500金币，冷却3分钟,,对友方英雄（不包括自己）使用花灵庇护，友方英雄增加500金币，冷却3分钟,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
7,10704,6,331,1,0,0,1,1,-1,彼岸仙境【[SKILLSLOT=2]键】,天赋：彼岸仙境,持续施法，每秒回复半径15米范围内友方生命值（自身可移动施法）,,持续施法，每秒回复半径15米范围内友方生命值（自身可移动施法）,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
7,10705,6,331,0,0,5,1,1,-1,仙女下凡【[SKILLSLOT=2]键】,天赋：仙女下凡,指定一个区域，使区域内的所有英雄受到持续的法术伤害,,指定一个区域，使区域内的所有英雄受到持续的法术伤害,,0;1;2;3;4;5;6;7;8;9;11;12;13;14;15
