地图ID,静态点序号,自动创建(0-不自动创建 1自动创建),名称,图标,X坐标,Z坐标,tips字符串,tips背景颜色,备注
180,22,0,,monster5,62,14,0,,314野
180,23,0,,monster5,5.39,37.22,0,,313狼
180,24,0,,monster5,20.1,-84.59,0,,32远古石甲虫
180,25,0,,monster5,-57.13,-13.54,0,,324锋啄鸟
180,26,0,,monster5,-8.48,-36.03,0,,323暗影狼
180,27,0,,monster5,89.1,-15.2,0,,31魔沼蛙
180,28,0,,monster5,-89.74,15.47,0,,32魔沼蛙
180,29,0,,monster5,20,-18,,,31峡谷迅捷蟹
180,30,0,,monster5,-71,68,,,32峡谷迅捷蟹
180,31,0,,monster5,125.25,126.25,,,2014魔泉
180,32,0,,monster5,125.25,126.25,,,2014魔泉
180,33,0,,monster5,-125.25,-126.25,,,2015圣泉
180,34,0,,monster5,-125.25,-126.25,,,2015圣泉
180,35,0,,monster8,-50.7,53.6,,,小龙观察
180,36,0,,monster9,47.94,-43.47,0,,黄金侍卫
180,37,0,,monster9,-50.7,53.6,,,黄金侍卫
180,38,0,,monster5,86,15,,,阿尔法星云异兽
180,39,0,,monster5,24,78,,,贝塔星云异兽
180,40,0,,monster5,-87.5,-9,,,伽马星云异兽
180,41,0,,monster5,-21,-77,,,德尔塔星云异兽
180,42,0,,Icon5B,60,-60,,,符文神兽
180,43,0,,Icon5B,-30,30,,,符文神兽
181,1,1,,monster2,366.3,-161.3,,,大资源点1
181,2,1,,monster2,371,365.1,,,大资源点2
181,3,1,,monster2,286.1,131.9,,,大资源点3
181,4,1,,monster2,-258.7,257.3,,,大资源点4
181,5,1,,monster2,-185.4061,43.8717,,,大资源点5
181,6,1,,monster2,9,310,,,大资源点6
181,7,1,,monster2,-206.4829,-340.2663,,,大资源点7
181,8,1,,monster2,-384.99,-14.6,,,大资源点8
181,9,1,,monster2,130.4,-91.1,,,大资源点9
181,10,1,,monster2,317,-407.1759,,,大资源点10
181,11,1,,monster5,445.3767,-215.3809,,,小资源点10
181,12,1,,monster5,450.375,-220.4033,,,小资源点2
181,13,1,,monster5,444.8699,-224.9875,,,小资源点3
181,14,1,,monster5,440.8824,-219.6716,,,小资源点4
181,15,1,,monster5,221.025,-68.16299,,,小资源点5
181,16,1,,monster5,224.2026,-73.8924,,,小资源点6
181,17,1,,monster5,220.938,-79.6167,,,小资源点7
181,18,1,,monster5,217.1779,-72.3508,,,小资源点8
181,19,1,,monster5,20.48938,-81.7457,,,小资源点9
181,20,1,,monster5,22.87,-83.45001,,,小资源点10
181,21,1,,monster5,19.90997,-84.41,,,小资源点11
181,22,1,,monster5,18.92999,-82.17001,,,小资源点12
181,23,1,,monster5,380.9164,272.84,,,小资源点13
181,24,1,,monster5,379.8673,279.8129,,,小资源点14
181,25,1,,monster5,377.0164,275.9469,,,小资源点15
181,26,1,,monster5,384.0068,276.1796,,,小资源点16
181,27,1,,monster5,266.1608,447.989,,,小资源点17
181,28,1,,monster5,268.2117,439.684,,,小资源点18
181,29,1,,monster5,262.7405,443.876,,,小资源点19
181,30,1,,monster5,271.6004,444.959,,,小资源点20
181,31,1,,monster5,144.4077,461.84,,,小资源点21
181,32,1,,monster5,141.8306,460.81,,,小资源点22
181,33,1,,monster5,142.34,463.519,,,小资源点23
181,34,1,,monster5,144.98,464.4659,,,小资源点24
181,35,1,,monster5,-23.99881,92.96667,,,小资源点25
181,36,1,,monster5,-26.07001,87.91998,,,小资源点26
181,37,1,,monster5,-28.56699,89.05621,,,小资源点27
181,38,1,,monster5,-23.35001,90.90002,,,小资源点28
181,39,1,,monster5,247.0508,-356.3066,,,小资源点29
181,40,1,,monster5,247.351,-346.779,,,小资源点30
181,41,1,,monster5,242.8725,-351.5514,,,小资源点31
181,42,1,,monster5,252.4277,-351.454,,,小资源点32
181,43,1,,monster5,437.0109,-359.3917,,,小资源点33
181,44,1,,monster5,428.826,-364.084,,,小资源点34
181,45,1,,monster5,423.6119,-358.1251,,,小资源点35
181,46,1,,monster5,429.8879,-356.0508,,,小资源点36
181,47,1,,monster5,228.1935,-464.093,,,小资源点37
181,48,1,,monster5,227.7437,-455.1096,,,小资源点38
181,49,1,,monster5,224.144,-460.1297,,,小资源点39
181,50,1,,monster5,231.7236,-459.1349,,,小资源点40
181,51,1,,monster5,-187.1214,463.325,,,小资源点41
181,52,1,,monster5,-188.11,459.798,,,小资源点42
181,53,1,,monster5,-190.02,464.271,,,小资源点43
181,54,1,,monster5,-187.36,461,,,小资源点44
181,55,1,,monster5,-380.0115,478.823,,,小资源点45
181,56,1,,monster5,-385.0845,475.09,,,小资源点46
181,57,1,,monster5,-391.4153,478.399,,,小资源点47
181,58,1,,monster5,-384.7531,480.973,,,小资源点48
181,59,1,,monster5,-58.1062,278.2343,,,小资源点49
181,60,1,,monster5,-64.82971,275.5103,,,小资源点50
181,61,1,,monster5,-69.7619,280.574,,,小资源点51
181,62,1,,monster5,-63.67151,281.5877,,,小资源点52
181,63,1,,monster5,358.1401,-279.5574,,,小资源点53
181,64,1,,monster5,358.83,-275.8354,,,小资源点54
181,65,1,,monster5,351.5767,-275.0759,,,小资源点55
181,66,1,,monster5,357.4991,-273.2545,,,小资源点56
181,67,1,,monster5,229.9232,116.2195,,,小资源点57
181,68,1,,monster5,235.6926,119.3004,,,小资源点58
181,69,1,,monster5,224.1096,119.4478,,,小资源点59
181,70,1,,monster5,229.7264,122.0651,,,小资源点60
181,71,1,,monster5,390.0541,98.05798,,,小资源点61
181,72,1,,monster5,385.2554,101.6259,,,小资源点62
181,73,1,,monster5,379.7908,97.99969,,,小资源点63
181,74,1,,monster5,384.87,94.41443,,,小资源点64
181,75,1,,monster5,-299.2336,-227.0882,,,小资源点65
181,76,1,,monster5,-304.5801,-230.3204,,,小资源点66
181,77,1,,monster5,-310.0555,-227.3795,,,小资源点67
181,78,1,,monster5,-305.3075,-223.8572,,,小资源点68
181,79,1,,monster5,47.66382,155.8853,,,小资源点69
181,80,1,,monster5,53.16949,158.6197,,,小资源点70
181,81,1,,monster5,41.99329,158.85,,,小资源点71
181,82,1,,monster5,49.15002,162.2838,,,小资源点72
181,83,1,,monster5,-114.0377,75.76617,,,小资源点73
181,84,1,,monster5,-121.0125,72.47058,,,小资源点74
181,85,1,,monster5,-126.2295,76.35699,,,小资源点75
181,86,1,,monster5,-119.8995,78.83221,,,小资源点76
181,87,1,,monster5,-101.2747,-312.37,,,小资源点77
181,88,1,,monster5,-106.21,-310.5,,,小资源点78
181,89,1,,monster5,-107.36,-306.41,,,小资源点79
181,90,1,,monster5,-104.71,-306.0861,,,小资源点80
181,91,1,,monster5,88.01459,-149.9371,,,小资源点81
181,92,1,,monster5,93.06732,-147.0534,,,小资源点82
181,93,1,,monster5,83.20398,-147.336,,,小资源点83
181,94,1,,monster5,87.42999,-144.2244,,,小资源点84
181,95,1,,monster5,203.696,-203.49,,,小资源点85
181,96,1,,monster5,198.5038,-205.5,,,小资源点86
181,97,1,,monster5,192.9043,-201.99,,,小资源点87
181,98,1,,monster5,200.0113,-199.81,,,小资源点88
181,99,1,,monster5,-145.0283,-421.4799,,,小资源点89
181,100,1,,monster5,-139.5531,-417.9969,,,小资源点90
181,101,1,,monster5,-150.8723,-418.363,,,小资源点91
181,102,1,,monster5,-144.85,-415.39,,,小资源点92
181,103,1,,monster5,118.5659,-451.8088,,,小资源点93
181,104,1,,monster5,126.0255,-448.9307,,,小资源点94
181,105,1,,monster5,112.0065,-448.954,,,小资源点95
181,106,1,,monster5,118.9793,-446.6773,,,小资源点96
181,107,1,,monster5,95.85712,-275.7859,,,小资源点97
181,108,1,,monster5,101.5581,-272.6492,,,小资源点98
181,109,1,,monster5,94.78998,-273.0842,,,小资源点99
181,110,1,,monster5,95.38623,-269.1369,,,小资源点100
181,111,1,,monster5,307.2239,-125.1444,,,小资源点101
181,112,1,,monster5,312.0923,-121.7411,,,小资源点102
181,113,1,,monster5,300.3768,-121.9025,,,小资源点103
181,114,1,,monster5,307.3704,-119.25,,,小资源点104
181,115,1,,monster5,131.4608,-29.5759,,,小资源点105
181,116,1,,monster5,139.1535,-25.87759,,,小资源点106
181,117,1,,monster5,125.5811,-26.93381,,,小资源点107
181,118,1,,monster5,134.15,-22.6669,,,小资源点108
181,119,1,,monster5,463.22,233.3644,,,小资源点109
181,120,1,,monster5,469.871,236.9418,,,小资源点110
181,121,1,,monster5,455.82,236.9775,,,小资源点111
181,122,1,,monster5,464.086,240.0029,,,小资源点112
181,123,1,,monster5,452.443,423.708,,,小资源点113
181,124,1,,monster5,459.115,427.475,,,小资源点114
181,125,1,,monster5,451.28,427.842,,,小资源点115
181,126,1,,monster5,453.133,430.224,,,小资源点116
181,127,1,,monster5,289.6159,330.903,,,小资源点117
181,128,1,,monster5,294.7736,334.4189,,,小资源点118
181,129,1,,monster5,283.1935,334.145,,,小资源点119
181,130,1,,monster5,289.3753,336.854,,,小资源点120
181,131,1,,monster5,141.8087,229.8564,,,小资源点121
181,132,1,,monster5,148.6681,232.6565,,,小资源点122
181,133,1,,monster5,134.772,232.8939,,,小资源点123
181,134,1,,monster5,141.7663,235.851,,,小资源点124
181,135,1,,monster5,-28.2728,15.55847,,,小资源点125
181,136,1,,monster5,-23.8382,18.27222,,,小资源点126
181,137,1,,monster5,-34.0524,17.46082,,,小资源点127
181,138,1,,monster5,-28.9968,20.85577,,,小资源点128
181,139,1,,monster5,44.04657,59.1958,,,小资源点129
181,140,1,,monster5,51.34277,61.04077,,,小资源点130
181,141,1,,monster5,37.55768,62.22583,,,小资源点131
181,142,1,,monster5,44.84692,65.22992,,,小资源点132
181,143,1,,monster5,-1.072083,217.0016,,,小资源点133
181,144,1,,monster5,5.647278,220.2381,,,小资源点134
181,145,1,,monster5,-8.580078,220.5809,,,小资源点135
181,146,1,,monster5,-0.7584229,224.0568,,,小资源点136
181,147,1,,monster5,98.43439,373.181,,,小资源点137
181,148,1,,monster5,91.02118,368,,,小资源点138
181,149,1,,monster5,84.52832,373.257,,,小资源点139
181,150,1,,monster5,91.34882,377.439,,,小资源点140
181,151,1,,monster5,-65.76859,400.566,,,小资源点141
181,152,1,,monster5,-72.422,397.271,,,小资源点142
181,153,1,,monster5,-81.70889,400.316,,,小资源点143
181,154,1,,monster5,-72.7789,404.2791,,,小资源点144
181,155,1,,monster5,-389.9569,352.916,,,小资源点145
181,156,1,,monster5,-394.6542,348.928,,,小资源点146
181,157,1,,monster5,-402.1607,352.031,,,小资源点147
181,158,1,,monster5,-394.9631,356.306,,,小资源点148
181,159,1,,monster5,-276.2218,321.493,,,小资源点149
181,160,1,,monster5,-268.6943,324.761,,,小资源点150
181,161,1,,monster5,-284.3263,325.726,,,小资源点151
181,162,1,,monster5,-276.5805,329.127,,,小资源点152
181,163,1,,monster5,-186.2572,195.5445,,,小资源点153
181,164,1,,monster5,-191.9805,191.6419,,,小资源点154
181,165,1,,monster5,-200.4641,194.7397,,,小资源点155
181,166,1,,monster5,-192.3441,199.4343,,,小资源点156
181,167,1,,monster5,-336.7838,208.1004,,,小资源点157
181,168,1,,monster5,-331.8497,204.1724,,,小资源点158
181,169,1,,monster5,-341.0102,203.3915,,,小资源点159
181,170,1,,monster5,-335.5805,198.9737,,,小资源点160
181,171,1,,monster5,-421.6646,92.38123,,,小资源点161
181,172,1,,monster5,-426.923,88.17297,,,小资源点162
181,173,1,,monster5,-432.9067,92.33759,,,小资源点163
181,174,1,,monster5,-426.8082,96.08978,,,小资源点164
181,175,1,,monster5,-232.6627,80.65918,,,小资源点165
181,176,1,,monster5,-238.2941,76.93628,,,小资源点166
181,177,1,,monster5,-243.1636,80.97968,,,小资源点167
181,178,1,,monster5,-238.6459,83.65472,,,小资源点168
181,179,1,,monster5,-174.6983,-32.55731,,,小资源点169
181,180,1,,monster5,-180.2417,-35.7533,,,小资源点170
181,181,1,,monster5,-186.6503,-32.31421,,,小资源点171
181,182,1,,monster5,-180.3004,-29.87451,,,小资源点172
181,183,1,,monster5,-426.2248,-77.30661,,,小资源点173
181,184,1,,monster5,-432.7659,-80.8866,,,小资源点174
181,185,1,,monster5,-439.0755,-77.95959,,,小资源点175
181,186,1,,monster5,-432.7148,-74.05191,,,小资源点176
181,187,1,,monster5,-311.4122,-56.00861,,,小资源点177
181,188,1,,monster5,-322.4168,-55.91599,,,小资源点178
181,189,1,,monster5,-316.5491,-60.53,,,小资源点179
181,190,1,,monster5,-316.8758,-53.9136,,,小资源点180
181,191,1,,monster5,-160.9206,-216.3426,,,小资源点181
181,192,1,,monster5,-168.0916,-220.0858,,,小资源点182
181,193,1,,monster5,-175.3656,-216.2404,,,小资源点183
181,194,1,,monster5,-166.1326,-212.0766,,,小资源点184
181,195,1,,monster5,-359.5715,-179.6812,,,小资源点185
181,196,1,,monster5,-365.7339,-182.6071,,,小资源点186
181,197,1,,monster5,-371.4215,-179.3756,,,小资源点187
181,198,1,,monster5,-364.64,-176.2755,,,小资源点188
181,199,1,,monster5,-505.1038,-313.4646,,,小资源点189
181,200,1,,monster5,-509.7852,-319.4256,,,小资源点190
181,201,1,,monster5,-505.6587,-325.2115,,,小资源点191
181,202,1,,monster5,-503.0439,-317.8652,,,小资源点192
181,203,1,,monster5,-323.0209,-297.9901,,,小资源点193
181,204,1,,monster5,-329.2593,-291.5128,,,小资源点194
181,205,1,,monster5,-330.0056,-298.3596,,,小资源点195
181,206,1,,monster5,-321.3386,-292.4458,,,小资源点196
181,207,1,,monster5,-340.63,-480.2,,,小资源点197
181,208,1,,monster5,-347.111,-477.609,,,小资源点198
181,209,1,,monster5,-352.83,-480.3,,,小资源点199
181,210,1,,monster5,-346.73,-483.7,,,小资源点200
181,211,0,复活祭坛,monster10,54,-23,<font color='#FF0000'>可复活在濒死状态的队友</font>,,泉水NPC
181,212,0,装备祭坛,monster9,-189,-200,<font color='#FF0000'>可获得装备</font>,00FF00,装备npc1
181,213,0,装备祭坛,monster9,97,-309,<font color='#FF0000'>可获得装备</font>,00FF00,装备npc2
181,214,0,装备祭坛,monster9,319,-95,<font color='#FF0000'>可获得装备</font>,00FF00,装备npc3
181,215,0,装备祭坛,monster9,247,275,<font color='#FF0000'>可获得装备</font>,00FF00,装备npc4
181,216,0,装备祭坛,monster9,-253,142,<font color='#FF0000'>可获得装备</font>,00FF00,装备npc5
181,217,0,装备祭坛,monster9,-41,287,<font color='#FF0000'>可获得装备</font>,00FF00,装备npc6
