出售ID,商城名称,是否启用（设置为0表示一整行都无效程序不会读取）,是否商城显示（0在商城显示1不在商城显示）,分类标志(1英雄2皮肤3翅膀4基因样本5符文6补给7特殊物品（改名卡、刷新神秘商店、刷新任务操作）8金币9终结技10核晶11杂物),奖励ID,商品标签（0不推荐1新品2推荐3折扣11史诗12传说13限时）,位置权重(权重越大的物品，显示位置越靠前),Vip等级,角色显示与购买等级要求,开始时间,结束时间,动态价格ID,点券单价,金币单价,金币适用类型（1只消耗金币2只消耗金币3全部消耗）,折扣率（基础10000）,折扣开始时间,折后结束时间,限制数量,限制刷新类型（分为0不限制，1按天24点刷行、2时间刷新、3不刷新）,限制刷新时间,商城附加描述,商城描述,按区开放（i. 不填默认为0代表全部开放，填了就按填的区开放）,商城消费途径（1改名消费、2水晶充能消耗、3神秘商店刷新消费、4刷新任务操作）
int,string,int,int,int,int,int,int,int,string,string,string,,int,int,int,int,string,string,int,int,int,string,string,string,
508,基因样本,1,0,1,2108,0,,,1;120,,,1,400,800,2,,,,,0,0,蛮族之刃,英雄基因样本可用于强化对应的英雄,,
509,基因样本,1,0,1,2109,0,,,1;120,,,1,400,800,2,,,,,0,0,帝国之剑,英雄基因样本可用于强化对应的英雄,,
510,基因样本,1,0,1,2110,0,,,1;120,,,1,400,800,2,,,,,0,0,灭世枪神,英雄基因样本可用于强化对应的英雄,,
511,基因样本,1,0,1,2111,0,,,1;120,,,1,400,800,2,,,,,0,0,暗裔魔法师,英雄基因样本可用于强化对应的英雄,,
512,基因样本,1,0,1,2112,0,,,1;120,,,1,400,800,2,,,,,0,0,圣焰之手,英雄基因样本可用于强化对应的英雄,,
513,基因样本,1,0,1,2113,0,,,1;120,,,1,400,800,2,,,,,0,0,暴君,英雄基因样本可用于强化对应的英雄,,
514,基因样本,1,0,1,2114,0,,,1;120,,,1,400,800,2,,,,,0,0,轻灵蔷薇,英雄基因样本可用于强化对应的英雄,,
515,基因样本,1,0,1,2115,0,,,1;120,,,1,400,800,2,,,,,0,0,生化魔人,英雄基因样本可用于强化对应的英雄,,
516,基因样本,1,0,1,2116,0,,,1;120,,,1,400,800,2,,,,,0,0,异域狼灵,英雄基因样本可用于强化对应的英雄,,
517,基因样本,1,0,1,2117,0,,,1;120,,,1,400,800,2,,,,,0,0,虚空邪镰,英雄基因样本可用于强化对应的英雄,,
518,基因样本,1,0,1,2118,0,,,1;120,,,1,400,800,2,,,,,0,0,圣枪战姬,英雄基因样本可用于强化对应的英雄,,
519,基因样本,1,0,1,2119,0,,,1;120,,,1,400,800,2,,,,,0,0,风暴龙灵,英雄基因样本可用于强化对应的英雄,,
520,基因样本,1,0,1,2120,0,,,1;120,,,1,400,800,2,,,,,0,0,钢铁纪元,英雄基因样本可用于强化对应的英雄,,
521,基因样本,1,0,1,2121,0,,,1;120,,,1,400,800,2,,,,,0,0,深渊领主,英雄基因样本可用于强化对应的英雄,,
522,基因样本,1,0,1,2122,0,,,1;120,,,1,400,800,2,,,,,0,0,唤潮小鱼人,英雄基因样本可用于强化对应的英雄,,
523,基因样本,1,0,1,2123,0,,,1;120,,,1,400,800,2,,,,,0,0,魅眼神狙,英雄基因样本可用于强化对应的英雄,,
524,基因样本,1,0,1,2124,0,,,1;120,,,1,400,800,2,,,,,0,0,幻影利刃,英雄基因样本可用于强化对应的英雄,,
525,基因样本,1,0,1,2125,0,,,1;120,,,1,400,800,2,,,,,0,0,时空幻象,英雄基因样本可用于强化对应的英雄,,
526,基因样本,1,0,1,2126,0,,,1;120,,,1,400,800,2,,,,,0,0,凛冬战魂,英雄基因样本可用于强化对应的英雄,,
527,基因样本,1,0,1,2127,0,,,1;120,,,1,400,800,2,,,,,0,0,傲世神拳,英雄基因样本可用于强化对应的英雄,,
528,基因样本,1,0,1,2128,0,,,1;120,,,1,400,800,2,,,,,0,0,火炮男爵,英雄基因样本可用于强化对应的英雄,,
529,基因样本,1,0,1,2129,0,,,1;120,,,1,400,800,2,,,,,0,0,电竞小子,英雄基因样本可用于强化对应的英雄,,
530,基因样本,1,0,1,2130,0,,,1;120,,,1,400,800,2,,,,,0,0,火炮射手,英雄基因样本可用于强化对应的英雄,,
531,基因样本,1,0,1,2131,0,,,1;120,,,1,400,800,2,,,,,0,0,龙猫萌骑,英雄基因样本可用于强化对应的英雄,,
532,基因样本,1,0,1,2132,0,,,1;120,,,1,400,800,2,,,,,0,0,北海鱼姬,英雄基因样本可用于强化对应的英雄,,
533,基因样本,1,0,1,2133,0,,,1;120,,,1,400,800,2,,,,,0,0,芳野鹿灵,英雄基因样本可用于强化对应的英雄,,
534,基因样本,1,0,1,2134,0,,,1;120,,,1,400,800,2,,,,,0,0,铁拳兽宝,英雄基因样本可用于强化对应的英雄,,
535,基因样本,1,0,1,2135,0,,,1;120,,,1,400,800,2,,,,,0,0,收割者,英雄基因样本可用于强化对应的英雄,,
536,基因样本,1,0,1,2136,0,,,1;120,,,1,400,800,2,,,,,0,0,银河战警,英雄基因样本可用于强化对应的英雄,,
537,基因样本,1,0,1,2136,0,,,1;120,,,1,400,800,2,,,,,0,0,黑夜女王,英雄基因样本可用于强化对应的英雄,,
538,基因样本,1,0,1,2136,0,,,1;120,,,1,400,800,2,,,,,0,0,末日战甲,英雄基因样本可用于强化对应的英雄,,
539,基因样本,1,0,1,2136,0,,,1;120,,,1,400,800,2,,,,,0,0,邪能恶魔,英雄基因样本可用于强化对应的英雄,,
540,基因样本,1,0,1,2136,0,,,1;120,,,1,400,800,2,,,,,0,0,傀儡双骄,英雄基因样本可用于强化对应的英雄,,
541,基因样本,1,0,1,2136,0,,,1;120,,,1,400,800,2,,,,,0,0,契约者,英雄基因样本可用于强化对应的英雄,,
542,基因样本,1,0,1,2136,0,,,1;120,,,1,400,800,2,,,,,0,0,战争祸源,英雄基因样本可用于强化对应的英雄,,
1000,皮肤：绿色潜艇,1,0,2,2400,12,,,1;120,,,,500,12500,2,,,,,0,0,,,,
1001,皮肤：草莓蛋糕,1,0,2,2401,12,,,1;120,,,,1000,25000,2,,,,,0,0,,,,
1002,皮肤：越狱猛男,1,0,2,2402,12,,,1;120,,,,500,12500,2,,,,,0,0,,,,
1003,皮肤：碳烤大师,1,0,2,2403,12,,,1;120,,,,500,12500,2,,,,,0,0,,,,
1004,皮肤：刺身之刃,1,0,2,2404,12,,,1;120,,,,700,17500,2,,,,,0,0,,,,
1005,皮肤：合金战士,1,0,2,2405,12,,,1;120,,,,700,17500,2,,,,,0,0,,,,
1006,皮肤：合金利刃,1,0,2,2406,12,,,1;120,,,,700,17500,2,,,,,0,0,,,,
1007,皮肤：小女孩,1,0,2,2407,12,,,1;120,,,,1000,25000,2,,,,,0,0,,,,
1008,皮肤：海盗船长,1,0,2,2408,12,,,1;120,,,,1000,25000,2,,,,,0,0,,,,
3001,灭神箭,1,0,9,3800,0,,,1;120,,,,3000,0,2,,,,,0,0,追风箭灵终结技,追风箭灵借自然之灵与先祖之魂的力量，汇聚成一发冰冷而致命的灭神箭！<br>可在战场内使用,,
3002,炎魔灭世,1,0,9,3801,0,,,1;120,,,,3000,0,2,,,,,0,0,绯红之焰终结技,绯红之焰召唤炎魔之力，让火焰侵袭整个大地！<br>可在战场内使用,,
3003,樱花绝影阵,1,0,9,3802,0,,,1;120,,,,3000,0,2,,,,,0,0,樱花剑圣终结技,传承自东方的秘术，以樱之力束缚敌人，对其造成致命伤害！<br>可在战场内使用,,
3004,又见飞鹰,1,0,9,3803,0,,,1;120,,,,3000,0,2,,,,,0,0,蛮族之刃终结技,飞鹰！又见飞鹰！用迅捷凶猛的弯刀对区域内所有敌人造成致命伤害！<br>可在战场内使用,,
3005,帝国审判,1,0,9,3804,0,,,1;120,,,,3000,0,2,,,,,0,0,帝国之剑终结技,正义与荣耀，审判与毁灭。帝国之剑搅动起天地的怒意，共同惩灭眼前的敌人！<br>可在战场内使用,,
3006,破军枪阵,1,0,9,3805,0,,,1;120,,,,3000,0,2,,,,,0,0,灭世枪神终结技,一枪在手，纵千万人在前亦无惧矣。以破军之势消灭前方敌人<br>可在战场内使用,,
3007,魔法之源,1,0,9,3806,0,,,1;120,,,,3000,0,2,,,,,0,0,暗裔魔法师终结技,凝聚强大而纯粹的暗裔魔法毁灭一切！<br>可在战场内使用,,
3008,火神降临,1,0,9,3807,0,,,1;120,,,,3000,0,2,,,,,0,0,圣焰之手终结技,觉醒体内的火凤之力，燎原破天<br>可在战场内使用,,
3009,钢铁重组,1,0,9,3808,0,,,1;120,,,,3000,0,2,,,,,0,0,钢铁纪元终结技,钢铁纪元从人型机甲变为更令人畏惧的人间兵器――坦克！<br>可在战场内使用,,
4900,[普通]智慧核晶,1,0,10,4503,0,,,1;120,,,,25,500,2,,,,,0,0,法强+2.8,法强+2.8,,
4901,[普通]英勇核晶,1,0,10,4505,0,,,1;120,,,,25,500,2,,,,,0,0,攻击+1.7,攻击+1.7,,
4902,[普通]大地核晶,1,0,10,4506,0,,,1;120,,,,25,500,2,,,,,0,0,护甲+3,护甲+3,,
4903,[普通]庇护核晶,1,0,10,4508,0,,,1;120,,,,25,500,2,,,,,0,0,魔抗+3,魔抗+3,,
4904,[普通]生命核晶,1,0,10,4510,0,,,1;120,,,,25,500,2,,,,,0,0,生命值+22.5,生命值+22.5,,
5001,冠军补给,0,0,6,1505,2,,,1;120,,,,1000,2500,2,,,,,0,0,,[yellow]冠军补给[/yellow]<br><br>[blue]开启获得基因样本、绑金、符文等道具[/blue]<br>[red]可在商城购买与完成联盟首胜获得[/red],,
5002,国王补给,0,0,6,1506,0,,,1;120,,,,5000,0,2,,,,,0,0,,[yellow]国王补给[/yellow]<br><br>[blue]开启获得基因样本、绑金、符文等道具[/blue]<br>[red]可在商城购买获得[/red],,
5003,永恒补给,0,0,6,1507,0,,,1;120,,,,20000,0,2,,,,,0,0,,[yellow]永恒补给[/yellow]<br><br>[blue]开启获得基因样本、绑金、符文等道具[/blue]<br>[red]可在商城购买获得[/red],,
6001,特殊物品_改名卡,1,0,7,3001,1,,,1;120,,,,800,20000,2,,,,1,0,0,,,,1
6002,核晶模组,1,0,10,3003,0,,,1;120,,,,150,3000,2,,,,,0,0,,购买可新增加一组核晶模组<br>不同的核晶模组可在核晶系统配置不同的核晶组合,,
6003,刷新神秘商店,1,0,7,3002,0,,,1;120,,,,100,0,2,,,,,0,0,,,,3
6004,刷新任务操作,1,0,7,3004,0,,,1;120,,,,100,0,2,,,,,0,0,,,,4
6900,可爱箭灵表情包,1,1,11,3400,0,,,1;120,,,,500,0,2,,,,,0,0,,,,
7001,3倍金币卡（4局）,0,0,8,3501,0,,,1;120,,,,400,0,2,,,,,0,0,,,,
7002,3倍金币卡（10局）,0,0,8,3502,0,,,1;120,,,,800,0,2,,,,,0,0,,,,
7003,3倍金币卡（2天）,0,0,8,3503,0,,,1;120,,,,600,0,2,,,,,0,0,,,,
7004,3倍金币卡（7天）,0,0,8,3504,0,,,1;120,,,,1900,0,2,,,,,0,0,,,,
7005,2倍角色经验卡（4局）,0,0,8,3505,0,,,1;120,,,,500,0,2,,,,,0,0,,,,
7006,2倍角色经验（10局）,0,0,8,3506,0,,,1;120,,,,1200,0,2,,,,,0,0,,,,
7007,2倍角色经验卡（2天）,0,0,8,3507,0,,,1;120,,,,500,0,2,,,,,0,0,,,,
7008,2倍角色经验卡（7天）,0,0,8,3508,0,,,1;120,,,,1700,0,2,,,,,0,0,,,,
7009,2倍英雄经验单次增益卡,0,0,8,3509,0,,,1;120,,,,1000,1000,2,,,,,0,0,,,,
7010,2倍英雄经验1天增益卡,0,0,8,3510,0,,,1;120,,,,1000,1000,2,,,,,0,0,,,,
7011,2倍英雄经验3天增益卡,0,0,8,3511,0,,,1;120,,,,1000,1000,2,,,,,0,0,,,,
7012,2倍英雄经验7天增益卡,0,0,8,3512,0,,,1;120,,,,1000,1000,2,,,,,0,0,,,,
7013,100金币,1,0,8,3513,0,,,1;120,,,,5,0,2,,,,,0,0,,,,
