技能ID,事件ID,客户端条件列表,客户端效果列表,服务器条件列表,服务器效果列表
73,2,empty,empty,empty,3650;3688
73,2,empty,empty,215,5032
74,2,empty,empty,empty,3668;3724
74,2,empty,empty,empty,3459
74,2,empty,empty,empty,3650;3688
74,2,empty,empty,215,5032
75,3,empty,empty,empty,732
76,3,empty,empty,empty,730
77,3,empty,empty,4,742
77,3,empty,empty,12,7044
77,3,empty,empty,15;528,1739
77,3,empty,empty,529;15,6669
78,3,empty,empty,4,742
78,3,empty,empty,12,7044
78,3,empty,empty,15;528,1739
78,3,empty,empty,529;15,6669
79,3,empty,empty,4,742
79,3,empty,empty,12,7044
79,3,empty,empty,15;528,1739
79,3,empty,empty,528;15,6669
80,3,empty,empty,empty,1986;3330;6111
81,3,empty,empty,empty,1986
86,2,empty,empty,empty,3669;3724
86,2,empty,empty,empty,3459
86,2,empty,empty,empty,3650;3688
88,2,empty,empty,empty,3724;5667
88,2,empty,empty,empty,3459
88,2,empty,empty,empty,3688;5670
89,10,empty,empty,94,empty
89,3,empty,empty,104,3475;3795;3459
89,3,empty,empty,105,3470
89,11,empty,empty,empty,6477
90,10,empty,empty,empty,750
90,2,empty,empty,empty,753
90,3,empty,empty,12,113
91,2,empty,empty,empty,753
91,3,empty,empty,12,113
92,3,empty,empty,12,113
93,2,empty,empty,empty,737
93,3,empty,empty,11,113
94,2,empty,empty,empty,753
94,3,empty,empty,12,113
95,2,empty,empty,empty,empty
96,1,empty,empty,empty,63
96,2,empty,empty,empty,25;737
96,3,empty,empty,empty,736
97,2,empty,empty,empty,747
98,2,empty,empty,empty,747
99,2,empty,empty,empty,747
100,2,empty,empty,empty,747
101,3,empty,empty,11,114
103,1,empty,empty,90,empty
103,6,empty,empty,empty,3404
103,4,empty,empty,empty,3404
103,9,empty,empty,557,21309
105,10,empty,empty,empty,755
110,2,empty,empty,empty,empty
110,1,empty,empty,empty,79
111,2,empty,empty,empty,25;737
111,1,empty,empty,empty,63
111,3,empty,empty,empty,32;37;793;791
112,2,empty,empty,empty,747
113,2,empty,empty,empty,747
114,2,empty,empty,empty,747
115,2,empty,empty,empty,747
120,10,empty,empty,empty,757
125,10,empty,empty,empty,761
125,3,empty,empty,15,1369
125,3,empty,empty,1,6409
125,11,empty,empty,empty,21362
126,3,empty,empty,15,1369
126,3,empty,empty,1,6410
127,3,empty,empty,15,1369
128,3,empty,empty,15,1369
128,3,empty,empty,79,3130
129,3,empty,empty,empty,1208
130,3,empty,empty,empty,40
132,3,empty,empty,14,764
133,2,empty,empty,empty,112
133,2,empty,empty,137,4594
134,3,empty,empty,empty,765
135,2,empty,empty,empty,766;767
136,2,empty,empty,empty,768
137,3,empty,empty,empty,769
138,2,empty,empty,empty,770
140,2,empty,empty,277;545,3499;6297;6874
140,2,empty,empty,278;545,6297;6766;6875
140,1,471,empty,470,empty
140,2,empty,empty,277;546,6767;6297;6874
140,2,empty,empty,546;278,6768;6297;6875
142,10,empty,empty,94,empty
142,3,empty,empty,104,3551;3795;3459
142,3,empty,empty,105,3470
144,10,empty,empty,94,empty
144,3,empty,empty,104,3552;3795
144,3,empty,empty,105,3470
146,3,empty,empty,142,3133
146,2,empty,empty,337,37
146,3,empty,empty,143;31,6630
1464,3,empty,empty,15,1369
1464,3,empty,empty,1,6407
1464,3,empty,empty,1,6466
1464,3,518,6416,empty,empty
1465,10,empty,empty,empty,22000
1465,3,empty,empty,15,1369
1465,3,empty,empty,237,6406
1465,3,empty,empty,237,6466
1465,3,518,6415,empty,empty
1465,11,empty,empty,empty,21356
1466,3,empty,empty,15,1369
1466,3,empty,empty,1,6408
1467,3,empty,empty,4;594,22017;22020
1467,3,empty,empty,79,3131
1467,3,empty,empty,4;595,22018
1467,2,empty,empty,593,22016
1469,3,empty,empty,empty,22013
147,2,empty,empty,empty,empty
147,3,empty,empty,empty,3133
1470,3,empty,empty,empty,22010;22011
1470,2,empty,empty,empty,22009
148,2,empty,empty,empty,empty
148,3,empty,empty,empty,3133
149,3,empty,empty,empty,3133
151,2,empty,empty,empty,4602
151,3,empty,empty,98,3632
151,3,empty,empty,95,3633
151,3,empty,empty,96,3634
151,3,empty,empty,97,3635;3671
151,3,empty,empty,empty,3631;4604
151,3,empty,empty,141,4596
151,3,empty,empty,144,4608
151,3,empty,empty,145,4609
151,3,empty,empty,146,4610
151,3,empty,empty,147,4611
151,3,empty,empty,148,4612
151,3,empty,empty,4;275,5558
152,2,empty,empty,empty,4602
152,3,empty,empty,98,3632
152,3,empty,empty,95,3633
152,3,empty,empty,96,3634
152,3,empty,empty,97,3635;3671
152,3,empty,empty,empty,3631;4604
152,3,empty,empty,144,4608
152,3,empty,empty,145,4609
152,3,empty,empty,146,4610
152,3,empty,empty,147,4611
152,3,empty,empty,148,4612
152,3,empty,empty,141,4596
153,2,empty,empty,empty,3502;3627
153,3,empty,empty,empty,3631;3632
153,3,empty,empty,95,3633
153,3,empty,empty,96,3634
153,3,empty,empty,97,3635;3671
153,1,empty,empty,103,3707
153,8,empty,empty,empty,3706
153,11,empty,empty,empty,3815
154,2,empty,empty,empty,3502;3628
154,3,empty,empty,empty,3631;3632
154,3,empty,empty,95,3633
154,3,empty,empty,96,3634
154,3,empty,empty,97,3635;3671
154,8,empty,empty,empty,3706
154,1,empty,empty,103,3707
154,11,empty,empty,empty,3816
155,2,empty,empty,empty,3630;3629
155,3,empty,empty,empty,3631;3632
155,3,empty,empty,95,3633
155,3,empty,empty,96,3634
155,3,empty,empty,97,3635;3671
155,1,empty,empty,103,3707
155,8,empty,empty,empty,3706
1550,10,empty,empty,empty,21900
1554,3,empty,empty,empty,21917
1554,3,empty,empty,596;598,21946
1554,3,empty,empty,596;599,21947
1554,3,empty,empty,596;600,21948
1554,3,empty,empty,596;601,21949
1554,3,empty,empty,596;602,21950
1555,3,empty,empty,597,21944
1555,2,empty,empty,empty,21906
1555,3,empty,empty,empty,21945
1557,3,empty,empty,empty,21919
1557,2,empty,empty,empty,21920
1557,2,empty,empty,603,21961
1557,11,empty,empty,empty,21965
1558,3,empty,empty,empty,21962
1558,2,empty,empty,empty,21907
1558,11,empty,empty,606,6992
1559,3,empty,empty,empty,21922
1559,3,empty,empty,empty,21963
156,2,empty,empty,empty,112
1564,1,empty,empty,empty,21951
1564,1,empty,empty,605,empty
1564,2,empty,empty,empty,21953
1564,4,empty,empty,empty,21954
1565,2,empty,empty,empty,45
1565,2,empty,empty,empty,21901
1565,1,empty,empty,empty,empty
157,2,empty,empty,empty,112
158,2,empty,empty,empty,112
159,2,empty,empty,empty,112
161,3,empty,empty,empty,6553
162,3,empty,empty,empty,6553
164,2,empty,empty,empty,3482
164,3,empty,empty,291,5674
165,2,empty,empty,empty,3482
166,2,empty,empty,empty,3482
167,2,empty,empty,empty,3482
168,2,empty,empty,empty,3482
169,2,empty,empty,empty,112
170,2,empty,empty,empty,77
171,2,empty,empty,empty,77
172,2,empty,empty,empty,77
173,2,empty,empty,empty,77
174,2,empty,empty,empty,3657
175,3,empty,empty,empty,3999
177,4,empty,empty,empty,4186
179,4,empty,empty,empty,4191;5550
179,3,empty,empty,empty,4752
180,4,empty,empty,empty,4191
180,3,empty,empty,empty,4753
181,2,empty,empty,empty,4232
181,3,empty,empty,empty,4239
182,2,empty,empty,empty,3504;6081
182,4,empty,3593,empty,5205
182,3,empty,empty,empty,3577;6082
182,3,empty,empty,248,5198
182,3,empty,empty,249,5199
182,3,empty,empty,250,5200
182,1,empty,empty,empty,6152;20551;20547
183,2,empty,empty,empty,3504;6081
183,4,empty,3593,empty,empty
183,3,empty,empty,empty,3577;6082
184,2,empty,empty,empty,3504
184,4,empty,3593,empty,empty
184,3,empty,empty,empty,3577
185,2,empty,empty,empty,3504
185,4,empty,3593,empty,empty
185,3,empty,empty,empty,3577
186,2,empty,empty,empty,3504
186,4,empty,3593,empty,empty
186,3,empty,empty,empty,3577
187,2,empty,empty,415;422;555,3521
187,6,empty,empty,empty,4852;20541;20551
187,2,empty,empty,251,5202;20540
187,2,empty,empty,252,5203
187,2,empty,empty,253,3566
188,2,empty,empty,empty,3566
188,6,empty,empty,empty,4853
189,2,empty,empty,empty,3567
189,6,empty,empty,empty,4854
190,2,empty,empty,empty,3568
190,6,empty,empty,empty,4855
191,1,empty,6197,empty,6152;20547;20551
192,1,empty,empty,empty,81
192,2,empty,empty,empty,empty
193,1,empty,empty,empty,81
193,2,empty,empty,empty,empty
194,1,empty,empty,empty,81
194,2,empty,empty,empty,empty
195,1,empty,empty,empty,81
195,2,empty,empty,empty,empty
196,1,empty,empty,empty,81
196,2,empty,empty,empty,empty
197,3,empty,empty,empty,3522
198,3,empty,empty,empty,3522
199,3,empty,empty,empty,3522
200,3,empty,empty,261,3998
200,3,empty,empty,540,3995
200,3,empty,empty,541,5774
202,3,empty,empty,106;309,3995
202,3,empty,empty,310;311,5774
202,3,empty,empty,empty,5325
203,3,empty,empty,106,3995
203,3,empty,empty,empty,3998
204,3,empty,empty,106,3995
204,3,empty,empty,empty,3998
205,3,empty,empty,314,4028;4032;6238;6428
205,3,empty,empty,12;314,4038
205,3,empty,empty,111;314,4440;4894
205,3,empty,empty,113,4458
205,4,empty,empty,114,4461
205,4,empty,empty,115,4465
205,4,empty,empty,116,4466
205,3,empty,empty,113;314,4893
205,3,empty,empty,111;314;494,6541
205,3,empty,empty,410,6275
205,3,empty,empty,312,5779
205,3,empty,empty,540,3995
205,3,empty,empty,541,5774
206,3,empty,empty,314,4032;2;6238;6428
206,3,empty,empty,12;314,9
206,3,empty,empty,111;314,18;4894
206,3,empty,empty,113,12
206,4,empty,empty,114,4461
206,4,empty,empty,115,4465
206,4,empty,empty,116,4466
206,3,empty,empty,113;314,4893
206,3,empty,empty,111;314;494,6541
206,3,empty,empty,410,6275
206,3,empty,empty,312,5779
206,3,empty,empty,540,3995
206,3,empty,empty,541,5774
207,3,empty,empty,314,4028;4032;6238;6428
207,3,empty,empty,12;314,4038
207,3,empty,empty,111;314,4440
207,3,empty,empty,113,4458
207,4,empty,empty,114,4461
207,4,empty,empty,115,4465
207,4,empty,empty,116,4466
207,3,empty,empty,113;314,4893
207,3,empty,empty,111;314,4894
207,3,empty,empty,410,6275
207,3,empty,empty,312,5779
207,3,empty,empty,540,3995
207,3,empty,empty,541,5774
208,3,empty,empty,empty,4028;4032
208,3,empty,empty,12,4041
208,3,empty,empty,111,4440
208,3,empty,empty,113,4458
209,3,empty,empty,empty,4028;4032
209,3,empty,empty,12,4042
209,3,empty,empty,111,4440
209,3,empty,empty,113,4458
210,1,empty,empty,empty,4371
210,2,empty,empty,empty,4613;6240
210,10,empty,empty,110,4369;6429
211,1,empty,empty,empty,4371
211,2,empty,empty,empty,4613;6240
211,10,empty,empty,110,4369;6429
212,1,empty,empty,empty,4371
212,2,empty,empty,empty,4613;6240
212,10,empty,empty,110,4369;6429
212,3,empty,empty,empty,5332
212,2,empty,empty,312,5779
212,3,empty,empty,empty,5332
213,1,empty,empty,empty,4369
213,2,empty,empty,empty,4371
213,10,empty,empty,110,empty
214,1,empty,empty,empty,4369
214,2,empty,empty,empty,4371
214,10,empty,empty,110,empty
217,3,empty,empty,106,3995;4030
217,3,empty,empty,107,4031
218,10,empty,empty,110,4369;6429
218,2,empty,empty,empty,4615;6240
218,1,empty,empty,empty,4442
219,10,empty,empty,110,4369;6429
219,2,empty,empty,empty,4615;6240
219,1,empty,empty,empty,4442
220,10,empty,empty,110,4369;6429
220,2,empty,empty,empty,4615;6240
220,1,empty,empty,empty,4442
220,3,empty,empty,empty,5332
220,3,empty,empty,106;309,3995
220,3,empty,empty,310;311,5774
221,10,empty,empty,110,empty
221,2,empty,empty,empty,4442
221,1,empty,empty,empty,4369
222,10,empty,empty,110,empty
222,2,empty,empty,empty,4442
222,1,empty,empty,empty,4369
223,2,empty,empty,empty,3502;3629
223,3,empty,empty,empty,3631;3632
223,3,empty,empty,95,3633
223,3,empty,empty,96,3634
223,3,empty,empty,97,3635;3671
223,8,empty,empty,empty,3706
223,1,empty,empty,103,3707
223,11,empty,empty,empty,3817
224,3,empty,empty,empty,4249
227,3,empty,empty,empty,400
228,2,empty,empty,empty,411
228,3,empty,empty,empty,2331
229,2,empty,empty,empty,1056;1057
230,2,empty,empty,empty,412
231,2,empty,empty,empty,409
232,3,empty,empty,empty,410
233,4,empty,empty,empty,1096;1097
233,3,empty,empty,empty,1526
234,2,empty,empty,empty,922
235,3,empty,empty,empty,435
236,10,empty,empty,empty,915
236,3,empty,empty,19,1428;1411
236,3,empty,empty,1,6466
236,3,518,6415,empty,empty
236,11,empty,empty,empty,21355
237,3,empty,empty,18,1410
237,3,empty,empty,19,1428;1411
238,2,empty,empty,empty,747;5614
239,2,empty,empty,empty,747
240,2,empty,empty,empty,747
241,2,empty,empty,empty,747
242,3,empty,empty,79,3131
242,3,empty,empty,149,6467
242,3,empty,empty,428,1407
243,3,empty,empty,428,1407
243,3,empty,empty,79,3131
244,3,empty,empty,empty,1407
244,3,empty,empty,79,3131
245,3,empty,empty,empty,1407
245,3,empty,empty,79,3131
246,3,empty,empty,empty,1407
246,3,empty,empty,79,3131
247,3,empty,empty,empty,1660;6624
248,3,empty,empty,empty,1660;6624
249,3,empty,empty,18,870;1660
249,3,empty,empty,19,1428;1518
250,3,empty,empty,18,871;1660
250,3,empty,empty,19,1428;1518
251,3,empty,empty,18,872;1660
251,3,empty,empty,19,1428;1518
252,2,empty,empty,empty,873
253,2,empty,empty,empty,874
254,2,empty,empty,empty,875
255,2,empty,empty,empty,876
256,2,empty,empty,empty,877
257,2,empty,empty,empty,878
258,2,empty,empty,empty,874
259,2,empty,empty,empty,880;875
259,3,empty,empty,79,3131
262,4,empty,empty,empty,1384
262,12,empty,2586,empty,empty
263,3,empty,empty,empty,1705
263,12,empty,1707,empty,empty
264,3,empty,empty,empty,1037;1251
264,2,empty,empty,empty,1674
264,10,empty,empty,72,empty
264,3,empty,empty,208,4979
264,3,empty,empty,213,4986
265,2,empty,empty,empty,1674;4392
265,3,empty,empty,empty,1038;1256
265,1,empty,empty,empty,1675
265,10,empty,empty,72,empty
266,3,empty,empty,empty,1039;1257
266,2,empty,empty,empty,1674;4392
266,1,empty,empty,empty,1675
266,10,empty,empty,72,empty
267,3,empty,empty,empty,1040;1258
267,2,empty,empty,empty,1674;4392
267,1,empty,empty,empty,1675
267,10,empty,empty,72,empty
268,3,empty,empty,empty,1041;1259
268,2,empty,empty,empty,1674;4392
268,1,empty,empty,empty,1675
268,10,empty,empty,72,empty
269,2,empty,empty,empty,914
269,3,empty,empty,79,3132
269,3,empty,empty,211,4980
269,3,empty,empty,212,4983
269,2,empty,empty,209,20969
270,3,empty,empty,empty,1027
270,2,empty,empty,empty,1042
270,3,empty,empty,79,3132
270,2,empty,empty,209,20969
271,2,empty,empty,empty,1028
271,1,empty,empty,empty,1043
271,3,empty,empty,79,3132
272,3,empty,empty,empty,1029
272,2,empty,empty,empty,1044
272,3,empty,empty,79,3132
273,3,empty,empty,empty,1030
273,2,empty,empty,empty,1045
273,3,empty,empty,79,3132
274,1,empty,empty,90,6007
274,2,empty,empty,empty,3404;5599
274,6,empty,empty,empty,3404
275,2,empty,empty,empty,1042
276,2,empty,empty,empty,1043
277,2,empty,empty,empty,1044
278,2,empty,empty,empty,1045
279,3,empty,empty,empty,1080
279,1,empty,1031,23,empty
279,2,empty,empty,207,1076
280,3,empty,empty,empty,1081
280,1,empty,1031,23,1076
281,3,empty,empty,empty,1082
281,1,empty,1031,23,1076
282,4,empty,empty,empty,889
282,2,empty,empty,empty,1017
283,4,empty,empty,empty,908
283,2,empty,empty,empty,1018
284,3,empty,empty,19,1428;1411
284,3,empty,empty,1,6466
284,3,empty,empty,empty,2993
284,3,518,6416,empty,empty
285,3,empty,empty,19,1428;1411
285,3,empty,empty,79,3130
286,3,empty,empty,empty,961
287,3,empty,empty,empty,962
289,3,empty,empty,empty,1228;1229
292,3,empty,empty,empty,965
293,10,empty,empty,empty,958
293,3,empty,empty,15,1369
293,3,empty,empty,237,6406
293,3,empty,empty,237,6466
293,3,518,6415,empty,empty
293,11,empty,empty,empty,21356
294,3,empty,empty,15,1369
294,3,empty,empty,1,6407
294,3,empty,empty,1,6466
294,3,518,6416,empty,empty
295,3,empty,empty,15,1369
295,3,empty,empty,1,6408
296,2,empty,empty,empty,2432;2902
296,10,empty,empty,73,3350
296,4,empty,empty,empty,empty
296,3,empty,empty,420,5975
296,3,empty,empty,328,6029
297,3,empty,empty,empty,2434
297,2,empty,empty,empty,2432;2893
297,1,empty,empty,empty,2431
298,6,empty,empty,empty,3404;21276
298,4,empty,empty,empty,3404;21276
298,3,empty,empty,empty,3401
298,1,empty,empty,90,empty
298,1,empty,empty,empty,6192;5306;21275
299,3,empty,empty,empty,1034
300,3,empty,empty,empty,1035
301,3,empty,empty,empty,1036
302,3,empty,empty,4;75,2431;2900
302,3,empty,empty,79,3131
302,4,empty,empty,119,4471
302,3,empty,empty,127;4,4695
303,3,empty,empty,4;75,2431;2900
303,3,empty,empty,79,3131
303,3,empty,empty,127,4483
303,2,empty,empty,119,6588
303,2,empty,empty,empty,21261
304,3,empty,empty,4;75,2900;2431
304,12,empty,empty,empty,2917
304,3,empty,empty,79,3131
305,3,empty,empty,4;75,2431;2900
305,12,empty,empty,empty,2917
305,3,empty,empty,79,3131
306,3,empty,empty,75;4,2431;2900
306,12,empty,empty,empty,2917
306,3,empty,empty,79,3131
307,3,empty,empty,4,4468
307,4,empty,empty,117;118,4469
307,4,empty,empty,120;121,4473
307,3,empty,empty,128;4,4482
307,2,empty,empty,empty,4970
308,12,empty,empty,empty,2917
308,3,empty,empty,4,4468
308,4,empty,empty,117;118,4470
308,4,empty,empty,120;121,4479
308,3,empty,empty,4;128,4482
308,2,empty,empty,empty,4970
309,12,empty,empty,empty,2917
309,2,empty,empty,empty,4970
310,12,empty,empty,empty,2917
310,2,empty,empty,empty,4970
311,12,empty,empty,empty,2917
311,2,empty,empty,empty,4970
312,3,empty,empty,empty,1019;1548
312,2,empty,empty,empty,1547
313,3,empty,empty,empty,1020;1548
313,2,empty,empty,empty,1547
314,3,empty,empty,empty,1021;1548
314,2,empty,empty,empty,1547
315,11,empty,empty,empty,1554
316,3,empty,empty,empty,1147;1148
317,4,empty,empty,empty,1196
318,3,empty,empty,empty,1203
320,4,empty,empty,empty,1253;1254
320,3,empty,empty,empty,1380;1381
321,3,empty,empty,empty,1208
321,10,empty,empty,78,empty
322,3,empty,empty,empty,1208
322,10,empty,empty,78,empty
323,3,empty,empty,empty,1208
323,10,empty,empty,78,empty
324,3,empty,empty,empty,1208
324,10,empty,empty,78,empty
325,3,empty,empty,empty,1208
325,10,empty,empty,78,empty
331,3,empty,empty,empty,1385
331,4,empty,empty,empty,1387
331,12,empty,2405,empty,empty
332,11,empty,empty,empty,2431;1396
333,11,empty,empty,empty,2431;20947;1397
335,11,empty,empty,empty,6333
336,10,empty,empty,empty,1437
336,3,empty,empty,15,1369
336,3,empty,empty,1,6410
336,11,empty,empty,empty,21360
337,3,empty,empty,15,1369
337,3,empty,empty,1,6410
338,3,empty,empty,79,3134
338,3,empty,empty,15,1369
338,3,empty,empty,1,6411
339,3,empty,empty,empty,1460
339,1,empty,empty,empty,84
339,3,empty,empty,424,6324
339,3,empty,empty,425,6325
339,3,empty,empty,510;113,4508;4920;6622
340,3,empty,empty,92,1461
340,1,empty,empty,empty,84
340,3,empty,empty,4,4517
341,3,empty,empty,empty,1462
341,1,empty,empty,empty,84
342,3,empty,empty,empty,1463
342,1,empty,empty,empty,84
343,3,empty,empty,empty,1464
343,1,empty,empty,empty,84
344,3,empty,empty,empty,1465
345,3,empty,empty,empty,1466
346,3,empty,empty,empty,1467
347,3,empty,empty,empty,1468
348,3,empty,empty,empty,1469
349,1,empty,empty,empty,84
349,4,empty,empty,empty,3460
349,3,empty,empty,426,4528
349,3,empty,empty,427;4,6326;6607
350,1,empty,empty,empty,84
350,4,empty,empty,empty,3460
351,1,empty,empty,empty,84
351,4,empty,empty,empty,3460
351,3,empty,empty,empty,4528
352,1,empty,empty,empty,84
352,4,empty,empty,empty,4525
353,1,empty,empty,empty,84
353,4,empty,empty,empty,3460
354,3,empty,empty,empty,2532
354,1,empty,empty,empty,2798;3261
354,6,empty,empty,empty,3120
354,2,empty,empty,empty,4211
354,4,empty,2245,empty,empty
355,3,empty,empty,empty,2533
355,1,empty,empty,empty,2798;3261
355,6,empty,empty,empty,3120
355,2,empty,empty,empty,4211
355,4,empty,2245,empty,empty
356,3,empty,empty,empty,2534
356,1,empty,empty,empty,2798;3261
356,6,empty,empty,empty,3120
356,2,empty,empty,empty,4211
356,4,empty,2245,empty,empty
358,2,empty,empty,empty,1676
358,3,empty,empty,empty,1549
358,1,empty,empty,empty,1675
358,3,empty,empty,155;30,4653
358,3,empty,empty,155;558,4653
359,2,empty,empty,empty,1676
359,3,empty,empty,empty,1550
359,1,empty,empty,empty,1675
360,3,empty,empty,empty,1551
360,2,empty,empty,empty,1676
360,1,empty,empty,empty,1675
361,2,empty,empty,empty,1676
361,3,empty,empty,empty,1552
361,1,empty,empty,empty,1675
362,2,empty,empty,empty,1676
362,3,empty,empty,empty,1553
362,1,empty,empty,empty,1675
363,2,empty,empty,empty,112
364,2,empty,empty,empty,112
365,2,empty,empty,empty,112
366,2,empty,empty,empty,112
367,2,empty,empty,empty,112
368,3,empty,empty,79,3130
368,3,empty,empty,26;154,4643
368,3,empty,empty,154;27,4644
368,3,empty,empty,28;154,4645
368,3,empty,empty,154;29,4646
368,3,empty,empty,30;154,4647
368,3,empty,empty,empty,2422
368,3,empty,empty,155;30,4653
368,3,empty,empty,155;558,4653
369,3,empty,empty,empty,2422;1555
369,3,empty,empty,79,3130
370,3,empty,empty,empty,2422;1555
370,3,empty,empty,79,3130
371,12,empty,empty,empty,2287
371,3,empty,empty,empty,2422;1555
371,3,empty,empty,79,3130
372,12,empty,empty,empty,2288
372,3,empty,empty,empty,2422;1555
372,3,empty,empty,79,3130
373,3,empty,empty,79,3136
373,3,empty,empty,155,4653
373,2,empty,empty,empty,1656
373,11,empty,empty,empty,5816
373,3,empty,empty,empty,6726
373,3,empty,empty,155;30,4653
373,3,empty,empty,155;558,4653
374,2,empty,empty,empty,1657
374,3,empty,empty,2;505,1556
374,3,empty,empty,79,3136
374,3,empty,empty,155,4653
374,3,empty,empty,151;2,6590
374,3,empty,empty,155;30,4653
374,3,empty,empty,155;558,4653
375,3,empty,empty,empty,1556
375,2,empty,empty,empty,1658
375,3,empty,empty,79,3136
376,10,empty,empty,empty,1488
376,3,empty,empty,155;30,4653
376,3,empty,empty,1,6461
376,3,empty,empty,155;558,4653
376,11,empty,empty,empty,21361
377,3,empty,empty,30;155,4653
377,3,empty,empty,1,6461
377,3,empty,empty,155;558,4653
378,3,empty,empty,155;30,4653
378,3,empty,empty,1,6411
378,3,empty,empty,155;558,4653
379,3,empty,empty,30;155,4653
