宝石ID,宝石名称,宝石图标,原石ID组,最高品级,灵气上限,升级灵气条件,1级属性组,2级属性组,3级属性组,4级属性组,5级属性组,6级属性组,陈旧属性组,原石外观,开窗外观,1级外观(模型ID),2级外观,3级外观,4级外观,5级外观,6级外观,陈旧外观,出售价,增加抛光进度上限,消耗总金币,消耗总点券,增加进度值,2倍暴击率,5倍暴击率,10倍暴击率
18,[purple][优质]智慧核晶[/purple],66,1,3,240,240;240;240;240;240;240,13;505,13;505,13;505,13;505,13;505,13;505,113;605,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
19,[purple][优质]智慧核晶[/purple],66,1,3,240,240;240;240;240;240;240,13;506,13;506,13;506,13;506,13;506,13;506,113;606,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
20,[purple][优质]英勇核晶[/purple],66,1,3,240,240;240;240;240;240;240,14;507,14;507,14;507,14;507,14;507,14;507,114;607,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
21,[purple][优质]智慧核晶[/purple],66,1,3,240,240;240;240;240;240;240,13;508,13;508,13;508,13;508,13;508,13;508,113;608,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
22,[purple][优质]英勇核晶[/purple],66,1,3,240,240;240;240;240;240;240,14;508,14;508,14;508,14;508,14;508,14;508,114;608,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
23,[purple][优质]庇护核晶[/purple],66,1,3,240,240;240;240;240;240;240,16;509,16;509,16;509,16;509,16;509,16;509,116;609,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
24,[purple][优质]智慧核晶[/purple],66,1,3,240,240;240;240;240;240;240,13;510,13;510,13;510,13;510,13;510,13;510,113;610,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
25,[purple][优质]大地核晶[/purple],66,1,3,240,240;240;240;240;240;240,15;510,15;510,15;510,15;510,15;510,15;510,115;610,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
26,[purple][优质]大地核晶[/purple],66,1,3,240,240;240;240;240;240;240,15;511,15;511,15;511,15;511,15;511,15;511,115;611,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
27,[purple][优质]大地核晶[/purple],66,1,3,240,240;240;240;240;240;240,15;512,15;512,15;512,15;512,15;512,15;512,115;612,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
28,[purple][优质]庇护核晶[/purple],66,1,3,240,240;240;240;240;240;240,16;512,16;512,16;512,16;512,16;512,16;512,116;612,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
29,[purple][优质]英勇核晶[/purple],66,1,3,240,240;240;240;240;240;240,14;513,14;513,14;513,14;513,14;513,14;513,114;613,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
30,[purple][优质]英勇核晶[/purple],66,1,3,240,240;240;240;240;240;240,14;514,14;514,14;514,14;514,14;514,14;514,114;614,,,115,115,115,115,115,115,115,200;200;200;200;200;200;200,100,200,0,100,0,0,0
31,[orange][完美]生命核晶[/orange],131,1,4,240,240;240;240;240;240;240,22;515,22;515,22;515,22;515,22;515,22;515,122;615,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
32,[orange][完美]大地核晶[/orange],131,1,4,240,240;240;240;240;240;240,20;516,20;516,20;516,20;516,20;516,20;516,120;616,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
33,[orange][完美]庇护核晶[/orange],131,1,4,240,240;240;240;240;240;240,21;516,21;516,21;516,21;516,21;516,21;516,121;616,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
34,[orange][完美]智慧核晶[/orange],131,1,4,240,240;240;240;240;240;240,18;517,18;517,18;517,18;517,18;517,18;517,118;617,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
35,[orange][完美]智慧核晶[/orange],131,1,4,240,240;240;240;240;240;240,18;518,18;518,18;518,18;518,18;518,18;518,118;618,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
36,[orange][完美]智慧核晶[/orange],131,1,4,240,240;240;240;240;240;240,18;519,18;519,18;519,18;519,18;519,18;519,118;619,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
37,[orange][完美]智慧核晶[/orange],131,1,4,240,240;240;240;240;240;240,18;520,18;520,18;520,18;520,18;520,18;520,118;620,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
38,[orange][完美]英勇核晶[/orange],131,1,4,240,240;240;240;240;240;240,19;520,19;520,19;520,19;520,19;520,19;520,119;620,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
39,[orange][完美]庇护核晶[/orange],131,1,4,240,240;240;240;240;240;240,21;521,21;521,21;521,21;521,21;521,21;521,121;621,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
40,[orange][完美]英勇核晶[/orange],131,1,4,240,240;240;240;240;240;240,19;522,19;522,19;522,19;522,19;522,19;522,119;622,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
41,[orange][完美]大地核晶[/orange],131,1,4,240,240;240;240;240;240;240,20;523,20;523,20;523,20;523,20;523,20;523,120;623,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
42,[orange][完美]英勇核晶[/orange],131,1,4,240,240;240;240;240;240;240,19;524,19;524,19;524,19;524,19;524,19;524,119;624,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
43,[orange][完美]英勇核晶[/orange],131,1,4,240,240;240;240;240;240;240,19;525,19;525,19;525,19;525,19;525,19;525,119;625,,,217,217,217,217,217,217,217,500;500;500;500;500;500;500,100,200,0,100,0,0,0
44,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;526;1001,27;526;1001,27;526;1001,27;526;1001,27;526;1001,27;526;1001,127;626;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
45,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;526;1002,27;526;1002,27;526;1002,27;526;1002,27;526;1002,27;526;1002,127;626;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
46,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;526;1003,27;526;1003,27;526;1003,27;526;1003,27;526;1003,27;526;1003,127;626;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
47,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;526;1004,27;526;1004,27;526;1004,27;526;1004,27;526;1004,27;526;1004,127;626;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
48,[green][史诗]大地核晶[/green],196,1,5,240,240;240;240;240;240;240,25;527;1001,25;527;1001,25;527;1001,25;527;1001,25;527;1001,25;527;1001,125;627;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
49,[green][史诗]庇护核晶[/green],196,1,5,240,240;240;240;240;240;240,26;527;1001,26;527;1001,26;527;1001,26;527;1001,26;527;1001,26;527;1001,126;627;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
50,[green][史诗]大地核晶[/green],196,1,5,240,240;240;240;240;240;240,25;527;1002,25;527;1002,25;527;1002,25;527;1002,25;527;1002,25;527;1002,125;627;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
51,[green][史诗]庇护核晶[/green],196,1,5,240,240;240;240;240;240;240,26;527;1002,26;527;1002,26;527;1002,26;527;1002,26;527;1002,26;527;1002,126;627;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
52,[green][史诗]大地核晶[/green],196,1,5,240,240;240;240;240;240;240,25;527;1003,25;527;1003,25;527;1003,25;527;1003,25;527;1003,25;527;1003,125;627;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
53,[green][史诗]庇护核晶[/green],196,1,5,240,240;240;240;240;240;240,26;527;1003,26;527;1003,26;527;1003,26;527;1003,26;527;1003,26;527;1003,126;627;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
54,[green][史诗]大地核晶[/green],196,1,5,240,240;240;240;240;240;240,25;527;1004,25;527;1004,25;527;1004,25;527;1004,25;527;1004,25;527;1004,125;627;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
55,[green][史诗]庇护核晶[/green],196,1,5,240,240;240;240;240;240;240,26;527;1004,26;527;1004,26;527;1004,26;527;1004,26;527;1004,26;527;1004,126;627;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
56,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;528;1001,23;528;1001,23;528;1001,23;528;1001,23;528;1001,23;528;1001,123;628;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
57,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;528;1002,23;528;1002,23;528;1002,23;528;1002,23;528;1002,23;528;1002,123;628;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
58,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;528;1003,23;528;1003,23;528;1003,23;528;1003,23;528;1003,23;528;1003,123;628;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
59,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;528;1004,23;528;1004,23;528;1004,23;528;1004,23;528;1004,23;528;1004,123;628;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
60,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;529;1001,27;529;1001,27;529;1001,27;529;1001,27;529;1001,27;529;1001,127;629;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
61,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;529;1002,27;529;1002,27;529;1002,27;529;1002,27;529;1002,27;529;1002,127;629;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
62,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;529;1003,27;529;1003,27;529;1003,27;529;1003,27;529;1003,27;529;1003,127;629;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
63,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;529;1004,27;529;1004,27;529;1004,27;529;1004,27;529;1004,27;529;1004,127;629;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
64,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;530;1001,23;530;1001,23;530;1001,23;530;1001,23;530;1001,23;530;1001,123;630;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
65,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;530;1002,23;530;1002,23;530;1002,23;530;1002,23;530;1002,23;530;1002,123;630;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
66,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;530;1003,23;530;1003,23;530;1003,23;530;1003,23;530;1003,23;530;1003,123;630;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
67,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;530;1004,23;530;1004,23;530;1004,23;530;1004,23;530;1004,23;530;1004,123;630;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
68,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;531;1001,23;531;1001,23;531;1001,23;531;1001,23;531;1001,23;531;1001,123;631;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
69,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;531;1002,23;531;1002,23;531;1002,23;531;1002,23;531;1002,23;531;1002,123;631;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
70,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;531;1003,23;531;1003,23;531;1003,23;531;1003,23;531;1003,23;531;1003,123;631;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
71,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;531;1004,23;531;1004,23;531;1004,23;531;1004,23;531;1004,23;531;1004,123;631;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
72,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;532;1001,23;532;1001,23;532;1001,23;532;1001,23;532;1001,23;532;1001,123;632;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
73,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;532;1001,24;532;1001,24;532;1001,24;532;1001,24;532;1001,24;532;1001,124;632;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
74,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;532;1002,23;532;1002,23;532;1002,23;532;1002,23;532;1002,23;532;1002,123;632;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
75,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;532;1002,24;532;1002,24;532;1002,24;532;1002,24;532;1002,24;532;1002,124;632;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
76,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;532;1003,23;532;1003,23;532;1003,23;532;1003,23;532;1003,23;532;1003,123;632;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
77,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;532;1003,24;532;1003,24;532;1003,24;532;1003,24;532;1003,24;532;1003,124;632;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
78,[green][史诗]智慧核晶[/green],196,1,5,240,240;240;240;240;240;240,23;532;1004,23;532;1004,23;532;1004,23;532;1004,23;532;1004,23;532;1004,123;632;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
79,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;532;1004,24;532;1004,24;532;1004,24;532;1004,24;532;1004,24;532;1004,124;632;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
80,[green][史诗]庇护核晶[/green],196,1,5,240,240;240;240;240;240;240,26;533;1001,26;533;1001,26;533;1001,26;533;1001,26;533;1001,26;533;1001,126;633;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
81,[green][史诗]庇护核晶[/green],196,1,5,240,240;240;240;240;240;240,26;533;1002,26;533;1002,26;533;1002,26;533;1002,26;533;1002,26;533;1002,126;633;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
82,[green][史诗]庇护核晶[/green],196,1,5,240,240;240;240;240;240;240,26;533;1003,26;533;1003,26;533;1003,26;533;1003,26;533;1003,26;533;1003,126;633;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
83,[green][史诗]庇护核晶[/green],196,1,5,240,240;240;240;240;240;240,26;533;1004,26;533;1004,26;533;1004,26;533;1004,26;533;1004,26;533;1004,126;633;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
84,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;534;1001,24;534;1001,24;534;1001,24;534;1001,24;534;1001,24;534;1001,124;634;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
85,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;534;1001,27;534;1001,27;534;1001,27;534;1001,27;534;1001,27;534;1001,127;634;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
86,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;534;1002,24;534;1002,24;534;1002,24;534;1002,24;534;1002,24;534;1002,124;634;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
87,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;534;1002,27;534;1002,27;534;1002,27;534;1002,27;534;1002,27;534;1002,127;634;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
88,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;534;1003,24;534;1003,24;534;1003,24;534;1003,24;534;1003,24;534;1003,124;634;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
89,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;534;1003,27;534;1003,27;534;1003,27;534;1003,27;534;1003,27;534;1003,127;634;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
90,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;534;1004,24;534;1004,24;534;1004,24;534;1004,24;534;1004,24;534;1004,124;634;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
91,[green][史诗]生命核晶[/green],196,1,5,240,240;240;240;240;240;240,27;534;1004,27;534;1004,27;534;1004,27;534;1004,27;534;1004,27;534;1004,127;634;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
92,[green][史诗]大地核晶[/green],196,1,5,240,240;240;240;240;240;240,25;535;1001,25;535;1001,25;535;1001,25;535;1001,25;535;1001,25;535;1001,125;635;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
93,[green][史诗]大地核晶[/green],196,1,5,240,240;240;240;240;240;240,25;535;1002,25;535;1002,25;535;1002,25;535;1002,25;535;1002,25;535;1002,125;635;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
94,[green][史诗]大地核晶[/green],196,1,5,240,240;240;240;240;240;240,25;535;1003,25;535;1003,25;535;1003,25;535;1003,25;535;1003,25;535;1003,125;635;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
95,[green][史诗]大地核晶[/green],196,1,5,240,240;240;240;240;240;240,25;535;1004,25;535;1004,25;535;1004,25;535;1004,25;535;1004,25;535;1004,125;635;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
96,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;536;1001,24;536;1001,24;536;1001,24;536;1001,24;536;1001,24;536;1001,124;636;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
97,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;536;1002,24;536;1002,24;536;1002,24;536;1002,24;536;1002,24;536;1002,124;636;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
98,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;536;1003,24;536;1003,24;536;1003,24;536;1003,24;536;1003,24;536;1003,124;636;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
99,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;536;1004,24;536;1004,24;536;1004,24;536;1004,24;536;1004,24;536;1004,124;636;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
100,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;537;1001,24;537;1001,24;537;1001,24;537;1001,24;537;1001,24;537;1001,124;637;1101,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
101,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;537;1002,24;537;1002,24;537;1002,24;537;1002,24;537;1002,24;537;1002,124;637;1102,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
102,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;537;1003,24;537;1003,24;537;1003,24;537;1003,24;537;1003,24;537;1003,124;637;1103,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
103,[green][史诗]英勇核晶[/green],196,1,5,240,240;240;240;240;240;240,24;537;1004,24;537;1004,24;537;1004,24;537;1004,24;537;1004,24;537;1004,124;637;1104,,,321,321,321,321,321,321,321,1500;1500;1500;1500;1500;1500;1500,100,200,0,100,0,0,0
104,[yellow][传说]生命核晶[/yellow],46,1,6,240,240;240;240;240;240;240,32;538;1005,32;538;1005,32;538;1005,32;538;1005,32;538;1005,32;538;1005,132;638;1105,,,504,504,504,504,504,504,504,3000;3000;3000;3000;3000;3000;3000,100,200,0,100,0,0,0
105,[yellow][传说]生命核晶[/yellow],46,1,6,240,240;240;240;240;240;240,32;538;1006,32;538;1006,32;538;1006,32;538;1006,32;538;1006,32;538;1006,132;638;1106,,,504,504,504,504,504,504,504,3000;3000;3000;3000;3000;3000;3000,100,200,0,100,0,0,0
106,[yellow][传说]生命核晶[/yellow],46,1,6,240,240;240;240;240;240;240,32;538;1007,32;538;1007,32;538;1007,32;538;1007,32;538;1007,32;538;1007,132;638;1107,,,504,504,504,504,504,504,504,3000;3000;3000;3000;3000;3000;3000,100,200,0,100,0,0,0
