AI配置ID,帧间隔ms,描述,基础决策器类型
149,-1,龙猫（简单）,1
150,-1,龙猫技能策略,0
151,-1,炸弹人（简单）,1
152,-1,炸弹人技能策略,0
153,-1,东洋剑客（简单）,1
154,-1,东洋剑客技能策略,0
155,-1,虫子（简单）,1
156,-1,虫子技能策略,0
157,-1,时空（简单）,1
158,-1,时空技能策略,0
159,-1,鹿灵（简单）,1
160,-1,鹿灵技能策略,0
161,2000,吃鸡图掉落稀有大件装备,0
162,2000,吃鸡图小宝藏,0
163,200,隐身神符,0
164,200,治愈神符,0
165,200,蛮力神符,0
166,200,奥术神符,0
167,200,奔袭神符,0
168,200,特殊神符,0
169,-1,真视眼,0
170,-1,吃鸡图随机商店,0
171,-1,随机商店,0
172,-1,吃鸡图隐身怪,0
173,2000,吃鸡图大件物理装备怪,0
174,2000,吃鸡图中件物理装备怪,0
175,2000,吃鸡图不掉装备怪,0
176,-1,击杀广播,0
177,2000,吃鸡图大件法术装备怪,0
178,2000,吃鸡图中件法术装备怪,0
179,300,佣兵花仙子,0
180,500,傀儡控制,0
181,-1,男巫（简单）,1
182,-1,男巫技能策略,0
183,-1,红毒蛇（简单）,2
184,-1,红毒蛇技能策略,0
