奖励ID,奖励名称,奖励图标,品质,奖励描述,广播标识,奖励类型(1召唤师经验2绑金3英雄4固定核晶5固定基因样本6随机基因样本7天赋8宝箱9特殊物品(例如改名卡、刷新卡牌商店)10增益卡11XP技能12皮肤13水晶14水晶模组15任务搜索次数16表情包),圆饼拖尾光效,模型底座光效,模型底座外发光光效,参数1（英雄ID）,参数2（皮肤ID）,参数3,参数4,参数5,备注
22,唤潮小鱼基因盒,1,1,5份唤潮小鱼基因样本,,5,11,17,23,22,5,,,,
23,魅眼神狙基因盒,1,1,5份魅眼神狙基因样本,,5,11,17,23,23,5,,,,
24,幻影利刃基因盒,1,1,5份幻影利刃基因样本,,5,11,17,23,24,5,,,,
25,时空幻象基因盒,1,1,5份时空幻象基因样本,,5,11,17,23,25,5,,,,
26,凛冬战魂基因盒,1,1,5份凛冬战魂基因样本,,5,11,17,23,26,5,,,,
27,傲世神拳基因盒,1,1,5份傲世神拳基因样本,,5,11,17,23,27,5,,,,
28,火炮男爵基因盒,1,1,5份火炮男爵基因样本,,5,11,17,23,28,5,,,,
29,电竞小子基因盒,1,1,5份电竞小子基因样本,,5,11,17,23,29,5,,,,
30,狂野紫罗基因盒,1,1,5份狂野紫罗基因样本,,5,11,17,23,30,5,,,,
31,龙猫萝莉基因盒,1,1,5份龙猫萝莉基因样本,,5,11,17,23,31,5,,,,
32,北海鱼姬基因盒,1,1,5份北海鱼姬基因样本,,5,11,17,23,32,5,,,,
33,芳野鹿灵基因盒,1,1,5份芳野鹿灵基因样本,,5,11,17,23,33,5,,,,
34,铁拳兽宝基因盒,1,1,5份铁拳兽宝基因样本,,5,11,17,23,34,5,,,,
35,蓝翼切割基因盒,1,1,5份蓝翼切割基因样本,,5,11,17,23,35,5,,,,
36,银河战警基因盒,1,1,5份银河战警基因样本,,5,11,17,23,36,5,,,,
37,光子跃迁基因盒,1,1,5份光子跃迁基因样本,,5,11,17,23,37,5,,,,
38,末日战甲基因盒,1,1,5份末日战甲基因样本,,5,11,17,23,38,5,,,,
39,邪能恶魔基因盒,1,1,5份邪能恶魔基因样本,,5,11,17,23,39,5,,,,
40,傀儡双骄基因盒,1,1,5份傀儡双骄基因样本,,5,11,17,23,40,5,,,,
41,契约者基因盒,1,1,5份契约者基因样本,,5,11,17,23,41,5,,,,
42,战争祸源基因盒,1,1,5份战争祸源基因样本,,5,11,17,23,42,5,,,,
201,风月游侠基因袋,1,2,15份风月游侠基因样本,,5,9,15,21,1,15,,,,
202,追风箭灵基因袋,1,2,15份追风箭灵基因样本,,5,9,15,21,2,15,,,,
203,绯红之焰基因袋,1,2,15份绯红之焰基因样本,,5,9,15,21,3,15,,,,
204,绯樱剑客基因袋,1,2,15份绯樱剑客基因样本,,5,9,15,21,4,15,,,,
205,狂野巨盾基因袋,1,2,15份狂野巨盾基因样本,,5,9,15,21,5,15,,,,
206,深海蛙王基因袋,1,2,15份深海蛙王基因样本,,5,9,15,21,6,15,,,,
207,花仙子基因袋,1,2,15份花仙子基因样本,,5,9,15,21,7,15,,,,
208,蛮族之刃基因袋,1,2,15份蛮族之刃基因样本,,5,9,15,21,8,15,,,,
209,帝国之剑基因袋,1,2,15份帝国之剑基因样本,,5,9,15,21,9,15,,,,
210,灭世枪神基因袋,1,2,15份灭世枪神基因样本,,5,9,15,21,10,15,,,,
211,暗裔魔法基因袋,1,2,15份暗裔魔法基因样本,,5,9,15,21,11,15,,,,
212,圣焰之手基因袋,1,2,15份圣焰之手基因样本,,5,9,15,21,12,15,,,,
213,中土之王基因袋,1,2,15份中土之王基因样本,,5,9,15,21,13,15,,,,
214,轻灵蔷薇基因袋,1,2,15份轻灵蔷薇基因样本,,5,9,15,21,14,15,,,,
215,生化魔人基因袋,1,2,15份生化魔人基因样本,,5,9,15,21,15,15,,,,
216,异域狼灵基因袋,1,2,15份异域狼灵基因样本,,5,9,15,21,16,15,,,,
217,虚空邪镰基因袋,1,2,15份虚空邪镰基因样本,,5,9,15,21,17,15,,,,
218,圣枪战姬基因袋,1,2,15份圣枪战姬基因样本,,5,9,15,21,18,15,,,,
219,风暴龙灵基因袋,1,2,15份风暴龙灵基因样本,,5,9,15,21,19,15,,,,
220,钢铁纪元基因袋,1,2,15份钢铁纪元基因样本,,5,9,15,21,20,15,,,,
221,深渊领主基因袋,1,2,15份深渊领主基因样本,,5,9,15,21,21,15,,,,
222,唤潮小鱼基因袋,1,2,15份唤潮小鱼基因样本,,5,9,15,21,22,15,,,,
223,魅眼神狙基因袋,1,2,15份魅眼神狙基因样本,,5,9,15,21,23,15,,,,
224,幻影利刃基因袋,1,2,15份幻影利刃基因样本,,5,9,15,21,24,15,,,,
225,时空幻象基因袋,1,2,15份时空幻象基因样本,,5,9,15,21,25,15,,,,
226,凛冬战魂基因袋,1,2,15份凛冬战魂基因样本,,5,9,15,21,26,15,,,,
227,傲世神拳基因袋,1,2,15份傲世神拳基因样本,,5,9,15,21,27,15,,,,
228,火炮男爵基因袋,1,2,15份火炮男爵基因样本,,5,9,15,21,28,15,,,,
229,电竞小子基因袋,1,2,15份电竞小子基因样本,,5,9,15,21,29,15,,,,
230,狂野紫罗基因袋,1,2,15份狂野紫罗基因样本,,5,9,15,21,30,15,,,,
231,龙猫萝莉基因袋,1,2,15份龙猫萝莉基因样本,,5,9,15,21,31,15,,,,
232,北海鱼姬基因袋,1,2,15份北海鱼姬基因样本,,5,9,15,21,32,15,,,,
233,芳野鹿灵基因袋,1,2,15份芳野鹿灵基因样本,,5,9,15,21,33,15,,,,
234,铁拳兽宝基因袋,1,2,15份铁拳兽宝基因样本,,5,9,15,21,34,15,,,,
235,蓝翼切割基因袋,1,2,15份蓝翼切割基因样本,,5,9,15,21,35,15,,,,
236,银河战警基因袋,1,2,15份银河战警基因样本,,5,9,15,21,36,15,,,,
237,光子跃迁基因袋,1,2,15份光子跃迁基因样本,,5,9,15,21,37,15,,,,
238,末日战甲基因袋,1,2,15份末日战甲基因样本,,5,9,15,21,38,15,,,,
239,邪能恶魔基因袋,1,2,15份邪能恶魔基因样本,,5,9,15,21,39,15,,,,
240,傀儡双骄基因袋,1,2,15份傀儡双骄基因样本,,5,9,15,21,40,15,,,,
241,契约者基因袋,1,2,15份契约者基因样本,,5,9,15,21,41,15,,,,
242,战争祸源基因袋,1,2,15份战争祸源基因样本,,5,9,15,21,42,15,,,,
401,风月游侠基因包,1,3,30份风月游侠基因样本,,5,13,19,25,1,30,,,,
402,追风箭灵基因包,1,3,30份追风箭灵基因样本,,5,13,19,25,2,30,,,,
403,绯红之焰基因包,1,3,30份绯红之焰基因样本,,5,13,19,25,3,30,,,,
404,绯樱剑客基因包,1,3,30份绯樱剑客基因样本,,5,13,19,25,4,30,,,,
405,狂野巨盾基因包,1,3,30份狂野巨盾基因样本,,5,13,19,25,5,30,,,,
406,深海蛙王基因包,1,3,30份深海蛙王基因样本,,5,13,19,25,6,30,,,,
407,花仙子基因包,1,3,30份花仙子基因样本,,5,13,19,25,7,30,,,,
408,蛮族之刃基因包,1,3,30份蛮族之刃基因样本,,5,13,19,25,8,30,,,,
409,帝国之剑基因包,1,3,30份帝国之剑基因样本,,5,13,19,25,9,30,,,,
410,灭世枪神基因包,1,3,30份灭世枪神基因样本,,5,13,19,25,10,30,,,,
411,暗裔魔法基因包,1,3,30份暗裔魔法基因样本,,5,13,19,25,11,30,,,,
412,圣焰之手基因包,1,3,30份圣焰之手基因样本,,5,13,19,25,12,30,,,,
413,中土之王基因包,1,3,30份中土之王基因样本,,5,13,19,25,13,30,,,,
414,轻灵蔷薇基因包,1,3,30份轻灵蔷薇基因样本,,5,13,19,25,14,30,,,,
415,生化魔人基因包,1,3,30份生化魔人基因样本,,5,13,19,25,15,30,,,,
416,异域狼灵基因包,1,3,30份异域狼灵基因样本,,5,13,19,25,16,30,,,,
417,虚空邪镰基因包,1,3,30份虚空邪镰基因样本,,5,13,19,25,17,30,,,,
418,圣枪战姬基因包,1,3,30份圣枪战姬基因样本,,5,13,19,25,18,30,,,,
419,风暴龙灵基因包,1,3,30份风暴龙灵基因样本,,5,13,19,25,19,30,,,,
420,钢铁纪元基因包,1,3,30份钢铁纪元基因样本,,5,13,19,25,20,30,,,,
421,深渊领主基因包,1,3,30份深渊领主基因样本,,5,13,19,25,21,30,,,,
422,唤潮小鱼基因包,1,3,30份唤潮小鱼基因样本,,5,13,19,25,22,30,,,,
423,魅眼神狙基因包,1,3,30份魅眼神狙基因样本,,5,13,19,25,23,30,,,,
424,幻影利刃基因包,1,3,30份幻影利刃基因样本,,5,13,19,25,24,30,,,,
425,时空幻象基因包,1,3,30份时空幻象基因样本,,5,13,19,25,25,30,,,,
426,凛冬战魂基因包,1,3,30份凛冬战魂基因样本,,5,13,19,25,26,30,,,,
427,傲世神拳基因包,1,3,30份傲世神拳基因样本,,5,13,19,25,27,30,,,,
428,火炮男爵基因包,1,3,30份火炮男爵基因样本,,5,13,19,25,28,30,,,,
429,电竞小子基因包,1,3,30份电竞小子基因样本,,5,13,19,25,29,30,,,,
430,狂野紫罗基因包,1,3,30份狂野紫罗基因样本,,5,13,19,25,30,30,,,,
431,龙猫萝莉基因包,1,3,30份龙猫萝莉基因样本,,5,13,19,25,31,30,,,,
432,北海鱼姬基因包,1,3,30份北海鱼姬基因样本,,5,13,19,25,32,30,,,,
433,芳野鹿灵基因包,1,3,30份芳野鹿灵基因样本,,5,13,19,25,33,30,,,,
434,铁拳兽宝基因包,1,3,30份铁拳兽宝基因样本,,5,13,19,25,34,30,,,,
435,蓝翼切割基因包,1,3,30份蓝翼切割基因样本,,5,13,19,25,35,30,,,,
436,银河战警基因包,1,3,30份银河战警基因样本,,5,13,19,25,36,30,,,,
437,光子跃迁基因包,1,3,30份光子跃迁基因样本,,5,13,19,25,37,30,,,,
438,末日战甲基因包,1,3,30份末日战甲基因样本,,5,13,19,25,38,30,,,,
439,邪能恶魔基因包,1,3,30份邪能恶魔基因样本,,5,13,19,25,39,30,,,,
440,傀儡双骄基因包,1,3,30份傀儡双骄基因样本,,5,13,19,25,40,30,,,,
441,契约者基因包,1,3,30份契约者基因样本,,5,13,19,25,41,30,,,,
442,战争祸源基因包,1,3,30份战争祸源基因样本,,5,13,19,25,42,30,,,,
601,风月游侠基因箱,1,4,100份风月游侠基因样本,,5,12,18,24,1,100,,,,
602,追风箭灵基因箱,1,4,100份追风箭灵基因样本,,5,12,18,24,2,100,,,,
603,绯红之焰基因箱,1,4,100份绯红之焰基因样本,,5,12,18,24,3,100,,,,
604,绯樱剑客基因箱,1,4,100份绯樱剑客基因样本,,5,12,18,24,4,100,,,,
605,狂野巨盾基因箱,1,4,100份狂野巨盾基因样本,,5,12,18,24,5,100,,,,
606,深海蛙王基因箱,1,4,100份深海蛙王基因样本,,5,12,18,24,6,100,,,,
607,花仙子基因箱,1,4,100份花仙子基因样本,,5,12,18,24,7,100,,,,
608,蛮族之刃基因箱,1,4,100份蛮族之刃基因样本,,5,12,18,24,8,100,,,,
609,帝国之剑基因箱,1,4,100份帝国之剑基因样本,,5,12,18,24,9,100,,,,
610,灭世枪神基因箱,1,4,100份灭世枪神基因样本,,5,12,18,24,10,100,,,,
611,暗裔魔法基因箱,1,4,100份暗裔魔法基因样本,,5,12,18,24,11,100,,,,
612,圣焰之手基因箱,1,4,100份圣焰之手基因样本,,5,12,18,24,12,100,,,,
613,中土之王基因箱,1,4,100份中土之王基因样本,,5,12,18,24,13,100,,,,
614,轻灵蔷薇基因箱,1,4,100份轻灵蔷薇基因样本,,5,12,18,24,14,100,,,,
615,生化魔人基因箱,1,4,100份生化魔人基因样本,,5,12,18,24,15,100,,,,
616,异域狼灵基因箱,1,4,100份异域狼灵基因样本,,5,12,18,24,16,100,,,,
617,虚空邪镰基因箱,1,4,100份虚空邪镰基因样本,,5,12,18,24,17,100,,,,
618,圣枪战姬基因箱,1,4,100份圣枪战姬基因样本,,5,12,18,24,18,100,,,,
619,风暴龙灵基因箱,1,4,100份风暴龙灵基因样本,,5,12,18,24,19,100,,,,
620,钢铁纪元基因箱,1,4,100份钢铁纪元基因样本,,5,12,18,24,20,100,,,,
621,深渊领主基因箱,1,4,100份深渊领主基因样本,,5,12,18,24,21,100,,,,
622,唤潮小鱼基因箱,1,4,100份唤潮小鱼基因样本,,5,12,18,24,22,100,,,,
623,魅眼神狙基因箱,1,4,100份魅眼神狙基因样本,,5,12,18,24,23,100,,,,
624,幻影利刃基因箱,1,4,100份幻影利刃基因样本,,5,12,18,24,24,100,,,,
625,时空幻象基因箱,1,4,100份时空幻象基因样本,,5,12,18,24,25,100,,,,
626,凛冬战魂基因箱,1,4,100份凛冬战魂基因样本,,5,12,18,24,26,100,,,,
627,傲世神拳基因箱,1,4,100份傲世神拳基因样本,,5,12,18,24,27,100,,,,
628,火炮男爵基因箱,1,4,100份火炮男爵基因样本,,5,12,18,24,28,100,,,,
629,电竞小子基因箱,1,4,100份电竞小子基因样本,,5,12,18,24,29,100,,,,
630,狂野紫罗基因箱,1,4,100份狂野紫罗基因样本,,5,12,18,24,30,100,,,,
631,龙猫萝莉基因箱,1,4,100份龙猫萝莉基因样本,,5,12,18,24,31,100,,,,
632,北海鱼姬基因箱,1,4,100份北海鱼姬基因样本,,5,12,18,24,32,100,,,,
633,芳野鹿灵基因箱,1,4,100份芳野鹿灵基因样本,,5,12,18,24,33,100,,,,
634,铁拳兽宝基因箱,1,4,100份铁拳兽宝基因样本,,5,12,18,24,34,100,,,,
635,蓝翼切割基因箱,1,4,100份蓝翼切割基因样本,,5,12,18,24,35,100,,,,
636,银河战警基因箱,1,4,100份银河战警基因样本,,5,12,18,24,36,100,,,,
637,光子跃迁基因箱,1,4,100份光子跃迁基因样本,,5,12,18,24,37,100,,,,
638,末日战甲基因箱,1,4,100份末日战甲基因样本,,5,12,18,24,38,100,,,,
639,邪能恶魔基因箱,1,4,100份邪能恶魔基因样本,,5,12,18,24,39,100,,,,
640,傀儡双骄基因箱,1,4,100份傀儡双骄基因样本,,5,12,18,24,40,100,,,,
641,契约者基因箱,1,4,100份契约者基因样本,,5,12,18,24,41,100,,,,
642,战争祸源基因箱,1,4,100份战争祸源基因样本,,5,12,18,24,42,100,,,,
1001,高级暴击印记 ,1,4,4.2%暴击几率,,4,12,18,24,1,1,,,,
1002,高级暴击几率精华 ,1,4, 5.58%暴击几率,,4,12,18,24,2,1,,,,
1003,高级暴伤印记 ,1,4,10%暴击伤害,,4,12,18,24,3,1,,,,
1004,高级暴击伤害吸血精华 ,1,4, 13.38%暴击伤害,,4,12,18,24,4,1,,,,
1005,高级法力回复雕文 ,1,4, 1.5法力回复/5秒,,4,12,18,24,5,1,,,,
1006,高级法力回复精华 ,1,4, 3.75法力回复/5秒,,4,12,18,24,6,1,,,,
1007,高级成长法力回复雕文 ,1,4, 每级0.27法力回复/5秒(18级4.86),,4,12,18,24,7,1,,,,
1008,高级成长法力回复精华 ,1,4, 每级0.82法力回复/5秒(18级12.96),,4,12,18,24,8,1,,,,
1009,高级法力值雕文 ,1,4, 50.6法力值,,4,12,18,24,9,1,,,,
1010,高级法力值精华 ,1,4, 112.5法力值,,4,12,18,24,10,1,,,,
1011,高级成长法力值雕文 ,1,4, 每级6.4法力值(18级115.2),,4,12,18,24,11,1,,,,
1012,高级成长法力值精华 ,1,4, 每级12.51法力值(18级225.18),,4,12,18,24,12,1,,,,
1013,高级法术穿透印记 ,1,4, 3.9法术穿透,,4,12,18,24,13,1,,,,
1014,高级法术穿透精华 ,1,4, 6.03法术穿透,,4,12,18,24,14,1,,,,
1015,高级法术防御雕文 ,1,4, 6法术防御,,4,12,18,24,15,1,,,,
1016,高级法术防御精华 ,1,4, 12法术防御,,4,12,18,24,16,1,,,,
1017,高级成长法术防御雕文 ,1,4, 每级0.72法术防御(18级12.96),,4,12,18,24,17,1,,,,
1018,高级成长法术防御精华 ,1,4, 每级1.11法术防御(18级19.98),,4,12,18,24,18,1,,,,
1019,高级法术强度雕文 ,1,4, 5.4法术强度,,4,12,18,24,19,1,,,,
1020,高级法术强度精华 ,1,4, 14.85法术强度,,4,12,18,24,20,1,,,,
1021,高级成长法术强度雕文 ,1,4, 每级0.77法术强度(18级13.86),,4,12,18,24,21,1,,,,
1022,高级成长法术强度精华 ,1,4, 每级1.29法术强度(18级23.22),,4,12,18,24,22,1,,,,
1023,高级法术吸血精华 ,1,4, 6%法术吸血,,4,12,18,24,23,1,,,,
1024,高级攻击印记 ,1,4, 4.7攻击力,,4,12,18,24,24,1,,,,
1025,高级攻击力精华 ,1,4, 7.5攻击力,,4,12,18,24,25,1,,,,
1026,高级成长攻击印记 ,1,4, 每级0.65攻击力(18级11.7),,4,12,18,24,26,1,,,,
1027,高级成长攻击力精华 ,1,4, 每级0.83攻击力(18级14.94),,4,12,18,24,27,1,,,,
1028,高级护甲穿透印记 ,1,4, 5.8护甲穿透,,4,12,18,24,28,1,,,,
1029,高级护甲穿透精华 ,1,4, 7.68护甲穿透,,4,12,18,24,29,1,,,,
1030,高级高级混合穿透印记 ,1,4, 4.05物理防御穿透/2.79法术防御穿透,,4,12,18,24,30,1,,,,
1031,高级混合穿透精 ,1,4, 5.37物理防御穿透/4.2法术防御穿透,,4,12,18,24,31,1,,,,
1032,高级冷却缩减雕文 ,1,4, 3.74%冷却缩减,,4,12,18,24,32,1,,,,
1033,高级冷却缩减精华 ,1,4, 7.5%冷却缩减,,4,12,18,24,33,1,,,,
1034,高级成长冷却缩减雕文 ,1,4, 每级0.4%冷却缩减(18级7.2%),,4,12,18,24,34,1,,,,
1035,高级成长生冷却缩减精华 ,1,4, 每级0.84%冷却缩减(18级15.12%),,4,12,18,24,35,1,,,,
1036,高级能量回复符印 ,1,4, 2.84能量回复/5秒,,4,12,18,24,36,1,,,,
1037,高级能量回复精华 ,1,4, 4.73能量回复/5秒,,4,12,18,24,37,1,,,,
1038,高级成长能量回复符印 ,1,4, 每级0.29能量回复/5秒(18级5.22),,4,12,18,24,38,1,,,,
1039,高级能量值雕文 ,1,4, 10能量值,,4,12,18,24,39,1,,,,
1040,高级能量值精华 ,1,4, 16.2能量值,,4,12,18,24,40,1,,,,
1041,高级普攻伤害印记 ,1,4,7.65%普攻伤害,,4,12,18,24,41,1,,,,
1042,高级普攻伤害精华 ,1,4, 13.5%普攻伤害,,4,12,18,24,42,1,,,,
1043,高级生命回复符印 ,1,4, 2.52生命恢复/5秒,,4,12,18,24,43,1,,,,
1044,高级生命回复精华 ,1,4, 8.1生命恢复/5秒,,4,12,18,24,44,1,,,,
1045,高级成长生命回复符印 ,1,4, 每级0.5生命恢复/5秒(18级9),,4,12,18,24,45,1,,,,
1046,高级成长生命回复精华 ,1,4, 每级0.84生命恢复/5秒(18级15.12),,4,12,18,24,46,1,,,,
1047,高级生命偷取精华 ,1,4, 4.5%生命偷取,,4,12,18,24,47,1,,,,
1048,高级生命值符印 ,1,4, 36生命值,,4,12,18,24,48,1,,,,
1049,高级生命值精华 ,1,4, 78生命值,,4,12,18,24,49,1,,,,
1050,高级长生命值符印 ,1,4, 每级5.99生命值(18级107.82),,4,12,18,24,50,1,,,,
1051,高级成长生命值精华 ,1,4, 每级8.1生命值(18级145.8),,4,12,18,24,51,1,,,,
1052,高级百分比生命值符印 ,1,4, 2.25%生命值,,4,12,18,24,52,1,,,,
1053,高级百分比生命值精华 ,1,4, 4.5%生命值加成,,4,12,18,24,53,1,,,,
1054,高级护甲符印 ,1,4, 4.5物理防御,,4,12,18,24,54,1,,,,
1055,高级护甲精华 ,1,4, 12.78物理防御,,4,12,18,24,55,1,,,,
1056,高级成长护甲符印 ,1,4, 每级0.72物理防御(18级12.96),,4,12,18,24,56,1,,,,
1057,高级成长护甲精华 ,1,4, 每级1.14物理防御(18级20.52),,4,12,18,24,57,1,,,,
1058,高级移动速度精华 ,1,4, 4.5%移动速度,,4,12,18,24,58,1,,,,
1059,中级暴击印记 ,1,3,4.2%暴击几率,,4,13,19,25,59,1,,,,
1060,中级暴击几率精华 ,1,3, 5.58%暴击几率,,4,13,19,25,60,1,,,,
1061,中级暴伤印记 ,1,3,10%暴击伤害,,4,13,19,25,61,1,,,,
1062,中级暴击伤害吸血精华 ,1,3, 13.38%暴击伤害,,4,13,19,25,62,1,,,,
1063,中级法力回复雕文 ,1,3, 1.5法力回复/5秒,,4,13,19,25,63,1,,,,
1064,中级法力回复精华 ,1,3, 3.75法力回复/5秒,,4,13,19,25,64,1,,,,
1065,中级成长法力回复雕文 ,1,3, 每级0.27法力回复/5秒(18级4.86),,4,13,19,25,65,1,,,,
1066,中级成长法力回复精华 ,1,3, 每级0.82法力回复/5秒(18级12.96),,4,13,19,25,66,1,,,,
1067,中级法力值雕文 ,1,3, 50.6法力值,,4,13,19,25,67,1,,,,
1068,中级法力值精华 ,1,3, 112.5法力值,,4,13,19,25,68,1,,,,
1069,中级成长法力值雕文 ,1,3, 每级6.4法力值(18级115.2),,4,13,19,25,69,1,,,,
1070,中级成长法力值精华 ,1,3, 每级12.51法力值(18级225.18),,4,13,19,25,70,1,,,,
1071,中级法术穿透印记 ,1,3, 3.9法术穿透,,4,13,19,25,71,1,,,,
1072,中级法术穿透精华 ,1,3, 6.03法术穿透,,4,13,19,25,72,1,,,,
1073,中级法术防御雕文 ,1,3, 6法术防御,,4,13,19,25,73,1,,,,
1074,中级法术防御精华 ,1,3, 12法术防御,,4,13,19,25,74,1,,,,
1075,中级成长法术防御雕文 ,1,3, 每级0.72法术防御(18级12.96),,4,13,19,25,75,1,,,,
1076,中级成长法术防御精华 ,1,3, 每级1.11法术防御(18级19.98),,4,13,19,25,76,1,,,,
1077,中级法术强度雕文 ,1,3, 5.4法术强度,,4,13,19,25,77,1,,,,
1078,中级法术强度精华 ,1,3, 14.85法术强度,,4,13,19,25,78,1,,,,
1079,中级成长法术强度雕文 ,1,3, 每级0.77法术强度(18级13.86),,4,13,19,25,79,1,,,,
1080,中级成长法术强度精华 ,1,3, 每级1.29法术强度(18级23.22),,4,13,19,25,80,1,,,,
1081,中级法术吸血精华 ,1,3, 6%法术吸血,,4,13,19,25,81,1,,,,
1082,中级攻击印记 ,1,3, 4.7攻击力,,4,13,19,25,82,1,,,,
1083,中级攻击力精华 ,1,3, 7.5攻击力,,4,13,19,25,83,1,,,,
1084,中级成长攻击印记 ,1,3, 每级0.65攻击力(18级11.7),,4,13,19,25,84,1,,,,
1085,中级成长攻击力精华 ,1,3, 每级0.83攻击力(18级14.94),,4,13,19,25,85,1,,,,
1086,中级护甲穿透印记 ,1,3, 5.8护甲穿透,,4,13,19,25,86,1,,,,
1087,中级护甲穿透精华 ,1,3, 7.68护甲穿透,,4,13,19,25,87,1,,,,
1088,中级中级混合穿透印记 ,1,3, 4.05物理防御穿透/2.79法术防御穿透,,4,13,19,25,88,1,,,,
1089,中级混合穿透精 ,1,3, 5.37物理防御穿透/4.2法术防御穿透,,4,13,19,25,89,1,,,,
1090,中级冷却缩减雕文 ,1,3, 3.74%冷却缩减,,4,13,19,25,90,1,,,,
1091,中级冷却缩减精华 ,1,3, 7.5%冷却缩减,,4,13,19,25,91,1,,,,
1092,中级成长冷却缩减雕文 ,1,3, 每级0.4%冷却缩减(18级7.2%),,4,13,19,25,92,1,,,,
1093,中级成长生冷却缩减精华 ,1,3, 每级0.84%冷却缩减(18级15.12%),,4,13,19,25,93,1,,,,
1094,中级能量回复符印 ,1,3, 2.84能量回复/5秒,,4,13,19,25,94,1,,,,
1095,中级能量回复精华 ,1,3, 4.73能量回复/5秒,,4,13,19,25,95,1,,,,
1096,中级成长能量回复符印 ,1,3, 每级0.29能量回复/5秒(18级5.22),,4,13,19,25,96,1,,,,
1097,中级能量值雕文 ,1,3, 10能量值,,4,13,19,25,97,1,,,,
1098,中级能量值精华 ,1,3, 16.2能量值,,4,13,19,25,98,1,,,,
1099,中级普攻伤害印记 ,1,3,7.65%普攻伤害,,4,13,19,25,99,1,,,,
1100,中级普攻伤害精华 ,1,3, 13.5%普攻伤害,,4,13,19,25,100,1,,,,
1101,中级生命回复符印 ,1,3, 2.52生命恢复/5秒,,4,13,19,25,101,1,,,,
1102,中级生命回复精华 ,1,3, 8.1生命恢复/5秒,,4,13,19,25,102,1,,,,
1103,中级成长生命回复符印 ,1,3, 每级0.5生命恢复/5秒(18级9),,4,13,19,25,103,1,,,,
1104,中级成长生命回复精华 ,1,3, 每级0.84生命恢复/5秒(18级15.12),,4,13,19,25,104,1,,,,
1105,中级生命偷取精华 ,1,3, 4.5%生命偷取,,4,13,19,25,105,1,,,,
1106,中级生命值符印 ,1,3, 36生命值,,4,13,19,25,106,1,,,,
1107,中级生命值精华 ,1,3, 78生命值,,4,13,19,25,107,1,,,,
1108,中级长生命值符印 ,1,3, 每级5.99生命值(18级107.82),,4,13,19,25,108,1,,,,
1109,中级成长生命值精华 ,1,3, 每级8.1生命值(18级145.8),,4,13,19,25,109,1,,,,
1110,中级百分比生命值符印 ,1,3, 2.25%生命值,,4,13,19,25,110,1,,,,
1111,中级百分比生命值精华 ,1,3, 4.5%生命值加成,,4,13,19,25,111,1,,,,
1112,中级护甲符印 ,1,3, 4.5物理防御,,4,13,19,25,112,1,,,,
1113,中级护甲精华 ,1,3, 12.78物理防御,,4,13,19,25,113,1,,,,
