英雄id,界面id(1大厅2商城界面3点赞界面),位置x,位置y,位置z,转角度x,转角度y,转角度z,缩放x,缩放y,缩放z,备注
17,2,0,-1.1,2.5,0,180,0,1,1,1,虚空邪镰
18,2,0,-0.9,2.5,0,180,0,1,1,1,枪火之歌
19,2,0,-0.9,2.6,0,180,0,1,1,1,风暴龙灵
20,2,0,-0.9,2.5,0,180,0,1,1,1,蒸汽雄心
21,2,0,-0.9,2.5,0,180,0,1,1,1,深渊领主
22,2,0,-0.85,2.5,0,180,5,1.1,1.1,1.1,唤潮小鱼人
23,2,0,-0.9,2.5,0,180,0,1,1,1,魅眼神狙
24,2,0,-0.9,2.7,0,180,0,1,1,1,幻影利刃
25,2,0,-1,2.6,0,180,0,1,1,1,时空幻象
26,2,0,-0.9,2.5,0,180,0,1,1,1,凛冬战魂
27,2,0,-0.9,2.5,0,180,0,1,1,1,傲世神拳
28,2,0,-0.9,2.5,0,180,0,1,1,1,火炮男爵
29,2,0,-0.9,2.5,0,180,0,1,1,1,爆破狂人
30,2,0,-0.9,2.5,0,180,0,1,1,1,火炮射手
31,2,0,-0.8,2.6,5,180,0,1,1,1,草原飞鹰
32,2,0,-0.8,2.6,5,180,0,1,1,1,北海鱼姬
33,2,0,-0.8,2.6,5,180,0,1,1,1,芳野鹿灵
34,2,0,-0.8,2.6,5,180,0,1,1,1,铁拳兽宝
35,2,0,-0.8,2.6,5,180,0,1,1,1,收割者
36,2,0,-0.8,2.6,5,180,0,1,1,1,银河战警
37,2,0.05,0,0,0,0,0,1.15,1.15,1.15,黑夜女王
38,2,0.05,0,0,0,0,0,1.15,1.15,1.15,末日战甲
39,2,0.05,0,0,0,0,0,1.15,1.15,1.15,邪能恶魔
40,2,0.05,0,0,0,0,0,1.15,1.15,1.15,傀儡双骄
41,2,0.05,0,0,0,0,0,1.15,1.15,1.15,契约者
42,2,0.05,0,0,0,0,0,1.15,1.15,1.15,战争祸源
1,3,0,0,0,0,355.6,0,1.1,1.1,1.1,风月游侠
2,3,0,0,0,0,0,0,1,1,1,追风箭灵
3,3,0,0,0,0,0,0,1.1,1.1,1.1,红女巫
4,3,0,0,0,0,0,0,1.2,1.2,1.2,绯樱剑客
5,3,0,0,0,0,0,0,1,1,1,狂野巨盾
6,3,0,0,0,0,0,0,1,1,1,深海蛙王
7,3,0,0,0,0,0,0,1.2,1.2,1.2,花仙子
8,3,0.05,0,0,0,0,0,1.15,1.15,1.15,草原飞鹰
9,3,0,0,0,0,0,0,1,1,1,王国之剑
10,3,0,0,0,0,0,0,1.1,1.1,1.1,灭世枪神
11,3,0,0,0,0,0,0,1.1,1.1,1.1,暗裔魔法师
12,3,0,0,0,0,0,0,1.1,1.1,1.1,圣焰之手
13,3,0.1,0,0,0,0,0,1.2,1.2,1.2,暴君
14,3,0,0,0,0,0,0,1.2,1.2,1.2,轻灵蔷薇
15,3,0,0,0,0,0,0,1.1,1.1,1.1,生化魔人
16,3,0,0,0,0,0,0,1.2,1.2,1.2,异域狼灵
17,3,0,0,0,0,0,0,1.1,1.1,1.1,虚空邪镰
18,3,0,0,0,0,0,0,1.1,1.1,1.1,枪火之歌
19,3,0,0,0,0,0,0,1.1,1.1,1.1,风暴龙灵
20,3,0,0,0,0,0,0,1.1,1.1,1.1,蒸汽雄心
21,3,0,0,0,0,0,0,1.1,1.1,1.1,深渊领主
22,3,0,0,0,0,0,0,1.2,1.2,1.2,唤潮小鱼人
23,3,0,0,0,0,0,0,1.1,1.1,1.1,魅眼神狙
24,3,0,0,0,0,0,0,1,1,1,幻影利刃
25,3,0,0,0,8,0,0,1,1,1,时空幻象
26,3,0,0,0,0,0,0,0.95,0.95,0.95,凛冬战魂
27,3,0,0,0,0,0,0,1.1,1.1,1.1,傲世神拳
28,3,0,0,0,0,0,0,1.1,1.1,1.1,火炮男爵
29,3,0,0,0,0,0,0,1.1,1.1,1.1,爆破狂人
30,3,0,0,0,0,0,0,1.1,1.1,1.1,火炮射手
31,3,0.05,0,0,0,0,0,1.15,1.15,1.15,草原飞鹰
32,3,0.05,0,0,0,0,0,1.15,1.15,1.15,北海鱼姬
33,3,0.05,0,0,0,0,0,1.15,1.15,1.15,芳野鹿灵
34,3,0.05,0,0,0,0,0,1.15,1.15,1.15,铁拳兽宝
35,3,0.05,0,0,0,0,0,1.15,1.15,1.15,收割者
36,3,0.05,0,0,0,0,0,1.15,1.15,1.15,银河战警
37,3,0.05,0,0,0,0,0,1.15,1.15,1.15,黑夜女王
38,3,0.05,0,0,0,0,0,1.15,1.15,1.15,末日战甲
39,3,0.05,0,0,0,0,0,1.15,1.15,1.15,邪能恶魔
40,3,0.05,0,0,0,0,0,1.15,1.15,1.15,傀儡双骄
41,3,0.05,0,0,0,0,0,1.15,1.15,1.15,契约者
42,3,0.05,0,0,0,0,0,1.15,1.15,1.15,战争祸源
