属性ID,属性威力,宝石属性名称,宝石描述1级,效果id组(1级),改动的参数组(1级),宝石名称类型1级 (1加号;2百分比;4成长18;8扩大100),显示属性值
612,70,生命值,[gray]生命值+21  ↓[/gray],3098,210000,9,210000
613,70,物穿,[gray]物穿+1  ↓[/gray],3106,100,1,100
614,70,物理吸血,[gray]物理吸血+0.72%  ↓[/gray],3109,7200,3,7200
615,80,攻击,[gray]攻击+0.88%  ↓[/gray],5801,8800,3,8800
616,80,生命值,[gray]生命值+0.96%  ↓[/gray],3099,9600,3,9600
617,80,法穿,[gray]法穿+1.84%  ↓[/gray],5800,18400,3,18400
618,80,法穿,[gray]法穿+1.2  ↓[/gray],3104,120,1,120
619,80,法术吸血,[gray]法术吸血+1.6%  ↓[/gray],3108,16000,3,16000
620,80,技能伤害,[gray]技能伤害+1.6%  ↓[/gray],5799,16000,3,16000
621,80,受法术伤害,[gray]受法术伤害-1.28%  ↓[/gray],5804,12800,2,12800
622,80,普攻系数,[gray]普攻系数+2.56%  ↓[/gray],3094,25600,3,25600
623,80,受物理伤害,[gray]受物理伤害-2.16%  ↓[/gray],5803,21600,2,21600
624,80,物穿,[gray]物穿+1.2  ↓[/gray],3106,120,1,120
625,80,物理吸血,[gray]物理吸血+0.88%  ↓[/gray],3109,8800,3,8800
626,90,攻击,[gray]攻击+1.04%  ↓[/gray],5801,10400,3,10400
627,90,生命值,[gray]生命值+1.12%  ↓[/gray],3099,11200,3,11200
628,90,法穿,[gray]法穿+2.08%  ↓[/gray],5800,20800,3,20800
629,90,物穿,[gray]物穿+1.6%  ↓[/gray],5799,16000,3,16000
630,90,法穿,[gray]法穿+1.3  ↓[/gray],3104,130,1,130
631,90,法术吸血,[gray]法术吸血+1.84%  ↓[/gray],3108,18400,3,18400
632,90,技能伤害,[gray]技能伤害+1.84%  ↓[/gray],5799,18400,3,18400
633,90,受法术伤害,[gray]受法术伤害-1.44%  ↓[/gray],5804,14400,2,14400
634,90,普攻系数,[gray]普攻系数+2.88%  ↓[/gray],3094,28800,3,28800
635,90,受物理伤害,[gray]受物理伤害-2.4%  ↓[/gray],5803,24000,2,24000
636,90,物穿,[gray]物穿+1.3  ↓[/gray],3106,130,1,130
637,90,物理吸血,[gray]物理吸血+0.96%  ↓[/gray],3109,9600,3,9600
638,100,攻击,[gray]攻击+1.12%  ↓[/gray],5801,11200,3,11200
639,100,生命值,[gray]生命值+1.2%  ↓[/gray],3099,12000,3,12000
640,100,法穿,[gray]法穿+2.32%  ↓[/gray],5800,23200,3,23200
641,100,物穿,[gray]物穿+1.84%  ↓[/gray],5799,18400,3,18400
642,100,法穿,[gray]法穿+1.4  ↓[/gray],3104,140,1,140
643,100,法术吸血,[gray]法术吸血+2%  ↓[/gray],3108,20000,3,20000
644,100,技能伤害,[gray]技能伤害+2%  ↓[/gray],5799,20000,3,20000
645,100,受法术伤害,[gray]受法术伤害-1.6%  ↓[/gray],5804,16000,2,16000
646,100,普攻系数,[gray]普攻系数+3.2%  ↓[/gray],3094,32000,3,32000
647,100,受物理伤害,[gray]受物理伤害-2.64%  ↓[/gray],5803,26400,2,26400
648,100,物穿,[gray]物穿+1.4  ↓[/gray],3106,140,1,140
649,100,物理吸血,[gray]物理吸血+1.04%  ↓[/gray],3109,10400,3,10400
1101,20,法力回复,[gray]法力回复+0%  ↓[/gray],6236,0,3,0
1102,20,生命回复,[gray]生命回复+0%  ↓[/gray],6235,0,3,0
1103,20,移动速度,[gray]移动速度+0%  ↓[/gray],3110,0,3,0
1104,20,最大体力,[gray]最大体力+0  ↓[/gray],6234,0,1,0
1105,40,法力回复,[gray]法力回复+0%  ↓[/gray],6236,0,3,0
1106,40,生命回复,[gray]生命回复+0%  ↓[/gray],6235,0,3,0
1107,40,移动速度,[gray]移动速度+0%  ↓[/gray],3110,0,3,0
1108,40,最大体力,[gray]最大体力+0  ↓[/gray],6234,0,1,0
