成长属性ID,星级血量,星级血量成长,星级血量成长率,星级血量成长率成长,星级魔法,星级魔法成长,星级魔法成长率,星级魔法成长率成长,星级物理攻击,星级物理攻击成长,星级物理攻击成长率,星级物理攻击成长率成长,星级法术攻击,星级法术攻击成长,星级法术攻击成长率,星级法术攻击成长率成长,星级物理防御,星级物理防御成长,星级物理防御成长率,星级物理防御成长率成长,星级法术防御,星级法术防御成长,星级法术防御成长率,星级法术防御成长率成长
313,0,0,390,0,0,0,260,0,0,0,0,0,0,0,119.82,0,0,0,26,0,0,0,26,0
314,0,0,419,0,0,0,280,0,0,0,0,0,0,0,129.03,0,0,0,28,0,0,0,28,0
315,0,0,449,0,0,0,300,0,0,0,0,0,0,0,138.25,0,0,0,30,0,0,0,30,0
316,0,0,479,0,0,0,320,0,0,0,0,0,0,0,147.47,0,0,0,32,0,0,0,32,0
317,0,0,509,0,0,0,340,0,0,0,0,0,0,0,156.68,0,0,0,34,0,0,0,34,0
318,0,0,539,0,0,0,360,0,0,0,0,0,0,0,165.9,0,0,0,36,0,0,0,36,0
319,0,0,569,0,0,0,380,0,0,0,0,0,0,0,175.12,0,0,0,38,0,0,0,38,0
320,0,0,599,0,0,0,400,0,0,0,0,0,0,0,184.33,0,0,0,40,0,0,0,40,0
321,0,0,629,0,0,0,420,0,0,0,0,0,0,0,193.55,0,0,0,42,0,0,0,42,0
322,0,0,659,0,0,0,440,0,0,0,0,0,0,0,202.76,0,0,0,44,0,0,0,44,0
323,0,0,689,0,0,0,460,0,0,0,0,0,0,0,211.98,0,0,0,46,0,0,0,46,0
324,0,0,719,0,0,0,480,0,0,0,0,0,0,0,221.2,0,0,0,48,0,0,0,48,0
325,0,0,749,0,0,0,500,0,0,0,0,0,0,0,230.41,0,0,0,50,0,0,0,50,0
326,0,0,779,0,0,0,520,0,0,0,0,0,0,0,239.63,0,0,0,52,0,0,0,52,0
327,0,0,809,0,0,0,540,0,0,0,0,0,0,0,248.85,0,0,0,54,0,0,0,54,0
328,0,0,839,0,0,0,560,0,0,0,0,0,0,0,258.06,0,0,0,56,0,0,0,56,0
329,0,0,869,0,0,0,580,0,0,0,0,0,0,0,267.28,0,0,0,58,0,0,0,58,0
330,0,0,899,0,0,0,600,0,0,0,0,0,0,0,276.5,0,0,0,60,0,0,0,60,0
401,0,0,60,0,0,0,20,0,0,0,5.56,0,0,0,0,0,0,0,2,0,0,0,2,0
402,0,0,120,0,0,0,40,0,0,0,11.11,0,0,0,0,0,0,0,4,0,0,0,4,0
403,0,0,180,0,0,0,60,0,0,0,16.67,0,0,0,0,0,0,0,6,0,0,0,6,0
404,0,0,240,0,0,0,80,0,0,0,22.22,0,0,0,0,0,0,0,8,0,0,0,8,0
405,0,0,300,0,0,0,100,0,0,0,27.78,0,0,0,0,0,0,0,10,0,0,0,10,0
406,0,0,360,0,0,0,120,0,0,0,33.33,0,0,0,0,0,0,0,12,0,0,0,12,0
407,0,0,419,0,0,0,140,0,0,0,38.89,0,0,0,0,0,0,0,14,0,0,0,14,0
408,0,0,479,0,0,0,160,0,0,0,44.44,0,0,0,0,0,0,0,16,0,0,0,16,0
409,0,0,539,0,0,0,180,0,0,0,50,0,0,0,0,0,0,0,18,0,0,0,18,0
410,0,0,599,0,0,0,200,0,0,0,55.56,0,0,0,0,0,0,0,20,0,0,0,20,0
411,0,0,659,0,0,0,220,0,0,0,61.11,0,0,0,0,0,0,0,22,0,0,0,22,0
412,0,0,719,0,0,0,240,0,0,0,66.67,0,0,0,0,0,0,0,24,0,0,0,24,0
413,0,0,779,0,0,0,260,0,0,0,72.22,0,0,0,0,0,0,0,26,0,0,0,26,0
414,0,0,839,0,0,0,280,0,0,0,77.78,0,0,0,0,0,0,0,28,0,0,0,28,0
415,0,0,899,0,0,0,300,0,0,0,83.33,0,0,0,0,0,0,0,30,0,0,0,30,0
416,0,0,959,0,0,0,320,0,0,0,88.89,0,0,0,0,0,0,0,32,0,0,0,32,0
417,0,0,1019,0,0,0,340,0,0,0,94.44,0,0,0,0,0,0,0,34,0,0,0,34,0
418,0,0,1079,0,0,0,360,0,0,0,100,0,0,0,0,0,0,0,36,0,0,0,36,0
419,0,0,1139,0,0,0,380,0,0,0,105.56,0,0,0,0,0,0,0,38,0,0,0,38,0
420,0,0,1199,0,0,0,400,0,0,0,111.11,0,0,0,0,0,0,0,40,0,0,0,40,0
421,0,0,1258,0,0,0,420,0,0,0,116.67,0,0,0,0,0,0,0,42,0,0,0,42,0
422,0,0,1318,0,0,0,440,0,0,0,122.22,0,0,0,0,0,0,0,44,0,0,0,44,0
423,0,0,1378,0,0,0,460,0,0,0,127.78,0,0,0,0,0,0,0,46,0,0,0,46,0
424,0,0,1438,0,0,0,480,0,0,0,133.33,0,0,0,0,0,0,0,48,0,0,0,48,0
425,0,0,1498,0,0,0,500,0,0,0,138.89,0,0,0,0,0,0,0,50,0,0,0,50,0
426,0,0,1558,0,0,0,520,0,0,0,144.44,0,0,0,0,0,0,0,52,0,0,0,52,0
427,0,0,1618,0,0,0,540,0,0,0,150,0,0,0,0,0,0,0,54,0,0,0,54,0
428,0,0,1678,0,0,0,560,0,0,0,155.56,0,0,0,0,0,0,0,56,0,0,0,56,0
429,0,0,1738,0,0,0,580,0,0,0,161.11,0,0,0,0,0,0,0,58,0,0,0,58,0
430,0,0,1798,0,0,0,600,0,0,0,166.67,0,0,0,0,0,0,0,60,0,0,0,60,0
501,0,0,75,0,0,0,20,0,0,0,2.22,0,0,0,0,0,0,0,4,0,0,0,4,0
502,0,0,150,0,0,0,40,0,0,0,4.44,0,0,0,0,0,0,0,8,0,0,0,8,0
503,0,0,225,0,0,0,60,0,0,0,6.67,0,0,0,0,0,0,0,12,0,0,0,12,0
504,0,0,300,0,0,0,80,0,0,0,8.89,0,0,0,0,0,0,0,16,0,0,0,16,0
505,0,0,375,0,0,0,100,0,0,0,11.11,0,0,0,0,0,0,0,20,0,0,0,20,0
506,0,0,449,0,0,0,120,0,0,0,13.33,0,0,0,0,0,0,0,24,0,0,0,24,0
507,0,0,524,0,0,0,140,0,0,0,15.56,0,0,0,0,0,0,0,28,0,0,0,28,0
508,0,0,599,0,0,0,160,0,0,0,17.78,0,0,0,0,0,0,0,32,0,0,0,32,0
509,0,0,674,0,0,0,180,0,0,0,20,0,0,0,0,0,0,0,36,0,0,0,36,0
510,0,0,749,0,0,0,200,0,0,0,22.22,0,0,0,0,0,0,0,40,0,0,0,40,0
511,0,0,824,0,0,0,220,0,0,0,24.44,0,0,0,0,0,0,0,44,0,0,0,44,0
512,0,0,899,0,0,0,240,0,0,0,26.67,0,0,0,0,0,0,0,48,0,0,0,48,0
513,0,0,974,0,0,0,260,0,0,0,28.89,0,0,0,0,0,0,0,52,0,0,0,52,0
514,0,0,1049,0,0,0,280,0,0,0,31.11,0,0,0,0,0,0,0,56,0,0,0,56,0
515,0,0,1124,0,0,0,300,0,0,0,33.33,0,0,0,0,0,0,0,60,0,0,0,60,0
516,0,0,1199,0,0,0,320,0,0,0,35.56,0,0,0,0,0,0,0,64,0,0,0,64,0
517,0,0,1273,0,0,0,340,0,0,0,37.78,0,0,0,0,0,0,0,68,0,0,0,68,0
518,0,0,1348,0,0,0,360,0,0,0,40,0,0,0,0,0,0,0,72,0,0,0,72,0
519,0,0,1423,0,0,0,380,0,0,0,42.22,0,0,0,0,0,0,0,76,0,0,0,76,0
520,0,0,1498,0,0,0,400,0,0,0,44.44,0,0,0,0,0,0,0,80,0,0,0,80,0
521,0,0,1573,0,0,0,420,0,0,0,46.67,0,0,0,0,0,0,0,84,0,0,0,84,0
522,0,0,1648,0,0,0,440,0,0,0,48.89,0,0,0,0,0,0,0,88,0,0,0,88,0
523,0,0,1723,0,0,0,460,0,0,0,51.11,0,0,0,0,0,0,0,92,0,0,0,92,0
524,0,0,1798,0,0,0,480,0,0,0,53.33,0,0,0,0,0,0,0,96,0,0,0,96,0
525,0,0,1873,0,0,0,500,0,0,0,55.56,0,0,0,0,0,0,0,100,0,0,0,100,0
526,0,0,1948,0,0,0,520,0,0,0,57.78,0,0,0,0,0,0,0,104,0,0,0,104,0
527,0,0,2022,0,0,0,540,0,0,0,60,0,0,0,0,0,0,0,108,0,0,0,108,0
528,0,0,2097,0,0,0,560,0,0,0,62.22,0,0,0,0,0,0,0,112,0,0,0,112,0
529,0,0,2172,0,0,0,580,0,0,0,64.44,0,0,0,0,0,0,0,116,0,0,0,116,0
530,0,0,2247,0,0,0,600,0,0,0,66.67,0,0,0,0,0,0,0,120,0,0,0,120,0
601,0,0,30,0,0,0,20,0,0,0,0,0,0,0,9.22,0,0,0,2,0,0,0,2,0
602,0,0,60,0,0,0,40,0,0,0,0,0,0,0,18.43,0,0,0,4,0,0,0,4,0
603,0,0,90,0,0,0,60,0,0,0,0,0,0,0,27.65,0,0,0,6,0,0,0,6,0
604,0,0,120,0,0,0,80,0,0,0,0,0,0,0,36.87,0,0,0,8,0,0,0,8,0
605,0,0,150,0,0,0,100,0,0,0,0,0,0,0,46.08,0,0,0,10,0,0,0,10,0
606,0,0,180,0,0,0,120,0,0,0,0,0,0,0,55.3,0,0,0,12,0,0,0,12,0
607,0,0,210,0,0,0,140,0,0,0,0,0,0,0,64.52,0,0,0,14,0,0,0,14,0
608,0,0,240,0,0,0,160,0,0,0,0,0,0,0,73.73,0,0,0,16,0,0,0,16,0
609,0,0,270,0,0,0,180,0,0,0,0,0,0,0,82.95,0,0,0,18,0,0,0,18,0
610,0,0,300,0,0,0,200,0,0,0,0,0,0,0,92.17,0,0,0,20,0,0,0,20,0
611,0,0,330,0,0,0,220,0,0,0,0,0,0,0,101.38,0,0,0,22,0,0,0,22,0
612,0,0,360,0,0,0,240,0,0,0,0,0,0,0,110.6,0,0,0,24,0,0,0,24,0
613,0,0,390,0,0,0,260,0,0,0,0,0,0,0,119.82,0,0,0,26,0,0,0,26,0
614,0,0,419,0,0,0,280,0,0,0,0,0,0,0,129.03,0,0,0,28,0,0,0,28,0
615,0,0,449,0,0,0,300,0,0,0,0,0,0,0,138.25,0,0,0,30,0,0,0,30,0
616,0,0,479,0,0,0,320,0,0,0,0,0,0,0,147.47,0,0,0,32,0,0,0,32,0
617,0,0,509,0,0,0,340,0,0,0,0,0,0,0,156.68,0,0,0,34,0,0,0,34,0
618,0,0,539,0,0,0,360,0,0,0,0,0,0,0,165.9,0,0,0,36,0,0,0,36,0
619,0,0,569,0,0,0,380,0,0,0,0,0,0,0,175.12,0,0,0,38,0,0,0,38,0
620,0,0,599,0,0,0,400,0,0,0,0,0,0,0,184.33,0,0,0,40,0,0,0,40,0
621,0,0,629,0,0,0,420,0,0,0,0,0,0,0,193.55,0,0,0,42,0,0,0,42,0
622,0,0,659,0,0,0,440,0,0,0,0,0,0,0,202.76,0,0,0,44,0,0,0,44,0
623,0,0,689,0,0,0,460,0,0,0,0,0,0,0,211.98,0,0,0,46,0,0,0,46,0
624,0,0,719,0,0,0,480,0,0,0,0,0,0,0,221.2,0,0,0,48,0,0,0,48,0
625,0,0,749,0,0,0,500,0,0,0,0,0,0,0,230.41,0,0,0,50,0,0,0,50,0
626,0,0,779,0,0,0,520,0,0,0,0,0,0,0,239.63,0,0,0,52,0,0,0,52,0
627,0,0,809,0,0,0,540,0,0,0,0,0,0,0,248.85,0,0,0,54,0,0,0,54,0
628,0,0,839,0,0,0,560,0,0,0,0,0,0,0,258.06,0,0,0,56,0,0,0,56,0
629,0,0,869,0,0,0,580,0,0,0,0,0,0,0,267.28,0,0,0,58,0,0,0,58,0
630,0,0,899,0,0,0,600,0,0,0,0,0,0,0,276.5,0,0,0,60,0,0,0,60,0
701,0,0,30,0,0,0,20,0,0,0,0,0,0,0,9.22,0,0,0,2,0,0,0,2,0
702,0,0,60,0,0,0,40,0,0,0,0,0,0,0,18.43,0,0,0,4,0,0,0,4,0
703,0,0,90,0,0,0,60,0,0,0,0,0,0,0,27.65,0,0,0,6,0,0,0,6,0
704,0,0,120,0,0,0,80,0,0,0,0,0,0,0,36.87,0,0,0,8,0,0,0,8,0
705,0,0,150,0,0,0,100,0,0,0,0,0,0,0,46.08,0,0,0,10,0,0,0,10,0
706,0,0,180,0,0,0,120,0,0,0,0,0,0,0,55.3,0,0,0,12,0,0,0,12,0
707,0,0,210,0,0,0,140,0,0,0,0,0,0,0,64.52,0,0,0,14,0,0,0,14,0
708,0,0,240,0,0,0,160,0,0,0,0,0,0,0,73.73,0,0,0,16,0,0,0,16,0
709,0,0,270,0,0,0,180,0,0,0,0,0,0,0,82.95,0,0,0,18,0,0,0,18,0
710,0,0,300,0,0,0,200,0,0,0,0,0,0,0,92.17,0,0,0,20,0,0,0,20,0
711,0,0,330,0,0,0,220,0,0,0,0,0,0,0,101.38,0,0,0,22,0,0,0,22,0
712,0,0,360,0,0,0,240,0,0,0,0,0,0,0,110.6,0,0,0,24,0,0,0,24,0
713,0,0,390,0,0,0,260,0,0,0,0,0,0,0,119.82,0,0,0,26,0,0,0,26,0
714,0,0,419,0,0,0,280,0,0,0,0,0,0,0,129.03,0,0,0,28,0,0,0,28,0
715,0,0,449,0,0,0,300,0,0,0,0,0,0,0,138.25,0,0,0,30,0,0,0,30,0
716,0,0,479,0,0,0,320,0,0,0,0,0,0,0,147.47,0,0,0,32,0,0,0,32,0
717,0,0,509,0,0,0,340,0,0,0,0,0,0,0,156.68,0,0,0,34,0,0,0,34,0
718,0,0,539,0,0,0,360,0,0,0,0,0,0,0,165.9,0,0,0,36,0,0,0,36,0
719,0,0,569,0,0,0,380,0,0,0,0,0,0,0,175.12,0,0,0,38,0,0,0,38,0
720,0,0,599,0,0,0,400,0,0,0,0,0,0,0,184.33,0,0,0,40,0,0,0,40,0
721,0,0,629,0,0,0,420,0,0,0,0,0,0,0,193.55,0,0,0,42,0,0,0,42,0
722,0,0,659,0,0,0,440,0,0,0,0,0,0,0,202.76,0,0,0,44,0,0,0,44,0
723,0,0,689,0,0,0,460,0,0,0,0,0,0,0,211.98,0,0,0,46,0,0,0,46,0
724,0,0,719,0,0,0,480,0,0,0,0,0,0,0,221.2,0,0,0,48,0,0,0,48,0
725,0,0,749,0,0,0,500,0,0,0,0,0,0,0,230.41,0,0,0,50,0,0,0,50,0
726,0,0,779,0,0,0,520,0,0,0,0,0,0,0,239.63,0,0,0,52,0,0,0,52,0
727,0,0,809,0,0,0,540,0,0,0,0,0,0,0,248.85,0,0,0,54,0,0,0,54,0
728,0,0,839,0,0,0,560,0,0,0,0,0,0,0,258.06,0,0,0,56,0,0,0,56,0
729,0,0,869,0,0,0,580,0,0,0,0,0,0,0,267.28,0,0,0,58,0,0,0,58,0
730,0,0,899,0,0,0,600,0,0,0,0,0,0,0,276.5,0,0,0,60,0,0,0,60,0
801,0,0,60,0,0,0,20,0,0,0,5.56,0,0,0,0,0,0,0,2,0,0,0,2,0
802,0,0,120,0,0,0,40,0,0,0,11.11,0,0,0,0,0,0,0,4,0,0,0,4,0
803,0,0,180,0,0,0,60,0,0,0,16.67,0,0,0,0,0,0,0,6,0,0,0,6,0
804,0,0,240,0,0,0,80,0,0,0,22.22,0,0,0,0,0,0,0,8,0,0,0,8,0
805,0,0,300,0,0,0,100,0,0,0,27.78,0,0,0,0,0,0,0,10,0,0,0,10,0
806,0,0,360,0,0,0,120,0,0,0,33.33,0,0,0,0,0,0,0,12,0,0,0,12,0
807,0,0,419,0,0,0,140,0,0,0,38.89,0,0,0,0,0,0,0,14,0,0,0,14,0
808,0,0,479,0,0,0,160,0,0,0,44.44,0,0,0,0,0,0,0,16,0,0,0,16,0
809,0,0,539,0,0,0,180,0,0,0,50,0,0,0,0,0,0,0,18,0,0,0,18,0
810,0,0,599,0,0,0,200,0,0,0,55.56,0,0,0,0,0,0,0,20,0,0,0,20,0
811,0,0,659,0,0,0,220,0,0,0,61.11,0,0,0,0,0,0,0,22,0,0,0,22,0
812,0,0,719,0,0,0,240,0,0,0,66.67,0,0,0,0,0,0,0,24,0,0,0,24,0
813,0,0,779,0,0,0,260,0,0,0,72.22,0,0,0,0,0,0,0,26,0,0,0,26,0
814,0,0,839,0,0,0,280,0,0,0,77.78,0,0,0,0,0,0,0,28,0,0,0,28,0
815,0,0,899,0,0,0,300,0,0,0,83.33,0,0,0,0,0,0,0,30,0,0,0,30,0
816,0,0,959,0,0,0,320,0,0,0,88.89,0,0,0,0,0,0,0,32,0,0,0,32,0
817,0,0,1019,0,0,0,340,0,0,0,94.44,0,0,0,0,0,0,0,34,0,0,0,34,0
818,0,0,1079,0,0,0,360,0,0,0,100,0,0,0,0,0,0,0,36,0,0,0,36,0
819,0,0,1139,0,0,0,380,0,0,0,105.56,0,0,0,0,0,0,0,38,0,0,0,38,0
820,0,0,1199,0,0,0,400,0,0,0,111.11,0,0,0,0,0,0,0,40,0,0,0,40,0
821,0,0,1258,0,0,0,420,0,0,0,116.67,0,0,0,0,0,0,0,42,0,0,0,42,0
822,0,0,1318,0,0,0,440,0,0,0,122.22,0,0,0,0,0,0,0,44,0,0,0,44,0
823,0,0,1378,0,0,0,460,0,0,0,127.78,0,0,0,0,0,0,0,46,0,0,0,46,0
824,0,0,1438,0,0,0,480,0,0,0,133.33,0,0,0,0,0,0,0,48,0,0,0,48,0
825,0,0,1498,0,0,0,500,0,0,0,138.89,0,0,0,0,0,0,0,50,0,0,0,50,0
826,0,0,1558,0,0,0,520,0,0,0,144.44,0,0,0,0,0,0,0,52,0,0,0,52,0
827,0,0,1618,0,0,0,540,0,0,0,150,0,0,0,0,0,0,0,54,0,0,0,54,0
828,0,0,1678,0,0,0,560,0,0,0,155.56,0,0,0,0,0,0,0,56,0,0,0,56,0
829,0,0,1738,0,0,0,580,0,0,0,161.11,0,0,0,0,0,0,0,58,0,0,0,58,0
830,0,0,1798,0,0,0,600,0,0,0,166.67,0,0,0,0,0,0,0,60,0,0,0,60,0
901,0,0,75,0,0,0,20,0,0,0,2.22,0,0,0,0,0,0,0,4,0,0,0,4,0
902,0,0,150,0,0,0,40,0,0,0,4.44,0,0,0,0,0,0,0,8,0,0,0,8,0
903,0,0,225,0,0,0,60,0,0,0,6.67,0,0,0,0,0,0,0,12,0,0,0,12,0
904,0,0,300,0,0,0,80,0,0,0,8.89,0,0,0,0,0,0,0,16,0,0,0,16,0
905,0,0,375,0,0,0,100,0,0,0,11.11,0,0,0,0,0,0,0,20,0,0,0,20,0
906,0,0,449,0,0,0,120,0,0,0,13.33,0,0,0,0,0,0,0,24,0,0,0,24,0
907,0,0,524,0,0,0,140,0,0,0,15.56,0,0,0,0,0,0,0,28,0,0,0,28,0
908,0,0,599,0,0,0,160,0,0,0,17.78,0,0,0,0,0,0,0,32,0,0,0,32,0
909,0,0,674,0,0,0,180,0,0,0,20,0,0,0,0,0,0,0,36,0,0,0,36,0
910,0,0,749,0,0,0,200,0,0,0,22.22,0,0,0,0,0,0,0,40,0,0,0,40,0
911,0,0,824,0,0,0,220,0,0,0,24.44,0,0,0,0,0,0,0,44,0,0,0,44,0
912,0,0,899,0,0,0,240,0,0,0,26.67,0,0,0,0,0,0,0,48,0,0,0,48,0
913,0,0,974,0,0,0,260,0,0,0,28.89,0,0,0,0,0,0,0,52,0,0,0,52,0
914,0,0,1049,0,0,0,280,0,0,0,31.11,0,0,0,0,0,0,0,56,0,0,0,56,0
915,0,0,1124,0,0,0,300,0,0,0,33.33,0,0,0,0,0,0,0,60,0,0,0,60,0
916,0,0,1199,0,0,0,320,0,0,0,35.56,0,0,0,0,0,0,0,64,0,0,0,64,0
917,0,0,1273,0,0,0,340,0,0,0,37.78,0,0,0,0,0,0,0,68,0,0,0,68,0
918,0,0,1348,0,0,0,360,0,0,0,40,0,0,0,0,0,0,0,72,0,0,0,72,0
919,0,0,1423,0,0,0,380,0,0,0,42.22,0,0,0,0,0,0,0,76,0,0,0,76,0
