符文ID（1-1000通用符文ID;1000以上为专属符文id）,符文名称,符文图标,符文专属（0为通用;1-1000为相应英雄可用）,符文镶嵌类型(雕文1印记2符印3精华4等分类),符文属性类型(生命1法力2攻击3魔法4防御5功能6),符文等级,符文描述,效果id组(都配效果),改动的参数组(都配效果),符文名称类型 (1加号;2百分比;4成长18;8扩大100),符文限制个数
16,法术防御,1,0,4,5,3,[orange]等级3[/orange]<br>      [b][purple]高级法术防御精华[/purple][/b] <br>      +12法术防御,3101,120000,9,1
17,法术防御(18级),1,0,1,5,3,[orange]等级3[/orange]<br>     [b][blue]高级成长法术防御雕文[/blue][/b] <br>    每级+0.72法术防御(18级+12.96),3001,7200,13,2
18,法术防御(18级),4,0,4,5,3,[orange]等级3[/orange]<br>      [b][purple]高级成长法术防御精华[/purple][/b] <br>      每级+1.11法术防御(18级+19.98),3001,11100,13,1
19,法术强度,1,0,1,4,3,[orange]等级3[/orange]<br>      [b][blue]高级法术强度雕文[/blue][/b] <br>      +5.4法术强度,3097,54000,9,2
20,法术强度,1,0,4,4,3,[orange]等级3[/orange]<br>      [b][purple]高级法术强度精华[/purple][/b] <br>      +14.85法术强度,3097,148500,9,1
21,法术强度(18级),1,0,1,4,3,[orange]等级3[/orange]<br>      [b][blue]高级成长法术强度雕文[/blue][/b] <br>      每级+0.77法术强度(18级+13.86),2998,7700,13,2
22,法术强度(18级),4,0,4,4,3,[orange]等级3[/orange]<br>      [b][purple]高级成长法术强度精华[/purple][/b] <br>      每级+1.29法术强度(18级+23.22),2998,12900,13,1
23,法术吸血,4,0,4,4,3,[orange]等级3[/orange]<br>      [b][purple]高级法术吸血精华[/purple][/b] <br>      +6%法术吸血,3108,60000,3,1
24,攻击力,1,0,2,3,3,[orange]等级3[/orange]<br>      [b][red]高级攻击印记[/red][/b] <br>     +4.7攻击力,3093,47000,9,2
25,攻击力,2,0,4,3,3,[orange]等级3[/orange]<br>      [b][purple]高级攻击力精华[/purple][/b] <br>      +7.5攻击力,3093,75000,9,1
26,攻击力(18级),2,0,2,3,3,[orange]等级3[/orange]<br>      [b][red]高级成长攻击印记[/red][/b] <br>      每级+0.65攻击力(18级+11.7),2997,6500,13,2
27,攻击力(18级),4,0,4,3,3,[orange]等级3[/orange]<br>      [b][purple]高级成长攻击力精华[/purple][/b] <br>     每级+0.83攻击力(18级+14.94),2997,8300,13,1
28,护甲穿透,2,0,2,3,3,[orange]等级3[/orange]<br>    [b][red]高级护甲穿透印记[/red][/b] <br>      +5.8护甲穿透,3106,580,1,2
29,护甲穿透,1,0,4,3,3,[orange]等级3[/orange]<br>      [b][purple]高级护甲穿透精华[/purple][/b] <br>      +7.68护甲穿透,3106,768,1,1
30,护甲穿透<br>;法术穿透,2,0,2,3,3,[orange]等级3[/orange]<br>      [b][red]高级混合穿透印记[/red][/b] <br>      +4.05物理防御穿透/+2.79法术防御穿透,3106;3104,405;279,1,2
31,护甲穿透<br>;法术穿透,4,0,4,3,3,[orange]等级3[/orange]<br>      [b][purple]高级混合穿透精华[/purple][/b] <br>      +5.37物理防御穿透/+4.2法术防御穿透,3106;3104,537;420,1,1
32,冷却时间,1,0,1,6,3,[orange]等级3[/orange]<br>      [b][blue]高级冷却缩减雕文[/blue][/b] <br>     -3.74%冷却时间,3107,37400,2,2
33,冷却时间,3,0,4,6,3,[orange]等级3[/orange]<br>      [b][purple]高级冷却缩减精华[/purple][/b] <br>      -7.5%冷却时间,3107,75000,2,1
34,冷却时间(18级),1,0,1,6,3,[orange]等级3[/orange]<br>      [b][blue]高级成长冷却缩减雕文[/blue][/b] <br>      每级-0.4%冷却时间(18级-7.2%),3004,4000,6,2
35,冷却时间(18级),4,0,4,6,3,[orange]等级3[/orange]<br>      [b][purple]高级成长生冷却缩减精华[/purple][/b] <br>      每级-0.84%冷却时间(18级-15.12%),3004,8400,6,1
36,能量回复/5秒,3,0,3,2,3,[orange]等级3[/orange]<br>      [b][yellow]高级能量回复符印[/yellow][/b] <br>      +2.84能量回复/5秒,3112,28400,9,2
37,能量回复/5秒,3,0,4,2,3,[orange]等级3[/orange]<br>      [b][purple]高级能量回复精华[/purple][/b] <br>      +4.73能量回复/5秒,3112,47300,9,1
38,能量回复/5秒(18级),3,0,3,2,3,[orange]等级3[/orange]<br>      [b][yellow]高级成长能量回复符印[/yellow][/b] <br>      每级+0.29能量回复/5秒(18级+5.22),3005,2900,13,2
39,能量值,1,0,1,2,3,[orange]等级3[/orange]<br>      [b][blue]高级能量值雕文[/blue][/b] <br>      +10能量值,3111,1000,1,2
40,能量值,3,0,4,2,3,[orange]等级3[/orange]<br>      [b][purple]高级能量值精华[/purple][/b] <br>      +16.2能量值,3111,1620,1,1
41,普攻伤害,1,0,2,3,3,[orange]等级3[/orange]<br>    [b][red]高级普攻伤害印记[/red][/b] <br>     +7.65%普攻伤害,3094,45900,3,2
42,普攻伤害,2,0,4,3,3,[orange]等级3[/orange]<br>      [b][purple]高级普攻伤害精华[/purple][/b] <br>      +13.5%普攻伤害,3094,81000,3,1
43,生命恢复/5秒,3,0,3,1,3,[orange]等级3[/orange]<br>      [b][yellow]高级生命回复符印[/yellow][/b] <br>      +2.52生命恢复/5秒,3105,25200,9,2
44,生命恢复/5秒,3,0,4,1,3,[orange]等级3[/orange]<br>      [b][purple]高级生命回复精华[/purple][/b] <br>      +8.1生命恢复/5秒,3105,81000,9,1
45,生命恢复/5秒(18级),3,0,3,1,3,[orange]等级3[/orange]<br>      [b][yellow]高级成长生命回复符印[/yellow][/b] <br>      每级+0.5生命恢复/5秒(18级+9),3006,5000,13,2
46,生命恢复/5秒(18级),4,0,4,1,3,[orange]等级3[/orange]<br>      [b][purple]高级成长生命回复精华[/purple][/b] <br>      每级+0.84生命恢复/5秒(18级+15.12),3006,8400,13,1
47,生命偷取,4,0,4,3,3,[orange]等级3[/orange]<br>      [b][purple]高级生命偷取精华[/purple][/b] <br>     +4.5%生命偷取,3109,45000,3,1
48,生命值,3,0,3,1,3,[orange]等级3[/orange]<br>      [b][yellow]高级生命值符印[/yellow][/b] <br>      +36生命值,3098,3600,1,2
49,生命值,3,0,4,1,3,[orange]等级3[/orange]<br>      [b][purple]高级生命值精华[/purple][/b] <br>     +78生命值,3098,7800,1,1
50,生命值(18级),3,0,3,1,3,[orange]等级3[/orange]<br>      [b][yellow]高级长生命值符印[/yellow][/b] <br>      每级+5.99生命值(18级+107.82),2999,599,5,2
51,生命值(18级),4,0,4,1,3,[orange]等级3[/orange]<br>      [b][purple]高级成长生命值精华[/purple][/b] <br>      每级+8.1生命值(18级+145.8),2999,810,5,1
52,生命值加成,3,0,3,1,3,[orange]等级3[/orange]<br>      [b][yellow]高级百分比生命值符印[/yellow][/b] <br>     +2.25%生命值,3099,22500,3,2
53,生命值加成,3,0,4,1,3,[orange]等级3[/orange]<br>      [b][purple]高级百分比生命值精华[/purple][/b]<br>      +4.5%生命值加成,3099,45000,3,1
54,物理防御,3,0,3,5,3,[orange]等级3[/orange]<br>      [b][yellow]高级护甲符印[/yellow][/b] <br>     +4.5物理防御,3102,45000,9,2
55,物理防御,1,0,4,5,3,[orange]等级3[/orange]<br>     [b][purple]高级护甲精华[/purple][/b] <br>     +12.78物理防御,3102,127800,9,1
56,物理防御(18级),3,0,3,5,3,[orange]等级3[/orange]<br>      [b][yellow]高级成长护甲符印[/yellow][/b] <br>      每级+0.72物理防御(18级+12.96),3002,7200,13,2
57,物理防御(18级),4,0,4,5,3,[orange]等级3[/orange]<br>     [b][purple]高级成长护甲精华[/purple][/b] <br>      每级+1.14物理防御(18级+20.52),3002,11400,13,1
58,移动速度,4,0,4,6,3,[orange]等级3[/orange]<br>      [b][purple]高级移动速度精华[/purple][/b] <br>      +4.5%移动速度,3110,45000,3,1
59,暴击几率,1,0,2,3,2,[orange]等级2[/orange]<br>         [b][red]中级暴击印记[/red][/b]    <br>    +3.36%暴击几率,3095,3360000,11,2
60,暴击几率,2,0,4,3,2,[orange]等级2[/orange]<br>     [b][purple]中级暴击几率精华[/purple][/b] <br>      +4.46%暴击几率,3095,4464000,11,1
61,暴击伤害,1,0,2,3,2,[orange]等级2[/orange]<br>      [b][red]中级暴伤印记[/red][/b] <br>     +8%暴击伤害,3096,80000,3,2
62,暴击伤害,2,0,4,3,2,[orange]等级2[/orange]<br>      [b][purple]中级暴击伤害吸血精华[/purple][/b] <br>      +10.7%暴击伤害,3096,107040,3,1
63,法力回复/5秒,1,0,1,2,2,[orange]等级2[/orange]<br>      [b][blue]中级法力回复雕文[/blue][/b] <br>     +1.2法力回复/5秒,3103,12000,9,2
64,法力回复/5秒,3,0,4,2,2,[orange]等级2[/orange]<br>      [b][purple]中级法力回复精华[/purple][/b] <br>      +3.00法力回复/5秒,3103,30000,9,1
65,法力回复/5秒(18级),1,0,1,2,2,[orange]等级2[/orange]<br>      [b][blue]中级成长法力回复雕文[/blue][/b] <br>      每级+0.216法力回复/5秒(18级+3.89),3003,2160,13,2
66,法力回复/5秒(18级),4,0,4,2,2,[orange]等级2[/orange]<br>      [b][purple]中级成长法力回复精华[/purple][/b] <br>      每级+0.57法力回复/5秒(18级+10.26),3003,5760,13,1
67,法力值,1,0,1,2,2,[orange]等级2[/orange]<br>      [b][blue]中级法力值雕文[/blue][/b] <br>      +40.4法力值,3100,404800,9,2
68,法力值,3,0,4,2,2,[orange]等级2[/orange]<br>      [b][purple]中级法力值精华[/purple][/b] <br>      +90法力值,3100,900000,9,1
69,法力值(18级),1,0,1,2,2,[orange]等级2[/orange]<br>      [b][blue]中级成长法力值雕文[/blue][/b] <br>      每级+5.1法力值(18级+91.8),3000,51200,13,2
70,法力值(18级),4,0,4,2,2,[orange]等级2[/orange]<br>      [b][purple]中级成长法力值精华[/purple][/b] <br>     每级+10.00法力值(18级+180),3000,100080,13,1
71,法术穿透,2,0,2,4,2,[orange]等级2[/orange]<br>    [b][red]中级法术穿透印记[/red][/b] <br>      +3.1法术穿透,3104,312,1,2
72,法术穿透,1,0,4,4,2,[orange]等级2[/orange]<br>      [b][purple]中级法术穿透精华[/purple][/b] <br>      +4.8法术穿透,3104,482,1,1
73,法术防御,1,0,1,5,2,[orange]等级2[/orange]<br>      [b][blue]中级法术防御雕文[/blue][/b] <br>      +4.8法术防御,3101,48000,9,2
74,法术防御,1,0,4,5,2,[orange]等级2[/orange]<br>      [b][purple]中级法术防御精华[/purple][/b] <br>      +9.6法术防御,3101,96000,9,1
75,法术防御(18级),1,0,1,5,2,[orange]等级2[/orange]<br>     [b][blue]中级成长法术防御雕文[/blue][/b]  <br>  每级+0.57法术防御(18级+10.26),3001,5760,13,2
76,法术防御(18级),4,0,4,5,2,[orange]等级2[/orange]<br>      [b][purple]中级成长法术防御精华[/purple][/b] <br>      每级+0.88法术防御(18级+15.84),3001,8880,13,1
77,法术强度,1,0,1,4,2,[orange]等级2[/orange]<br>      [b][blue]中级法术强度雕文[/blue][/b] <br>      +4.32法术强度,3097,43200,9,2
78,法术强度,1,0,4,4,2,[orange]等级2[/orange]<br>      [b][purple]中级法术强度精华[/purple][/b] <br>      +11.88法术强度,3097,118800,9,1
79,法术强度(18级),1,0,1,4,2,[orange]等级2[/orange]<br>      [b][blue]中级成长法术强度雕文[/blue][/b] <br>      每级+0.61法术强度(18级+10.98),2998,6160,13,2
80,法术强度(18级),4,0,4,4,2,[orange]等级2[/orange]<br>      [b][purple]中级成长法术强度精华[/purple][/b] <br>      每级+1.03法术强度(18级+18.54),2998,10320,13,1
81,法术吸血,4,0,4,4,2,[orange]等级2[/orange]<br>      [b][purple]中级法术吸血精华[/purple][/b] <br>      +4.8%法术吸血,3108,48000,3,1
82,攻击力,1,0,2,3,2,[orange]等级2[/orange]<br>      [b][red]中级攻击印记[/red][/b] <br>     +3.7攻击力,3093,37600,9,2
83,攻击力,2,0,4,3,2,[orange]等级2[/orange]<br>      [b][purple]中级攻击力精华[/purple][/b] <br>      +6攻击力,3093,60000,9,1
84,攻击力(18级),2,0,2,3,2,[orange]等级2[/orange]<br>      [b][red]中级成长攻击印记[/red][/b] <br>      每级+0.52攻击力(18级+9.36),2997,5200,13,2
85,攻击力(18级),4,0,4,3,2,[orange]等级2[/orange]<br>      [b][purple]中级成长攻击力精华[/purple][/b] <br>     每级+0.66攻击力(18级+11.88),2997,6640,13,1
86,护甲穿透,2,0,2,3,2,[orange]等级2[/orange]<br>    [b][red]中级护甲穿透印记[/red][/b] <br>      +4.6护甲穿透,3106,464,1,2
87,护甲穿透,1,0,4,3,2,[orange]等级2[/orange]<br>      [b][purple]中级护甲穿透精华[/purple][/b] <br>      +6.1护甲穿透,3106,614,1,1
88,护甲穿透<br>;法术穿透,2,0,2,3,2,[orange]等级2[/orange]<br>      [b][red]中级混合穿透印记[/red][/b] <br>      +3.24物理防御穿透/+2.23法术防御穿透,3106;3104,324;223,1,2
89,护甲穿透<br>;法术穿透,4,0,4,3,2,[orange]等级2[/orange]<br>      [b][purple]中级混合穿透精华[/purple][/b] <br>      +4.30物理防御穿透/+3.36法术防御穿透,3106;3104,430;336,1,1
90,冷却时间,1,0,1,6,2,[orange]等级2[/orange]<br>      [b][blue]中级冷却缩减雕文[/blue][/b] <br>     -2.99%冷却时间,3107,29920,2,2
91,冷却时间,3,0,4,6,2,[orange]等级2[/orange]<br>      [b][purple]中级冷却缩减精华[/purple][/b] <br>      -6%冷却时间,3107,60000,2,1
92,冷却时间(18级),1,0,1,6,2,[orange]等级2[/orange]<br>      [b][blue]中级成长冷却缩减雕文[/blue][/b] <br>      每级-0.32%冷却时间(18级-5.76%),3004,3200,6,2
93,冷却时间(18级),4,0,4,6,2,[orange]等级2[/orange]<br>      [b][purple]中级成长生冷却缩减精华[/purple][/b] <br>      每级-0.67%冷却时间(18级-12.06%),3004,6720,6,1
94,能量回复/5秒,3,0,3,2,2,[orange]等级2[/orange]<br>      [b][yellow]中级能量回复符印[/yellow][/b] <br>      +2.27能量回复/5秒,3112,22720,9,2
95,能量回复/5秒,3,0,4,2,2,[orange]等级2[/orange]<br>      [b][purple]中级能量回复精华[/purple][/b] <br>      +3.78能量回复/5秒,3112,37840,9,1
96,能量回复/5秒(18级),3,0,3,2,2,[orange]等级2[/orange]<br>      [b][yellow]中级成长能量回复符印[/yellow][/b] <br>      每级+0.23能量回复/5秒(18级+4.14),3005,2320,13,2
97,能量值,1,0,1,2,2,[orange]等级2[/orange]<br>      [b][blue]中级能量值雕文[/blue][/b] <br>      +8能量值,3111,800,1,2
98,能量值,3,0,4,2,2,[orange]等级2[/orange]<br>      [b][purple]中级能量值精华[/purple][/b] <br>      +12.9能量值,3111,1296,1,1
99,普攻伤害,1,0,2,3,2,[orange]等级2[/orange]<br>    [b][red]中级普攻伤害印记[/red][/b] <br>     +3.67%普攻伤害,3094,36720,3,2
100,普攻伤害,2,0,4,3,2,[orange]等级2[/orange]<br>      [b][purple]中级普攻伤害精华[/purple][/b] <br>      +6.48%普攻伤害,3094,64800,3,1
101,生命恢复/5秒,3,0,3,1,2,[orange]等级2[/orange]<br>      [b][yellow]中级生命回复符印[/yellow][/b] <br>      +2.01生命恢复/5秒,3105,20160,9,2
102,生命恢复/5秒,3,0,4,1,2,[orange]等级2[/orange]<br>      [b][purple]中级生命回复精华[/purple][/b] <br>      +6.48生命恢复/5秒,3105,64800,9,1
103,生命恢复/5秒(18级),3,0,3,1,2,[orange]等级2[/orange]<br>      [b][yellow]中级成长生命回复符印[/yellow][/b] <br>      每级+0.4生命恢复/5秒(18级+7.2),3006,4000,13,2
104,生命恢复/5秒(18级),4,0,4,1,2,[orange]等级2[/orange]<br>      [b][purple]中级成长生命回复精华[/purple][/b] <br>      每级+0.67生命恢复/5秒(18级+12.06),3006,6720,13,1
105,生命偷取,4,0,4,3,2,[orange]等级2[/orange]<br>      [b][purple]中级生命偷取精华[/purple][/b] <br>     +3.6%生命偷取,3109,36000,3,1
106,生命值,3,0,3,1,2,[orange]等级2[/orange]<br>      [b][yellow]中级生命值符印[/yellow][/b] <br>      +28.8生命值,3098,2880,1,2
107,生命值,3,0,4,1,2,[orange]等级2[/orange]<br>      [b][purple]中级生命值精华[/purple][/b] <br>     +62.4生命值,3098,6240,1,1
108,生命值(18级),3,0,3,1,2,[orange]等级2[/orange]<br>      [b][yellow]中级长生命值符印[/yellow][/b] <br>      每级+4.79生命值(18级+86.22),2999,479.2,5,2
109,生命值(18级),4,0,4,1,2,[orange]等级2[/orange]<br>      [b][purple]中级成长生命值精华[/purple][/b] <br>      每级+6.48生命值(18级+116.64),2999,648,5,1
110,生命值加成,3,0,3,1,2,[orange]等级2[/orange]<br>      [b][yellow]中级百分比生命值符印[/yellow][/b] <br>     +1.8%生命值,3099,18000,3,2
111,生命值加成,3,0,4,1,2,[orange]等级2[/orange]<br>      [b][purple]中级百分比生命值精华[/purple][/b]<br>      +3.6%生命值加成,3099,36000,3,1
112,物理防御,3,0,3,5,2,[orange]等级2[/orange]<br>      [b][yellow]中级护甲符印[/yellow][/b] <br>     +3.6物理防御,3102,36000,9,2
113,物理防御,1,0,4,5,2,[orange]等级2[/orange]<br>     [b][purple]中级护甲精华[/purple][/b] <br>     +10.2物理防御,3102,102240,9,1
114,物理防御(18级),3,0,3,5,2,[orange]等级2[/orange]<br>      [b][yellow]中级成长护甲符印[/yellow][/b] <br>      每级+0.57物理防御(18级+10.26),3002,5760,13,2
115,物理防御(18级),4,0,4,5,2,[orange]等级2[/orange]<br>     [b][purple]中级成长护甲精华[/purple][/b] <br>      每级+0.91物理防御(18级+16.38),3002,9120,13,1
116,移动速度,4,0,4,6,2,[orange]等级2[/orange]<br>      [b][purple]中级移动速度精华[/purple][/b] <br>      +3.6%移动速度,3110,36000,3,1
117,暴击几率,1,0,2,3,1,[orange]等级1[/orange]<br>         [b][red]初级暴击印记[/red][/b]    <br>    +2.52%暴击几率,3095,2520000,11,2
118,暴击几率,2,0,4,3,1,[orange]等级1[/orange]<br>     [b][purple]初级暴击几率精华[/purple][/b] <br>      +3.35%暴击几率,3095,3348000,11,1
119,暴击伤害,1,0,2,3,1,[orange]等级1[/orange]<br>      [b][red]初级暴伤印记[/red][/b] <br>     +6%暴击伤害,3096,60000,3,2
120,暴击伤害,2,0,4,3,1,[orange]等级1[/orange]<br>      [b][purple]初级暴击伤害吸血精华[/purple][/b] <br>      +8.02%暴击伤害,3096,80280,3,1
121,法力回复/5秒,1,0,1,2,1,[orange]等级1[/orange]<br>      [b][blue]初级法力回复雕文[/blue][/b] <br>     +0.9法力回复/5秒,3103,9000,9,2
122,法力回复/5秒,3,0,4,2,1,[orange]等级1[/orange]<br>      [b][purple]初级法力回复精华[/purple][/b] <br>      +2.25法力回复/5秒,3103,22500,9,1
123,法力回复/5秒(18级),1,0,1,2,1,[orange]等级1[/orange]<br>      [b][blue]初级成长法力回复雕文[/blue][/b] <br>      每级+0.162法力回复/5秒(18级+2.91),3003,1620,13,2
124,法力回复/5秒(18级),4,0,4,2,1,[orange]等级1[/orange]<br>      [b][purple]初级成长法力回复精华[/purple][/b] <br>      每级+0.432法力回复/5秒(18级+7.77),3003,4320,13,1
125,法力值,1,0,1,2,1,[orange]等级1[/orange]<br>      [b][blue]初级法力值雕文[/blue][/b] <br>      +30.36法力值,3100,303600,9,2
126,法力值,3,0,4,2,1,[orange]等级1[/orange]<br>      [b][purple]初级法力值精华[/purple][/b] <br>      +67.5法力值,3100,675000,9,1
127,法力值(18级),1,0,1,2,1,[orange]等级1[/orange]<br>      [b][blue]初级成长法力值雕文[/blue][/b] <br>      每级+3.84法力值(18级+69.1),3000,38400,13,2
128,法力值(18级),4,0,4,2,1,[orange]等级1[/orange]<br>      [b][purple]初级成长法力值精华[/purple][/b] <br>     每级+7.5法力值(18级+135),3000,75060,13,1
129,法术穿透,2,0,2,4,1,[orange]等级1[/orange]<br>    [b][red]初级法术穿透印记[/red][/b] <br>      +2.3法术穿透,3104,234,1,2
130,法术穿透,1,0,4,4,1,[orange]等级1[/orange]<br>      [b][purple]初级法术穿透精华[/purple][/b] <br>      +3.6法术穿透,3104,362,1,1
131,法术防御,1,0,1,5,1,[orange]等级1[/orange]<br>      [b][blue]初级法术防御雕文[/blue][/b] <br>      +3.6法术防御,3101,36000,9,2
132,法术防御,1,0,4,5,1,[orange]等级1[/orange]<br>      [b][purple]初级法术防御精华[/purple][/b] <br>      +7.2法术防御,3101,72000,9,1
133,法术防御(18级),1,0,1,5,1,[orange]等级1[/orange]<br>     [b][blue]初级成长法术防御雕文[/blue][/b] <br>  每级+0.43法术防御(18级+7.74),3001,4320,13,2
134,法术防御(18级),4,0,4,5,1,[orange]等级1[/orange]<br>      [b][purple]初级成长法术防御精华[/purple][/b] <br>      每级+0.66法术防御(18级+11.88),3001,6660,13,1
135,法术强度,1,0,1,4,1,[orange]等级1[/orange]<br>      [b][blue]初级法术强度雕文[/blue][/b] <br>      +3.24法术强度,3097,32400,9,2
136,法术强度,1,0,4,4,1,[orange]等级1[/orange]<br>      [b][purple]初级法术强度精华[/purple][/b] <br>      +8.91法术强度,3097,89100,9,1
137,法术强度(18级),1,0,1,4,1,[orange]等级1[/orange]<br>      [b][blue]初级成长法术强度雕文[/blue][/b] <br>      每级+0.46法术强度(18级+8.28),2998,4620,13,2
138,法术强度(18级),4,0,4,4,1,[orange]等级1[/orange]<br>      [b][purple]初级成长法术强度精华[/purple][/b] <br>      每级+0.774法术强度(18级+13.93),2998,7740,13,1
139,法术吸血,4,0,4,4,1,[orange]等级1[/orange]<br>      [b][purple]初级法术吸血精华[/purple][/b] <br>      +3.6%法术吸血,3108,36000,3,1
140,攻击力,1,0,2,3,1,[orange]等级1[/orange]<br>      [b][red]初级攻击印记[/red][/b] <br>     +2.8攻击力,3093,28200,9,2
141,攻击力,2,0,4,3,1,[orange]等级1[/orange]<br>      [b][purple]初级攻击力精华[/purple][/b] <br>      +4.5攻击力,3093,45000,9,1
142,攻击力(18级),2,0,2,3,1,[orange]等级1[/orange]<br>      [b][red]初级成长攻击印记[/red][/b] <br>      每级+0.39攻击力(18级+7.02),2997,3900,13,2
143,攻击力(18级),4,0,4,3,1,[orange]等级1[/orange]<br>      [b][purple]初级成长攻击力精华[/purple][/b] <br>     每级+0.49攻击力(18级+8.82),2997,4980,13,1
144,护甲穿透,2,0,2,3,1,[orange]等级1[/orange]<br>    [b][red]初级护甲穿透印记[/red][/b] <br>      +3.5护甲穿透,3106,348,1,2
145,护甲穿透,1,0,4,3,1,[orange]等级1[/orange]<br>      [b][purple]初级护甲穿透精华[/purple][/b] <br>      +4.6护甲穿透,3106,460,1,1
146,护甲穿透<br>;法术穿透,2,0,2,3,1,[orange]等级1[/orange]<br>      [b][red]初级混合穿透印记[/red][/b] <br>      +2.4物理防御穿透/+1.7法术防御穿透,3106;3104,243;167,1,2
147,护甲穿透<br>;法术穿透,4,0,4,3,1,[orange]等级1[/orange]<br>      [b][purple]初级混合穿透精华[/purple][/b] <br>      +3.2物理防御穿透/+2.5法术防御穿透,3106;3104,322;252,1,1
148,冷却时间,1,0,1,6,1,[orange]等级1[/orange]<br>      [b][blue]初级冷却缩减雕文[/blue][/b] <br>     -2.24%冷却时间,3107,22440,2,2
149,冷却时间,3,0,4,6,1,[orange]等级1[/orange]<br>      [b][purple]初级冷却缩减精华[/purple][/b] <br>      -4.5%冷却时间,3107,45000,2,1
150,冷却时间(18级),1,0,1,6,1,[orange]等级1[/orange]<br>      [b][blue]初级成长冷却缩减雕文[/blue][/b] <br>      每级-0.24%冷却时间(18级-4.32%),3004,2400,6,2
151,冷却时间(18级),4,0,4,6,1,[orange]等级1[/orange]<br>      [b][purple]初级成长生冷却缩减精华[/purple][/b] <br>      每级-0.5%冷却时间(18级-9%),3004,5040,6,1
152,能量回复/5秒,3,0,3,2,1,[orange]等级1[/orange]<br>      [b][yellow]初级能量回复符印[/yellow][/b] <br>      +1.7能量回复/5秒,3112,17040,9,2
153,能量回复/5秒,3,0,4,2,1,[orange]等级1[/orange]<br>      [b][purple]初级能量回复精华[/purple][/b] <br>      +2.83能量回复/5秒,3112,28380,9,1
154,能量回复/5秒(18级),3,0,3,2,1,[orange]等级1[/orange]<br>      [b][yellow]初级成长能量回复符印[/yellow][/b] <br>      每级+0.17能量回复/5秒(18级+3.06),3005,1740,13,2
155,能量值,1,0,1,2,1,[orange]等级1[/orange]<br>      [b][blue]初级能量值雕文[/blue][/b] <br>      +6能量值,3111,600,1,2
156,能量值,3,0,4,2,1,[orange]等级1[/orange]<br>      [b][purple]初级能量值精华[/purple][/b] <br>      +9.7能量值,3111,972,1,1
157,普攻伤害,1,0,2,3,1,[orange]等级1[/orange]<br>    [b][red]初级普攻伤害印记[/red][/b] <br>     +2.75%普攻伤害,3094,27540,3,2
