物品ID,装备名称,物品类型(1、装备 2、物品),装备图标ID,装备标签组,装备标签子类型,是否英雄专属（0.非英雄专属 1.英雄专属）,英雄ID,职业限制（0.无限制  1.近战  2.远程）,合成需要装备,能合装备,绝对价格,出售价格,效果ID组,效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,继承效果ID组,继承效果类型组（1.属性可任意叠加  2.属性是唯一被动，无名字  3.属性是唯一被动，且有大类，有名字）,继承物品移除调用效果（通过buff调用的永久性效果，出售时需要调用一个删除buff的效果来删除这个buff）,战场限制（战场ID）,自动使用（装备满格后，购买能够不占格子，自动使用其效果）,特殊槽位物品（0.非眼位  1.眼位）,是否能主动使用（0.无主动技能  1.有主动技能）,使用是否移除（0.主动使用完不移除  1.主动使用完移除）,是否能叠加（0.同格不能叠加  1.同格能叠加）,最大叠加数量,最大拥有数,使用BuffID,使用Buff冷却ID,使用技能ID,可使用次数（主动技能使用buff实现，才可使用）,对应图标组,购买界面描述,物品栏描述,装备贵重度,标识,装备定位说明
10,$暴风大剑,1,1,4,2001,0,,0,,13;48;77,1450,725,131,1,,131,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+57物攻[/green],$[green]+57物攻[/green],1,,  
11,$吸血鬼节杖,1,1,4;4,2001;2003,0,,0,8,12;13;15;24;77,810,405,129;132,1;1,,129;132,1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+11物攻<br>+8%物理吸血[/green],$[green]+11物攻<br>+8%物理吸血[/green],1,,  
12,$破败王者之刃,1,1,4;4;4,2001;2003,0,,0,11;17,,2700,1350,130;133;134;882,1;1;1;2,,130;133;134;882,1;1;1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+28物攻<br>+24%普攻伤害<br>+10%物理吸血[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻会对目标造成当前生命值4%的额外物理伤害。[/blue],$[green]+28物攻<br>+24%普攻伤害<br>+10%物理吸血[/green]<br>[yellow]唯一被动：[/yellow][blue]你的普攻会对目标造成当前生命值4%的额外物理伤害。[/blue],1,,  
13,$饮血剑,1,1,4;4,2001;2003,0,,0,11;10,,3350,1675,135;136;1306,1;2;2,1307,135;136;1306,1;2;2,1307,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+90物攻[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%物理吸血[/blue]<br>[yellow]唯一被动：[/yellow][blue]吸血效果会对英雄进行过量治疗，产生一个抵挡50~350伤害的护盾。[/blue],$[green]+90物攻[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%物理吸血[/blue]<br>[yellow]唯一被动：[/yellow][blue]吸血效果会对英雄进行过量治疗，产生一个抵挡50~350伤害的护盾。[/blue],1,,  
14,$提亚马特,1,1,4,2001,0,,1,8;9,15,1550,775,137;947;881,1;1;3,,137;947;881,1;1;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+45物攻<br>+100%基础生命回复[/green]<br>[yellow]唯一被动 溅射：[/yellow][blue]普攻对目标周围的敌人造成攻击力20%~60%的伤害。[/blue],$[green]+45物攻<br>+100%基础生命回复[/green]<br>[yellow]唯一被动 溅射：[/yellow][blue]普攻对目标周围的敌人造成攻击力20%~60%的伤害。[/blue],1,,  
15,$贪欲九头蛇,1,1,4;4,2001;2003,0,,1,14;11,,3000,1500,138;134;947;881,1;1;1;3,,138;134;947;881,1;1;1;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+84物攻<br>+10%物理吸血<br>+100%基础生命回复[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻对目标周围的敌人造成攻击力20%~60%的伤害。[/blue],$[green]+84物攻<br>+10%物理吸血<br>+100%基础生命回复[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻对目标周围的敌人造成攻击力20%~60%的伤害。[/blue],1,,  
16,$最后的轻语,1,1,4,2001,0,,0,8;9,,2220,1110,137;139,1;2,,137;139,1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+45物攻<br>+35%物穿[/green],$[green]+45物攻<br>+35%物穿[/green],1,,  
17,$反曲之弓,1,1,4,2001,0,,0,1;1,12;18;20;59;96,980,490,140;883,1;2,,140;883,1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+18%普攻伤害[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻造成额外12物理伤害[/blue],$[green]+18%普攻伤害[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻造成额外12物理伤害[/blue],1,,  
18,$纳什之牙,1,1,4;5;5,3001;3003,0,,0,17;55,,3100,1550,142;133;1311;884,1;1;2;2,,142;133;1311;884,1;1;2;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+80法攻<br>+24%普攻伤害[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷缩[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻造成额外17+17%*法强魔法伤害[/blue],$[green]+80法攻<br>+24%普攻伤害[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%冷缩[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻造成额外17+17%*法强魔法伤害[/blue],1,,  
19,$斯塔缇克电刃,1,1,4;4;6,2002;5002,0,,0,1;47,,2550,1275,133;145;146;1383,1;1;1;2,1403,133;145;146;1383,1;1;1;2,1403,1;3;4;5;6,0,0,0,0,0,1,6,,2016,,,,$[green]+24%普攻伤害<br>+20%暴击概率<br>+6%移速[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻和移动会充能，当充能数达到100时，下次普攻会形成一个闪电链，对范围内最多5个目标造成100魔法伤害。[/blue],$[green]+24%普攻伤害<br>+20%暴击概率<br>+6%移速[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻和移动会充能，当充能数达到100时，下次普攻会形成一个闪电链，对范围内最多5个目标造成100魔法伤害。[/blue],1,,  
20,$卢安娜的飓风,1,1,4,,0,,2,1;17;1,,2150,1075,147;886;883,1;2;2,,147;886;883,1;2;2,,1;3;4;5;6,0,0,0,0,0,1,6,,2017,,,,$[green]+42%普攻伤害[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻会同时对附近其他2名敌人造成50%攻击+12伤害[/blue],$[green]+42%普攻伤害[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻会同时对附近其他2名敌人造成50%攻击+12伤害[/blue],1,,  
21,$增幅典籍,1,1,5,3001,0,,0,,23;25;26;53;55;58;63;65;67;74;78,435,218,148,1,,148,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+20法攻[/green],$[green]+20法攻[/green],1,,  
22,$无用大棒,1,1,5,3001,0,,0,,25;27;61;71;78,1500,750,142,1,,142,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+80法攻[/green],$[green]+80法攻[/green],1,,  
23,$耀光,1,1,5;5,3001;3002,0,,0,21;52,49;63;79,1200,600,149;150;895,1;1;3,,149;150;895,1;1;3,,1;3;4;5;6,0,0,0,0,0,1,6,,2018,,,,$[green]+25法攻<br>+200魔法[/green]<br>[yellow]唯一被动 咒刃：[/yellow][blue]释放技能后，下次普攻造成75%总攻击力的额外伤害。[/blue],$[green]+25法攻<br>+200魔法[/green]<br>[yellow]唯一被动 咒刃：[/yellow][blue]释放技能后，下次普攻造成75%总攻击力的额外伤害。[/blue],1,,  
24,$海克斯科技刀枪,1,1,4;5,2001;3001,0,,0,11;53,,3000,1500,137;142;134;892,1;1;1;2,,137;142;134;892,1;1;1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+45物攻<br>+80法攻<br>+10%物理吸血[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%法术吸血[/blue],$[green]+45物攻<br>+80法攻<br>+10%物理吸血[/green]<br>[yellow]唯一被动：[/yellow][blue]+20%法术吸血[/blue],1,,  
25,$瑞莱的冰晶节杖,1,1,5,3001;4001,0,,0,21;22;29,,3150,1575,151;152;3613;3614;3615,1;1;2;2;2,,151;152;3613;3614;3615,1;1;2;2;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+400生命<br>+100法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]伤害性技能会减速被命中的敌方40%移速，持续1.5秒[/blue],$[green]+400生命<br>+100法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]伤害性技能会减速被命中的敌方40%移速，持续1.5秒[/blue],1,,  
26,$虚空之杖,1,1,5,3001,0,,0,50;21,,2150,1075,142;153,1;1,,142;153,1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+80法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]+35%法穿[/blue],$[green]+80法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]+35%法穿[/blue],1,,  
27,$灭世者的死亡之帽,1,1,5,3001,0,,0,22;50,,3120,1560,154;785,1;2,,154;785,1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+120法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]增加30%总法强[/blue],$[green]+120法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]增加30%总法强[/blue],1,,  
28,$红水晶,1,1,3,4001,0,,0,,6;29;30;31;42;43;51;56;73;98;101;103;104,400,200,155,1,,155,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+150生命[/green],$[green]+150生命[/green],1,,  
29,$巨人腰带,1,1,3,4001,0,,0,28,25;31;32;36;97;100,900,450,156,1,,156,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+380生命[/green],$[green]+380生命[/green],1,,  
30,$净蚀,1,1,3;4;6,2001;4001;5002,0,,0,28;8,33;49;98,1270,635,157;158;894;1441,1;1;3;3,,157;158;894;1441,1;1;3;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+200生命<br>+10物攻[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻会加速30，持续2秒；击杀单位会加速92持续2秒。[/blue],$[green]+200生命<br>+10物攻[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻会加速30，持续2秒；击杀单位会加速92持续2秒。[/blue],1,,  
31,$冰霜之锤,1,1,3;4,2001;4001,0,,0,9;28;29,,2930,1465,159;160;420;3616,1;1;2;2,,159;160;420;3616,1;1;2;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+700生命<br>+33物攻[/green]<br>[yellow]唯一被动 钻石星辰击：[/yellow][blue]普攻会减速40%，持续1.5秒[/blue],$[green]+700生命<br>+33物攻[/green]<br>[yellow]唯一被动 钻石星辰击：[/yellow][blue]普攻会减速40%，持续1.5秒[/blue],1,,  
32,$狂徒铠甲,1,1,3;3,4001;4004,0,,0,29;29,,2300,1150,161;1434;1435;1212,1;2;2;1,1436;1265,161;1434;1435;1212,1;2;2;1,1436;1265,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+800生命[/green]<br>[yellow]唯一被动：[/yellow][blue]若8秒内没有受到任何伤害，则每秒回复3%最大生命值。[/blue],$[green]+800生命[/green]<br>[yellow]唯一被动：[/yellow][blue]若8秒内没有受到任何伤害，则每秒回复3%最大生命值。[/blue],1,,  
33,$黑色切割者,1,1,3;4;5;6,2001;4001;3003;5002,0,,0,30;51,,3000,1500,151;137;162;421;894;1441,1;1;1;2;3;3,,151;137;162;421;894;1441,1;1;1;2;3;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+400生命<br>+45物攻<br>+20%冷缩[/green]<br>[yellow]唯一被动：[/yellow][blue]对敌方英雄造成物理伤害的同时施加一层切割效果，减少其5%的护甲。持续6秒，最多叠加6次。[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻会加速30，持续2秒；击杀单位会加速92持续2秒。[/blue],$[green]+400生命<br>+45物攻<br>+20%冷缩[/green]<br>[yellow]唯一被动：[/yellow][blue]对敌方英雄造成物理伤害的同时施加一层切割效果，减少其5%的护甲。持续6秒，最多叠加6次。[/blue]<br>[yellow]唯一被动：[/yellow][blue]普攻会加速30，持续2秒；击杀单位会加速92持续2秒。[/blue],1,,  
34,$布甲,1,1,3,4002,0,,0,,35;37;57;74,300,150,163,1,,163,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+15物防[/green],$[green]+15物防[/green],1,,  
35,$锁子甲,1,1,3,4002,0,,0,34,36;37;38;39;97;100,700,350,164,1,,164,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+40物防[/green],$[green]+40物防[/green],1,,  
36,$兰顿之兆,1,1,3;3,4001;4002,0,,0,35;29,,2500,1250,166;167;1197,1;1;3,,166;167;1197,1;1;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+500生命<br>+70物防[/green]<br>[yellow]唯一被动 寒铁：[/yellow][blue]受到普攻时，会减少攻击者15%的普攻伤害。[/blue],$[green]+500生命<br>+70物防[/green]<br>[yellow]唯一被动 寒铁：[/yellow][blue]受到普攻时，会减少攻击者15%的普攻伤害。[/blue],1,,  
37,$荆棘之甲,1,1,3,4002,0,,0,35;34,,2100,1050,168;1113,1;2,1266,168;1113,1;2,1266,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+100物防[/green]<br>[yellow]唯一被动：[/yellow][blue]将受到的伤害（在计算防御前）的30%反弹给攻击者。[/blue],$[green]+100物防[/green]<br>[yellow]唯一被动：[/yellow][blue]将受到的伤害（在计算防御前）的30%反弹给攻击者。[/blue],1,,  
38,$日炎斗篷,1,1,3;3,4001;4002,0,,0,35;56,,2350,1175,169;165;778,1;1;3,1267,169;165;778,1;1;3,1267,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+450生命<br>+45物防[/green]<br>[yellow]唯一被动：[/yellow][blue]对周围敌方造成每秒25+（1*英雄等级）的魔法伤害[/blue],$[green]+450生命<br>+45物防[/green]<br>[yellow]唯一被动：[/yellow][blue]对周围敌方造成每秒25+（1*英雄等级）的魔法伤害[/blue],1,,  
39,$冰霜之心,1,1,3;5,4002;3003,0,,0,57;35,,2800,1400,168;170;162;1199,1;1;1;3,,168;170;162;1199,1;1;1;3,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+100物防<br>+400魔法<br>+20%冷缩[/green]<br>[yellow]唯一被动 寒铁：[/yellow][blue]减少附近敌方单位15%的普攻伤害。[/blue],$[green]+100物防<br>+400魔法<br>+20%冷缩[/green]<br>[yellow]唯一被动 寒铁：[/yellow][blue]减少附近敌方单位15%的普攻伤害。[/blue],1,,  
40,$抗魔斗篷,1,1,3,4003,0,,0,,41;42;59;83,500,250,128,1,,128,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+25法防[/green],$[green]+25法防[/green],1,,  
41,$负极斗篷,1,1,3,4003,0,,0,40,60,900,450,171,1,,171,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+45法防[/green],$[green]+45法防[/green],1,,  
42,$幽魂斗篷,1,1,3;3,4001;4003,0,,0,40;28,43;44,1220,610,157;172;903,1;1;2,,157;172;903,1;1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+200生命<br>+35法防[/green]<br>[yellow]唯一被动：[/yellow][blue]在受到敌方英雄攻击时，提升150%基础回血。[/blue],$[green]+200生命<br>+35法防[/green]<br>[yellow]唯一被动：[/yellow][blue]在受到敌方英雄攻击时，提升150%基础回血。[/blue],1,,  
43,$女妖面纱,1,1,3;3,4001;4003,0,,0,42;28,,2700,1350,169;174;905;947;1531,1;1;2;1;2,1704;1268,169;174;905;947;1531,1;1;2;1;2,1704;1268,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+450生命<br>+55法防<br>+100%基础生命回复[/green]<br>[yellow]唯一被动：[/yellow][blue]产生一个能抵挡一次技能伤害的护盾，若40秒内没有受到来自英雄伤害，则会刷新[/blue],$[green]+450生命<br>+55法防<br>+100%基础生命回复[/green]<br>[yellow]唯一被动：[/yellow][blue]产生一个能抵挡一次技能伤害的护盾，若40秒内没有受到来自英雄伤害，则会刷新[/blue],1,,  
44,$振奋盔甲,1,1,3;3;5,4001;4003;3003,0,,0,42;51,,2650,1325,151;174;141;947;1201,1;1;1;1;2,1269,151;174;141;947;1201,1;1;1;1;2,1269,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+400生命<br>+55法防<br>+10%冷缩<br>+100%基础生命回复[/green]<br>[yellow] 唯一被动：[/yellow][blue]所有治疗效果增加20%[/blue],$[green]+400生命<br>+55法防<br>+10%冷缩<br>+100%基础生命回复[/green]<br>[yellow] 唯一被动：[/yellow][blue]所有治疗效果增加20%[/blue],1,,  
45,$格斗手套,1,1,4,2002,0,,0,,47,400,200,176,1,,176,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+8%暴击概率[/green],$[green]+8%暴击概率[/green],1,,  
46,$灵巧披风,1,1,4,2002,0,,0,,48,750,375,177,1,,177,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+15%暴击概率[/green],$[green]+15%暴击概率[/green],1,,  
47,$狂热,1,1,4;4;6,2002;5002,0,,0,1;45,19;49;99,1200,600,178;179;180,1;1;1,,178;179;180,1;1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+12%普攻伤害<br>+10%暴击概率<br>+5%移速[/green],$[green]+12%普攻伤害<br>+10%暴击概率<br>+5%移速[/green],1,,  
48,$无尽之刃,1,1,4;4,2001;2002,0,,0,9;10;46,,3700,1850,135;145;979,1;1;2,,135;145;979,1;1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+90物攻<br>+20%暴击概率[/green]<br>[yellow]唯一被动：[/yellow][blue]暴击伤害倍数变成250%[/blue],$[green]+90物攻<br>+20%暴击概率[/green]<br>[yellow]唯一被动：[/yellow][blue]暴击伤害倍数变成250%[/blue],1,,  
49,$三相之力,1,1,3;4;4;4;5;5;6,2001;3001;3002;3003;4001;5002,0,,0,30;23;47,,3700,1850,182;160;183;140;179;150;180;894;907;1441,1;1;1;1;1;1;1;3;3;3,,182;160;183;140;179;150;180;894;907;1441,1;1;1;1;1;1;1;3;3;3,,1;3;4;5;6,0,0,0,0,0,1,6,,2019,,,,$[green]+250生命<br>+33物攻<br>+30法攻<br>+30%普攻伤害<br>+10%暴击概率<br>+200魔法<br>+5%移速[/green]<br>[yellow]唯一被动 咒刃：[/yellow][blue]释放技能后，下次普攻造成150%总攻击力的额外伤害[/blue]<br>   [yellow]唯一被动：[/yellow][blue]普攻会加速30，持续2秒；击杀单位会加速92持续2秒。[/blue],$[green]+250生命<br>+33物攻<br>+30法攻<br>+30%普攻伤害<br>+10%暴击概率<br>+200魔法<br>+5%移速[/green]<br>[yellow]唯一被动 咒刃：[/yellow][blue]释放技能后，下次普攻造成150%总攻击力的额外伤害[/blue]<br>   [yellow]唯一被动：[/yellow][blue]普攻会加速30，持续2秒；击杀单位会加速92持续2秒。[/blue],1,,  
50,$爆裂魔杖,1,1,5,3001,0,,0,,26;27;60;63;64;69;72;75,900,450,184,1,,184,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+40法攻[/green],$[green]+40法攻[/green],1,,  
51,$燃烧宝石,1,1,3;5,4001;3003,0,,0,28,33;44,850,425,157;141,1;1,,157;141,1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+200生命[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],$[green]+200生命[/green]<br>[yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],1,,  
52,$蓝水晶,1,1,5,3002,0,,0,,23;57;66;73,400,200,890,1,,890,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+200魔法[/green],$[green]+200魔法[/green],1,,  
53,$海克斯科技左轮枪,1,1,4;5,2001;3001,0,,0,21;21,24,1150,575,184;891,1;2,,184;891,1;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+40法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]+12%法术吸血[/blue],$[green]+40法攻[/green]<br>[yellow]唯一被动：[/yellow][blue]+12%法术吸血[/blue],1,,  
54,$仙女护符,1,1,5,3004,0,,0,,66;76,180,90,946,1,,946,1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+25%基础法力回复[/green],$[green]+25%基础法力回复[/green],1,,  
55,$恶魔法典,1,1,5;5,3001;3003,0,,0,21,18;58;64;65,850,425,183;141,1;1,,183;141,1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+30法攻<br>[/green][yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],$[green]+30法攻<br>[/green][yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],1,,  
56,$班比的熔渣,1,1,3,4001,0,,0,28,38;95,1000,500,186;1317,1;3,2350,186;1317,1;3,2350,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+300生命[/green]<br>[yellow]唯一被动：[/yellow][blue]对周围敌人造成每秒5+（1*英雄等级）点魔法伤害[/blue],$[green]+300生命[/green]<br>[yellow]唯一被动：[/yellow][blue]对周围敌人造成每秒5+（1*英雄等级）点魔法伤害[/blue],1,,  
57,$冰川护甲,1,1,3;5,4002;3003,0,,0,34;52,39;79,1100,550,187;188;141,1;1;1,,187;188;141,1;1;1,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+20物防<br>+250魔法<br>[/green][yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],$[green]+20物防<br>+250魔法<br>[/green][yellow]唯一被动：[/yellow][blue]+10%冷缩[/blue],1,,  
58,$雅典娜的邪恶圣杯,1,1,3;5;5;5,3001;3003;3004;4003,0,,0,55;76;21,,2700,1350,1522;128;162;929;1216;1480;1495,1;1;1;3;1;2;2,,1522;128;162;929;1216;1480;1495,1;1;1;3;1;2;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+60法攻<br>+25法防<br>+20%冷缩<br>+100%基础法力回复[/green]<br>[yellow]唯一被动 法力源泉：[/yellow][blue]每5秒回复损失法力值2%[/blue]<br>[yellow]唯一被动：[/yellow][blue]击杀或助攻回复30%的最大法力值[/blue],$[green]+60法攻<br>+25法防<br>+20%冷缩<br>+100%基础法力回复[/green]<br>[yellow]唯一被动 法力源泉：[/yellow][blue]每5秒回复损失法力值2%[/blue]<br>[yellow]唯一被动：[/yellow][blue]击杀或助攻回复30%的最大法力值[/blue],1,,  
59,$智慧末刃,1,1,3;4,4003,0,,0,40;17;1,,2500,1250,1404;143;930;992;993,1;1;2;2;2,,1404;143;930;992;993,1;1;2;2;2,,1;3;4;5;6,0,0,0,0,0,1,6,,,,,,$[green]+30法防<br>+30%普攻伤害[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻有44的额外魔法伤害。[/blue]<br>[yellow]唯一被动：[/yellow][blue]每次普攻偷取目标5魔抗，持续5秒，最多叠加5次。[/blue],$[green]+30法防<br>+30%普攻伤害[/green]<br>[yellow]唯一被动：[/yellow][blue]普攻有44的额外魔法伤害。[/blue]<br>[yellow]唯一被动：[/yellow][blue]每次普攻偷取目标5魔抗，持续5秒，最多叠加5次。[/blue],1,,  
