天赋ID,比赛类型,地图ID,职业,等级,前置天赋,激活类型,消耗点数,天赋效果,天赋名称,天赋图标ID,天赋描述,,,,,,,,,,,,
10033,1;2;3;4;5;6;7;8;9;11;12;13;14,1,33,1,0,0,0,13311;13312;657;658;659;667;668;669;670;13313;816;851,一二技能自动学习,,,,,,,,,,,,,,
10034,1;2;3;4;5;6;7;8;9;11;12;13;14,1,34,1,0,0,0,13412;13407;13409;13424;13425;13426;13427;13428;13429;788;789;790;791;792;817;13430;851,一二技能自动学习,,,,,,,,,,,,,,
10035,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,35,1,0,0,0,13507;13509;13526;818;851,一二技能自动学习,,,,,,,,,,,,,,
10036,1;2;3;4;5;6;7;8;9;11;12;13;14,1,36,1,0,0,0,13600;13601;13604;13605;13614;13615;13616;13617;13618;13619;13620;13621;13622;13623;819;851,一二技能自动学习,,,,,,,,,,,,,,
10037,1;2;3;4;5;6;7;8;9;11;12;13;14,1,37,1,0,0,0,13700;13701;13702;851,一二技能自动学习,,,,,,,,,,,,,,
10038,1;2;3;4;5;6;7;8;9;11;12;13;14,1,38,1,0,0,0,13800;13801;13802;13803;13804;13806;13807,一二技能自动学习,,,,,,,,,,,,,,
10039,1;2;3;4;5;6;7;8;9;11;12;13;14,1,39,1,0,0,0,13900;13901;13902;13903;13904;13905;13906;13911;13910,一二技能自动学习,,,,,,,,,,,,,,
10041,1;2;3;4;5;6;7;8;9;11;12;13;14,1,41,1,0,0,0,14100;14101;14102;14103;14104,一二技能自动学习,,,,,,,,,,,,,,
10042,1;2;3;4;5;6;7;8;9;11;12;13;14,1,42,1,0,0,0,14200;14201;14202;14203;14204;14205,一二技能自动学习,,,,,,,,,,,,,,
20001,0,1,1,1,0,0,0,10105,例无虚发,,主城大招,,,,,,,,,,,,
20002,0,1,2,1,0,0,0,10204,森灵悦动,,主城大招,,,,,,,,,,,,
20003,0,1,3,1,0,0,0,10304,火影,,主城大招,,,,,,,,,,,,
20004,0,1,4,1,0,0,0,10412,羽化,,主城大招,,,,,,,,,,,,
20005,0,1,5,1,0,0,0,10512,羽化,,主城大招,,,,,,,,,,,,
20006,0,1,6,1,0,0,0,10604,跳蛙喷射,,主城大招,,,,,,,,,,,,
20007,0,1,7,1,0,0,0,10704,彼岸仙境,,主城大招,,,,,,,,,,,,
20008,0,1,8,1,0,0,0,10804,狂烈之舞,,主城大招,,,,,,,,,,,,
20009,0,1,9,1,0,0,0,10912,防御光环,,主城大招,,,,,,,,,,,,
20010,0,1,10,1,0,0,0,11004,无双枪阵,,主城大招,,,,,,,,,,,,
20011,0,1,11,1,0,0,0,11104,厄运锁链,,主城大招,,,,,,,,,,,,
20012,0,1,12,1,0,0,0,11212,冰霜冲击,,主城大招,,,,,,,,,,,,
20013,0,1,13,1,0,0,0,11304,重盾挥击,,主城大招,,,,,,,,,,,,
20014,0,1,14,1,0,0,0,11404,剑影神域,,主城大招,,,,,,,,,,,,
20015,0,1,15,1,0,0,0,11504,剧毒寄生,,主城大招,,,,,,,,,,,,
20016,0,1,16,1,0,0,0,11604,灵魂爆炸,,主城大招,,,,,,,,,,,,
20017,0,1,17,1,0,0,0,11713,聚合,,主城大招,,,,,,,,,,,,
20018,0,1,18,1,0,0,0,11804,正义洗礼,,主城大招,,,,,,,,,,,,
20019,0,1,19,1,0,0,0,11904,驾驭巨龙,,主城大招,,,,,,,,,,,,
20020,0,1,20,1,0,0,0,12004,蒸汽爆发,,主城大招,,,,,,,,,,,,
20021,0,1,21,1,0,0,0,12104,石林突刺,,主城大招,,,,,,,,,,,,
20022,0,1,22,1,0,0,0,12204,潮汐大波浪,,主城大招,,,,,,,,,,,,
20023,0,1,23,1,0,0,0,12305,死亡射线,,主城大招,,,,,,,,,,,,
20024,0,1,24,1,0,0,0,12404,极意之刃,,主城大招,,,,,,,,,,,,
20025,0,1,25,1,0,0,0,12504,次元塌陷,,主城大招,,,,,,,,,,,,
20026,0,1,26,1,0,0,0,12604,天降异鬼,,主城大招,,,,,,,,,,,,
20027,0,1,27,1,0,0,0,12717,腐蚀,,主城大招,,,,,,,,,,,,
20028,0,1,28,1,0,0,0,12804,火力强袭,,主城大招,,,,,,,,,,,,
20029,0,1,29,1,0,0,0,12904,狂野火药桶,,主城大招,,,,,,,,,,,,
20030,0,1,30,1,0,0,0,13001,狂袭飞车,,主城大招,,,,,,,,,,,,
20031,0,1,31,1,0,0,0,13106,灵射,,主城大招,,,,,,,,,,,,
20032,0,1,32,1,0,0,0,13204,灵魂庇护,,主城大招,,,,,,,,,,,,
20033,0,1,33,1,0,0,0,13304,植株结界,,主城大招,,,,,,,,,,,,
20034,0,1,34,1,0,0,0,13421,兽王勾拳,,主城大招,,,,,,,,,,,,
20035,0,1,35,1,0,0,0,13511,脉冲撞击,,主城大招,,,,,,,,,,,,
20036,0,1,36,1,0,0,0,13609,三环,,主城大招,,,,,,,,,,,,
20037,0,1,37,1,0,0,0,13703,无影无踪,,主城大招,,,,,,,,,,,,
20038,0,1,38,1,0,0,0,13805,末日战甲大招,,主城大招,,,,,,,,,,,,
20039,0,1,39,1,0,0,0,13907,狂烈之舞,,主城大招,,,,,,,,,,,,
20042,0,1,42,1,0,0,0,14206;14207,恶神降临,,主城大招,,,,,,,,,,,,
30038,1;2;3;4;5;6;7;8;9;11;12;13;14,1,0,1,0,0,0,10038,普攻系数转换攻速,,,,,,,,,,,,,,
30039,1;2;3;4;5;6;7;8;9;11;12;13;14,1,18,1,0,0,0,10039,枪火之歌免疫攻速转换,,,,,,,,,,,,,,
30040,1;2;3;4;5;6;7;8;9;11;12;13;14,1,36,1,0,0,0,10039,银河战警免疫攻速转换,,,,,,,,,,,,,,
30041,14,181,0,1,0,0,0,824;850;854;855;856;857;858;859;860;861;862;863;864;865;866;867,吃鸡地图生命能量,,,,,,,,,,,,,,
30043,14,181,0,1,0,0,0,868,生存地图6级前加经验,,,,,,,,,,,,,,
30044,14,181,0,6,0,0,0,869,生存地图6级后加经验,,,,,,,,,,,,,,
10101,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,3,0,1,0,10101,无情刀,,,,,,,,,,,,,,
10102,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,3,0,1,0,10102,越战越勇,,,,,,,,,,,,,,
10103,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,3,0,1,0,10103,御风连击,,,,,,,,,,,,,,
10104,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,3,0,1,0,10104,养精蓄锐,,,,,,,,,,,,,,
10105,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,6,0,1,0,10105,例无虚发,,,,,,,,,,,,,,
10106,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,9,0,1,0,10106,御风而行,,,,,,,,,,,,,,
10107,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,9,0,1,0,10107,气势压制,,,,,,,,,,,,,,
10108,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,3,0,1,0,10108,多发命中,,,,,,,,,,,,,,
10109,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,15,0,1,0,10109,飞刀无悔,,,,,,,,,,,,,,
10110,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,12,0,1,0,10018,三环,,,,,,,,,,,,,,
10111,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,12,0,1,0,10024,闪电,,,,,,,,,,,,,,
10112,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,12,0,1,0,10021,法术护盾,,,,,,,,,,,,,,
10113,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,18,0,1,0,10035,羽化,,,,,,,,,,,,,,
10114,1;2;3;4;5;6;7;8;9;11;12;13,1,1,18,0,1,0,10009,治愈,,,,,,,,,,,,,,
10115,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,18,0,1,0,10034,毁墙,,,,,,,,,,,,,,
10130,1;2;3;4;5;6;7;8;9;11;12;13;14,1,1,1,0,0,0,10110,暴走,,,,,,,,,,,,,,
10201,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,3,0,1,0,10201,养精蓄锐,,,,,,,,,,,,,,
10202,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,3,0,1,0,10202,强力驱退,,,,,,,,,,,,,,
10203,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,3,0,1,0,10203,锐不可当,,,,,,,,,,,,,,
10204,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,6,0,1,0,10204,森灵悦动,,,,,,,,,,,,,,
10205,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,6,0,1,0,10205,千灵风缚箭,,,,,,,,,,,,,,
10206,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,9,0,1,0,10206,易损,,,,,,,,,,,,,,
10207,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,9,0,1,0,10207,集中注意,,,,,,,,,,,,,,
10208,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,9,0,1,0,10208,活化肌肉,,,,,,,,,,,,,,
10209,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,15,10204,1,0,10209,森灵悦动,,,,,,,,,,,,,,
10210,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,15,10205,1,0,10210,千灵风缚箭,,,,,,,,,,,,,,
10211,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,12,0,1,0,10018,三环,,,,,,,,,,,,,,
10212,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,12,0,1,0,10024,闪电,,,,,,,,,,,,,,
10213,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,12,0,1,0,10021,法术护盾,,,,,,,,,,,,,,
10214,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,18,0,1,0,10035,羽化,,,,,,,,,,,,,,
10215,1;2;3;4;5;6;7;8;9;11;12;13,1,2,18,0,1,0,10009,治愈,,,,,,,,,,,,,,
10216,1;2;3;4;5;6;7;8;9;11;12;13;14,1,2,18,0,1,0,10034,毁墙,,,,,,,,,,,,,,
10217,10,179,2,3,0,1,0,10201;663,养精蓄锐,,,,,,,,,,,,,,
10218,10,179,2,6,0,1,0,10204;664;10213,森灵悦动,,,,,,,,,,,,,,
10219,10,179,2,9,0,1,0,10207,集中注意,,,,,,,,,,,,,,
10220,10,179,2,12,0,1,0,10018,三环,,,,,,,,,,,,,,
10221,10,179,2,12,0,1,0,10024,闪电,,,,,,,,,,,,,,
10222,10,179,2,12,0,1,0,10021,法术护盾,,,,,,,,,,,,,,
10223,10,179,2,15,0,1,0,10209,森灵悦动,,,,,,,,,,,,,,
10224,10,179,2,18,0,1,0,10035,羽化,,,,,,,,,,,,,,
10225,10,179,2,18,0,1,0,10009,治愈,,,,,,,,,,,,,,
10226,10,179,2,18,0,1,0,10034,毁墙,,,,,,,,,,,,,,
10227,10,179,2,1,0,0,0,10213,引导冷却减少,,,,,,,,,,,,,,
10301,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,3,0,1,0,10301,心火,,,,,,,,,,,,,,
10302,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,3,0,1,0,10302,吸金,,,,,,,,,,,,,,
10303,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,3,0,1,0,10303,熔岩,,,,,,,,,,,,,,
10304,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,6,0,1,0,10304,火影,,,,,,,,,,,,,,
10305,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,6,0,1,0,10305,熔核术,,,,,,,,,,,,,,
10306,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,9,0,1,0,10306,初始之火九级加强版,,,,,,,,,,,,,,
10307,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,9,0,1,0,10307,三昧真火,,,,,,,,,,,,,,
10308,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,9,0,1,0,10308,流星雨,,,,,,,,,,,,,,
10309,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,15,0,1,0,10309,火影,,,,,,,,,,,,,,
10310,1;2;3;4;5;6;7;8;9;11;12;13;14,1,3,15,0,1,0,10310,熔核术,,,,,,,,,,,,,,
10311,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,3,12,0,1,0,10004,金身,,,,,,,,,,,,,,
10312,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,3,12,0,1,0,10005,冰霜冲击,,,,,,,,,,,,,,
10313,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,3,12,0,1,0,10021,法术护盾,,,,,,,,,,,,,,
10314,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,3,18,0,1,0,10035,羽化,,,,,,,,,,,,,,
10315,1;2;3;4;5;6;7;8;9;10;11;12;13,1,3,18,0,1,0,10009,治愈,,,,,,,,,,,,,,
10316,1;2;3;4;5;6;7;8;9;10;11;12;13;14,1,3,18,0,1,0,10034,毁墙,,,,,,,,,,,,,,
10317,10,179,3,3,0,1,0,10303;663,熔岩,,,,,,,,,,,,,,
10318,10,179,3,6,0,1,0,10305;664;10314,熔核术,,,,,,,,,,,,,,
10319,10,179,3,9,0,1,0,10308,流星雨,,,,,,,,,,,,,,
10320,10,179,3,15,0,1,0,10310,熔核术,,,,,,,,,,,,,,
10321,10,179,3,1,0,0,0,10314,新手buff,,,,,,,,,,,,,,
10401,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,3,0,1,0,10409,剑意纵横,,,,,,,,,,,,,,
10402,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,3,0,1,0,10410,强化剑法,,,,,,,,,,,,,,
10403,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,3,0,1,0,10411,气元斩,,,,,,,,,,,,,,
10404,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,6,0,1,0,10412,羽化,,,,,,,,,,,,,,
10405,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,9,0,1,0,10413,剑气内敛,,,,,,,,,,,,,,
10406,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,9,0,1,0,10414,回气,,,,,,,,,,,,,,
10408,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,15,0,1,0,10416,气元爆发,,,,,,,,,,,,,,
10409,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,12,0,1,0,10001,净化,,,,,,,,,,,,,,
10410,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,12,0,1,0,10029,腐蚀,,,,,,,,,,,,,,
10411,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,12,0,1,0,10021,法术护盾,,,,,,,,,,,,,,
10412,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,18,0,1,0,10035,羽化,,,,,,,,,,,,,,
10413,1;2;3;4;5;6;7;8;9;11;12;13,1,4,18,0,1,0,10009,治愈,,,,,,,,,,,,,,
10414,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,1,0,0,0,10417,东洋剑客剑气普攻1,,,,,,,,,,,,,,
10415,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,1,0,0,0,10418,东洋剑客剑气普攻2,,,,,,,,,,,,,,
10416,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,1,0,0,0,10419,东洋剑客剑气普攻3,,,,,,,,,,,,,,
10417,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,1,0,0,0,10420,东洋剑客剑气普攻4,,,,,,,,,,,,,,
10418,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,1,0,0,0,10421,东洋剑客剑气普攻衰减1,,,,,,,,,,,,,,
10419,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,1,0,0,0,10422,毁墙,,,,,,,,,,,,,,
10420,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,1,0,0,0,10423,东洋剑客剑气普攻衰减3,,,,,,,,,,,,,,
10421,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,1,0,0,0,10424,东洋剑客剑气普攻衰减4,,,,,,,,,,,,,,
10422,1;2;3;4;5;6;7;8;9;11;12;13;14,1,4,18,0,1,0,10034,毁墙,,,,,,,,,,,,,,
10501,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,3,0,1,0,10509,激昂,,,,,,,,,,,,,,
10502,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,3,0,1,0,10510,防御光环,,,,,,,,,,,,,,
10503,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,3,0,1,0,10511,破甲撞击,,,,,,,,,,,,,,
10504,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,6,0,1,0,10512,狂野巨盾一级大招,,,,,,,,,,,,,,
10505,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,9,0,1,0,10513,尖刺刃盾,,,,,,,,,,,,,,
10506,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,9,0,1,0,10514,毁墙,,,,,,,,,,,,,,
10507,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,9,0,1,0,10515,能量护盾,,,,,,,,,,,,,,
10508,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,15,0,1,0,10516,狂野巨盾二级大招,,,,,,,,,,,,,,
10509,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,12,0,1,0,10025,激昂,,,,,,,,,,,,,,
10510,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,12,0,1,0,10020,防御光环,,,,,,,,,,,,,,
10511,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,12,0,1,0,10029,腐蚀,,,,,,,,,,,,,,
10512,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,18,0,1,0,10035,羽化,,,,,,,,,,,,,,
10513,1;2;3;4;5;6;7;8;9;11;12;13,1,5,18,0,1,0,10009,治愈,,,,,,,,,,,,,,
10514,1;2;3;4;5;6;7;8;9;11;12;13;14,1,5,18,0,1,0,10034,毁墙,,,,,,,,,,,,,,
10601,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,3,0,1,0,10601,吞食恐惧,,,,,,,,,,,,,,
10602,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,3,0,1,0,10602,粘液腐蚀,,,,,,,,,,,,,,
10603,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,3,0,1,0,10603,劲舌鞭击,,,,,,,,,,,,,,
10604,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,6,0,1,0,10604,跳蛙喷射,,,,,,,,,,,,,,
10605,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,9,0,1,0,10605,吞食强化,,,,,,,,,,,,,,
10606,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,9,0,1,0,10606,粘液粘连,,,,,,,,,,,,,,
10607,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,9,0,1,0,10607,粘稠吮吸,,,,,,,,,,,,,,
10608,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,15,0,1,0,10608,强力喷射,,,,,,,,,,,,,,
10609,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,12,0,1,0,10004,金身,,,,,,,,,,,,,,
10610,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,12,0,1,0,10005,冰霜冲击,,,,,,,,,,,,,,
10611,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,12,0,1,0,10021,法术护盾,,,,,,,,,,,,,,
10612,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,18,0,1,0,10035,羽化,,,,,,,,,,,,,,
10613,1;2;3;4;5;6;7;8;9;11;12;13,1,6,18,0,1,0,10009,治愈,,,,,,,,,,,,,,
10614,1;2;3;4;5;6;7;8;9;11;12;13;14,1,6,18,0,1,0,10034,毁墙,,,,,,,,,,,,,,
10701,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,3,0,1,0,10701,点赞力量,,,,,,,,,,,,,,
10702,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,3,0,1,0,10702,躲起来吃,,,,,,,,,,,,,,
10703,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,3,0,1,0,10703,专业提款机,,,,,,,,,,,,,,
10704,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,6,0,1,0,10704,彼岸仙境,,,,,,,,,,,,,,
10705,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,6,0,1,0,10705,仙女下凡,,,,,,,,,,,,,,
10706,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,9,0,1,0,10706,花瓣雨,,,,,,,,,,,,,,
10707,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,9,0,1,0,10707,迷魂,,,,,,,,,,,,,,
10708,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,9,0,1,0,10708,真钞掉了,,,,,,,,,,,,,,
10709,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,15,10704,1,0,10709,彼岸仙境,,,,,,,,,,,,,,
10710,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,15,10705,1,0,10710,仙女下凡,,,,,,,,,,,,,,
10711,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,12,0,1,0,10031,真视,,,,,,,,,,,,,,
10712,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,12,0,1,0,10027,塔防,,,,,,,,,,,,,,
10713,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,12,0,1,0,10006,庇护,,,,,,,,,,,,,,
10714,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,18,0,1,0,10035,羽化,,,,,,,,,,,,,,
10715,1;2;3;4;5;6;7;8;9;11;12;13,1,7,18,0,1,0,10009,治愈,,,,,,,,,,,,,,
10716,1;2;3;4;5;6;7;8;9;11;12;13;14,1,7,18,0,1,0,10034,毁墙,,,,,,,,,,,,,,
10801,1;2;3;4;5;6;7;8;9;11;12;13;14,1,8,3,0,1,0,10801,夺息飞刃,,,,,,,,,,,,,,
10802,1;2;3;4;5;6;7;8;9;11;12;13;14,1,8,3,0,1,0,10802,撕裂伤口,,,,,,,,,,,,,,
10803,1;2;3;4;5;6;7;8;9;11;12;13;14,1,8,3,0,1,0,10803,养精蓄锐,,,,,,,,,,,,,,
10804,1;2;3;4;5;6;7;8;9;11;12;13;14,1,8,6,0,1,0,10804,狂烈之舞,,,,,,,,,,,,,,
10805,1;2;3;4;5;6;7;8;9;11;12;13;14,1,8,6,0,1,0,10805,滑翔狩猎,,,,,,,,,,,,,,
