召唤师等级,比赛类型,日次数,周次数,胜利数量1,胜利1概率,胜利数量2,胜利2概率,胜利数量3,胜利3概率
91,1,0,0,2,300000,3,400000,4,300000
92,1,0,0,2,300000,3,400000,4,300000
93,1,0,0,2,300000,3,400000,4,300000
94,1,0,0,2,300000,3,400000,4,300000
95,1,0,0,2,300000,3,400000,4,300000
96,1,0,0,2,300000,3,400000,4,300000
97,1,0,0,2,300000,3,400000,4,300000
98,1,0,0,2,300000,3,400000,4,300000
99,1,0,0,2,300000,3,400000,4,300000
1,2,0,0,2,300000,3,400000,4,300000
2,2,0,0,2,300000,3,400000,4,300000
3,2,0,0,2,300000,3,400000,4,300000
4,2,0,0,2,300000,3,400000,4,300000
5,2,0,0,2,300000,3,400000,4,300000
6,2,0,0,2,300000,3,400000,4,300000
7,2,0,0,2,300000,3,400000,4,300000
8,2,0,0,2,300000,3,400000,4,300000
9,2,0,0,2,300000,3,400000,4,300000
10,2,0,0,2,300000,3,400000,4,300000
11,2,0,0,2,300000,3,400000,4,300000
12,2,0,0,2,300000,3,400000,4,300000
13,2,0,0,2,300000,3,400000,4,300000
14,2,0,0,2,300000,3,400000,4,300000
15,2,0,0,2,300000,3,400000,4,300000
16,2,0,0,2,300000,3,400000,4,300000
17,2,0,0,2,300000,3,400000,4,300000
18,2,0,0,2,300000,3,400000,4,300000
19,2,0,0,2,300000,3,400000,4,300000
20,2,0,0,2,300000,3,400000,4,300000
21,2,0,0,2,300000,3,400000,4,300000
22,2,0,0,2,300000,3,400000,4,300000
23,2,0,0,2,300000,3,400000,4,300000
24,2,0,0,2,300000,3,400000,4,300000
25,2,0,0,2,300000,3,400000,4,300000
26,2,0,0,2,300000,3,400000,4,300000
27,2,0,0,2,300000,3,400000,4,300000
28,2,0,0,2,300000,3,400000,4,300000
29,2,0,0,2,300000,3,400000,4,300000
30,2,0,0,2,300000,3,400000,4,300000
31,2,0,0,2,300000,3,400000,4,300000
32,2,0,0,2,300000,3,400000,4,300000
33,2,0,0,2,300000,3,400000,4,300000
34,2,0,0,2,300000,3,400000,4,300000
35,2,0,0,2,300000,3,400000,4,300000
36,2,0,0,2,300000,3,400000,4,300000
37,2,0,0,2,300000,3,400000,4,300000
38,2,0,0,2,300000,3,400000,4,300000
39,2,0,0,2,300000,3,400000,4,300000
40,2,0,0,2,300000,3,400000,4,300000
41,2,0,0,2,300000,3,400000,4,300000
42,2,0,0,2,300000,3,400000,4,300000
43,2,0,0,2,300000,3,400000,4,300000
44,2,0,0,2,300000,3,400000,4,300000
45,2,0,0,2,300000,3,400000,4,300000
46,2,0,0,2,300000,3,400000,4,300000
47,2,0,0,2,300000,3,400000,4,300000
48,2,0,0,2,300000,3,400000,4,300000
49,2,0,0,2,300000,3,400000,4,300000
50,2,0,0,2,300000,3,400000,4,300000
51,2,0,0,2,300000,3,400000,4,300000
52,2,0,0,2,300000,3,400000,4,300000
53,2,0,0,2,300000,3,400000,4,300000
54,2,0,0,2,300000,3,400000,4,300000
55,2,0,0,2,300000,3,400000,4,300000
56,2,0,0,2,300000,3,400000,4,300000
57,2,0,0,2,300000,3,400000,4,300000
58,2,0,0,2,300000,3,400000,4,300000
59,2,0,0,2,300000,3,400000,4,300000
60,2,0,0,2,300000,3,400000,4,300000
61,2,0,0,2,300000,3,400000,4,300000
62,2,0,0,2,300000,3,400000,4,300000
63,2,0,0,2,300000,3,400000,4,300000
64,2,0,0,2,300000,3,400000,4,300000
65,2,0,0,2,300000,3,400000,4,300000
66,2,0,0,2,300000,3,400000,4,300000
67,2,0,0,2,300000,3,400000,4,300000
68,2,0,0,2,300000,3,400000,4,300000
69,2,0,0,2,300000,3,400000,4,300000
70,2,0,0,2,300000,3,400000,4,300000
71,2,0,0,2,300000,3,400000,4,300000
72,2,0,0,2,300000,3,400000,4,300000
73,2,0,0,2,300000,3,400000,4,300000
74,2,0,0,2,300000,3,400000,4,300000
75,2,0,0,2,300000,3,400000,4,300000
76,2,0,0,2,300000,3,400000,4,300000
77,2,0,0,2,300000,3,400000,4,300000
78,2,0,0,2,300000,3,400000,4,300000
79,2,0,0,2,300000,3,400000,4,300000
80,2,0,0,2,300000,3,400000,4,300000
81,2,0,0,2,300000,3,400000,4,300000
82,2,0,0,2,300000,3,400000,4,300000
83,2,0,0,2,300000,3,400000,4,300000
84,2,0,0,2,300000,3,400000,4,300000
85,2,0,0,2,300000,3,400000,4,300000
86,2,0,0,2,300000,3,400000,4,300000
87,2,0,0,2,300000,3,400000,4,300000
88,2,0,0,2,300000,3,400000,4,300000
89,2,0,0,2,300000,3,400000,4,300000
90,2,0,0,2,300000,3,400000,4,300000
91,2,0,0,2,300000,3,400000,4,300000
92,2,0,0,2,300000,3,400000,4,300000
93,2,0,0,2,300000,3,400000,4,300000
94,2,0,0,2,300000,3,400000,4,300000
95,2,0,0,2,300000,3,400000,4,300000
96,2,0,0,2,300000,3,400000,4,300000
97,2,0,0,2,300000,3,400000,4,300000
98,2,0,0,2,300000,3,400000,4,300000
99,2,0,0,2,300000,3,400000,4,300000
1,3,0,0,2,300000,3,400000,4,300000
2,3,0,0,2,300000,3,400000,4,300000
3,3,0,0,2,300000,3,400000,4,300000
4,3,0,0,2,300000,3,400000,4,300000
5,3,0,0,2,300000,3,400000,4,300000
6,3,0,0,2,300000,3,400000,4,300000
7,3,0,0,2,300000,3,400000,4,300000
8,3,0,0,2,300000,3,400000,4,300000
9,3,0,0,2,300000,3,400000,4,300000
10,3,0,0,2,300000,3,400000,4,300000
11,3,0,0,2,300000,3,400000,4,300000
12,3,0,0,2,300000,3,400000,4,300000
13,3,0,0,2,300000,3,400000,4,300000
14,3,0,0,2,300000,3,400000,4,300000
15,3,0,0,2,300000,3,400000,4,300000
16,3,0,0,2,300000,3,400000,4,300000
17,3,0,0,2,300000,3,400000,4,300000
18,3,0,0,2,300000,3,400000,4,300000
19,3,0,0,2,300000,3,400000,4,300000
20,3,0,0,2,300000,3,400000,4,300000
21,3,0,0,2,300000,3,400000,4,300000
22,3,0,0,2,300000,3,400000,4,300000
23,3,0,0,2,300000,3,400000,4,300000
24,3,0,0,2,300000,3,400000,4,300000
25,3,0,0,2,300000,3,400000,4,300000
26,3,0,0,2,300000,3,400000,4,300000
27,3,0,0,2,300000,3,400000,4,300000
28,3,0,0,2,300000,3,400000,4,300000
29,3,0,0,2,300000,3,400000,4,300000
30,3,0,0,2,300000,3,400000,4,300000
31,3,0,0,2,300000,3,400000,4,300000
32,3,0,0,2,300000,3,400000,4,300000
33,3,0,0,2,300000,3,400000,4,300000
34,3,0,0,2,300000,3,400000,4,300000
35,3,0,0,2,300000,3,400000,4,300000
36,3,0,0,2,300000,3,400000,4,300000
37,3,0,0,2,300000,3,400000,4,300000
38,3,0,0,2,300000,3,400000,4,300000
39,3,0,0,2,300000,3,400000,4,300000
40,3,0,0,2,300000,3,400000,4,300000
41,3,0,0,2,300000,3,400000,4,300000
42,3,0,0,2,300000,3,400000,4,300000
43,3,0,0,2,300000,3,400000,4,300000
44,3,0,0,2,300000,3,400000,4,300000
45,3,0,0,2,300000,3,400000,4,300000
46,3,0,0,2,300000,3,400000,4,300000
47,3,0,0,2,300000,3,400000,4,300000
48,3,0,0,2,300000,3,400000,4,300000
49,3,0,0,2,300000,3,400000,4,300000
50,3,0,0,2,300000,3,400000,4,300000
51,3,0,0,2,300000,3,400000,4,300000
52,3,0,0,2,300000,3,400000,4,300000
53,3,0,0,2,300000,3,400000,4,300000
54,3,0,0,2,300000,3,400000,4,300000
55,3,0,0,2,300000,3,400000,4,300000
56,3,0,0,2,300000,3,400000,4,300000
57,3,0,0,2,300000,3,400000,4,300000
58,3,0,0,2,300000,3,400000,4,300000
59,3,0,0,2,300000,3,400000,4,300000
60,3,0,0,2,300000,3,400000,4,300000
61,3,0,0,2,300000,3,400000,4,300000
62,3,0,0,2,300000,3,400000,4,300000
63,3,0,0,2,300000,3,400000,4,300000
64,3,0,0,2,300000,3,400000,4,300000
65,3,0,0,2,300000,3,400000,4,300000
66,3,0,0,2,300000,3,400000,4,300000
67,3,0,0,2,300000,3,400000,4,300000
68,3,0,0,2,300000,3,400000,4,300000
69,3,0,0,2,300000,3,400000,4,300000
70,3,0,0,2,300000,3,400000,4,300000
71,3,0,0,2,300000,3,400000,4,300000
72,3,0,0,2,300000,3,400000,4,300000
73,3,0,0,2,300000,3,400000,4,300000
74,3,0,0,2,300000,3,400000,4,300000
75,3,0,0,2,300000,3,400000,4,300000
76,3,0,0,2,300000,3,400000,4,300000
77,3,0,0,2,300000,3,400000,4,300000
78,3,0,0,2,300000,3,400000,4,300000
79,3,0,0,2,300000,3,400000,4,300000
80,3,0,0,2,300000,3,400000,4,300000
81,3,0,0,2,300000,3,400000,4,300000
82,3,0,0,2,300000,3,400000,4,300000
83,3,0,0,2,300000,3,400000,4,300000
84,3,0,0,2,300000,3,400000,4,300000
85,3,0,0,2,300000,3,400000,4,300000
86,3,0,0,2,300000,3,400000,4,300000
87,3,0,0,2,300000,3,400000,4,300000
88,3,0,0,2,300000,3,400000,4,300000
89,3,0,0,2,300000,3,400000,4,300000
90,3,0,0,2,300000,3,400000,4,300000
91,3,0,0,2,300000,3,400000,4,300000
92,3,0,0,2,300000,3,400000,4,300000
93,3,0,0,2,300000,3,400000,4,300000
94,3,0,0,2,300000,3,400000,4,300000
95,3,0,0,2,300000,3,400000,4,300000
96,3,0,0,2,300000,3,400000,4,300000
97,3,0,0,2,300000,3,400000,4,300000
98,3,0,0,2,300000,3,400000,4,300000
99,3,0,0,2,300000,3,400000,4,300000
1,4,0,0,0,300000,0,400000,0,300000
2,4,0,0,0,300000,0,400000,0,300000
3,4,0,0,0,300000,0,400000,0,300000
4,4,0,0,0,300000,0,400000,0,300000
5,4,0,0,0,300000,0,400000,0,300000
6,4,0,0,0,300000,0,400000,0,300000
7,4,0,0,0,300000,0,400000,0,300000
8,4,0,0,0,300000,0,400000,0,300000
9,4,0,0,0,300000,0,400000,0,300000
10,4,0,0,0,300000,0,400000,0,300000
11,4,0,0,0,300000,0,400000,0,300000
12,4,0,0,0,300000,0,400000,0,300000
13,4,0,0,0,300000,0,400000,0,300000
14,4,0,0,0,300000,0,400000,0,300000
15,4,0,0,0,300000,0,400000,0,300000
16,4,0,0,0,300000,0,400000,0,300000
17,4,0,0,0,300000,0,400000,0,300000
18,4,0,0,0,300000,0,400000,0,300000
19,4,0,0,0,300000,0,400000,0,300000
20,4,0,0,0,300000,0,400000,0,300000
21,4,0,0,0,300000,0,400000,0,300000
22,4,0,0,0,300000,0,400000,0,300000
23,4,0,0,0,300000,0,400000,0,300000
24,4,0,0,0,300000,0,400000,0,300000
25,4,0,0,0,300000,0,400000,0,300000
26,4,0,0,0,300000,0,400000,0,300000
27,4,0,0,0,300000,0,400000,0,300000
28,4,0,0,0,300000,0,400000,0,300000
29,4,0,0,0,300000,0,400000,0,300000
30,4,0,0,0,300000,0,400000,0,300000
31,4,0,0,0,300000,0,400000,0,300000
32,4,0,0,0,300000,0,400000,0,300000
33,4,0,0,0,300000,0,400000,0,300000
34,4,0,0,0,300000,0,400000,0,300000
35,4,0,0,0,300000,0,400000,0,300000
36,4,0,0,0,300000,0,400000,0,300000
37,4,0,0,0,300000,0,400000,0,300000
38,4,0,0,0,300000,0,400000,0,300000
39,4,0,0,0,300000,0,400000,0,300000
40,4,0,0,0,300000,0,400000,0,300000
41,4,0,0,0,300000,0,400000,0,300000
42,4,0,0,0,300000,0,400000,0,300000
43,4,0,0,0,300000,0,400000,0,300000
44,4,0,0,0,300000,0,400000,0,300000
45,4,0,0,0,300000,0,400000,0,300000
46,4,0,0,0,300000,0,400000,0,300000
47,4,0,0,0,300000,0,400000,0,300000
48,4,0,0,0,300000,0,400000,0,300000
49,4,0,0,0,300000,0,400000,0,300000
50,4,0,0,0,300000,0,400000,0,300000
51,4,0,0,0,300000,0,400000,0,300000
52,4,0,0,0,300000,0,400000,0,300000
53,4,0,0,0,300000,0,400000,0,300000
54,4,0,0,0,300000,0,400000,0,300000
55,4,0,0,0,300000,0,400000,0,300000
56,4,0,0,0,300000,0,400000,0,300000
57,4,0,0,0,300000,0,400000,0,300000
58,4,0,0,0,300000,0,400000,0,300000
59,4,0,0,0,300000,0,400000,0,300000
60,4,0,0,0,300000,0,400000,0,300000
61,4,0,0,0,300000,0,400000,0,300000
62,4,0,0,0,300000,0,400000,0,300000
63,4,0,0,0,300000,0,400000,0,300000
64,4,0,0,0,300000,0,400000,0,300000
65,4,0,0,0,300000,0,400000,0,300000
66,4,0,0,0,300000,0,400000,0,300000
67,4,0,0,0,300000,0,400000,0,300000
68,4,0,0,0,300000,0,400000,0,300000
69,4,0,0,0,300000,0,400000,0,300000
70,4,0,0,0,300000,0,400000,0,300000
71,4,0,0,0,300000,0,400000,0,300000
72,4,0,0,0,300000,0,400000,0,300000
73,4,0,0,0,300000,0,400000,0,300000
74,4,0,0,0,300000,0,400000,0,300000
75,4,0,0,0,300000,0,400000,0,300000
76,4,0,0,0,300000,0,400000,0,300000
77,4,0,0,0,300000,0,400000,0,300000
78,4,0,0,0,300000,0,400000,0,300000
79,4,0,0,0,300000,0,400000,0,300000
80,4,0,0,0,300000,0,400000,0,300000
81,4,0,0,0,300000,0,400000,0,300000
82,4,0,0,0,300000,0,400000,0,300000
83,4,0,0,0,300000,0,400000,0,300000
84,4,0,0,0,300000,0,400000,0,300000
85,4,0,0,0,300000,0,400000,0,300000
86,4,0,0,0,300000,0,400000,0,300000
87,4,0,0,0,300000,0,400000,0,300000
88,4,0,0,0,300000,0,400000,0,300000
89,4,0,0,0,300000,0,400000,0,300000
90,4,0,0,0,300000,0,400000,0,300000
91,4,0,0,0,300000,0,400000,0,300000
92,4,0,0,0,300000,0,400000,0,300000
93,4,0,0,0,300000,0,400000,0,300000
94,4,0,0,0,300000,0,400000,0,300000
95,4,0,0,0,300000,0,400000,0,300000
96,4,0,0,0,300000,0,400000,0,300000
97,4,0,0,0,300000,0,400000,0,300000
98,4,0,0,0,300000,0,400000,0,300000
99,4,0,0,0,300000,0,400000,0,300000
1,5,0,0,4,300000,5,400000,7,300000
2,5,0,0,4,300000,5,400000,7,300000
3,5,0,0,4,300000,5,400000,7,300000
4,5,0,0,4,300000,5,400000,7,300000
5,5,0,0,4,300000,5,400000,7,300000
6,5,0,0,4,300000,5,400000,7,300000
7,5,0,0,4,300000,5,400000,7,300000
8,5,0,0,4,300000,5,400000,7,300000
9,5,0,0,4,300000,5,400000,7,300000
10,5,0,0,4,300000,5,400000,7,300000
11,5,0,0,4,300000,5,400000,7,300000
12,5,0,0,4,300000,5,400000,7,300000
13,5,0,0,4,300000,5,400000,7,300000
14,5,0,0,4,300000,5,400000,7,300000
15,5,0,0,4,300000,5,400000,7,300000
16,5,0,0,4,300000,5,400000,7,300000
17,5,0,0,4,300000,5,400000,7,300000
18,5,0,0,4,300000,5,400000,7,300000
19,5,0,0,4,300000,5,400000,7,300000
20,5,0,0,4,300000,5,400000,7,300000
21,5,0,0,4,300000,5,400000,7,300000
22,5,0,0,4,300000,5,400000,7,300000
23,5,0,0,4,300000,5,400000,7,300000
24,5,0,0,4,300000,5,400000,7,300000
25,5,0,0,4,300000,5,400000,7,300000
26,5,0,0,4,300000,5,400000,7,300000
27,5,0,0,4,300000,5,400000,7,300000
28,5,0,0,4,300000,5,400000,7,300000
29,5,0,0,4,300000,5,400000,7,300000
30,5,0,0,4,300000,5,400000,7,300000
31,5,0,0,4,300000,5,400000,7,300000
32,5,0,0,4,300000,5,400000,7,300000
33,5,0,0,4,300000,5,400000,7,300000
34,5,0,0,4,300000,5,400000,7,300000
35,5,0,0,4,300000,5,400000,7,300000
36,5,0,0,4,300000,5,400000,7,300000
37,5,0,0,4,300000,5,400000,7,300000
38,5,0,0,4,300000,5,400000,7,300000
39,5,0,0,4,300000,5,400000,7,300000
40,5,0,0,4,300000,5,400000,7,300000
41,5,0,0,4,300000,5,400000,7,300000
42,5,0,0,4,300000,5,400000,7,300000
43,5,0,0,4,300000,5,400000,7,300000
44,5,0,0,4,300000,5,400000,7,300000
45,5,0,0,4,300000,5,400000,7,300000
46,5,0,0,4,300000,5,400000,7,300000
47,5,0,0,4,300000,5,400000,7,300000
48,5,0,0,4,300000,5,400000,7,300000
49,5,0,0,4,300000,5,400000,7,300000
50,5,0,0,4,300000,5,400000,7,300000
51,5,0,0,4,300000,5,400000,7,300000
52,5,0,0,4,300000,5,400000,7,300000
53,5,0,0,4,300000,5,400000,7,300000
54,5,0,0,4,300000,5,400000,7,300000
55,5,0,0,4,300000,5,400000,7,300000
56,5,0,0,4,300000,5,400000,7,300000
57,5,0,0,4,300000,5,400000,7,300000
58,5,0,0,4,300000,5,400000,7,300000
59,5,0,0,4,300000,5,400000,7,300000
60,5,0,0,4,300000,5,400000,7,300000
61,5,0,0,4,300000,5,400000,7,300000
62,5,0,0,4,300000,5,400000,7,300000
63,5,0,0,4,300000,5,400000,7,300000
64,5,0,0,4,300000,5,400000,7,300000
65,5,0,0,4,300000,5,400000,7,300000
66,5,0,0,4,300000,5,400000,7,300000
67,5,0,0,4,300000,5,400000,7,300000
68,5,0,0,4,300000,5,400000,7,300000
69,5,0,0,4,300000,5,400000,7,300000
70,5,0,0,4,300000,5,400000,7,300000
71,5,0,0,4,300000,5,400000,7,300000
72,5,0,0,4,300000,5,400000,7,300000
73,5,0,0,4,300000,5,400000,7,300000
74,5,0,0,4,300000,5,400000,7,300000
75,5,0,0,4,300000,5,400000,7,300000
76,5,0,0,4,300000,5,400000,7,300000
77,5,0,0,4,300000,5,400000,7,300000
78,5,0,0,4,300000,5,400000,7,300000
79,5,0,0,4,300000,5,400000,7,300000
80,5,0,0,4,300000,5,400000,7,300000
81,5,0,0,4,300000,5,400000,7,300000
82,5,0,0,4,300000,5,400000,7,300000
83,5,0,0,4,300000,5,400000,7,300000
84,5,0,0,4,300000,5,400000,7,300000
85,5,0,0,4,300000,5,400000,7,300000
86,5,0,0,4,300000,5,400000,7,300000
87,5,0,0,4,300000,5,400000,7,300000
88,5,0,0,4,300000,5,400000,7,300000
89,5,0,0,4,300000,5,400000,7,300000
90,5,0,0,4,300000,5,400000,7,300000
91,5,0,0,4,300000,5,400000,7,300000
92,5,0,0,4,300000,5,400000,7,300000
93,5,0,0,4,300000,5,400000,7,300000
94,5,0,0,4,300000,5,400000,7,300000
95,5,0,0,4,300000,5,400000,7,300000
96,5,0,0,4,300000,5,400000,7,300000
97,5,0,0,4,300000,5,400000,7,300000
98,5,0,0,4,300000,5,400000,7,300000
99,5,0,0,4,300000,5,400000,7,300000
1,6,0,0,0,300000,0,400000,0,300000
2,6,0,0,0,300000,0,400000,0,300000
3,6,0,0,0,300000,0,400000,0,300000
4,6,0,0,0,300000,0,400000,0,300000
5,6,0,0,0,300000,0,400000,0,300000
6,6,0,0,0,300000,0,400000,0,300000
7,6,0,0,0,300000,0,400000,0,300000
8,6,0,0,0,300000,0,400000,0,300000
9,6,0,0,0,300000,0,400000,0,300000
10,6,0,0,0,300000,0,400000,0,300000
11,6,0,0,0,300000,0,400000,0,300000
12,6,0,0,0,300000,0,400000,0,300000
13,6,0,0,0,300000,0,400000,0,300000
14,6,0,0,0,300000,0,400000,0,300000
15,6,0,0,0,300000,0,400000,0,300000
16,6,0,0,0,300000,0,400000,0,300000
17,6,0,0,0,300000,0,400000,0,300000
18,6,0,0,0,300000,0,400000,0,300000
19,6,0,0,0,300000,0,400000,0,300000
20,6,0,0,0,300000,0,400000,0,300000
21,6,0,0,0,300000,0,400000,0,300000
22,6,0,0,0,300000,0,400000,0,300000
23,6,0,0,0,300000,0,400000,0,300000
24,6,0,0,0,300000,0,400000,0,300000
25,6,0,0,0,300000,0,400000,0,300000
26,6,0,0,0,300000,0,400000,0,300000
27,6,0,0,0,300000,0,400000,0,300000
28,6,0,0,0,300000,0,400000,0,300000
29,6,0,0,0,300000,0,400000,0,300000
30,6,0,0,0,300000,0,400000,0,300000
31,6,0,0,0,300000,0,400000,0,300000
32,6,0,0,0,300000,0,400000,0,300000
33,6,0,0,0,300000,0,400000,0,300000
34,6,0,0,0,300000,0,400000,0,300000
35,6,0,0,0,300000,0,400000,0,300000
36,6,0,0,0,300000,0,400000,0,300000
37,6,0,0,0,300000,0,400000,0,300000
38,6,0,0,0,300000,0,400000,0,300000
39,6,0,0,0,300000,0,400000,0,300000
40,6,0,0,0,300000,0,400000,0,300000
41,6,0,0,0,300000,0,400000,0,300000
42,6,0,0,0,300000,0,400000,0,300000
43,6,0,0,0,300000,0,400000,0,300000
44,6,0,0,0,300000,0,400000,0,300000
45,6,0,0,0,300000,0,400000,0,300000
46,6,0,0,0,300000,0,400000,0,300000
47,6,0,0,0,300000,0,400000,0,300000
48,6,0,0,0,300000,0,400000,0,300000
49,6,0,0,0,300000,0,400000,0,300000
50,6,0,0,0,300000,0,400000,0,300000
51,6,0,0,0,300000,0,400000,0,300000
52,6,0,0,0,300000,0,400000,0,300000
53,6,0,0,0,300000,0,400000,0,300000
54,6,0,0,0,300000,0,400000,0,300000
55,6,0,0,0,300000,0,400000,0,300000
56,6,0,0,0,300000,0,400000,0,300000
57,6,0,0,0,300000,0,400000,0,300000
58,6,0,0,0,300000,0,400000,0,300000
59,6,0,0,0,300000,0,400000,0,300000
60,6,0,0,0,300000,0,400000,0,300000
61,6,0,0,0,300000,0,400000,0,300000
62,6,0,0,0,300000,0,400000,0,300000
63,6,0,0,0,300000,0,400000,0,300000
64,6,0,0,0,300000,0,400000,0,300000
65,6,0,0,0,300000,0,400000,0,300000
66,6,0,0,0,300000,0,400000,0,300000
67,6,0,0,0,300000,0,400000,0,300000
68,6,0,0,0,300000,0,400000,0,300000
69,6,0,0,0,300000,0,400000,0,300000
70,6,0,0,0,300000,0,400000,0,300000
71,6,0,0,0,300000,0,400000,0,300000
72,6,0,0,0,300000,0,400000,0,300000
73,6,0,0,0,300000,0,400000,0,300000
74,6,0,0,0,300000,0,400000,0,300000
75,6,0,0,0,300000,0,400000,0,300000
76,6,0,0,0,300000,0,400000,0,300000
77,6,0,0,0,300000,0,400000,0,300000
78,6,0,0,0,300000,0,400000,0,300000
79,6,0,0,0,300000,0,400000,0,300000
80,6,0,0,0,300000,0,400000,0,300000
81,6,0,0,0,300000,0,400000,0,300000
82,6,0,0,0,300000,0,400000,0,300000
83,6,0,0,0,300000,0,400000,0,300000
84,6,0,0,0,300000,0,400000,0,300000
85,6,0,0,0,300000,0,400000,0,300000
86,6,0,0,0,300000,0,400000,0,300000
87,6,0,0,0,300000,0,400000,0,300000
88,6,0,0,0,300000,0,400000,0,300000
89,6,0,0,0,300000,0,400000,0,300000
90,6,0,0,0,300000,0,400000,0,300000
91,6,0,0,0,300000,0,400000,0,300000
92,6,0,0,0,300000,0,400000,0,300000
93,6,0,0,0,300000,0,400000,0,300000
94,6,0,0,0,300000,0,400000,0,300000
95,6,0,0,0,300000,0,400000,0,300000
96,6,0,0,0,300000,0,400000,0,300000
97,6,0,0,0,300000,0,400000,0,300000
98,6,0,0,0,300000,0,400000,0,300000
99,6,0,0,0,300000,0,400000,0,300000
1,7,0,0,4,300000,5,400000,7,300000
2,7,0,0,4,300000,5,400000,7,300000
3,7,0,0,4,300000,5,400000,7,300000
4,7,0,0,4,300000,5,400000,7,300000
5,7,0,0,4,300000,5,400000,7,300000
6,7,0,0,4,300000,5,400000,7,300000
7,7,0,0,4,300000,5,400000,7,300000
8,7,0,0,4,300000,5,400000,7,300000
