area,subarea,colorr,colorg,colorb,bmp_minx,bmp_minz,bmp_maxx,bmp_maxz,minx,minz,maxx,maxz,convex
int,int,int,int,int,float,float,float,float,float,float,float,float,string
0,10,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-52.88004,-33.96925,-30.01996,2.029252,{678.2587|1226.469};{738.9922|1252.971};{829.1567|1035.934};{768.4232|1009.431};
0,11,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-47.24522,-16.02522,-28.85478,2.365223,{715.4538|1083.737};{762.1295|1131.575};{836.8481|1054.996};{790.1724|1007.158};
0,12,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-38.25876,-4.484707,-20.80124,22.82471,{774.7729|1032.351};{837.4742|1053.5};{890.009|889.8922};{827.3078|868.7435};
0,13,0,0,64,-155.6318,-151.3372,154.6269,151.3843,37.36287,57.48777,48.07713,92.91224,{1273.947|632.8621};{1339.943|634.2377};{1344.671|395.9564};{1278.675|394.5807};
0,14,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-14.50005,24.04176,2.800054,36.59824,{931.6028|793.8515};{942.8801|860.5098};{1045.8|842.2198};{1034.522|775.5615};
0,15,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-32.21676,8.00324,-7.14324,33.07676,{814.6558|921.1772};{861.3315|969.0151};{980.1647|847.2233};{933.489|799.3854};
0,16,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-4.644526,26.80034,11.64453,43.05966,{996.6586|793.6771};{1043.008|841.8472};{1104.182|780.0182};{1057.832|731.8481};
0,17,0,0,64,-155.6318,-151.3372,154.6269,151.3843,1.903297,31.21225,32.4167,52.00775,{1039.88|750.0623};{1066.435|811.9993};{1241.298|733.2487};{1214.743|671.3116};
0,18,0,0,64,-155.6318,-151.3372,154.6269,151.3843,7.386519,33.6251,31.83348,51.7549,{1076.075|733.7386};{1102.63|795.6757};{1237.448|734.9594};{1210.893|673.0223};
0,19,0,0,64,-155.6318,-151.3372,154.6269,151.3843,24.51709,42.10708,47.36292,64.95292,{1189.153|690.4547};{1235.828|738.2926};{1339.957|631.5717};{1293.281|583.7338};
0,20,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-114.8972,-129.6773,-72.70284,-119.3227,{268.8872|1832.814};{269.4435|1900.464};{547.4095|1898.063};{546.8532|1830.413};
0,21,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-77.55869,-137.5771,-35.84131,-85.02287,{515.3563|1887.418};{627.3396|1953.909};{790.7303|1664.855};{678.7471|1598.364};
0,22,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-80.52164,-118.9417,-54.07837,-99.45832,{495.7981|1766.614};{523.8888|1827.835};{670.3486|1757.245};{642.2579|1696.024};
0,23,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-97.40934,-134.295,-73.19067,-109.705,{384.3233|1884.74};{431.8357|1931.705};{544.1894|1812.311};{496.6771|1765.346};
0,24,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-141.5292,-137.0799,-103.6708,-101.3201,{93.09096|1758.617};{298.5225|1950.545};{342.9915|1900.548};{137.5599|1708.62};
0,25,0,0,64,-155.6318,-151.3372,154.6269,151.3843,56.95765,25.1554,77.04235,32.7846,{1403.291|815.1902};{1407.156|852.9757};{1535.869|839.1474};{1532.004|801.3619};
0,26,0,0,64,-155.6318,-151.3372,154.6269,151.3843,40.70256,-53.04736,65.89743,-0.6126404,{1295.992|1042.301};{1333.713|1382.04};{1462.302|1367.043};{1424.581|1027.304};
0,27,0,0,64,-155.6318,-151.3372,154.6269,151.3843,30.91037,-21.98964,79.68964,26.78963,{1231.354|1078.135};{1322.867|1171.926};{1553.343|935.7108};{1461.831|841.9196};
0,28,0,0,64,-155.6318,-151.3372,154.6269,151.3843,57.48108,17.87225,78.77892,36.66775,{1406.746|851.6405};{1441.641|902.2484};{1547.332|825.6992};{1512.437|775.0913};
0,29,0,0,64,-155.6318,-151.3372,154.6269,151.3843,56.95844,16.3748,84.46156,43.8852,{1403.296|817.0234};{1493.257|912.3791};{1584.843|821.6187};{1494.882|726.2631};
0,30,0,0,64,-155.6318,-151.3372,154.6269,151.3843,103.6758,100.7758,140.5242,137.6242,{1711.675|139.9288};{1908.233|341.3816};{1954.909|293.5437};{1758.35|92.09103};
0,31,0,0,64,-155.6318,-151.3372,154.6269,151.3843,119.8156,71.13448,130.7844,113.4655,{1818.213|540.353};{1884.204|541.9137};{1890.617|257.0925};{1824.625|255.5317};
0,32,0,0,64,-155.6318,-151.3372,154.6269,151.3843,88.67578,46.27579,125.5242,83.12422,{1612.661|662.2523};{1659.336|710.0901};{1855.895|508.6374};{1809.219|460.7996};
0,33,0,0,64,-155.6318,-151.3372,154.6269,151.3843,66.39503,27.22042,119.505,62.63958,{1465.587|714.4868};{1510.179|839.0052};{1816.162|723.9026};{1771.57|599.3842};
0,34,0,0,64,-155.6318,-151.3372,154.6269,151.3843,72.37032,120.0079,114.8297,131.5921,{1505.029|200.5048};{1782.807|211.2705};{1785.301|143.6659};{1507.523|132.9002};
0,35,0,0,64,-155.6318,-151.3372,154.6269,151.3843,47.51077,101.6787,73.32924,118.8013,{1340.933|271.1878};{1362.085|335.2732};{1511.359|283.5188};{1490.206|219.4334};
0,36,0,0,64,-155.6318,-151.3372,154.6269,151.3843,67.09229,109.543,109.9077,134.457,{1470.189|219.2468};{1494.686|282.0686};{1752.811|176.3401};{1728.314|113.5184};
0,37,0,0,64,-155.6318,-151.3372,154.6269,151.3843,51.90739,95.98803,90.4926,125.412,{1369.954|316.5441};{1405.16|373.7721};{1624.653|231.9384};{1589.448|174.7104};
0,38,0,0,64,-155.6318,-151.3372,154.6269,151.3843,3.357168,-67.5582,56.78283,-38.32181,{1049.477|1350.202};{1075.133|1480.21};{1402.137|1412.426};{1376.481|1282.418};
0,39,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-32.36752,-63.41845,-24.31248,-57.28155,{813.6607|1433.887};{822.8619|1452.204};{866.8315|1429.003};{857.6302|1410.686};
0,40,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-32.2803,-76.57632,-22.31969,-57.20368,{814.2364|1417.645};{861.2579|1541.221};{879.9858|1533.735};{832.9642|1410.159};
0,41,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-30.75204,-76.99087,-25.08796,-57.20913,{824.3243|1411.484};{829.3474|1544.025};{861.7126|1542.737};{856.6896|1410.196};
0,42,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-35.56769,-74.55794,-17.51231,-58.04206,{792.5365|1440.978};{890.5752|1527.566};{911.7191|1502.419};{813.6804|1415.831};
0,43,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-27.46404,-84.33826,-13.69596,-59.60173,{846.0282|1433.69};{860.6233|1593.733};{936.9106|1586.425};{922.3155|1426.383};
0,44,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-46.07918,-86.64649,-20.58082,-61.49351,{723.1508|1522.761};{821.1895|1609.348};{891.464|1525.769};{793.4253|1439.181};
0,45,0,0,64,-155.6318,-151.3372,154.6269,151.3843,-25.8008,-81.92804,21.8008,-30.67196,{857.0072|1491.798};{955.8442|1577.427};{1171.223|1316.293};{1072.385|1230.664};
0,46,0,0,64,-155.6318,-151.3372,154.6269,151.3843,20.7992,-70.42805,68.4008,-19.17195,{1164.611|1413.997};{1263.448|1499.626};{1478.827|1238.492};{1379.99|1152.863};
