area,subarea,colorr,colorg,colorb,bmp_minx,bmp_minz,bmp_maxx,bmp_maxz,minx,minz,maxx,maxz,convex
3,0,0,64,0,-133.0521,-131.4727,129.0521,132.9727,77.12836,-52.60011,83.78671,-46.87033,{1657.228|1396.936};{1656.692|1396.972};{1653.065|1397.433};{1652.66|1397.816};{1646.929|1408.517};{1646.86|1409.365};{1648.224|1417.866};{1648.582|1418.811};{1652.59|1423.407};{1659.303|1428.691};{1672.295|1431.901};{1679.143|1433.07};{1682.718|1432.458};{1683.35|1431.811};{1689.265|1421.11};{1689.983|1408.523};{1689.669|1407.419};{1687.463|1404.149};{1687.145|1403.75};{1667.144|1396.301};
3,1,0,64,0,-133.0521,-131.4727,129.0521,132.9727,83.68717,-48.91424,89.44303,-42.23991,{1712.225|1361.862};{1711.269|1362.211};{1706.608|1366.156};{1701.236|1372.777};{1697.919|1385.634};{1696.697|1392.414};{1697.293|1395.961};{1697.942|1396.591};{1708.702|1402.518};{1721.397|1403.307};{1722.513|1403.003};{1725.826|1400.836};{1726.23|1400.524};{1733.867|1380.745};{1733.287|1370.913};{1733.254|1370.382};{1732.811|1366.784};{1732.426|1366.38};{1721.665|1360.635};{1720.81|1360.562};
3,2,0,64,0,-133.0521,-131.4727,129.0521,132.9727,81.73615,-53.46349,87.782,-46.62023,{1699.559|1396.222};{1698.58|1396.502};{1693.646|1400.107};{1687.811|1406.33};{1683.576|1418.92};{1681.868|1425.596};{1682.207|1429.176};{1682.809|1429.85};{1693.115|1436.525};{1705.72|1438.211};{1706.855|1437.986};{1710.316|1436.059};{1710.741|1435.776};{1719.784|1416.589};{1719.915|1406.741};{1719.92|1406.209};{1719.737|1402.588};{1719.383|1402.158};{1709.063|1395.667};{1708.215|1395.532};
3,3,0,64,0,-133.0521,-131.4727,129.0521,132.9727,79.77721,-50.5662,87.30068,-43.56069,{1695.55|1374.84};{1686.938|1376.823};{1676.585|1384.52};{1670.211|1389.829};{1668.732|1392.752};{1668.835|1393.65};{1674.661|1404.999};{1682.953|1413.393};{1683.986|1413.868};{1685.931|1414.028};{1686.911|1414.009};{1689.455|1413.549};{1707.482|1403.195};{1713.54|1394.758};{1714.524|1392.34};{1714.483|1391.784};{1710.92|1383.317};{1708.936|1381.178};{1708.329|1380.58};{1706.712|1379.088};{1702.421|1375.142};{1701.514|1374.779};
4,0,0,64,64,-133.0521,-131.4727,129.0521,132.9727,65.52406,-1.291409,73.02525,6.036483,{1573.659|989.5297};{1563.231|995.9943};{1562.818|996.7441};{1561.903|1006.789};{1561.869|1007.841};{1561.888|1008.121};{1562.221|1009.897};{1562.48|1010.808};{1563.589|1013.672};{1567.018|1020.665};{1577.463|1028.896};{1581.923|1031.188};{1585.632|1032.352};{1586.464|1032.006};{1597.343|1025.97};{1599.858|1021.605};{1603.477|1013.89};{1603.007|1010.042};{1602.909|1009.578};{1599.675|1006.344};{1588.029|994.8097};{1579.421|990.8327};{1578.332|990.485};{1574.179|989.3358};
4,1,0,64,64,-133.0521,-131.4727,129.0521,132.9727,68.22481,-4.294057,73.5163,2.565787,{1588.911|1013.347};{1581.051|1021.428};{1579.797|1022.86};{1579.331|1023.693};{1576.797|1034.3};{1579.18|1051.306};{1581.302|1054.657};{1582.129|1054.932};{1595.193|1057.87};{1600.443|1056.416};{1608.001|1052.891};{1610.302|1049.73};{1610.569|1049.329};{1609.922|1028.739};{1605.737|1020.549};{1605.519|1020.129};{1602.946|1015.458};{1602.446|1015.27};{1589.714|1013.053};
4,2,0,64,64,-133.0521,-131.4727,129.0521,132.9727,62.21555,1.311822,69.11387,7.459845,{1539.307|976.8041};{1538.864|977.1434};{1532.037|987.1914};{1531.878|988.028};{1532.338|996.6232};{1532.595|997.6006};{1536.096|1002.587};{1542.215|1008.538};{1554.797|1013.076};{1561.484|1014.949};{1565.104|1014.71};{1565.8|1014.132};{1572.811|1004.103};{1574.854|991.6588};{1574.658|990.5284};{1572.809|987.0475};{1572.535|986.618};{1553.429|977.1376};{1543.5|976.7408};{1542.964|976.7213};
5,0,0,64,128,-133.0521,-131.4727,129.0521,132.9727,35.01918,-12.51175,41.08233,-5.193019,{1332.2|1076.6};{1327.006|1079.629};{1322.062|1082.806};{1321.454|1083.548};{1319.855|1089.167};{1319.44|1097.953};{1324.013|1109.725};{1327.545|1117.59};{1329.936|1119.677};{1330.835|1119.823};{1343.454|1117.404};{1353.84|1111.72};{1354.589|1110.877};{1355.312|1109.173};{1355.567|1108.25};{1355.66|1105.259};{1350.628|1085.514};{1344.117|1077.501};{1342.157|1076.24};{1341.607|1076.128};
5,1,0,64,128,-133.0521,-131.4727,129.0521,132.9727,32.85933,-8.708575,39.64324,-1.557949,{1321.55|1046.206};{1310.188|1050.672};{1309.581|1051.273};{1305.06|1058.622};{1304.714|1059.572};{1304.76|1065.647};{1306.416|1073.984};{1314.209|1084.774};{1318.659|1090.065};{1321.781|1091.896};{1322.686|1091.808};{1334.188|1087.461};{1342.968|1078.338};{1343.45|1077.296};{1343.909|1073.388};{1343.928|1072.881};{1333.57|1054.358};{1325.604|1048.47};{1325.173|1048.153};{1322.109|1046.174};
6,0,0,64,192,-133.0521,-131.4727,129.0521,132.9727,39.78663,7.073553,45.80996,13.90432,{1366.099|927.1689};{1365.362|927.6066};{1359.179|933.6501};{1358.611|934.4887};{1357.17|940.3932};{1356.737|948.8789};{1361.659|961.2205};{1364.682|967.4223};{1367.264|969.9486};{1368.162|970.0811};{1380.385|968.627};{1391.134|961.8858};{1391.857|960.9905};{1393.258|957.3095};{1393.401|956.8218};{1387.881|936.363};{1381.594|928.7366};{1381.253|928.326};{1378.764|925.6693};{1378.214|925.5657};
6,1,0,64,192,-133.0521,-131.4727,129.0521,132.9727,40.75593,3.33604,45.63748,9.580717,{1377.958|956.7543};{1369.757|960.1609};{1368.881|960.6949};{1365.024|965.4442};{1360.96|972.7854};{1360.064|986.0767};{1360.11|992.496};{1361.348|995.9671};{1362.103|996.4645};{1373.773|1000.741};{1386.401|998.8628};{1387.358|998.6506};{1390.3|996.0164};{1390.64|995.6432};{1394.51|974.7903};{1392.131|965.2769};{1392.001|964.7679};{1390.903|960.9772};{1390.451|960.6528};{1378.813|956.6683};
7,0,0,128,0,-133.0521,-131.4727,129.0521,132.9727,-16.12474,116.561,-10.41568,120.9324,{927.1283|93.03354};{920.2194|93.77312};{916.9517|95.33523};{916.524|96.12988};{913.8023|108.0293};{916.5999|120.3281};{917.2079|121.3038};{920.2359|123.8475};{920.6515|124.1446};{941.9479|125.8606};{951.3069|122.5509};{951.8116|122.3704};{955.1719|120.9391};{955.4551|120.4602};{957.9991|108.6112};{957.8305|107.7765};{954.1629|99.9746};{953.5566|99.16299};{948.429|95.83527};{940.5098|92.58195};
7,1,0,128,0,-133.0521,-131.4727,129.0521,132.9727,-11.27474,116.581,-5.565684,120.9524,{965.0247|92.87868};{958.1158|93.61826};{954.8481|95.18037};{954.4204|95.97501};{951.6987|107.8744};{954.4962|120.1732};{955.1043|121.149};{958.1323|123.6926};{958.5479|123.9897};{979.8443|125.7057};{989.2032|122.396};{989.7079|122.2155};{993.0683|120.7842};{993.3515|120.3053};{995.8955|108.4563};{995.7269|107.6217};{992.0593|99.81973};{991.453|99.00813};{986.3253|95.68041};{978.4062|92.42708};
7,2,0,128,0,-133.0521,-131.4727,129.0521,132.9727,-20.91474,116.541,-15.20568,120.9124,{889.7007|93.18846};{882.7918|93.92804};{879.5242|95.49016};{879.0964|96.2848};{876.3747|108.1842};{879.1722|120.483};{879.7803|121.4588};{882.8083|124.0024};{883.2239|124.2995};{904.5204|126.0155};{913.8793|122.7058};{914.384|122.5253};{917.7444|121.094};{918.0276|120.6151};{920.5715|108.7661};{920.403|107.9315};{916.7354|100.1295};{916.129|99.31792};{911.0014|95.9902};{903.0822|92.73687};
8,0,0,128,64,-133.0521,-131.4727,129.0521,132.9727,-45.55445,95.71079,-39.55819,100.4664,{697.1845|253.6672};{690.3442|254.8813};{687.1942|256.6649};{686.8232|257.4871};{684.9431|269.5452};{688.597|281.6215};{689.2721|282.5529};{692.4713|284.8817};{692.9067|285.1494};{714.272|285.3931};{723.376|281.4462};{723.8668|281.2313};{727.1185|279.5718};{727.3675|279.0745};{729.0738|267.0789};{728.847|266.2578};{724.6407|258.7277};{723.9789|257.9598};{718.6302|254.9937};{710.5019|252.2942};
8,1,0,128,64,-133.0521,-131.4727,129.0521,132.9727,-41.19834,95.72877,-35.20208,100.4844,{731.2218|253.528};{724.3815|254.7421};{721.2314|256.5257};{720.8605|257.3479};{718.9804|269.406};{722.6343|281.4822};{723.3094|282.4138};{726.5085|284.7425};{726.944|285.0102};{748.3093|285.2539};{757.4133|281.3069};{757.9041|281.0921};{761.1558|279.4326};{761.4048|278.9353};{763.111|266.9397};{762.8843|266.1186};{758.678|258.5885};{758.0162|257.8206};{752.6675|254.8545};{744.5392|252.155};
9,0,0,128,128,-133.0521,-131.4727,129.0521,132.9727,-63.31904,83.47522,-56.35474,90.94449,{569.6536|331.4173};{558.3799|336.9558};{557.8038|337.5702};{553.9279|343.8089};{553.6374|344.7257};{553.9908|350.6731};{555.9776|359.1463};{568.7776|375.3983};{572.0306|376.8715};{572.9277|376.7537};{584.403|371.0875};{592.5556|362.4337};{592.9841|361.3948};{593.4473|356.6686};{593.4453|356.1512};{582.1904|338.3504};{573.5304|332.4726};{570.2092|331.3672};
9,1,0,128,128,-133.0521,-131.4727,129.0521,132.9727,-59.22948,83.99191,-52.39074,91.15121,{601.6539|328.2917};{590.4072|333.0347};{589.8147|333.651};{585.4786|341.1085};{585.1566|342.0666};{585.3542|348.1382};{587.2168|356.4318};{595.2771|367.0284};{599.8569|372.2086};{603.0241|373.9622};{603.9261|373.8526};{615.3165|369.2249};{623.8662|359.8899};{624.3227|358.836};{624.6838|354.9183};{624.6904|354.4105};{613.8734|336.1472};{605.7635|330.456};{605.3246|330.1502};{602.2121|328.2463};
9,2,0,128,128,-133.0521,-131.4727,129.0521,132.9727,-58.25708,70.67395,-51.25793,78.12743,{607.8698|434.3174};{600.599|439.2898};{593.8035|450.2454};{589.8782|457.4496};{589.5742|460.7244};{590.0026|461.5217};{599.6307|469.9505};{610.4457|474.751};{611.5847|474.8151};{613.463|474.2393};{614.3696|473.8632};{616.5196|472.5768};{629.4746|456.3473};{631.9879|446.2876};{632.0406|443.6291};{631.7969|443.1272};{625.2826|436.643};{622.7355|435.239};{621.949|434.9041};{614.3823|432.0816};{613.4017|432.0776};
9,3,0,128,128,-133.0521,-131.4727,129.0521,132.9727,-61.1541,71.7648,-54.3698,79.15953,{588.5186|423.8204};{583.1386|426.4438};{576.2289|431.8734};{570.1614|443.3054};{566.7908|450.6519};{566.6904|453.9721};{567.1716|454.7391};{577.355|462.4974};{588.4581|466.59};{589.6008|466.5749};{591.4529|465.8458};{592.3344|465.4061};{594.3196|464.1075};{606.1846|446.9891};{608.019|436.7725};{607.9464|434.021};{607.6692|433.5363};{600.6297|427.6769};{598.1406|426.1877};{597.3324|425.9072};{589.5009|423.7529};
9,4,0,128,128,-133.0521,-131.4727,129.0521,132.9727,-59.4093,76.12761,-54.17141,82.66524,{598.2842|392.8316};{589.869|394.2756};{588.957|394.7012};{584.7651|399.0746};{580.1748|406.4012};{578.3162|419.4111};{577.8849|426.886};{578.8699|430.2041};{579.5862|430.762};{590.9236|434.9112};{603.6472|434.7874};{604.722|434.3728};{606.2697|432.9119};{608.1181|430.9738};{613.4933|410.6117};{611.8134|400.8853};{611.7207|400.3547};{610.8939|397.2965};{610.4666|396.9352};{599.1429|392.8161};
9,5,0,128,128,-133.0521,-131.4727,129.0521,132.9727,-56.9908,79.87096,-50.826,86.77805,{611.2654|362.7018};{600.7794|369.8384};{600.0907|370.76};{598.8304|374.4905};{598.7062|374.9832};{604.9973|395.2221};{611.5696|402.6089};{611.9259|403.0065};{614.5134|405.5687};{615.0671|405.6518};{627.1128|403.5986};{627.8323|403.1338};{633.7822|396.8642};{634.3178|396.0051};{635.5339|390.0511};{635.6449|381.5553};{630.2585|369.4057};{627.0031|363.3207};{624.3274|360.8924};{623.4242|360.7935};
9,6,0,128,128,-133.0521,-131.4727,129.0521,132.9727,-60.77986,79.74228,-53.98792,87.06931,{593.0236|360.0143};{580.872|362.9919};{577.1118|366.6731};{571.1113|372.5684};{570.2934|376.4071};{570.2362|376.8994};{579.4688|395.9767};{586.1686|401.7173};{590.6943|405.2687};{591.2507|405.2635};{603.1517|401.9619};{603.7902|401.3905};{608.1379|393.306};{608.5214|392.3478};{608.7135|389.2762};{608.764|388.2963};{608.815|386.2463};{607.8185|378.0997};{600.6479|366.8227};{597.0259|362.1332};{593.9262|359.9706};
9,7,0,128,128,-133.0521,-131.4727,129.0521,132.9727,-56.01908,75.33658,-51.13438,81.42654,{611.7601|401.582};{610.7191|402.0826};{607.8588|404.8102};{607.5185|405.1899};{603.6361|426.015};{606.009|435.5789};{606.1389|436.0948};{607.2347|439.5534};{607.6867|439.8812};{619.3219|443.5915};{620.1768|443.5098};{628.3798|440.6847};{629.256|440.1692};{633.1161|435.4507};{637.1848|427.9721};{638.0886|414.7317};{638.0471|407.8442};{636.8105|404.4637};{636.0562|403.9614};{624.3886|400.0708};
10,0,0,128,192,-133.0521,-131.4727,129.0521,132.9727,25.75843,66.36912,32.74396,72.36788,{1254.409|479.0684};{1248.842|481.6466};{1246.083|484.1843};{1245.934|485.0687};{1246.444|497.425};{1253.845|508.8967};{1257.462|510.4977};{1257.938|510.6559};{1278.724|505.7281};{1285.65|500.4968};{1290.177|496.8387};{1290.29|496.2979};{1289.448|484.1033};{1289.02|483.3637};{1282.164|477.3803};{1281.306|476.8047};{1275.353|475.2324};{1267.046|474.4995};
10,1,0,128,192,-133.0521,-131.4727,129.0521,132.9727,29.89526,67.74361,36.88635,73.74416,{1286.747|468.4192};{1281.2|470.9909};{1278.438|473.5297};{1278.289|474.4141};{1278.783|486.7753};{1286.183|498.2476};{1289.799|499.8487};{1290.276|500.007};{1311.059|495.08};{1318.002|489.8432};{1322.521|486.1875};{1322.634|485.6468};{1321.802|473.4486};{1321.375|472.7091};{1314.497|466.733};{1313.637|466.1576};{1307.684|464.5854};{1299.384|463.8504};
11,0,0,192,0,-133.0521,-131.4727,129.0521,132.9727,-1.479033,74.72498,5.035547,82.33249,{1050.451|402.2144};{1048.844|402.7285};{1048.037|403.1761};{1039.707|410.7549};{1034.656|422.656};{1033.77|426.2372};{1033.664|430.1973};{1034.233|430.8706};{1043.045|440.3951};{1047.942|442.0136};{1056.441|443.0967};{1060.032|441.6815};{1060.453|441.4891};{1070.583|423.8772};{1072.102|413.7962};{1072.135|412.6808};{1072.054|408.9634};{1071.721|408.5377};{1062.601|399.8113};{1061.759|399.627};
11,1,0,192,0,-133.0521,-131.4727,129.0521,132.9727,-0.01903224,77.91497,6.495548,85.52248,{1061.859|377.5095};{1060.252|378.0236};{1059.445|378.4711};{1051.115|386.05};{1046.064|397.951};{1045.177|401.5323};{1045.072|405.4923};{1045.641|406.1656};{1054.453|415.6902};{1059.35|417.3086};{1067.849|418.3917};{1071.44|416.9765};{1071.861|416.7841};{1081.991|399.1723};{1083.51|389.0912};{1083.543|387.9758};{1083.462|384.2585};{1083.129|383.8327};{1074.009|375.1063};{1073.167|374.922};
12,0,0,192,64,-133.0521,-131.4727,129.0521,132.9727,12.84245,40.12078,18.37468,46.65455,{1156.091|671.6085};{1155.308|671.9584};{1148.459|677.2496};{1147.797|678.0172};{1145.674|683.7158};{1144.25|692.0944};{1147.693|704.9188};{1149.968|711.4266};{1152.237|714.2329};{1153.114|714.468};{1165.424|714.4302};{1176.89|708.9717};{1177.713|708.1656};{1179.536|704.6708};{1179.735|704.2028};{1176.649|683.2472};{1171.298|674.9488};{1171.007|674.5018};{1168.847|671.5766};{1168.312|671.4103};
12,1,0,192,64,-133.0521,-131.4727,129.0521,132.9727,11.85368,44.3487,17.38591,50.88248,{1148.365|638.8653};{1147.583|639.2152};{1140.733|644.5063};{1140.071|645.2739};{1137.948|650.9727};{1136.524|659.3511};{1139.967|672.1756};{1142.242|678.6834};{1144.511|681.4897};{1145.388|681.7247};{1157.698|681.687};{1169.164|676.2285};{1169.987|675.4225};{1171.81|671.9276};{1172.009|671.4596};{1168.923|650.504};{1163.572|642.2056};{1163.281|641.7585};{1161.121|638.8334};{1160.586|638.6671};
13,0,0,192,128,-133.0521,-131.4727,129.0521,132.9727,7.985303,-17.09224,15.14098,-10.09651,{1130.913|1115.916};{1122.734|1118.462};{1112.769|1127.324};{1107.951|1132.288};{1106.458|1135.566};{1106.645|1136.447};{1112.268|1147.301};{1122.38|1154.949};{1123.479|1155.31};{1127.448|1155.333};{1127.959|1155.296};{1145.396|1143.058};{1150.427|1134.565};{1150.697|1134.105};{1152.346|1130.869};{1152.252|1130.322};{1146.526|1119.619};{1145.856|1119.087};{1137.99|1115.44};{1137|1115.203};
13,1,0,192,128,-133.0521,-131.4727,129.0521,132.9727,11.3353,-14.25224,18.49097,-7.256515,{1157.089|1093.922};{1148.91|1096.467};{1138.944|1105.33};{1134.127|1110.294};{1132.634|1113.571};{1132.821|1114.453};{1138.444|1125.307};{1148.556|1132.955};{1149.654|1133.316};{1153.624|1133.339};{1154.135|1133.302};{1171.572|1121.064};{1176.603|1112.57};{1176.873|1112.111};{1178.521|1108.875};{1178.428|1108.327};{1172.702|1097.625};{1172.032|1097.092};{1164.166|1093.445};{1163.175|1093.209};
13,2,0,192,128,-133.0521,-131.4727,129.0521,132.9727,14.6353,-11.47224,21.79098,-4.476516,{1182.874|1072.392};{1174.695|1074.938};{1164.729|1083.8};{1159.912|1088.764};{1158.419|1092.041};{1158.606|1092.923};{1164.229|1103.777};{1174.341|1111.425};{1175.439|1111.786};{1179.409|1111.809};{1179.92|1111.772};{1197.357|1099.534};{1202.388|1091.04};{1202.658|1090.581};{1204.307|1087.345};{1204.214|1086.798};{1198.487|1076.095};{1197.817|1075.563};{1189.951|1071.916};{1188.961|1071.679};
14,0,0,192,192,-133.0521,-131.4727,129.0521,132.9727,26.14253,-28.3938,33.3059,-21.50951,{1263.065|1201.426};{1253.871|1209.409};{1253.502|1210.177};{1251.729|1218.603};{1251.724|1219.613};{1253.822|1225.321};{1258.201|1232.625};{1269.194|1240.202};{1275.175|1243.708};{1278.736|1244.396};{1279.558|1244.013};{1288.925|1236.095};{1294.111|1224.583};{1294.213|1223.441};{1293.324|1219.607};{1293.17|1219.123};{1277.147|1205.113};{1267.651|1202.212};{1267.137|1202.057};{1263.581|1201.21};
14,1,0,192,192,-133.0521,-131.4727,129.0521,132.9727,29.3412,-31.32566,36.50345,-24.3719,{1288.84|1223.55};{1279.351|1231.185};{1278.953|1231.94};{1276.862|1240.294};{1276.819|1241.303};{1278.7|1247.084};{1282.8|1254.546};{1293.498|1262.526};{1299.342|1266.252};{1302.875|1267.071};{1303.711|1266.719};{1313.371|1259.155};{1318.989|1247.844};{1319.134|1246.706};{1318.39|1242.842};{1318.255|1242.352};{1302.772|1227.757};{1293.393|1224.506};{1292.886|1224.332};{1289.364|1223.354};
15,0,64,0,0,-133.0521,-131.4727,129.0521,132.9727,78.05113,-74.11913,85.16953,-67.46317,{1667.488|1555.939};{1658.952|1564.731};{1654.933|1576.693};{1654.945|1577.84};{1656.21|1581.569};{1656.411|1582.036};{1673.747|1594.416};{1683.485|1596.377};{1684.011|1596.481};{1687.634|1596.978};{1688.126|1596.713};{1696.483|1587.873};{1696.774|1587.072};{1697.703|1578.514};{1697.608|1577.509};{1694.954|1572.033};{1689.871|1565.191};{1678.18|1558.722};{1671.88|1555.815};{1668.268|1555.478};
15,1,64,0,0,-133.0521,-131.4727,129.0521,132.9727,74.64113,-71.85913,81.75952,-65.20317,{1640.843|1538.437};{1632.307|1547.229};{1628.288|1559.19};{1628.3|1560.337};{1629.565|1564.066};{1629.766|1564.533};{1647.102|1576.913};{1656.84|1578.875};{1657.366|1578.979};{1660.989|1579.475};{1661.481|1579.21};{1669.839|1570.37};{1670.13|1569.569};{1671.059|1561.011};{1670.963|1560.006};{1668.309|1554.53};{1663.226|1547.688};{1651.536|1541.219};{1645.236|1538.313};{1641.624|1537.976};
15,2,64,0,0,-133.0521,-131.4727,129.0521,132.9727,71.5089,-69.28732,78.59719,-62.17489,{1622.027|1514.965};{1611.506|1521.3};{1604.533|1531.845};{1604.249|1532.956};{1604.51|1536.882};{1604.583|1537.385};{1618.147|1553.748};{1627.054|1558.113};{1627.536|1558.347};{1630.91|1559.746};{1631.455|1559.615};{1641.815|1553.188};{1642.303|1552.487};{1645.411|1544.45};{1645.577|1543.454};{1644.425|1537.487};{1641.278|1529.584};{1631.646|1520.366};{1626.305|1515.959};{1622.901|1514.717};
15,3,64,0,0,-133.0521,-131.4727,129.0521,132.9727,68.97266,-66.15298,75.89378,-58.98893,{1604.248|1490.182};{1593.06|1495.273};{1584.907|1504.95};{1584.495|1506.021};{1584.297|1509.951};{1584.312|1510.458};{1595.881|1528.263};{1604.221|1533.617};{1604.673|1533.905};{1607.862|1535.679};{1608.418|1535.611};{1619.457|1530.411};{1620.023|1529.771};{1624.045|1522.143};{1624.326|1521.172};{1623.876|1515.114};{1621.669|1506.904};{1613.174|1496.646};{1608.382|1491.658};{1605.144|1490.036};
16,0,64,0,64,-133.0521,-131.4727,129.0521,132.9727,82.35839,-105.5172,89.52164,-98.5761,{1713.858|1797.981};{1696.024|1809.644};{1690.714|1817.969};{1690.429|1818.419};{1688.673|1821.6};{1688.749|1822.15};{1694.116|1833.033};{1694.768|1833.587};{1702.509|1837.489};{1703.491|1837.757};{1709.598|1837.244};{1717.857|1834.966};{1728.112|1826.433};{1733.091|1821.629};{1734.692|1818.402};{1734.534|1817.515};{1729.275|1806.483};{1719.422|1798.51};{1718.336|1798.113};{1714.37|1797.961};
16,1,64,0,64,-133.0521,-131.4727,129.0521,132.9727,85.95612,-103.1976,93.12011,-96.29703,{1742.439|1780.238};{1724.351|1791.51};{1718.858|1799.718};{1718.563|1800.162};{1716.738|1803.304};{1716.801|1803.855};{1721.927|1814.853};{1722.566|1815.421};{1730.219|1819.49};{1731.195|1819.779};{1737.312|1819.399};{1745.619|1817.301};{1756.06|1808.993};{1761.144|1804.298};{1762.816|1801.107};{1762.678|1800.217};{1757.665|1789.073};{1747.99|1780.887};{1746.913|1780.467};{1742.952|1780.229};
