ID,有效天数,标题,内容（参数从1开始{1}）,发送者名字,显示奖励ID数组（分号隔开）,备注
10007,30,战队解散,您的战队由于活跃度过低已经自动解散了，请重新加入一个战队！,战队系统,,战队系统
10008,30,退回杯赛报名费用,你的战队已经加入黑名单，退回杯赛报名费用！,杯赛系统,,杯赛系统
10009,30,退回杯赛创建费用,杯赛【{1}】无法达到开始的条件！被系统自动取消！退回杯赛创建费用【{2}】！,杯赛系统,,杯赛系统
10010,30,退回杯赛出资费用,杯赛【{1}】无法达到开始的条件！被系统自动取消！退回出资费用【{2}】！,杯赛系统,,杯赛系统
10011,30,退回杯赛取消报名费用,杯赛【{1}】无法达到开始的条件！被系统自动取消！回退报名费用【{2}】！,杯赛系统,,杯赛系统
10012,30,杯赛弃权,由于没有玩家参加{1}月{2}日举行的【{3}】杯赛，本战队被判定为弃权，可能导致不能获得杯赛奖励。快乐游戏，重在参与，请积极参与各项比赛。,杯赛系统,,杯赛系统
10101,30,排位任务奖励,这是您刚刚结束的排位周奖励，请注意查收！,排位系统,,排位系统
10102,30,排位赛季奖励,恭喜您在【{1}】取得了【{2}】段位的好成绩。我们为您提供了丰厚的赛季奖励，请注意查收！,排位系统,,排位系统
10200,2,联盟解散提醒,您的联盟已经连续【{1}】周活跃度低于【{2}】点，如果联盟连续【{3}】周活跃度低于【{4}】点，联盟将被系统自动解散。 ,联盟系统,,联盟系统
10201,2,战队解散提醒,您的战队已经连续【{1}】周活跃度低于【{2}】点，如果战队连续【{3}】周活跃度低于【{4}】点，战队将被系统自动解散。 ,战队系统,,战队系统
