详细配置类型,第几轮,该轮比赛类型（0空1淘汰2小组）,小组数量,组内成员数量,晋级成员数量,开始时间天数间隔,创建房间提前进场时间点,每天开赛时间点,比赛类型(1BO1一把定胜负2BO3三局两胜3BO5五局三胜),bo赛的时间间隔(分钟),本轮结算时间天数间隔,GM最终可调整重赛时间点,本轮结算时间点,比赛进程,奖励ID列表
int,int,int,int,int,int,int,string,string,int,int,int,int,string,string,string
11,2,1,8,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,16强赛,
11,3,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
11,4,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
11,5,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
12,1,1,16,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,32强赛,
12,2,1,8,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,16强赛,
12,3,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
12,4,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
12,5,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
13,1,2,4,4,2,1,19;10;0,19;30;0,1,10,4,18;30;0,22;0;0,16强赛,
13,2,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
13,3,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
13,4,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
14,1,2,2,4,2,1,19;10;0,19;30;0,1,10,4,18;30;0,22;0;0,8强赛,
14,2,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
14,3,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
15,1,2,1,4,2,1,19;10;0,19;30;0,1,10,4,18;30;0,22;0;0,半决赛,
15,2,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
21,1,2,8,4,2,1,19;10;0,19;30;0,1,10,4,18;30;0,22;0;0,32强赛,
21,2,1,8,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,16强赛,
21,3,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
21,4,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
21,5,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
22,1,1,16,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,32强赛,
22,2,1,8,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,16强赛,
22,3,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
22,4,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
22,5,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
23,1,1,8,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,16强赛,
23,2,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
23,3,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
23,4,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
24,1,1,4,2,1,1,19;10;0,19;30;0,1,10,2,18;30;0,22;0;0,8强赛,
24,2,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
24,3,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
25,1,1,2,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,半决赛(3局2胜),
25,2,1,1,2,1,1,19;10;0,19;30;0,2,10,2,18;30;0,22;0;0,决赛(3局2胜),
