召唤师等级,被捐日次数限制,被捐冷却时间,被捐单次数量,被捐日数量,捐卡单次数量,捐卡日数量,捐卡获得角色经验,捐卡获得绑定金币,捐赠最大持续时间
121,3,3600,10,15,4,50,,40,86400
122,3,3600,10,15,4,50,,40,86400
123,3,3600,10,15,4,50,,40,86400
124,3,3600,10,15,4,50,,40,86400
125,3,3600,10,15,4,50,,40,86400
126,3,3600,10,15,4,50,,40,86400
127,3,3600,10,15,4,50,,40,86400
128,3,3600,10,15,4,50,,40,86400
129,3,3600,10,15,4,50,,40,86400
130,3,3600,10,15,4,50,,40,86400
131,3,3600,10,15,4,50,,40,86400
132,3,3600,10,15,4,50,,40,86400
133,3,3600,10,15,4,50,,40,86400
134,3,3600,10,15,4,50,,40,86400
135,3,3600,10,15,4,50,,40,86400
136,3,3600,10,15,4,50,,40,86400
137,3,3600,10,15,4,50,,40,86400
138,3,3600,10,15,4,50,,40,86400
139,3,3600,10,15,4,50,,40,86400
140,3,3600,10,15,4,50,,40,86400
141,3,3600,10,15,4,50,,40,86400
142,3,3600,10,15,4,50,,40,86400
143,3,3600,10,15,4,50,,40,86400
144,3,3600,10,15,4,50,,40,86400
145,3,3600,10,15,4,50,,40,86400
146,3,3600,10,15,4,50,,40,86400
147,3,3600,10,15,4,50,,40,86400
148,3,3600,10,15,4,50,,40,86400
149,3,3600,10,15,4,50,,40,86400
150,3,3600,10,15,4,50,,40,86400
151,3,3600,10,15,4,50,,40,86400
152,3,3600,10,15,4,50,,40,86400
153,3,3600,10,15,4,50,,40,86400
154,3,3600,10,15,4,50,,40,86400
155,3,3600,10,15,4,50,,40,86400
156,3,3600,10,15,4,50,,40,86400
157,3,3600,10,15,4,50,,40,86400
158,3,3600,10,15,4,50,,40,86400
159,3,3600,10,15,4,50,,40,86400
160,3,3600,10,15,4,50,,40,86400
161,3,3600,10,15,4,50,,40,86400
162,3,3600,10,15,4,50,,40,86400
163,3,3600,10,15,4,50,,40,86400
164,3,3600,10,15,4,50,,40,86400
165,3,3600,10,15,4,50,,40,86400
166,3,3600,10,15,4,50,,40,86400
167,3,3600,10,15,4,50,,40,86400
168,3,3600,10,15,4,50,,40,86400
169,3,3600,10,15,4,50,,40,86400
170,3,3600,10,15,4,50,,40,86400
171,3,3600,10,15,4,50,,40,86400
172,3,3600,10,15,4,50,,40,86400
173,3,3600,10,15,4,50,,40,86400
174,3,3600,10,15,4,50,,40,86400
175,3,3600,10,15,4,50,,40,86400
176,3,3600,10,15,4,50,,40,86400
177,3,3600,10,15,4,50,,40,86400
178,3,3600,10,15,4,50,,40,86400
179,3,3600,10,15,4,50,,40,86400
180,3,3600,10,15,4,50,,40,86400
181,3,3600,10,15,4,50,,40,86400
182,3,3600,10,15,4,50,,40,86400
183,3,3600,10,15,4,50,,40,86400
184,3,3600,10,15,4,50,,40,86400
185,3,3600,10,15,4,50,,40,86400
186,3,3600,10,15,4,50,,40,86400
187,3,3600,10,15,4,50,,40,86400
188,3,3600,10,15,4,50,,40,86400
189,3,3600,10,15,4,50,,40,86400
190,3,3600,10,15,4,50,,40,86400
191,3,3600,10,15,4,50,,40,86400
192,3,3600,10,15,4,50,,40,86400
193,3,3600,10,15,4,50,,40,86400
194,3,3600,10,15,4,50,,40,86400
195,3,3600,10,15,4,50,,40,86400
196,3,3600,10,15,4,50,,40,86400
197,3,3600,10,15,4,50,,40,86400
198,3,3600,10,15,4,50,,40,86400
199,3,3600,10,15,4,50,,40,86400
200,3,3600,10,15,4,50,,40,86400
201,3,3600,10,15,4,50,,40,86400
202,3,3600,10,15,4,50,,40,86400
203,3,3600,10,15,4,50,,40,86400
204,3,3600,10,15,4,50,,40,86400
205,3,3600,10,15,4,50,,40,86400
206,3,3600,10,15,4,50,,40,86400
207,3,3600,10,15,4,50,,40,86400
208,3,3600,10,15,4,50,,40,86400
209,3,3600,10,15,4,50,,40,86400
210,3,3600,10,15,4,50,,40,86400
211,3,3600,10,15,4,50,,40,86400
212,3,3600,10,15,4,50,,40,86400
213,3,3600,10,15,4,50,,40,86400
214,3,3600,10,15,4,50,,40,86400
215,3,3600,10,15,4,50,,40,86400
216,3,3600,10,15,4,50,,40,86400
217,3,3600,10,15,4,50,,40,86400
218,3,3600,10,15,4,50,,40,86400
219,3,3600,10,15,4,50,,40,86400
220,3,3600,10,15,4,50,,40,86400
221,3,3600,10,15,4,50,,40,86400
222,3,3600,10,15,4,50,,40,86400
223,3,3600,10,15,4,50,,40,86400
224,3,3600,10,15,4,50,,40,86400
225,3,3600,10,15,4,50,,40,86400
226,3,3600,10,15,4,50,,40,86400
227,3,3600,10,15,4,50,,40,86400
228,3,3600,10,15,4,50,,40,86400
229,3,3600,10,15,4,50,,40,86400
230,3,3600,10,15,4,50,,40,86400
231,3,3600,10,15,4,50,,40,86400
232,3,3600,10,15,4,50,,40,86400
233,3,3600,10,15,4,50,,40,86400
234,3,3600,10,15,4,50,,40,86400
235,3,3600,10,15,4,50,,40,86400
236,3,3600,10,15,4,50,,40,86400
237,3,3600,10,15,4,50,,40,86400
238,3,3600,10,15,4,50,,40,86400
239,3,3600,10,15,4,50,,40,86400
240,3,3600,10,15,4,50,,40,86400
241,3,3600,10,15,4,50,,40,86400
242,3,3600,10,15,4,50,,40,86400
243,3,3600,10,15,4,50,,40,86400
244,3,3600,10,15,4,50,,40,86400
245,3,3600,10,15,4,50,,40,86400
246,3,3600,10,15,4,50,,40,86400
247,3,3600,10,15,4,50,,40,86400
248,3,3600,10,15,4,50,,40,86400
249,3,3600,10,15,4,50,,40,86400
250,3,3600,10,15,4,50,,40,86400
251,3,3600,10,15,4,50,,40,86400
252,3,3600,10,15,4,50,,40,86400
253,3,3600,10,15,4,50,,40,86400
254,3,3600,10,15,4,50,,40,86400
255,3,3600,10,15,4,50,,40,86400
256,3,3600,10,15,4,50,,40,86400
257,3,3600,10,15,4,50,,40,86400
258,3,3600,10,15,4,50,,40,86400
259,3,3600,10,15,4,50,,40,86400
260,3,3600,10,15,4,50,,40,86400
261,3,3600,10,15,4,50,,40,86400
262,3,3600,10,15,4,50,,40,86400
263,3,3600,10,15,4,50,,40,86400
264,3,3600,10,15,4,50,,40,86400
265,3,3600,10,15,4,50,,40,86400
266,3,3600,10,15,4,50,,40,86400
267,3,3600,10,15,4,50,,40,86400
268,3,3600,10,15,4,50,,40,86400
269,3,3600,10,15,4,50,,40,86400
270,3,3600,10,15,4,50,,40,86400
271,3,3600,10,15,4,50,,40,86400
272,3,3600,10,15,4,50,,40,86400
273,3,3600,10,15,4,50,,40,86400
274,3,3600,10,15,4,50,,40,86400
275,3,3600,10,15,4,50,,40,86400
276,3,3600,10,15,4,50,,40,86400
277,3,3600,10,15,4,50,,40,86400
278,3,3600,10,15,4,50,,40,86400
279,3,3600,10,15,4,50,,40,86400
280,3,3600,10,15,4,50,,40,86400
281,3,3600,10,15,4,50,,40,86400
282,3,3600,10,15,4,50,,40,86400
283,3,3600,10,15,4,50,,40,86400
284,3,3600,10,15,4,50,,40,86400
285,3,3600,10,15,4,50,,40,86400
286,3,3600,10,15,4,50,,40,86400
287,3,3600,10,15,4,50,,40,86400
288,3,3600,10,15,4,50,,40,86400
289,3,3600,10,15,4,50,,40,86400
290,3,3600,10,15,4,50,,40,86400
291,3,3600,10,15,4,50,,40,86400
292,3,3600,10,15,4,50,,40,86400
293,3,3600,10,15,4,50,,40,86400
294,3,3600,10,15,4,50,,40,86400
295,3,3600,10,15,4,50,,40,86400
296,3,3600,10,15,4,50,,40,86400
297,3,3600,10,15,4,50,,40,86400
298,3,3600,10,15,4,50,,40,86400
299,3,3600,10,15,4,50,,40,86400
300,3,3600,10,15,4,50,,40,86400
301,3,3600,10,15,4,50,,40,86400
302,3,3600,10,15,4,50,,40,86400
303,3,3600,10,15,4,50,,40,86400
304,3,3600,10,15,4,50,,40,86400
305,3,3600,10,15,4,50,,40,86400
306,3,3600,10,15,4,50,,40,86400
307,3,3600,10,15,4,50,,40,86400
308,3,3600,10,15,4,50,,40,86400
309,3,3600,10,15,4,50,,40,86400
310,3,3600,10,15,4,50,,40,86400
311,3,3600,10,15,4,50,,40,86400
312,3,3600,10,15,4,50,,40,86400
313,3,3600,10,15,4,50,,40,86400
314,3,3600,10,15,4,50,,40,86400
315,3,3600,10,15,4,50,,40,86400
316,3,3600,10,15,4,50,,40,86400
317,3,3600,10,15,4,50,,40,86400
318,3,3600,10,15,4,50,,40,86400
319,3,3600,10,15,4,50,,40,86400
320,3,3600,10,15,4,50,,40,86400
321,3,3600,10,15,4,50,,40,86400
322,3,3600,10,15,4,50,,40,86400
323,3,3600,10,15,4,50,,40,86400
324,3,3600,10,15,4,50,,40,86400
325,3,3600,10,15,4,50,,40,86400
326,3,3600,10,15,4,50,,40,86400
327,3,3600,10,15,4,50,,40,86400
328,3,3600,10,15,4,50,,40,86400
329,3,3600,10,15,4,50,,40,86400
330,3,3600,10,15,4,50,,40,86400
331,3,3600,10,15,4,50,,40,86400
332,3,3600,10,15,4,50,,40,86400
333,3,3600,10,15,4,50,,40,86400
334,3,3600,10,15,4,50,,40,86400
335,3,3600,10,15,4,50,,40,86400
336,3,3600,10,15,4,50,,40,86400
337,3,3600,10,15,4,50,,40,86400
338,3,3600,10,15,4,50,,40,86400
339,3,3600,10,15,4,50,,40,86400
340,3,3600,10,15,4,50,,40,86400
341,3,3600,10,15,4,50,,40,86400
342,3,3600,10,15,4,50,,40,86400
343,3,3600,10,15,4,50,,40,86400
344,3,3600,10,15,4,50,,40,86400
345,3,3600,10,15,4,50,,40,86400
346,3,3600,10,15,4,50,,40,86400
347,3,3600,10,15,4,50,,40,86400
348,3,3600,10,15,4,50,,40,86400
349,3,3600,10,15,4,50,,40,86400
350,3,3600,10,15,4,50,,40,86400
351,3,3600,10,15,4,50,,40,86400
352,3,3600,10,15,4,50,,40,86400
353,3,3600,10,15,4,50,,40,86400
354,3,3600,10,15,4,50,,40,86400
355,3,3600,10,15,4,50,,40,86400
356,3,3600,10,15,4,50,,40,86400
357,3,3600,10,15,4,50,,40,86400
358,3,3600,10,15,4,50,,40,86400
359,3,3600,10,15,4,50,,40,86400
360,3,3600,10,15,4,50,,40,86400
361,3,3600,10,15,4,50,,40,86400
362,3,3600,10,15,4,50,,40,86400
363,3,3600,10,15,4,50,,40,86400
364,3,3600,10,15,4,50,,40,86400
365,3,3600,10,15,4,50,,40,86400
366,3,3600,10,15,4,50,,40,86400
367,3,3600,10,15,4,50,,40,86400
368,3,3600,10,15,4,50,,40,86400
369,3,3600,10,15,4,50,,40,86400
370,3,3600,10,15,4,50,,40,86400
371,3,3600,10,15,4,50,,40,86400
372,3,3600,10,15,4,50,,40,86400
373,3,3600,10,15,4,50,,40,86400
374,3,3600,10,15,4,50,,40,86400
375,3,3600,10,15,4,50,,40,86400
376,3,3600,10,15,4,50,,40,86400
377,3,3600,10,15,4,50,,40,86400
378,3,3600,10,15,4,50,,40,86400
379,3,3600,10,15,4,50,,40,86400
380,3,3600,10,15,4,50,,40,86400
381,3,3600,10,15,4,50,,40,86400
382,3,3600,10,15,4,50,,40,86400
383,3,3600,10,15,4,50,,40,86400
384,3,3600,10,15,4,50,,40,86400
385,3,3600,10,15,4,50,,40,86400
386,3,3600,10,15,4,50,,40,86400
387,3,3600,10,15,4,50,,40,86400
388,3,3600,10,15,4,50,,40,86400
389,3,3600,10,15,4,50,,40,86400
390,3,3600,10,15,4,50,,40,86400
391,3,3600,10,15,4,50,,40,86400
392,3,3600,10,15,4,50,,40,86400
393,3,3600,10,15,4,50,,40,86400
394,3,3600,10,15,4,50,,40,86400
395,3,3600,10,15,4,50,,40,86400
396,3,3600,10,15,4,50,,40,86400
397,3,3600,10,15,4,50,,40,86400
398,3,3600,10,15,4,50,,40,86400
399,3,3600,10,15,4,50,,40,86400
400,3,3600,10,15,4,50,,40,86400
401,3,3600,10,15,4,50,,40,86400
402,3,3600,10,15,4,50,,40,86400
403,3,3600,10,15,4,50,,40,86400
404,3,3600,10,15,4,50,,40,86400
405,3,3600,10,15,4,50,,40,86400
406,3,3600,10,15,4,50,,40,86400
407,3,3600,10,15,4,50,,40,86400
408,3,3600,10,15,4,50,,40,86400
409,3,3600,10,15,4,50,,40,86400
410,3,3600,10,15,4,50,,40,86400
411,3,3600,10,15,4,50,,40,86400
412,3,3600,10,15,4,50,,40,86400
413,3,3600,10,15,4,50,,40,86400
414,3,3600,10,15,4,50,,40,86400
415,3,3600,10,15,4,50,,40,86400
416,3,3600,10,15,4,50,,40,86400
417,3,3600,10,15,4,50,,40,86400
418,3,3600,10,15,4,50,,40,86400
419,3,3600,10,15,4,50,,40,86400
420,3,3600,10,15,4,50,,40,86400
421,3,3600,10,15,4,50,,40,86400
422,3,3600,10,15,4,50,,40,86400
423,3,3600,10,15,4,50,,40,86400
424,3,3600,10,15,4,50,,40,86400
425,3,3600,10,15,4,50,,40,86400
426,3,3600,10,15,4,50,,40,86400
427,3,3600,10,15,4,50,,40,86400
428,3,3600,10,15,4,50,,40,86400
429,3,3600,10,15,4,50,,40,86400
430,3,3600,10,15,4,50,,40,86400
431,3,3600,10,15,4,50,,40,86400
432,3,3600,10,15,4,50,,40,86400
433,3,3600,10,15,4,50,,40,86400
434,3,3600,10,15,4,50,,40,86400
435,3,3600,10,15,4,50,,40,86400
436,3,3600,10,15,4,50,,40,86400
437,3,3600,10,15,4,50,,40,86400
438,3,3600,10,15,4,50,,40,86400
439,3,3600,10,15,4,50,,40,86400
440,3,3600,10,15,4,50,,40,86400
441,3,3600,10,15,4,50,,40,86400
442,3,3600,10,15,4,50,,40,86400
443,3,3600,10,15,4,50,,40,86400
444,3,3600,10,15,4,50,,40,86400
445,3,3600,10,15,4,50,,40,86400
446,3,3600,10,15,4,50,,40,86400
447,3,3600,10,15,4,50,,40,86400
448,3,3600,10,15,4,50,,40,86400
449,3,3600,10,15,4,50,,40,86400
450,3,3600,10,15,4,50,,40,86400
451,3,3600,10,15,4,50,,40,86400
452,3,3600,10,15,4,50,,40,86400
453,3,3600,10,15,4,50,,40,86400
454,3,3600,10,15,4,50,,40,86400
455,3,3600,10,15,4,50,,40,86400
456,3,3600,10,15,4,50,,40,86400
457,3,3600,10,15,4,50,,40,86400
458,3,3600,10,15,4,50,,40,86400
459,3,3600,10,15,4,50,,40,86400
460,3,3600,10,15,4,50,,40,86400
461,3,3600,10,15,4,50,,40,86400
462,3,3600,10,15,4,50,,40,86400
463,3,3600,10,15,4,50,,40,86400
464,3,3600,10,15,4,50,,40,86400
465,3,3600,10,15,4,50,,40,86400
466,3,3600,10,15,4,50,,40,86400
467,3,3600,10,15,4,50,,40,86400
468,3,3600,10,15,4,50,,40,86400
469,3,3600,10,15,4,50,,40,86400
470,3,3600,10,15,4,50,,40,86400
471,3,3600,10,15,4,50,,40,86400
472,3,3600,10,15,4,50,,40,86400
473,3,3600,10,15,4,50,,40,86400
474,3,3600,10,15,4,50,,40,86400
475,3,3600,10,15,4,50,,40,86400
476,3,3600,10,15,4,50,,40,86400
477,3,3600,10,15,4,50,,40,86400
478,3,3600,10,15,4,50,,40,86400
479,3,3600,10,15,4,50,,40,86400
480,3,3600,10,15,4,50,,40,86400
481,3,3600,10,15,4,50,,40,86400
482,3,3600,10,15,4,50,,40,86400
483,3,3600,10,15,4,50,,40,86400
484,3,3600,10,15,4,50,,40,86400
485,3,3600,10,15,4,50,,40,86400
486,3,3600,10,15,4,50,,40,86400
487,3,3600,10,15,4,50,,40,86400
488,3,3600,10,15,4,50,,40,86400
489,3,3600,10,15,4,50,,40,86400
490,3,3600,10,15,4,50,,40,86400
491,3,3600,10,15,4,50,,40,86400
492,3,3600,10,15,4,50,,40,86400
493,3,3600,10,15,4,50,,40,86400
494,3,3600,10,15,4,50,,40,86400
495,3,3600,10,15,4,50,,40,86400
496,3,3600,10,15,4,50,,40,86400
497,3,3600,10,15,4,50,,40,86400
498,3,3600,10,15,4,50,,40,86400
499,3,3600,10,15,4,50,,40,86400
500,3,3600,10,15,4,50,,40,86400
501,3,3600,10,15,4,50,,40,86400
502,3,3600,10,15,4,50,,40,86400
503,3,3600,10,15,4,50,,40,86400
504,3,3600,10,15,4,50,,40,86400
505,3,3600,10,15,4,50,,40,86400
506,3,3600,10,15,4,50,,40,86400
507,3,3600,10,15,4,50,,40,86400
508,3,3600,10,15,4,50,,40,86400
509,3,3600,10,15,4,50,,40,86400
510,3,3600,10,15,4,50,,40,86400
511,3,3600,10,15,4,50,,40,86400
512,3,3600,10,15,4,50,,40,86400
513,3,3600,10,15,4,50,,40,86400
514,3,3600,10,15,4,50,,40,86400
515,3,3600,10,15,4,50,,40,86400
516,3,3600,10,15,4,50,,40,86400
517,3,3600,10,15,4,50,,40,86400
518,3,3600,10,15,4,50,,40,86400
519,3,3600,10,15,4,50,,40,86400
520,3,3600,10,15,4,50,,40,86400
521,3,3600,10,15,4,50,,40,86400
522,3,3600,10,15,4,50,,40,86400
523,3,3600,10,15,4,50,,40,86400
524,3,3600,10,15,4,50,,40,86400
525,3,3600,10,15,4,50,,40,86400
526,3,3600,10,15,4,50,,40,86400
527,3,3600,10,15,4,50,,40,86400
528,3,3600,10,15,4,50,,40,86400
529,3,3600,10,15,4,50,,40,86400
530,3,3600,10,15,4,50,,40,86400
531,3,3600,10,15,4,50,,40,86400
532,3,3600,10,15,4,50,,40,86400
533,3,3600,10,15,4,50,,40,86400
534,3,3600,10,15,4,50,,40,86400
535,3,3600,10,15,4,50,,40,86400
536,3,3600,10,15,4,50,,40,86400
537,3,3600,10,15,4,50,,40,86400
538,3,3600,10,15,4,50,,40,86400
539,3,3600,10,15,4,50,,40,86400
540,3,3600,10,15,4,50,,40,86400
541,3,3600,10,15,4,50,,40,86400
542,3,3600,10,15,4,50,,40,86400
543,3,3600,10,15,4,50,,40,86400
544,3,3600,10,15,4,50,,40,86400
545,3,3600,10,15,4,50,,40,86400
546,3,3600,10,15,4,50,,40,86400
547,3,3600,10,15,4,50,,40,86400
548,3,3600,10,15,4,50,,40,86400
549,3,3600,10,15,4,50,,40,86400
550,3,3600,10,15,4,50,,40,86400
551,3,3600,10,15,4,50,,40,86400
552,3,3600,10,15,4,50,,40,86400
553,3,3600,10,15,4,50,,40,86400
554,3,3600,10,15,4,50,,40,86400
555,3,3600,10,15,4,50,,40,86400
556,3,3600,10,15,4,50,,40,86400
557,3,3600,10,15,4,50,,40,86400
558,3,3600,10,15,4,50,,40,86400
559,3,3600,10,15,4,50,,40,86400
560,3,3600,10,15,4,50,,40,86400
561,3,3600,10,15,4,50,,40,86400
562,3,3600,10,15,4,50,,40,86400
563,3,3600,10,15,4,50,,40,86400
564,3,3600,10,15,4,50,,40,86400
565,3,3600,10,15,4,50,,40,86400
566,3,3600,10,15,4,50,,40,86400
567,3,3600,10,15,4,50,,40,86400
568,3,3600,10,15,4,50,,40,86400
569,3,3600,10,15,4,50,,40,86400
570,3,3600,10,15,4,50,,40,86400
571,3,3600,10,15,4,50,,40,86400
572,3,3600,10,15,4,50,,40,86400
573,3,3600,10,15,4,50,,40,86400
574,3,3600,10,15,4,50,,40,86400
575,3,3600,10,15,4,50,,40,86400
576,3,3600,10,15,4,50,,40,86400
577,3,3600,10,15,4,50,,40,86400
578,3,3600,10,15,4,50,,40,86400
579,3,3600,10,15,4,50,,40,86400
580,3,3600,10,15,4,50,,40,86400
581,3,3600,10,15,4,50,,40,86400
582,3,3600,10,15,4,50,,40,86400
583,3,3600,10,15,4,50,,40,86400
584,3,3600,10,15,4,50,,40,86400
585,3,3600,10,15,4,50,,40,86400
586,3,3600,10,15,4,50,,40,86400
587,3,3600,10,15,4,50,,40,86400
588,3,3600,10,15,4,50,,40,86400
589,3,3600,10,15,4,50,,40,86400
590,3,3600,10,15,4,50,,40,86400
591,3,3600,10,15,4,50,,40,86400
592,3,3600,10,15,4,50,,40,86400
593,3,3600,10,15,4,50,,40,86400
594,3,3600,10,15,4,50,,40,86400
595,3,3600,10,15,4,50,,40,86400
596,3,3600,10,15,4,50,,40,86400
597,3,3600,10,15,4,50,,40,86400
598,3,3600,10,15,4,50,,40,86400
599,3,3600,10,15,4,50,,40,86400
600,3,3600,10,15,4,50,,40,86400
